p,D,M,n_real,fe_ok,init_ok,opt_n,C,C_ok,trunc_exp,hard_stop,hs_ok,cache_hits_ev,cache_hits_man,cache_init,footer_termino,status,fe_final_ok,n_ger_man,nger_ok,pop_gers,pop_gers_ok,pop_prog_ok,tim_n,tim_n_ok,tim_ger1_dup,nacum_ok,fit_ratio,u7_viol,u7_viol_em_sonda,busca_blocos,busca_blocos_ok,busca_1900_ok,sonda_blocos,sonda_2000_ok,sonda_cadencia_ok,sonda_man_ok,modelo_flag_ok,sigma_pos_ok,espaco_ok,ftm_ok,ftm_mono,lote3_ok,ncl3_ok,ntre_ok,nstd_sum,ndup_sum,stall_sum,delta_ok,NW,NW_const,NW_man,gat_ok,ramo_inc,ratio_quant_ok,ymin_chain_maxerr,espaco_ev_ok,T100,dropP_ok,loss_sent,hp_passos,fe_gen_ok,infill_match,fant_wape_med,inc_pct_med,inc_n,conv_pct_med,ws_inter,ws_pairs
DTLZ4,12,3,371,True,True,240,80,True,False,0,True,1,1,True,normal,ok,True,81,True,81,True,True,81,True,True,True,7.675192832946777,0,True,80,True,True,41,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,24,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 12, 0.01)",True,240/240,0.18220409407600027,0.94,72,0.46,0,79
DTLZ7,22,3,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,23.632186889648438,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,51,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.03699827123468284,0.98,153,0.5,0,145
MMF1,2,2,61,True,True,40,13,True,True,1,True,1,1,True,normal,ok,True,14,True,14,True,True,14,True,True,True,9.98927116394043,0,True,13,True,True,8,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,5,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 2, 0.01)",True,39/39,0.4753268383679976,0.91,15,0.33,0,12
MMF11_L,2,2,61,True,True,40,13,True,True,1,True,1,1,True,normal,ok,True,14,True,14,True,True,14,True,True,True,10.226788520812988,0,True,13,True,True,8,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,4,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 2, 0.01)",True,39/39,0.14649334484110865,0.87,12,0.51,0,12
MMF16_20,20,3,619,True,True,400,133,True,True,1,True,1,1,True,normal,ok,True,134,True,134,True,True,134,True,True,True,8.563346862792969,0,True,133,True,True,68,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,36,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 20, 0.01)",True,399/399,0.2751455531352155,0.99,108,0.03,0,132
MMF4,2,2,61,True,True,40,13,True,True,1,True,1,1,True,normal,ok,True,14,True,14,True,True,14,True,True,True,11.840094566345215,0,True,13,True,True,8,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,4,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 2, 0.01)",True,39/39,0.20623721696945072,0.7949999999999999,12,0.12,0,12
WFG1,22,2,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,9.885878562927246,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,33,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.30821876124458675,0.89,99,0.35,0,145
WFG2,22,2,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,9.586536407470703,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,39,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.18386289957756013,0.95,117,0.19,0,145
WFG4,22,2,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,9.969902992248535,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,37,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.18726786542667226,0.96,111,0.32,0,145
WFG5,22,2,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,10.01133918762207,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,39,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.13735320070121365,0.97,117,0.29,0,145
WFG9,22,2,681,True,True,440,146,True,True,1,True,1,1,True,normal,ok,True,147,True,147,True,True,147,True,True,True,9.91960334777832,0,True,146,True,True,75,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,44,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 22, 0.01)",True,438/438,0.29359651685375204,0.98,132,0.2,0,145
ZDT1,30,2,929,True,True,600,200,True,False,0,True,1,1,True,normal,ok,True,201,True,201,True,True,201,True,True,True,9.836641311645508,0,True,200,True,True,101,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,55,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 30, 0.01)",True,600/600,0.07306479081571172,0.97,165,0.32,0,199
ZDT3,30,2,929,True,True,600,200,True,False,0,True,1,1,True,normal,ok,True,201,True,201,True,True,201,True,True,True,9.766998291015625,0,True,200,True,True,101,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,55,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 30, 0.01)",True,600/600,0.11323331477339153,0.96,165,0.41,0,199
ZDT4,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.640533447265625,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,22,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.16892408165840345,0.98,66,0.46,0,65
ZDT6,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,9.628684997558594,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,17,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.06662697781954571,0.98,51,0.27,0,65
