exp,problema,D,M,q,status,motivo,n_retries,fallback_ativado,jsonl_bad,fe_ok,fe_dense,init_ok,gens,gens_ok,fits_eq_gens,ntreino_step_ok,ntreino_first,ntreino_last,fetm_mono,fetm_min,fetm_max,fe_eq_ntrain_q,fe_increasing,ngen10,draws_ok,pop_ok,kernel_ok,yvar_ok,flag,espaco,hp_moves,ard_ok,assert_ok,nlote_ok,lote_menor,lote_comp,min_front_acq,seeds_ok,nystrom_ok,cache_hits_dec,cache_hits_footer,cache_hits_man,fit_retries,front_eq,sonda_n,sonda_n_ok,sonda_pts_ok,sonda_hash_ok,sonda_gens_ok,qj_idx,qj_val,qj_rsid,qj_maxdiff,n_infill_rows,fantasy_med,sigma_pos,timing_rows_ok,t_inv1_viol,t_sonda_gens,t_inv2_hold
main,BBOB_F17,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,5,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,3.363164002845309e-08,200,"[229152.7188, 18.0941]",True,True,0,101,101
main,BBOB_F22,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,8,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,3.1346342410643047e-08,200,"[16937.6992, 24.2239]",True,True,0,101,101
main,BBOB_F37,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,7,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,2.4909726170641022e-08,200,"[38.9143, 113.8867]",True,True,0,101,101
main,BBOB_F49,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,4,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,4.043915591278591e-08,200,"[84.0031, 3.8928]",True,True,0,101,101
main,BBOB_F55,10,2,1,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,308,True,108,307,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=1)",cru,1.0,True,True,True,0,0,3,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,2.3968658918738228e-08,200,"[5.7832, 3.4339]",True,True,0,101,101
batch,DTLZ2,12,3,10,ok,orcamento,0,False,0,True,True,True,200,True,True,True,131,2121,True,130,2120,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=10)",cru,1.0,True,True,True,0,0,235,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,6.234734162280375e-08,2000,"[0.0081, 0.0078, 0.0044]",True,True,0,101,101
batch,MMF16_20,20,3,10,ok,orcamento,0,False,0,True,True,True,200,True,True,True,219,2209,True,218,2208,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=10)",cru,1.0,True,True,True,0,0,147,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,6.223116066905732e-08,2000,"[0.0153, 0.0346, 0.001]",True,True,0,101,100
batch,WFG9,22,2,10,ok,orcamento,0,False,0,True,True,True,200,True,True,True,241,2231,True,240,2230,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=10)",cru,1.0,True,True,True,4,4,7,True,True,0,0,0,0,196,101,True,True,True,True,196,200,196,8.086843150678646e-08,2000,"[0.285, 0.5034]",True,True,0,101,101
batch,ZDT1,30,2,10,ok,orcamento,0,False,0,True,True,True,200,True,True,True,329,2319,True,328,2318,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=10)",cru,1.0,True,True,True,0,0,21,True,True,0,0,0,0,200,101,True,True,True,True,200,200,200,5.8310399397853985e-08,2000,"[0.0001, 0.0196]",True,True,0,101,101
batch,ZDT4,10,2,10,ok,orcamento,0,False,0,True,True,True,200,True,True,True,109,2099,True,108,2098,True,True,True,True,True,True,True,"GP-Matern52-ARD(TS,q=10)",cru,1.0,True,True,True,28,28,6,True,True,0,0,0,0,172,101,True,True,True,True,172,200,172,4.282621562934352e-08,2000,"[0.0, 16.9772]",True,True,0,101,101
