prob,D,M,Nnom,Nef,H,ngen,maxfe_ok,init_ok,fases,fe_dense,sid_dense,n_x_unicos,n_real,pop_sizes,n_grp,pop1_in_doe,n_pop1,ch_total,ch_init,ch_pos,hs,hs_fe,ch_man,n_off_gen,off_full,fe_consumido,arit_off,arit_ok,surr_rows,fit_series,sigma_dict,sonda_status,n_blocos,t_fit,t_busca,t_sonda,t_aval,t_total,soma_t4,t4_nan_fit,t4_nan_busca,t4_nan_sonda,t4_nan_nac,t4_rows,dt_jsonl_p,n_doe_log,n_frentes,n_frente1,excede,doe_hash_man,doe_hash_hdr,algo_version,status,termino,cp_init,n_foot,piso,surrogate_flag,principio,patches,operadores,Nef_foot
DTLZ4,12,3,20,15,3,18,True,True,"['init', 'opt']",True,True,369,371,[np.int64(15)],18,True,15,20,16,4,1,371,20,14,238,234,4,True,0,0,False,nao_se_aplica,0,,,,0.12543100000000007,5.2568,0.8747839890420437,18,18,18,18,18,8.211135882341125e-09,131,7,23,True,75dc5d1c4ceddd7c6cc095466dad74e3dc43672d52bd80803baac078cfa0801f,75dc5d1c4ceddd7c6cc095466dad74e3dc43672d52bd80803baac078cfa0801f,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
DTLZ7,22,3,20,15,3,33,True,True,"['init', 'opt']",True,True,681,681,[np.int64(15)],33,True,15,32,16,16,1,681,32,14,448,432,16,True,0,0,False,nao_se_aplica,0,,,,0.185759,5.098064,0.9624029994010925,33,33,33,33,33,1.9626617553392123e-09,241,10,21,True,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
MMF1,2,2,20,20,18,3,True,True,"['init', 'opt']",True,True,60,61,[np.int64(20)],3,True,20,23,21,2,1,61,23,20,40,38,2,True,0,0,False,nao_se_aplica,0,,,,0.019838999999999996,4.326562,0.4473799876868725,3,3,3,3,3,7.061958323673068e-09,21,6,7,False,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
MMF11_L,2,2,20,20,18,3,True,True,"['init', 'opt']",True,True,61,61,[np.int64(20)],3,True,20,22,21,1,1,61,22,20,40,39,1,True,0,0,False,nao_se_aplica,0,,,,0.021727,4.432251,0.4826510101556778,3,3,3,3,3,4.29058075179789e-09,21,3,9,False,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
MMF16_20,20,3,20,15,3,30,True,True,"['init', 'opt']",True,True,619,619,[np.int64(15)],30,True,15,25,16,9,1,619,25,14,406,397,9,True,0,0,False,nao_se_aplica,0,,,,0.18649500000000016,4.772687,0.8718309970572591,30,30,30,30,30,5.440711964288525e-09,219,7,50,True,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),15
MMF4,2,2,20,20,18,3,True,True,"['init', 'opt']",True,True,60,61,[np.int64(20)],3,True,20,22,21,1,1,61,22,20,40,39,1,True,0,0,False,nao_se_aplica,0,,,,0.019742000000000003,4.22653,0.4335230067372322,3,3,3,3,3,7.444381722176985e-09,21,4,9,False,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
WFG1,22,2,20,20,18,23,True,True,"['init', 'opt']",True,True,681,681,[np.int64(20)],23,True,20,31,21,10,1,681,31,20,440,430,10,True,0,0,False,nao_se_aplica,0,,,,0.3177709999999999,5.527191,0.9446280049160123,23,23,23,23,23,6.6967010547980266e-09,241,22,18,False,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
WFG2,22,2,20,20,18,23,True,True,"['init', 'opt']",True,True,681,681,[np.int64(20)],23,True,20,34,21,13,1,681,34,20,440,427,13,True,0,0,False,nao_se_aplica,0,,,,0.4100820000000003,5.03093,1.0005349963903427,23,23,23,23,23,6.875991831467587e-09,241,26,8,False,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
WFG4,22,2,20,20,18,23,True,True,"['init', 'opt']",True,True,681,681,[np.int64(20)],23,True,20,36,21,15,1,681,36,20,440,425,15,True,0,0,False,nao_se_aplica,0,,,,0.25309299999999985,5.00235,0.9182070102542639,23,23,23,23,23,7.2498321512792785e-09,241,10,30,True,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
WFG5,22,2,20,20,18,23,True,True,"['init', 'opt']",True,True,681,681,[np.int64(20)],23,True,20,37,21,16,1,681,37,20,440,424,16,True,0,0,False,nao_se_aplica,0,,,,0.2544579999999997,4.866574,0.8753689909353852,23,23,23,23,23,3.3121108911071673e-09,241,10,36,True,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
WFG9,22,2,20,20,18,23,True,True,"['init', 'opt']",True,True,681,681,[np.int64(20)],23,True,20,28,21,7,1,681,28,20,440,433,7,True,0,0,False,nao_se_aplica,0,,,,1.3597739999999985,5.865023,1.5484759956598282,23,23,23,23,23,4.0168762205361475e-09,241,11,15,False,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
ZDT1,30,2,20,20,18,31,True,True,"['init', 'opt']",True,True,929,929,[np.int64(20)],31,True,20,38,21,17,1,929,38,20,600,583,17,True,0,0,False,nao_se_aplica,0,,,,0.22543599999999928,4.778756,0.8679219977930188,31,31,31,31,31,4.055976859929089e-09,329,19,14,False,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
ZDT3,30,2,20,20,18,31,True,True,"['init', 'opt']",True,True,929,929,[np.int64(20)],31,True,20,32,21,11,1,929,32,20,600,589,11,True,0,0,False,nao_se_aplica,0,,,,0.2532370000000004,5.266825,0.9466810040175915,31,31,31,31,31,3.9653778038939436e-09,329,21,12,False,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
ZDT4,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,26,21,5,1,309,26,20,200,195,5,True,0,0,False,nao_se_aplica,0,,,,0.09006600000000002,4.72958,0.7048659892752767,11,11,11,11,11,4.320144658676028e-09,109,17,8,False,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
ZDT6,10,2,20,20,18,11,True,True,"['init', 'opt']",True,True,309,309,[np.int64(20)],11,True,20,23,21,2,1,309,23,20,200,198,2,True,0,0,False,nao_se_aplica,0,,,,0.09762599999999998,4.654067,0.6995490062981844,11,11,11,11,11,3.6630630473322157e-09,109,20,7,False,57a9736e2650080beb02dd3d9064b8d426a6717d140d782a1948387ef672806f,57a9736e2650080beb02dd3d9064b8d426a6717d140d782a1948387ef672806f,piso-NSGAIII-PlatEMO4.15,ok,normal,True,1,True,False,referencia/indicador,NENHUM — piso e stock do PlatEMO 4.15 por design,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),20
