alg,problema,semente,delta,vitoria,piso
Prob-RVEA,MMF16_20,10,-0.0635481517071933,False,moead_media
Prob-RVEA,MMF16_20,19,-0.1869301168656345,False,moead_media
Prob-RVEA,MMF16_20,8,0.452500784534931,True,moead_media
Prob-RVEA,MMF16_20,21,-0.9120295476612672,False,moead_media
Prob-RVEA,MMF16_20,24,0.2365341862156479,True,moead_media
Prob-RVEA,MMF16_20,23,0.2692895896883425,True,moead_media
Prob-RVEA,MMF16_20,4,-0.575214450577698,False,moead_media
Prob-RVEA,MMF16_20,15,-0.23756003968588443,False,moead_media
Prob-RVEA,MMF16_20,3,-0.3241867514704785,False,moead_media
Prob-RVEA,MMF16_20,12,0.876723360471172,True,moead_media
Prob-RVEA,MMF16_20,2,0.30284946171649657,True,moead_media
Prob-RVEA,MMF16_20,13,0.6445069406819186,True,moead_media
Prob-RVEA,MMF16_20,5,-0.33494269252389935,False,moead_media
Prob-RVEA,MMF16_20,14,0.41247622008727686,True,moead_media
Prob-RVEA,MMF16_20,22,0.6430152977034618,True,moead_media
Prob-RVEA,MMF16_20,25,-0.18473827965483636,False,moead_media
Prob-RVEA,MMF4,20,0.8528725708521766,True,moead_media
Prob-RVEA,MMF4,18,0.537872233624716,True,moead_media
Prob-RVEA,MMF4,27,0.6388640069796822,True,moead_media
Prob-RVEA,MMF4,9,-0.38601407434402124,False,moead_media
Prob-RVEA,MMF4,0,-0.07117635630212192,False,moead_media
Prob-RVEA,MMF4,11,0.8639083058354667,True,moead_media
Prob-RVEA,MMF4,7,-0.19061200686796687,False,moead_media
Prob-RVEA,MMF4,16,-0.05553841024170533,False,moead_media
Prob-RVEA,MMF4,42,0.8071478709973078,True,moead_media
Prob-RVEA,MMF4,6,0.7415579966426467,True,moead_media
Prob-RVEA,MMF4,28,0.9318538064809759,True,moead_media
Prob-RVEA,MMF4,17,0.6113214857197388,True,moead_media
Prob-RVEA,MMF4,1,-0.0818231392534226,False,moead_media
Prob-RVEA,MMF4,10,0.691027025922991,True,moead_media
Prob-RVEA,MMF4,19,0.9489295899951904,True,moead_media
Prob-RVEA,MMF4,8,0.8598739285379078,True,moead_media
Prob-RVEA,MMF4,21,-0.015744785580270267,False,moead_media
Prob-RVEA,MMF4,24,0.2512995680007575,True,moead_media
Prob-RVEA,MMF4,23,0.7602200441760952,True,moead_media
Prob-RVEA,MMF4,4,0.8079912349094747,True,moead_media
Prob-RVEA,MMF4,15,-0.20069633024127773,False,moead_media
Prob-RVEA,MMF4,3,0.9389516823282555,True,moead_media
Prob-RVEA,MMF4,12,0.1371688649677152,True,moead_media
Prob-RVEA,MMF4,2,0.8586700553446676,True,moead_media
Prob-RVEA,MMF4,13,0.8454827423093944,True,moead_media
Prob-RVEA,MMF4,5,0.21637288407903404,True,moead_media
Prob-RVEA,MMF4,14,0.9790054536661489,True,moead_media
Prob-RVEA,MMF4,22,-0.04373407712735607,False,moead_media
Prob-RVEA,MMF4,25,0.17882952136576682,True,moead_media
Prob-RVEA,RE21,20,0.3921785497431743,True,moead_media
Prob-RVEA,RE21,18,-0.041160539149910975,False,moead_media
Prob-RVEA,RE21,27,0.16258783327286447,True,moead_media
Prob-RVEA,RE21,9,0.35397530585424986,True,moead_media
Prob-RVEA,RE21,0,-0.32437922397022156,False,moead_media
Prob-RVEA,RE21,11,0.49771172469897906,True,moead_media
Prob-RVEA,RE21,7,0.2959073688734887,True,moead_media
Prob-RVEA,RE21,16,-0.40805032452568113,False,moead_media
Prob-RVEA,RE21,42,0.2871624616871871,True,moead_media
Prob-RVEA,RE21,6,0.20340364191572372,True,moead_media
Prob-RVEA,RE21,28,-0.07251699988036758,False,moead_media
Prob-RVEA,RE21,17,-0.02262853583712861,False,moead_media
Prob-RVEA,RE21,1,-0.3356875229547654,False,moead_media
Prob-RVEA,RE21,10,0.1726668290148802,True,moead_media
Prob-RVEA,RE21,19,0.04787002103775814,True,moead_media
Prob-RVEA,RE21,26,-0.14774801892523232,False,moead_media
Prob-RVEA,RE21,8,0.41962574471351066,True,moead_media
Prob-RVEA,RE21,21,-0.021563801762908515,False,moead_media
Prob-RVEA,RE21,24,0.3435610440161234,True,moead_media
Prob-RVEA,RE21,23,-0.3131798234876423,False,moead_media
Prob-RVEA,RE21,4,0.20319955296297623,True,moead_media
Prob-RVEA,RE21,15,0.6369830649978054,True,moead_media
Prob-RVEA,RE21,3,0.15997327270147615,True,moead_media
Prob-RVEA,RE21,12,0.30323901682994225,True,moead_media
Prob-RVEA,RE21,2,0.293332828971382,True,moead_media
Prob-RVEA,RE21,13,0.39926018740980745,True,moead_media
Prob-RVEA,RE21,5,-0.18010520869991528,False,moead_media
Prob-RVEA,RE21,14,-0.3396113258850263,False,moead_media
Prob-RVEA,RE21,22,0.23400307427645572,True,moead_media
Prob-RVEA,RE21,25,-0.0822278327082088,False,moead_media
Prob-RVEA,WFG1,20,0.2478359618247583,True,moead_media
Prob-RVEA,WFG1,18,0.44746970003764125,True,moead_media
Prob-RVEA,WFG1,27,0.12020206773815963,True,moead_media
Prob-RVEA,WFG1,9,0.043360943853799835,True,moead_media
Prob-RVEA,WFG1,0,-0.004342444551218826,False,moead_media
Prob-RVEA,WFG1,11,0.45640969410670845,True,moead_media
Prob-RVEA,WFG1,7,0.045334506708752435,True,moead_media
Prob-RVEA,WFG1,16,0.09879634827248494,True,moead_media
Prob-RVEA,WFG1,42,0.023622427994402673,True,moead_media
Prob-RVEA,WFG1,6,0.4369726021664502,True,moead_media
Prob-RVEA,WFG1,28,0.09353740546241945,True,moead_media
Prob-RVEA,WFG1,17,0.4099210502138673,True,moead_media
Prob-RVEA,WFG1,1,-0.31813990395547287,False,moead_media
Prob-RVEA,WFG1,10,-0.45228684508503125,False,moead_media
Prob-RVEA,WFG1,19,-0.024945180995707292,False,moead_media
Prob-RVEA,WFG1,8,0.023068080716945574,True,moead_media
Prob-RVEA,WFG1,21,0.011205254877384342,True,moead_media
Prob-RVEA,WFG1,24,0.36491496522264966,True,moead_media
Prob-RVEA,WFG1,23,0.20697733749431063,True,moead_media
Prob-RVEA,WFG1,4,0.05665384082648094,True,moead_media
Prob-RVEA,WFG1,15,-0.0003889209883576954,False,moead_media
Prob-RVEA,WFG1,3,0.47253551675792277,True,moead_media
Prob-RVEA,WFG1,12,0.4634879421271971,True,moead_media
Prob-RVEA,WFG1,2,-0.1425062162176769,False,moead_media
Prob-RVEA,WFG1,13,0.047482742549385344,True,moead_media
Prob-RVEA,WFG1,5,0.2019995766886507,True,moead_media
Prob-RVEA,WFG1,14,0.18865021674774837,True,moead_media
Prob-RVEA,WFG1,22,-0.13092421069657212,False,moead_media
Prob-RVEA,WFG1,25,0.2474378989811722,True,moead_media
Prob-RVEA,WFG2,20,0.4291008960416038,True,moead_media
Prob-RVEA,WFG2,18,0.5364417376514764,True,moead_media
Prob-RVEA,WFG2,27,0.4816973157025231,True,moead_media
Prob-RVEA,WFG2,9,0.5489217448538505,True,moead_media
Prob-RVEA,WFG2,0,0.37938830663529327,True,moead_media
Prob-RVEA,WFG2,11,0.5750592769056212,True,moead_media
Prob-RVEA,WFG2,7,0.4554168435016805,True,moead_media
Prob-RVEA,WFG2,16,0.5187157885049712,True,moead_media
Prob-RVEA,WFG2,42,0.5071051278225162,True,moead_media
Prob-RVEA,WFG2,6,0.4300985887596055,True,moead_media
Prob-RVEA,WFG2,28,0.4484423343928558,True,moead_media
Prob-RVEA,WFG2,17,0.6103383980966985,True,moead_media
Prob-RVEA,WFG2,1,0.5118823081851008,True,moead_media
Prob-RVEA,WFG2,10,0.35378816233055094,True,moead_media
Prob-RVEA,WFG2,19,0.5538895041764572,True,moead_media
Prob-RVEA,WFG2,8,0.4588189412745603,True,moead_media
Prob-RVEA,WFG2,21,0.6919040959193177,True,moead_media
Prob-RVEA,WFG2,24,0.383335809378252,True,moead_media
Prob-RVEA,WFG2,23,0.45515635262223963,True,moead_media
Prob-RVEA,WFG2,4,0.5384854763404913,True,moead_media
Prob-RVEA,WFG2,15,0.5234190152925888,True,moead_media
Prob-RVEA,WFG2,3,0.5231412340568405,True,moead_media
Prob-RVEA,WFG2,12,0.421891062703028,True,moead_media
Prob-RVEA,WFG2,2,0.5437664429917262,True,moead_media
Prob-RVEA,WFG2,13,0.6677723328434618,True,moead_media
Prob-RVEA,WFG2,5,0.45389949222981774,True,moead_media
Prob-RVEA,WFG2,14,0.4863461220174977,True,moead_media
Prob-RVEA,WFG2,22,0.4566966096800087,True,moead_media
Prob-RVEA,WFG2,25,0.5614857463569564,True,moead_media
Prob-RVEA,WFG4,20,0.4852179558715294,True,moead_media
Prob-RVEA,WFG4,18,0.6516044219628687,True,moead_media
Prob-RVEA,WFG4,27,0.6112168227556186,True,moead_media
Prob-RVEA,WFG4,9,0.6469083370659662,True,moead_media
Prob-RVEA,WFG4,0,0.6134270903822,True,moead_media
Prob-RVEA,WFG4,11,0.19054327581386568,True,moead_media
Prob-RVEA,WFG4,7,0.6729358667619066,True,moead_media
Prob-RVEA,WFG4,16,0.22742883790845508,True,moead_media
Prob-RVEA,WFG4,42,0.6910590369501145,True,moead_media
Prob-RVEA,WFG4,6,0.6581482300882847,True,moead_media
Prob-RVEA,WFG4,28,-0.3937002150450222,False,moead_media
Prob-RVEA,WFG4,17,0.875693300715655,True,moead_media
Prob-RVEA,WFG4,1,0.2322979625991015,True,moead_media
Prob-RVEA,WFG4,10,0.16338238269442273,True,moead_media
Prob-RVEA,WFG4,19,0.2843611418778288,True,moead_media
Prob-RVEA,WFG4,8,0.5626990361767735,True,moead_media
Prob-RVEA,WFG4,21,0.48641585681905797,True,moead_media
Prob-RVEA,WFG4,24,0.20561843443989472,True,moead_media
Prob-RVEA,WFG4,23,0.44487986019923725,True,moead_media
Prob-RVEA,WFG4,4,0.6134465039659662,True,moead_media
Prob-RVEA,WFG4,15,-0.06792608555390496,False,moead_media
Prob-RVEA,WFG4,3,0.6071819226802773,True,moead_media
Prob-RVEA,WFG4,12,0.24579812539947515,True,moead_media
Prob-RVEA,WFG4,2,0.5689193059418016,True,moead_media
Prob-RVEA,WFG4,13,0.670175481729387,True,moead_media
Prob-RVEA,WFG4,5,-0.25747289456790634,False,moead_media
Prob-RVEA,WFG4,14,0.5303507780964297,True,moead_media
Prob-RVEA,WFG4,22,0.5084378664325999,True,moead_media
Prob-RVEA,WFG4,25,0.23561183713259146,True,moead_media
Prob-RVEA,WFG5,20,-0.8669544185475774,False,moead_media
Prob-RVEA,WFG5,18,-0.7073534340035997,False,moead_media
Prob-RVEA,WFG5,27,-0.13080640975319088,False,moead_media
Prob-RVEA,WFG5,9,-0.445741042163279,False,moead_media
Prob-RVEA,WFG5,0,-0.20405486248006938,False,moead_media
Prob-RVEA,WFG5,11,-1.0319761704084705,False,moead_media
