alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
K-RVEA,DTLZ7,,0.0,30,
K-RVEA,MMF1,0.000814283140970215,0.5333333333333333,30,0.5425279382616282
K-RVEA,MMF11_L,0.07817883594639904,0.9666666666666667,30,9.313225746154785e-09
K-RVEA,MMF16_20,0.1827278438970988,1.0,30,1.862645149230957e-09
K-RVEA,MMF4,0.05533837789886405,0.8666666666666667,30,9.98377799987793e-07
K-RVEA,RE21,0.1354931640697038,1.0,28,7.450580596923828e-09
K-RVEA,WFG1,1.0110581010615898,0.5666666666666667,30,
K-RVEA,WFG2,0.2821936351463529,1.0,30,1.862645149230957e-09
K-RVEA,WFG4,0.04083052131601233,0.8,30,0.0005054883658885956
K-RVEA,WFG5,1.2133300499717543,1.0,30,1.862645149230957e-09
K-RVEA,WFG9,0.27882483136526304,0.7666666666666667,30,7.056817412376404e-05
K-RVEA,ZDT1,,0.0,28,
K-RVEA,ZDT3,141.25786167248032,0.07142857142857142,28,
K-RVEA,ZDT4,,0.0,30,
K-RVEA,ZDT6,,0.0,30,
CSEA,BBOB_F1,-0.11269942530273452,0.06666666666666667,30,1.0244548320770264e-07
CSEA,BBOB_F17,-0.010255260180499708,0.2,30,0.00016989745199680328
CSEA,BBOB_F22,-0.18198705379388116,0.13333333333333333,30,1.3966113328933716e-05
CSEA,BBOB_F37,-0.1266417745587797,0.2,30,6.917864084243774e-06
CSEA,BBOB_F49,-0.02469409607270113,0.4666666666666667,30,0.2988441474735737
CSEA,BBOB_F5,-0.06600539571883665,0.27586206896551724,29,0.0027591250836849213
CSEA,BBOB_F55,-0.5046593634050276,0.2222222222222222,27,0.001686975359916687
CSEA,DDMOP7,0.0,0.34782608695652173,23,0.585958224177074
CSEA,DTLZ1,,0.0,30,
CSEA,DTLZ2,0.18560818571183646,0.7,30,0.0050126127898693085
CSEA,DTLZ3,,0.0,30,
CSEA,DTLZ4,-0.5082439342842133,0.23333333333333334,30,0.09366691927647336
CSEA,DTLZ7,-1.0,0.0,30,
CSEA,MMF1,0.005605888540604275,0.5333333333333333,30,0.7456546742469072
CSEA,MMF11_L,-0.012758497168352817,0.26666666666666666,30,0.044907208532094955
CSEA,MMF16_20,0.010628712592152355,0.6666666666666666,30,0.027741437777876854
CSEA,MMF4,-0.011619705570206841,0.26666666666666666,30,0.00466480478644371
CSEA,RE21,-0.01883123542419481,0.32142857142857145,28,0.006548762321472168
CSEA,WFG1,0.02528896096821945,0.75,28,0.0004249662160873413
CSEA,WFG2,-0.0575621186377698,0.06666666666666667,30,3.5390257835388184e-08
CSEA,WFG4,-0.05705690301600255,0.1,30,1.6838312149047852e-06
