label,obj,bloco_de,bloco_para,cob_de,cob_para,dcob,wape_de,wape_para,dwape,ls_med_de,ls_med_para,ls_razao,osc_de,osc_para,osc_razao,sig_de,sig_para
MMF11_L,0,12,14,1.0,1.0,0.0,0.0001370016749058,9.97673785365186e-05,-0.27177986250812664,3.465354843023708,3.564663309461154,1.0286575173210237,1.8509122533782962,1.883719156693863,1.0177247210156437,0.0003644036478362,0.0003398103290237
MMF11_L,0,14,16,1.0,1.0,0.0,9.97673785365186e-05,5.931974168241605e-05,-0.4054194612249654,3.564663309461154,3.654860458638871,1.0253031328199553,1.883719156693863,1.9163817363964657,1.0173394104883071,0.0003398103290237,0.0003276579664088
MMF4,0,8,10,0.926,0.9205,-0.00550000000000006,0.0167205631670676,0.0116510393734409,-0.30319097167800585,0.8376781097340017,0.8645966364316277,1.0321346903838442,0.7921908562537875,0.7909233739324338,0.9984000290948226,0.0125400684773921,0.0110327075235545
MMF4,0,28,30,0.9275,0.9485,0.02100000000000002,0.0065119510649294,0.0040085808250222,-0.3844270657052826,1.0058765616619088,1.6919080473530688,1.6820235323484416,0.5600712842127609,0.34179801614104677,0.6102759162549815,0.0053784048650413,0.004343727370724
MMF4,0,32,34,0.9265,0.94,0.013499999999999956,0.0055521885193674,0.0035890040179905,-0.35358750779603926,1.041622298798705,1.8191514033730778,1.746459734465258,0.5621945527209415,0.3396248150095088,0.6041054886885209,0.0044900965876877,0.0036251900019124
WFG2,1,306,308,0.9,0.9905,0.09050000000000002,0.1837157690097783,0.0368672483349382,-0.7993245297687215,0.678701363204874,2.5894677189841433,3.815327122309731,0.7863291248189171,0.3546790126942417,0.4510566905122843,0.6629753708839417,0.2694783359766006
ZDT3,1,524,526,0.851,0.9905,0.13950000000000007,0.085028301136845,0.01401475033937,-0.8351754633223286,1.5020543081944249,3.8000514711924174,2.5299028473613228,0.2623404069564122,0.2806136817672042,1.069654823756632,0.3175421357154846,0.135621041059494
ZDT6,0,18,20,0.949,0.9945,0.045500000000000096,0.092692714807687,0.0085711962595938,-0.9075310688938524,0.40669816531517744,1.7061571800231494,4.195143537716564,0.9567415067092573,0.2737840749664812,0.28616305767706285,0.1443979516625404,0.0412051696330308
q10_MMF16_20,0,110,112,0.9385,0.9995,0.061000000000000054,0.105743296133559,0.0063130413293308,-0.9402984249577664,1.5829391050993,9.508301825411897,6.006738853555221,0.1764536684318281,0.08130339200527527,0.460763398844759,0.1791478618979454,0.0223619313910603
q10_MMF16_20,1,134,136,0.915,0.999,0.08399999999999996,0.1031932990117792,0.0055973228019025,-0.9457588539614031,1.777876991729779,11.199004329769654,6.2990883969276315,0.16652667791823952,0.0758532202625146,0.4555019124308518,0.1568820625543594,0.0172821851447224
q10_MMF16_20,1,140,142,0.92,0.999,0.07899999999999996,0.1038946958654111,0.0053846437890401,-0.9481721011434928,1.7415020548005622,11.617893311046661,6.67119127366011,0.1696802474848249,0.0750718062111923,0.4424310273233556,0.1599402204155922,0.0163869746029377
q10_MMF16_20,2,52,54,0.9195,0.9985,0.07900000000000007,0.0979391499381276,0.0050715246331857,-0.948217595962497,1.4235231017813192,6.439805318032032,4.523850234656263,0.1476796229974166,0.056236690017253343,0.3808019608652245,0.2190857455134391,0.0286756390705704
q10_ZDT4,0,2,4,0.9885,0.9875,-0.0010000000000000009,0.0072534371344615,0.0049496578670724,-0.317612081649362,2.94469095460722,3.53650673212937,1.2009772117499136,0.07747109410007894,0.07067299488420231,0.9122498617730287,0.0083857364952564,0.005758908111602
q10_ZDT4,0,4,6,0.9875,0.987,-0.000500000000000056,0.0049496578670724,0.0034143930114497,-0.310175954955604,3.53650673212937,4.088239386790041,1.1560106332184092,0.07067299488420231,0.06162361835472274,0.871954251488748,0.005758908111602,0.0042216971050947
