label,exp,problema,obj,wape_infill,wape_sonda_fim,razao
MMF16_20,main,MMF16_20,1,0.20686081952061752,0.1052235865840748,1.9659168275482937
MMF16_20,main,MMF16_20,2,0.14439914071144713,0.1034460152014613,1.3958888646433558
MMF4,main,MMF4,0,0.014690604429224569,0.0028536716221948,5.147965980026045
MMF4,main,MMF4,1,0.3763937930326836,0.1595175074404617,2.359576695198606
WFG1,main,WFG1,0,0.006495347301448712,0.0028062193125891,2.314625685993129
WFG1,main,WFG1,1,0.025202479794280332,0.0088675353323729,2.842106498552434
WFG2,main,WFG2,0,0.04444367071296433,0.0394465116908373,1.1266818993094332
WFG2,main,WFG2,1,0.10235865774295497,0.0279847345579378,3.6576604838269295
WFG4,main,WFG4,0,0.05390540388018,0.0750728533894458,0.7180412285722225
WFG4,main,WFG4,1,0.09153931695226979,0.0436481598217877,2.097209076534228
WFG5,main,WFG5,0,0.0540865665546917,0.0220086650131593,2.4575123717114398
WFG5,main,WFG5,1,0.032769606738168866,0.029894556825773,1.096173023375185
WFG9,main,WFG9,0,0.22135209668273864,0.1996864772259651,1.1084981805365655
WFG9,main,WFG9,1,0.2056326678803668,0.214392581170587,0.9591407816334365
ZDT1,main,ZDT1,0,0.08917048160592943,0.0013318759112193,66.9510431525832
ZDT1,main,ZDT1,1,0.015166318380941774,0.0065119886923847,2.328984139465366
ZDT3,main,ZDT3,0,0.02438054759634179,0.0011708816661516,20.822383936093775
ZDT3,main,ZDT3,1,0.04016690154023265,0.0119025022400573,3.3746602798403913
ZDT4,main,ZDT4,0,0.08314653658215364,0.0012559212597102,66.2036221931138
ZDT4,main,ZDT4,1,0.12919051060107825,0.1196657561417449,1.07959465402994
ZDT6,main,ZDT6,0,0.06473996830498543,0.0008209559274554,78.85924949180973
ZDT6,main,ZDT6,1,0.0067863957255782275,0.003761731291434,1.8040618002226316
q10_DTLZ2,batch,DTLZ2,0,0.04340486355929816,0.0109044663723605,3.980466542527589
q10_DTLZ2,batch,DTLZ2,1,0.045167012537109905,0.0113049737250212,3.995322203813897
q10_DTLZ2,batch,DTLZ2,2,0.014383092277149482,0.0023681937216351,6.073444138353173
q10_MMF16_20,batch,MMF16_20,0,0.09621286689686119,0.0034854992852194,27.603754591160367
q10_MMF16_20,batch,MMF16_20,1,0.10274747497827362,0.0035516983832123,28.92911049652382
q10_MMF16_20,batch,MMF16_20,2,0.047852882918167215,0.0008860930252161,54.004355701250304
q10_WFG9,batch,WFG9,0,0.19743556373428697,0.1914276697392764,1.0313846687012034
q10_WFG9,batch,WFG9,1,0.18210347341672836,0.2025144990458399,0.899212028149691
q10_ZDT1,batch,ZDT1,0,0.007956390651047364,0.0003933049306838,20.229572604682026
q10_ZDT1,batch,ZDT1,1,0.009424726477139971,0.004536507431576,2.0775291607680195
q10_ZDT4,batch,ZDT4,0,0.002535932978841243,0.0001486114470593,17.064183338645087
q10_ZDT4,batch,ZDT4,1,0.13525864413536393,0.1277273209914892,1.0589640735076293
