label,exp,problema,obj,n,rho_dw_dls,rho_dw_dosc,rho_dcv_dls,rho_dsm_dosc,rho_dsm_dls,ls_ini,ls_fim,ls_razao,osc_ini,osc_fim,osc_razao,maior_queda_wape,ls_no_maior_salto,osc_no_maior_salto
MMF4,main,MMF4,1,20,-0.44360902255639095,-0.27669172932330827,-0.3126182568130592,0.016541353383458645,-0.6676691729323309,0.11652038769940254,0.12785435623795055,1.0972702611305003,1.1975019487137752,1.2628701291140214,1.054587118184198,-0.09586328473484795,0.09446143599674528,0.0006374588622499733
WFG1,main,WFG1,0,220,-0.42144672410587,0.43927241171399106,-0.019388636366558396,0.5950423468554008,-0.6589407369423486,1.2622338776572617,1.8412841441315235,1.4587503763953744,0.2827363176676998,0.17893627643952048,0.6328733355359901,-0.020849822369968685,0.03956964878562197,-0.03483925698087331
WFG1,main,WFG1,1,220,-0.31566241977200876,0.2735601223917098,-0.06597603482461757,0.2559023571110598,-0.5247178285050969,0.971473971208273,1.5481573916905,1.593616954826876,0.5701091325585751,0.2220994200779144,0.3895735174091341,-0.048235471607680935,0.019116694347849073,-0.00985147176799539
WFG2,main,WFG2,0,220,-0.22940443923522086,-0.048855254334706395,-0.27245976242099124,0.333323566039118,-0.815469140046094,1.5703364010340446,1.9441132485566543,1.2380234243290056,0.1548885638999978,0.11439094460956604,0.7385370599950902,-0.013224568458627406,0.0007461907142660706,0.007953719571454965
WFG2,main,WFG2,1,220,-0.46124656970748834,0.6238539864647842,-0.04374866620590693,0.7263294320506246,-0.6273972602739726,0.42217196527402495,3.1866693140376294,7.548273159183401,0.9851608722687109,0.16918959498884095,0.171738037666089,-1.6060662517193112,1.3390264074063447,-0.7961622477952106
WFG4,main,WFG4,0,220,-0.33455537210573466,0.2590917543375239,-0.0253281477504075,0.6397333528679218,-0.7722601330981669,1.246040946892594,1.6977527461102375,1.3625176205839247,0.32114604709607636,0.16288093500025397,0.5071864856288433,-0.020825807544853525,0.006278646618476602,0.006441843322376739
WFG4,main,WFG4,1,220,-0.3853355347311834,0.29799676552295407,-0.10011750027212948,0.4678361123163702,-0.6404411060333703,1.2342774071708023,1.7517813230846004,1.4192768278081143,0.4087532885686927,0.17009029278347912,0.4161196925878548,-0.020130366371264863,0.012856469730582076,0.018629807972203816
WFG5,main,WFG5,0,220,-0.25394363895572597,0.10233457115004255,-0.0007841294003098645,0.5582324202791568,-0.6135014059268692,1.5327962318158554,2.56214500978345,1.6715496532426608,0.2586352604746542,0.10576506315514261,0.4089352045851745,-0.0362440813251097,0.00937090927296269,0.007185455347509029
WFG5,main,WFG5,1,220,-0.34891104061128236,0.26898339372150815,-0.06629692553562826,0.6041462163944032,-0.6266230143748274,1.442896517745583,2.23953396926369,1.5521098995808742,0.22338169345078238,0.11077173331783843,0.4958854577859342,-0.031749355504874455,0.002669472284468122,0.005451586735659486
WFG9,main,WFG9,0,220,-0.5948823134963344,0.29404890033415415,-0.4516334131803589,0.7222136445343535,-0.7459921223015502,0.586511448110285,0.9360488089658726,1.5959599969988347,0.9269382269159275,0.6166696277234373,0.6652758617747336,-0.012562139539659567,0.055404318578542444,-0.02095397935234014
