problema,it,R,best,n_dup
BBOB_F1,185,50,4,0
BBOB_F1,186,50,17,0
BBOB_F1,187,50,37,0
BBOB_F1,188,50,10,0
BBOB_F1,189,50,29,0
BBOB_F1,190,50,8,0
BBOB_F1,191,50,8,0
BBOB_F1,192,50,4,0
BBOB_F1,193,50,45,0
BBOB_F1,194,50,21,0
BBOB_F1,195,50,1,0
BBOB_F1,196,50,14,0
BBOB_F1,197,50,21,0
BBOB_F1,198,50,17,0
BBOB_F1,199,50,4,0
BBOB_F1,200,50,4,0
BBOB_F1,201,50,0,0
BBOB_F17,1,50,39,0
BBOB_F17,2,50,1,0
BBOB_F17,3,50,3,0
BBOB_F17,4,50,35,0
BBOB_F17,5,50,41,0
BBOB_F17,6,50,47,0
BBOB_F17,7,50,32,0
BBOB_F17,8,50,19,0
BBOB_F17,9,50,41,0
BBOB_F17,10,50,49,0
BBOB_F17,11,50,40,0
BBOB_F17,12,50,26,0
BBOB_F17,13,50,12,0
BBOB_F17,14,50,22,0
BBOB_F17,15,50,11,0
BBOB_F17,16,50,32,0
BBOB_F17,17,50,22,0
BBOB_F17,18,50,2,0
BBOB_F17,19,50,39,0
BBOB_F17,20,50,6,0
BBOB_F17,21,50,25,0
BBOB_F17,22,50,22,0
BBOB_F17,23,50,0,0
BBOB_F17,24,50,15,0
BBOB_F17,25,50,8,0
BBOB_F17,26,50,1,0
BBOB_F17,27,50,5,0
BBOB_F17,28,50,49,0
BBOB_F17,29,50,44,0
BBOB_F17,30,50,10,0
BBOB_F17,31,50,27,0
BBOB_F17,32,50,20,0
BBOB_F17,33,50,41,0
BBOB_F17,34,50,3,0
BBOB_F17,35,50,15,0
BBOB_F17,36,50,11,0
BBOB_F17,37,50,7,0
BBOB_F17,38,50,29,0
BBOB_F17,39,50,14,0
BBOB_F17,40,50,25,0
BBOB_F17,41,50,14,0
BBOB_F17,42,50,41,0
BBOB_F17,43,50,1,0
BBOB_F17,44,50,13,0
BBOB_F17,45,50,15,0
BBOB_F17,46,50,15,0
BBOB_F17,47,50,12,0
BBOB_F17,48,50,40,0
BBOB_F17,49,50,29,0
BBOB_F17,50,50,3,0
BBOB_F17,51,50,25,0
BBOB_F17,52,50,32,0
BBOB_F17,53,50,35,0
BBOB_F17,54,50,38,0
BBOB_F17,55,50,13,0
BBOB_F17,56,50,21,0
BBOB_F17,57,50,33,0
BBOB_F17,58,50,25,0
BBOB_F17,59,50,20,0
BBOB_F17,60,50,41,0
BBOB_F17,61,50,7,0
BBOB_F17,62,50,0,0
BBOB_F17,63,50,11,0
BBOB_F17,64,50,43,0
BBOB_F17,65,50,3,0
BBOB_F17,66,50,3,0
BBOB_F17,67,50,41,0
BBOB_F17,68,50,21,0
BBOB_F17,69,50,33,0
BBOB_F17,70,50,44,0
BBOB_F17,71,50,1,0
BBOB_F17,72,50,3,0
BBOB_F17,73,50,24,0
BBOB_F17,74,50,21,0
BBOB_F17,75,50,4,0
BBOB_F17,76,50,8,0
BBOB_F17,77,50,2,0
BBOB_F17,78,50,47,0
BBOB_F17,79,50,5,0
BBOB_F17,80,50,48,0
BBOB_F17,81,50,32,0
BBOB_F17,82,50,7,0
BBOB_F17,83,50,48,0
BBOB_F17,84,50,49,0
BBOB_F17,85,50,28,0
BBOB_F17,86,50,13,0
BBOB_F17,87,50,43,0
BBOB_F17,88,50,5,0
BBOB_F17,89,50,6,0
BBOB_F17,90,50,32,0
BBOB_F17,91,50,3,0
BBOB_F17,92,50,45,0
BBOB_F17,93,50,1,0
BBOB_F17,94,50,40,0
BBOB_F17,95,50,28,0
BBOB_F17,96,50,13,0
BBOB_F17,97,50,34,0
BBOB_F17,98,50,8,0
BBOB_F17,99,50,20,0
BBOB_F17,100,50,36,0
BBOB_F17,101,50,10,0
BBOB_F17,102,50,11,0
BBOB_F17,103,50,22,0
BBOB_F17,104,50,19,0
BBOB_F17,105,50,4,0
BBOB_F17,106,50,23,0
BBOB_F17,107,50,37,0
BBOB_F17,108,50,11,0
BBOB_F17,109,50,4,0
BBOB_F17,110,50,31,0
BBOB_F17,111,50,2,0
BBOB_F17,112,50,7,0
BBOB_F17,113,50,33,0
BBOB_F17,114,50,25,0
BBOB_F17,115,50,47,0
BBOB_F17,116,50,31,0
BBOB_F17,117,50,38,0
BBOB_F17,118,50,27,0
BBOB_F17,119,50,49,0
BBOB_F17,120,50,8,0
BBOB_F17,121,50,41,0
BBOB_F17,122,50,35,0
BBOB_F17,123,50,24,0
BBOB_F17,124,50,25,0
BBOB_F17,125,50,8,0
BBOB_F17,126,50,23,0
BBOB_F17,127,50,18,0
BBOB_F17,128,50,19,0
BBOB_F17,129,50,6,0
BBOB_F17,130,50,43,0
BBOB_F17,131,50,7,0
BBOB_F17,132,50,29,0
BBOB_F17,133,50,36,0
BBOB_F17,134,50,12,0
BBOB_F17,135,50,11,0
BBOB_F17,136,50,2,0
BBOB_F17,137,50,46,0
BBOB_F17,138,50,33,0
BBOB_F17,139,50,36,0
BBOB_F17,140,50,0,0
BBOB_F17,141,50,14,0
BBOB_F17,142,50,26,0
BBOB_F17,143,50,3,0
BBOB_F17,144,50,21,0
BBOB_F17,145,50,43,0
BBOB_F17,146,50,19,0
BBOB_F17,147,50,36,0
BBOB_F17,148,50,40,0
BBOB_F17,149,50,13,0
BBOB_F17,150,50,5,0
BBOB_F17,151,50,13,0
BBOB_F17,152,50,39,0
BBOB_F17,153,50,1,0
BBOB_F17,154,50,39,0
BBOB_F17,155,50,35,0
BBOB_F17,156,50,21,0
BBOB_F17,157,50,46,0
BBOB_F17,158,50,39,0
BBOB_F17,159,50,7,0
BBOB_F17,160,50,8,0
BBOB_F17,161,50,25,0
BBOB_F17,162,50,20,0
BBOB_F17,163,50,33,0
BBOB_F17,164,50,9,0
BBOB_F17,165,50,4,0
BBOB_F17,166,50,33,0
BBOB_F17,167,50,44,0
BBOB_F17,168,50,41,0
BBOB_F17,169,50,18,0
BBOB_F17,170,50,7,0
BBOB_F17,171,50,39,0
BBOB_F17,172,50,46,0
BBOB_F17,173,50,7,0
BBOB_F17,174,50,45,0
BBOB_F17,175,50,31,0
BBOB_F17,176,50,24,0
BBOB_F17,177,50,10,0
BBOB_F17,178,50,1,0
BBOB_F17,179,50,36,0
BBOB_F17,180,50,6,0
BBOB_F17,181,50,4,0
BBOB_F17,182,50,36,0
BBOB_F17,183,50,9,0
BBOB_F17,184,50,13,0
BBOB_F17,185,50,43,0
BBOB_F17,186,50,26,0
BBOB_F17,187,50,48,0
BBOB_F17,188,50,28,0
BBOB_F17,189,50,19,0
BBOB_F17,190,50,8,0
BBOB_F17,191,50,31,0
BBOB_F17,192,50,35,0
BBOB_F17,193,50,41,0
BBOB_F17,194,50,45,0
BBOB_F17,195,50,20,0
BBOB_F17,196,50,30,0
BBOB_F17,197,50,36,0
BBOB_F17,198,50,24,0
BBOB_F17,199,50,19,0
BBOB_F17,200,50,3,0
BBOB_F17,201,50,25,0
BBOB_F22,1,50,21,0
BBOB_F22,2,50,48,0
BBOB_F22,3,50,30,0
BBOB_F22,4,50,48,0
BBOB_F22,5,50,5,0
BBOB_F22,6,50,33,0
BBOB_F22,7,50,45,0
BBOB_F22,8,50,19,0
BBOB_F22,9,50,25,0
BBOB_F22,10,50,3,0
BBOB_F22,11,50,34,0
BBOB_F22,12,50,23,0
BBOB_F22,13,50,17,0
BBOB_F22,14,50,30,0
BBOB_F22,15,50,4,0
BBOB_F22,16,50,46,0
BBOB_F22,17,50,23,0
BBOB_F22,18,50,8,0
BBOB_F22,19,50,2,0
BBOB_F22,20,50,9,0
BBOB_F22,21,50,33,0
BBOB_F22,22,50,33,0
BBOB_F22,23,50,6,0
BBOB_F22,24,50,7,0
BBOB_F22,25,50,30,0
BBOB_F22,26,50,31,0
BBOB_F22,27,50,17,0
BBOB_F22,28,50,29,0
BBOB_F22,29,50,0,0
BBOB_F22,30,50,40,0
BBOB_F22,31,50,20,0
BBOB_F22,32,50,37,0
BBOB_F22,33,50,46,0
BBOB_F22,34,50,20,0
BBOB_F22,35,50,17,0
BBOB_F22,36,50,1,0
BBOB_F22,37,50,29,0
BBOB_F22,38,50,3,0
BBOB_F22,39,50,1,0
BBOB_F22,40,50,0,0
BBOB_F22,41,50,6,0
BBOB_F22,42,50,22,0
BBOB_F22,43,50,29,0
BBOB_F22,44,50,1,0
BBOB_F22,45,50,0,0
BBOB_F22,46,50,3,0
BBOB_F22,47,50,23,0
BBOB_F22,48,50,0,0
BBOB_F22,49,50,27,0
BBOB_F22,50,50,6,0
BBOB_F22,51,50,30,0
BBOB_F22,52,50,3,0
BBOB_F22,53,50,4,0
BBOB_F22,54,50,37,0
BBOB_F22,55,50,42,0
BBOB_F22,56,50,3,0
BBOB_F22,57,50,4,0
BBOB_F22,58,50,36,0
BBOB_F22,59,50,36,0
BBOB_F22,60,50,0,0
BBOB_F22,61,50,28,0
BBOB_F22,62,50,12,0
BBOB_F22,63,50,0,0
BBOB_F22,64,50,9,0
BBOB_F22,65,50,17,0
BBOB_F22,66,50,0,0
BBOB_F22,67,50,13,0
BBOB_F22,68,50,37,0
BBOB_F22,69,50,14,0
BBOB_F22,70,50,46,0
BBOB_F22,71,50,2,0
BBOB_F22,72,50,27,0
BBOB_F22,73,50,0,0
BBOB_F22,74,50,9,0
BBOB_F22,75,50,36,0
BBOB_F22,76,50,12,0
BBOB_F22,77,50,41,0
BBOB_F22,78,50,40,0
BBOB_F22,79,50,15,0
BBOB_F22,80,50,17,0
BBOB_F22,81,50,16,0
BBOB_F22,82,50,5,0
BBOB_F22,83,50,19,0
BBOB_F22,84,50,20,0
BBOB_F22,85,50,0,0
BBOB_F22,86,50,25,0
BBOB_F22,87,50,0,0
BBOB_F22,88,50,6,0
BBOB_F22,89,50,3,0
BBOB_F22,90,50,5,0
BBOB_F22,91,50,46,0
BBOB_F22,92,50,13,0
BBOB_F22,93,50,17,0
BBOB_F22,94,50,2,0
BBOB_F22,95,50,1,0
BBOB_F22,96,50,13,0
BBOB_F22,97,50,15,0
BBOB_F22,98,50,26,0
BBOB_F22,99,50,23,0
BBOB_F22,100,50,0,0
BBOB_F22,101,50,20,0
BBOB_F22,102,50,30,0
BBOB_F22,103,50,49,0
BBOB_F22,104,50,24,0
BBOB_F22,105,50,24,0
BBOB_F22,106,50,1,0
BBOB_F22,107,50,21,0
BBOB_F22,108,50,27,0
BBOB_F22,109,50,44,0
BBOB_F22,110,50,8,0
BBOB_F22,111,50,8,0
BBOB_F22,112,50,47,0
BBOB_F22,113,50,12,0
BBOB_F22,114,50,0,0
BBOB_F22,115,50,36,0
BBOB_F22,116,50,13,0
BBOB_F22,117,50,35,0
BBOB_F22,118,50,20,0
BBOB_F22,119,50,11,0
BBOB_F22,120,50,22,0
BBOB_F22,121,50,11,0
BBOB_F22,122,50,13,0
BBOB_F22,123,50,39,0
BBOB_F22,124,50,46,0
BBOB_F22,125,50,27,0
BBOB_F22,126,50,30,0
BBOB_F22,127,50,19,0
BBOB_F22,128,50,19,0
BBOB_F22,129,50,24,0
BBOB_F22,130,50,46,0
BBOB_F22,131,50,6,0
BBOB_F22,132,50,17,0
BBOB_F22,133,50,2,0
BBOB_F22,134,50,31,0
BBOB_F22,135,50,20,0
BBOB_F22,136,50,13,0
BBOB_F22,137,50,13,0
BBOB_F22,138,50,4,0
BBOB_F22,139,50,34,0
BBOB_F22,140,50,12,0
BBOB_F22,141,50,6,0
BBOB_F22,142,50,43,0
BBOB_F22,143,50,4,0
BBOB_F22,144,50,20,0
BBOB_F22,145,50,46,0
BBOB_F22,146,50,0,0
BBOB_F22,147,50,12,0
BBOB_F22,148,50,38,0
BBOB_F22,149,50,42,0
BBOB_F22,150,50,20,0
BBOB_F22,151,50,24,0
BBOB_F22,152,50,0,0
BBOB_F22,153,50,41,0
BBOB_F22,154,50,8,0
BBOB_F22,155,50,4,0
BBOB_F22,156,50,17,0
BBOB_F22,157,50,11,0
BBOB_F22,158,50,36,0
BBOB_F22,159,50,31,0
BBOB_F22,160,50,47,0
BBOB_F22,161,50,20,0
BBOB_F22,162,50,13,0
BBOB_F22,163,50,30,0
BBOB_F22,164,50,23,0
BBOB_F22,165,50,0,0
BBOB_F22,166,50,1,0
BBOB_F22,167,50,17,0
BBOB_F22,168,50,25,0
BBOB_F22,169,50,2,0
BBOB_F22,170,50,5,0
BBOB_F22,171,50,11,0
BBOB_F22,172,50,18,0
BBOB_F22,173,50,12,0
BBOB_F22,174,50,11,0
BBOB_F22,175,50,7,0
BBOB_F22,176,50,17,0
BBOB_F22,177,50,6,0
BBOB_F22,178,50,39,0
BBOB_F22,179,50,28,0
BBOB_F22,180,50,3,0
BBOB_F22,181,50,40,0
BBOB_F22,182,50,39,0
BBOB_F22,183,50,25,0
BBOB_F22,184,50,26,0
BBOB_F22,185,50,17,0
BBOB_F22,186,50,37,0
BBOB_F22,187,50,12,0
BBOB_F22,188,50,2,0
BBOB_F22,189,50,32,0
BBOB_F22,190,50,19,0
BBOB_F22,191,50,32,0
BBOB_F22,192,50,0,0
BBOB_F22,193,50,45,0
BBOB_F22,194,50,41,0
BBOB_F22,195,50,0,0
BBOB_F22,196,50,34,0
BBOB_F22,197,50,3,0
BBOB_F22,198,50,29,0
BBOB_F22,199,50,40,0
BBOB_F22,200,50,11,0
BBOB_F22,201,50,1,0
BBOB_F37,1,50,38,0
BBOB_F37,2,50,20,0
BBOB_F37,3,50,37,0
BBOB_F37,4,50,38,0
BBOB_F37,5,50,6,0
BBOB_F37,6,50,23,0
BBOB_F37,7,50,0,0
BBOB_F37,8,50,31,0
BBOB_F37,9,50,7,0
BBOB_F37,10,50,33,0
BBOB_F37,11,50,32,0
BBOB_F37,12,50,27,0
BBOB_F37,13,50,37,0
BBOB_F37,14,50,18,0
BBOB_F37,15,50,30,0
BBOB_F37,16,50,17,0
BBOB_F37,17,50,29,0
BBOB_F37,18,50,18,0
BBOB_F37,19,50,36,0
BBOB_F37,20,50,9,0
BBOB_F37,21,50,21,0
BBOB_F37,22,50,42,0
BBOB_F37,23,50,26,0
BBOB_F37,24,50,40,0
BBOB_F37,25,50,27,0
BBOB_F37,26,50,49,0
BBOB_F37,27,50,39,0
BBOB_F37,28,50,18,0
BBOB_F37,29,50,43,0
BBOB_F37,30,50,6,0
BBOB_F37,31,50,36,0
BBOB_F37,32,50,44,0
BBOB_F37,33,50,23,0
BBOB_F37,34,50,30,0
BBOB_F37,35,50,22,0
BBOB_F37,36,50,1,0
BBOB_F37,37,50,37,0
BBOB_F37,38,50,23,0
BBOB_F37,39,50,43,0
BBOB_F37,40,50,36,0
BBOB_F37,41,50,13,0
BBOB_F37,42,50,30,0
BBOB_F37,43,50,6,0
BBOB_F37,44,50,10,0
BBOB_F37,45,50,19,0
BBOB_F37,46,50,15,0
BBOB_F37,47,50,3,0
BBOB_F37,48,50,33,0
BBOB_F37,49,50,9,0
BBOB_F37,50,50,1,0
BBOB_F37,51,50,4,0
BBOB_F37,52,50,44,0
BBOB_F37,53,50,0,0
BBOB_F37,54,50,40,0
BBOB_F37,55,50,17,0
BBOB_F37,56,50,11,0
BBOB_F37,57,50,18,0
BBOB_F37,58,50,36,0
BBOB_F37,59,50,47,0
BBOB_F37,60,50,36,0
BBOB_F37,61,50,3,0
BBOB_F37,62,50,8,0
BBOB_F37,63,50,34,0
BBOB_F37,64,50,11,0
BBOB_F37,65,50,13,0
BBOB_F37,66,50,5,0
BBOB_F37,67,50,32,0
BBOB_F37,68,50,30,0
BBOB_F37,69,50,40,0
BBOB_F37,70,50,4,0
BBOB_F37,71,50,2,0
BBOB_F37,72,50,47,0
BBOB_F37,73,50,29,0
BBOB_F37,74,50,11,0
BBOB_F37,75,50,7,0
BBOB_F37,76,50,25,0
BBOB_F37,77,50,13,0
BBOB_F37,78,50,10,0
BBOB_F37,79,50,0,0
BBOB_F37,80,50,21,0
BBOB_F37,81,50,10,0
BBOB_F37,82,50,2,0
BBOB_F37,83,50,35,0
BBOB_F37,84,50,1,0
BBOB_F37,85,50,8,0
BBOB_F37,86,50,37,0
BBOB_F37,87,50,18,0
BBOB_F37,88,50,17,0
BBOB_F37,89,50,20,0
BBOB_F37,90,50,26,0
BBOB_F37,91,50,17,0
BBOB_F37,92,50,1,0
BBOB_F37,93,50,0,0
BBOB_F37,94,50,4,0
BBOB_F37,95,50,17,0
BBOB_F37,96,50,1,0
BBOB_F37,97,50,7,0
BBOB_F37,98,50,17,0
BBOB_F37,99,50,32,0
BBOB_F37,100,50,3,0
BBOB_F37,101,50,7,0
BBOB_F37,102,50,32,0
BBOB_F37,103,50,25,0
BBOB_F37,104,50,6,0
BBOB_F37,105,50,43,0
BBOB_F37,106,50,37,0
BBOB_F37,107,50,13,0
BBOB_F37,108,50,34,0
BBOB_F37,109,50,10,0
BBOB_F37,110,50,0,0
BBOB_F37,111,50,15,0
BBOB_F37,112,50,22,0
BBOB_F37,113,50,1,0
BBOB_F37,114,50,21,0
BBOB_F37,115,50,30,0
BBOB_F37,116,50,2,0
BBOB_F37,117,50,12,0
BBOB_F37,118,50,9,0
BBOB_F37,119,50,1,0
BBOB_F37,120,50,0,0
BBOB_F37,121,50,1,0
BBOB_F37,122,50,16,0
BBOB_F37,123,50,13,0
BBOB_F37,124,50,48,0
BBOB_F37,125,50,4,0
BBOB_F37,126,50,6,0
BBOB_F37,127,50,36,0
BBOB_F37,128,50,15,0
BBOB_F37,129,50,1,0
BBOB_F37,130,50,2,0
BBOB_F37,131,50,2,0
BBOB_F37,132,50,19,0
BBOB_F37,133,50,2,0
BBOB_F37,134,50,48,0
BBOB_F37,135,50,19,0
BBOB_F37,136,50,33,0
BBOB_F37,137,50,42,0
BBOB_F37,138,50,3,0
BBOB_F37,139,50,27,0
BBOB_F37,140,50,0,0
BBOB_F37,141,50,34,0
BBOB_F37,142,50,2,0
BBOB_F37,143,50,1,0
BBOB_F37,144,50,20,0
BBOB_F37,145,50,15,0
BBOB_F37,146,50,5,0
BBOB_F37,147,50,0,0
BBOB_F37,148,50,36,0
BBOB_F37,149,50,21,0
BBOB_F37,150,50,15,0
BBOB_F37,151,50,26,0
BBOB_F37,152,50,6,0
BBOB_F37,153,50,5,0
BBOB_F37,154,50,14,0
BBOB_F37,155,50,27,0
BBOB_F37,156,50,31,0
BBOB_F37,157,50,2,0
BBOB_F37,158,50,4,0
BBOB_F37,159,50,5,0
BBOB_F37,160,50,45,0
BBOB_F37,161,50,33,0
BBOB_F37,162,50,5,0
BBOB_F37,163,50,16,0
BBOB_F37,164,50,44,0
BBOB_F37,165,50,11,0
BBOB_F37,166,50,0,0
BBOB_F37,167,50,47,0
BBOB_F37,168,50,9,0
BBOB_F37,169,50,6,0
BBOB_F37,170,50,31,0
BBOB_F37,171,50,7,0
BBOB_F37,172,50,10,0
BBOB_F37,173,50,3,0
BBOB_F37,174,50,30,0
BBOB_F37,175,50,32,0
BBOB_F37,176,50,45,0
BBOB_F37,177,50,44,0
BBOB_F37,178,50,0,0
BBOB_F37,179,50,10,0
BBOB_F37,180,50,0,0
BBOB_F37,181,50,10,0
BBOB_F37,182,50,1,0
BBOB_F37,183,50,9,0
BBOB_F37,184,50,26,0
BBOB_F37,185,50,32,0
BBOB_F37,186,50,21,0
BBOB_F37,187,50,49,0
BBOB_F37,188,50,22,0
BBOB_F37,189,50,18,0
BBOB_F37,190,50,3,0
BBOB_F37,191,50,12,0
BBOB_F37,192,50,1,0
BBOB_F37,193,50,7,0
BBOB_F37,194,50,4,0
BBOB_F37,195,50,5,0
BBOB_F37,196,50,8,0
BBOB_F37,197,50,0,0
BBOB_F37,198,50,16,0
BBOB_F37,199,50,16,0
BBOB_F37,200,50,20,0
BBOB_F37,201,50,19,0
BBOB_F49,1,50,19,0
BBOB_F49,2,50,24,0
BBOB_F49,3,50,20,0
BBOB_F49,4,50,1,0
BBOB_F49,5,50,40,0
BBOB_F49,6,50,12,0
BBOB_F49,7,50,0,0
BBOB_F49,8,50,35,0
BBOB_F49,9,50,48,0
BBOB_F49,10,50,20,0
BBOB_F49,11,50,4,0
BBOB_F49,12,50,49,0
BBOB_F49,13,50,34,0
BBOB_F49,14,50,13,0
BBOB_F49,15,50,43,0
BBOB_F49,16,50,3,0
BBOB_F49,17,50,17,0
BBOB_F49,18,50,2,0
BBOB_F49,19,50,34,0
BBOB_F49,20,50,1,0
BBOB_F49,21,50,1,0
BBOB_F49,22,50,49,0
BBOB_F49,23,50,38,0
BBOB_F49,24,50,10,0
BBOB_F49,25,50,15,0
BBOB_F49,26,50,37,0
BBOB_F49,27,50,13,0
BBOB_F49,28,50,22,0
BBOB_F49,29,50,26,0
BBOB_F49,30,50,42,0
BBOB_F49,31,50,26,0
BBOB_F49,32,50,36,0
BBOB_F49,33,50,30,0
BBOB_F49,34,50,3,0
BBOB_F49,35,50,47,0
BBOB_F49,36,50,20,0
BBOB_F49,37,50,35,0
BBOB_F49,38,50,2,0
BBOB_F49,39,50,38,0
BBOB_F49,40,50,8,0
BBOB_F49,41,50,0,0
BBOB_F49,42,50,1,0
BBOB_F49,43,50,0,0
BBOB_F49,44,50,3,0
BBOB_F49,45,50,9,0
BBOB_F49,46,50,28,0
BBOB_F49,47,50,15,0
BBOB_F49,48,50,5,0
BBOB_F49,49,50,49,0
BBOB_F49,50,50,45,0
BBOB_F49,51,50,5,0
BBOB_F49,52,50,0,0
BBOB_F49,53,50,9,0
BBOB_F49,54,50,1,0
BBOB_F49,55,50,5,0
BBOB_F49,56,50,8,0
BBOB_F49,57,50,5,0
BBOB_F49,58,50,5,0
BBOB_F49,59,50,47,0
BBOB_F49,60,50,36,0
BBOB_F49,61,50,28,0
BBOB_F49,62,50,30,0
BBOB_F49,63,50,5,0
BBOB_F49,64,50,44,0
BBOB_F49,65,50,37,0
BBOB_F49,66,50,0,0
BBOB_F49,67,50,23,0
BBOB_F49,68,50,21,0
BBOB_F49,69,50,3,0
