exp,prob,D,M,n,U7_viol_fitbusca,n_soma_com_sonda_excede,excedentes_sao_sonda,n_blocos_sonda,slope_ms,r2_lin,razao_tempo,razao_n,expoente,fit_frac,busca_med_s,fit_med_s,fit_por_rede_por_epoca_ms
main,DTLZ4,12,3,240,0,121,True,121,65.20627614874338,0.9883663780429339,2.850415979063802,2.8244274809160306,1.008821350892946,0.6214967818311329,10.14094591140747,16.820310592651367,28.033850987752277
main,DTLZ7,22,3,440,0,220,True,221,64.61560826075718,0.9902715099335611,2.7456923137716087,2.8215767634854774,0.9737176118970542,0.7353790138973365,10.880229949951172,30.22768211364746,50.37947018941244
main,MMF1,2,2,40,0,21,True,21,64.59994691845178,0.9395568263855018,2.5874389050608446,2.857142857142857,0.9055520212017015,0.2498044485635383,9.180851936340332,3.0619577169418335,5.103262861569721
main,MMF11_L,2,2,40,0,21,True,21,63.356813950565474,0.939315891794433,2.5572924548857343,2.857142857142857,0.8943887179356459,0.24947780141831508,9.223912239074707,3.0620557069778442,5.103426178296408
main,MMF16_20,20,3,400,0,201,True,201,62.518329068269885,0.9919302361338173,2.7855383334803374,2.8219178082191783,0.9874924173513939,0.7167588242617415,10.797850131988525,27.86758327484131,46.44597212473552
main,MMF4,2,2,40,0,21,True,21,64.5546772913906,0.9424583157443953,2.533456216727502,2.857142857142857,0.8854685402011649,0.2422614849419249,9.342501640319824,3.0380783081054688,5.063463846842447
main,WFG1,22,2,440,0,220,True,221,60.98835445523904,0.9875237847459236,2.7417903884056303,2.8215767634854774,0.9723466252773848,0.7371801241028636,10.638694286346436,29.97043800354004,49.95073000590007
main,WFG2,22,2,440,0,221,True,221,64.58169091610888,0.991370066682012,2.8799890789551275,2.8215767634854774,1.01975389869893,0.7379371670499232,10.68436861038208,30.139195442199707,50.23199240366618
main,WFG4,22,2,440,0,220,True,221,63.77595185951727,0.9914520336687841,2.8450657223013422,2.8215767634854774,1.0079922266143317,0.737603627692786,10.667707920074463,29.72038173675537,49.53396956125896
main,WFG5,22,2,440,0,221,True,221,64.90498097752943,0.9886480687444926,2.9597669357722083,2.8215767634854774,1.0460954914309413,0.737076038021637,10.711494445800781,29.799113273620605,49.665188789367676
main,WFG9,22,2,440,0,221,True,221,63.606767779710246,0.9893223618830048,2.816386074914908,2.8215767634854774,0.9982248697050974,0.7351357851126331,10.822096347808838,30.279434204101562,50.465723673502595
main,ZDT1,30,2,600,0,301,True,301,61.900290749495056,0.933931768950184,2.75532900047328,2.8206686930091185,0.9773985388807266,0.7862051519303196,11.12650728225708,41.979475021362305,69.96579170227051
main,ZDT3,30,2,600,0,301,True,301,61.8318142183528,0.9156313405229994,2.707890478675314,2.8206686930091185,0.9606508243053652,0.7866360200243779,11.106693267822266,41.829519271850586,69.7158654530843
main,ZDT4,10,2,200,0,101,True,101,64.3365097975754,0.9941950866802486,2.799505910695116,2.8256880733944953,0.9910383224390626,0.5922791744534776,9.674039363861084,14.067553520202637,23.44592253367106
main,ZDT6,10,2,200,0,101,True,101,65.11388410606718,0.993848797232812,2.680469857553321,2.8256880733944953,0.9492084668456207,0.5916480469241898,9.729553699493408,14.034968376159668,23.391613960266117
batch,DTLZ2,12,3,200,0,101,True,101,56.633495486454095,0.9994042163561606,15.076214856194527,16.19083969465649,0.9743836605325423,0.8690104663307808,9.91228199005127,66.09132385253906,110.15220642089842
batch,MMF16_20,20,3,200,0,101,True,101,57.60067931489734,0.998556862825133,9.114124731284162,10.08675799086758,0.9561279571906373,0.8740561060618828,10.527351379394531,73.6287956237793,122.7146593729655
batch,WFG9,22,2,200,0,1,True,101,56.43187792253075,0.9987968611851026,8.605973693620669,9.257261410788383,0.9672187415858841,0.8761144321371203,10.341992378234863,73.6568603515625,122.76143391927083
batch,ZDT1,30,2,200,0,101,True,101,56.582418958629134,0.9990314262555511,6.600637068741926,7.048632218844984,0.9663732654930733,0.8741252069195538,11.215704441070557,78.6376953125,131.06282552083334
batch,ZDT4,10,2,200,0,101,True,101,58.43990318671276,0.9995317258141813,17.984228918216242,19.256880733944953,0.976884287989646,0.8694700737176863,9.830883979797363,65.26512908935547,108.77521514892578
