problema,status,fe_final,maxfe,n_geracoes,cache_hits,doe_hash,termino,motivo_parada,fallback_ativado,n_retries,params_keys,p_N_lambda,p_IFEs,p_rho,p_dace,p_theta0,p_theta_bounds,p_warm_theta,p_mle,p_subset,p_normalizacao,p_ga_interno,sonda_keys,sonda_S,sonda_k,sonda_n_blocos,sonda_n_linhas,sonda_n_falhas,sonda_artefato,sonda_geracoes_n,sonda_g_last,fit_series_n,sigma_dict_keys,tempo_total_s,manifest_top_keys
DTLZ7,ok,681,681,441,1,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,91,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,221,442000,0,data/sonda/sonda_DTLZ7.parquet,221,440,440,mu_0;sigma_0;transf_params,1955.498847,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
MMF1,ok,61,61,49,9,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,25,50000,0,data/sonda/sonda_MMF1.parquet,25,48,48,mu_0;sigma_0;transf_params,51.509144,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
MMF11_L,ok,61,61,41,1,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,21,42000,0,data/sonda/sonda_MMF11_L.parquet,21,40,40,mu_0;sigma_0;transf_params,42.792252,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
MMF16_20,ok,619,619,401,1,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,91,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,201,402000,0,data/sonda/sonda_MMF16_20.parquet,201,400,400,mu_0;sigma_0;transf_params,1457.455979,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
MMF4,ok,61,61,41,1,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,21,42000,0,data/sonda/sonda_MMF4.parquet,21,40,40,mu_0;sigma_0;transf_params,42.070537,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
WFG1,ok,681,681,444,4,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,223,446000,0,data/sonda/sonda_WFG1.parquet,223,443,443,mu_0;sigma_0;transf_params,3939.083494,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
WFG2,ok,681,681,441,1,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,221,442000,0,data/sonda/sonda_WFG2.parquet,221,440,440,mu_0;sigma_0;transf_params,1922.52319,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
WFG4,ok,681,681,441,1,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,221,442000,0,data/sonda/sonda_WFG4.parquet,221,440,440,mu_0;sigma_0;transf_params,1967.944945,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
WFG5,ok,681,681,441,1,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,221,442000,0,data/sonda/sonda_WFG5.parquet,221,440,440,mu_0;sigma_0;transf_params,1963.561048,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
WFG9,ok,681,681,441,1,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,221,442000,0,data/sonda/sonda_WFG9.parquet,221,440,440,mu_0;sigma_0;transf_params,1977.845326,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
ZDT1,ok,929,929,604,4,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,303,606000,0,data/sonda/sonda_ZDT1.parquet,303,603,603,mu_0;sigma_0;transf_params,2791.3067629583334,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
ZDT3,ok,929,929,602,2,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,302,604000,0,data/sonda/sonda_ZDT3.parquet,302,601,601,mu_0;sigma_0;transf_params,2731.5156188333335,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
ZDT4,ok,309,309,201,1,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,101,202000,0,data/sonda/sonda_ZDT4.parquet,101,200,200,mu_0;sigma_0;transf_params,317.575601,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
