problema,D,M,maxfe,n_linhas_1,n_init,n_iter,n_infill,cache_hits,c0,ledger_ok,u1_len,u1_dense,u1_sid_uniq,dupX,u2_ok,doe_dX,doe_hash_ok,termino,status,fe_final,cp_init,cache_ok,n_dedup_guard,dedup_total,gbest_ok_abs,gbest_naive_abs,gbest_ok_rel,gbest_max_abs,gbest_max_rel,norm_ok,norm_naive_ok,norm_max_rel,arq_ne_fe1,na_eq_pop,ei_ok_rel,ei_ok_abs,ei_max_rel,ei_falhas_rel,sid_match,n_sid_check,subset_id_ok,subset_ok,n_no_cap,n_treino_max,cap,ga_iters_ok,ga_pop_delta_set,ga_iters_min,ga_iters_max,theta_lo,theta_hi,theta_viol,n_mse_neg,n_ei_nan,nan_guard,ftm_nao_monot,e0_ei_eq,e0_monot,lam_grid_max,lam_distintos,lam_N,lam_max_rep,dist_min_zero,pop_gens,pop_gens_esperado,dup_last,dup_last_ok,pop_size_ok,pop_linhas,tim_linhas,tim_ok,tim_viol_sonda,tim_viol_eq_sonda,n_gens_sonda,sonda_cad_ok,Gmax,Gmax_impar,sonda_jsonl_ok,erro_fant_med,erro_fant_otimista
DTLZ7,22,3,681,681,241,440,440,1,1,True,True,True,True,2,True,0.0,True,normal,ok,681,True,True,248,1119,440,440,433,1.3148985782140965e-08,0.00018873100404408503,440,440,2.4613842393690386e-08,0,440,440,389,1.3693557149112745e-11,0,440,440,440,440,415,266,266,440,"[np.int64(-2), np.int64(0)]",8,21,1e-05,20.0,0,0,0,0,36,440,67,1.2e-05,91,91,10,0,441,441,0,True,True,203301,440,440,221,True,221,True,440,False,True,0.010390690634372354,0.8522727272727273
MMF1,2,2,61,61,21,48,40,9,1,True,True,True,True,1,True,0.0,True,normal,ok,61,True,True,6,18,48,48,47,2.487404233975088e-09,2.3423523397541463e-05,48,48,1.3865808800250072e-08,0,48,48,39,6.737896772113606e-16,0,44,48,48,48,23,46,46,48,"[np.int64(-2), np.int64(0)]",74,250,0.03145488929588385,20.0,0,0,0,0,0,48,6,9.9e-05,44,100,2,8,49,49,8,True,True,2205,48,48,25,True,25,True,48,False,True,0.08279431740729815,0.8958333333333334
MMF11_L,2,2,61,61,21,40,40,1,1,True,True,True,True,0,True,0.0,True,normal,ok,61,True,True,0,0,40,40,39,1.0264813915528137e-08,0.0002868229840824395,40,40,4.422793410507936e-08,0,40,40,37,2.3547302857234424e-16,0,40,40,40,40,15,46,46,40,"[np.int64(-2), np.int64(0)]",84,250,0.0006373741347823577,20.0,0,0,0,0,0,40,1,9.9e-05,38,100,2,0,41,41,0,True,True,1681,40,40,21,True,21,True,40,False,True,0.01708078480401981,0.85
MMF16_20,20,3,619,619,219,400,400,1,1,True,True,True,True,0,True,0.0,True,normal,ok,619,True,True,355,7403,400,400,398,5.327278368438826e-09,0.001206629054280213,400,400,4.030408408404221e-08,0,400,400,365,1.858757693355984e-14,0,400,400,400,400,375,244,244,400,"[np.int64(-2), np.int64(0)]",9,23,1e-05,19.629335890310994,0,0,0,0,41,400,114,1.2e-05,91,91,9,0,401,401,0,True,True,168019,400,400,201,True,201,True,400,False,True,0.013492899335576077,0.95
MMF4,2,2,61,61,21,40,40,1,1,True,True,True,True,0,True,0.0,True,normal,ok,61,True,True,0,0,40,40,39,6.255619328099371e-09,1.6383362078019543e-05,40,40,4.1050242030168546e-08,0,40,40,38,2.6796344461003153e-16,0,40,40,40,40,15,46,46,40,"[np.int64(-2), np.int64(0)]",84,250,0.22097086912079608,20.0,0,0,0,0,0,40,0,9.9e-05,38,100,2,0,41,41,0,True,True,1681,40,40,21,True,21,True,40,False,True,0.018417196495602032,0.75
WFG2,22,2,681,681,241,440,440,1,1,True,True,True,True,0,True,0.0,True,normal,ok,681,True,True,80,96,440,440,431,1.579439160015461e-08,0.0001641845795968012,440,440,3.841210486054256e-08,0,440,440,394,1.286140010259264e-15,0,440,440,440,440,415,266,266,440,"[np.int64(-2), np.int64(0)]",8,21,1e-05,20.0,0,0,0,0,51,440,154,9.9e-05,99,100,10,0,441,441,0,True,True,203301,440,440,221,True,221,True,440,False,True,0.038546155175647814,0.9886363636363636
WFG4,22,2,681,681,241,440,440,1,1,True,True,True,True,0,True,0.0,True,normal,ok,681,True,True,98,120,440,440,431,2.229896561845024e-08,0.00028150470174814063,440,440,4.563567605781232e-08,0,440,440,395,4.660494429379752e-16,0,440,440,440,440,415,266,266,440,"[np.int64(-2), np.int64(0)]",8,21,1e-05,20.0,0,0,0,0,71,440,146,9.9e-05,99,100,10,0,441,441,0,True,True,203301,440,440,221,True,221,True,440,False,True,0.06043088228912427,0.9977272727272727
WFG5,22,2,681,681,241,440,440,1,1,True,True,True,True,1,True,0.0,True,normal,ok,681,True,True,110,135,440,440,431,1.890702344686801e-08,0.0001377154732816785,440,440,2.801449742771535e-08,0,440,440,381,2.6485135713963468e-15,0,440,440,440,440,415,266,266,440,"[np.int64(-2), np.int64(0)]",8,21,1e-05,17.515033530318686,0,0,0,0,50,440,116,9.9e-05,99,100,10,0,441,441,0,True,True,203301,440,440,221,True,221,True,440,False,True,0.053923521134604316,0.9681818181818181
WFG9,22,2,681,681,241,440,440,1,1,True,True,True,True,1,True,0.0,True,normal,ok,681,True,True,122,147,440,440,431,1.683729500268072e-08,0.0007954531436125346,440,440,4.8024101567917515e-08,0,440,440,387,3.240518897754201e-15,0,440,440,440,440,415,266,266,440,"[np.int64(-2), np.int64(0)]",8,21,1e-05,20.0,0,0,0,0,59,440,112,9.9e-05,99,100,10,0,441,441,0,True,True,203301,440,440,221,True,221,True,440,False,True,0.15913503229490206,0.9727272727272728
ZDT1,30,2,929,929,329,603,600,4,1,True,True,True,True,7,True,0.0,True,normal,ok,929,True,True,423,2571,603,603,600,1.1456602500015123e-08,5.019173350444641e-05,603,602,4.9332646353993666e-08,1,603,603,541,5.2660246775281896e-12,0,600,603,603,603,578,354,354,603,"[np.int64(-2), np.int64(0)]",6,16,1e-05,20.0,0,0,0,0,44,603,99,9.9e-05,100,100,13,3,604,604,3,True,True,380822,603,603,302,False,303,True,603,True,True,0.012867060661408095,0.8524046434494196
ZDT3,30,2,929,929,329,601,600,2,1,True,True,True,True,12,True,0.0,True,normal,ok,929,True,True,516,3520,601,601,597,9.148624302568464e-09,0.00020195118979258718,601,601,4.250607143160645e-08,0,601,601,553,9.8980962870759e-13,0,600,601,601,601,576,354,354,601,"[np.int64(-2), np.int64(0)]",6,16,1e-05,20.0,0,0,0,0,43,601,108,9.9e-05,100,100,13,1,602,602,1,True,True,378959,601,601,301,False,302,True,601,True,True,0.015807775118727746,0.8768718801996672
ZDT4,10,2,309,309,109,200,200,1,1,True,True,True,True,0,True,0.0,True,normal,ok,309,True,True,22,138,200,200,198,1.1135881342050347e-08,0.0018641555764301347,200,200,4.0746902733115045e-08,0,200,200,164,6.081965421258555e-15,0,200,200,200,200,175,134,134,200,"[np.int64(-2), np.int64(0)]",17,47,1e-05,20.0,0,0,0,0,6,200,1,9.9e-05,85,100,5,0,201,201,0,True,True,42009,200,200,101,True,101,True,200,False,True,0.13180596792756397,0.965
ZDT6,10,2,309,309,109,200,200,1,1,True,True,True,True,0,True,0.0,True,normal,ok,309,True,True,84,279,200,200,188,7.950575081627775e-08,0.0007715709629887244,200,200,4.3308822758744384e-08,0,200,200,140,9.637919895018941e-15,0,200,200,200,200,175,134,134,200,"[np.int64(-2), np.int64(0)]",17,47,1e-05,20.0,0,0,0,0,7,200,7,9.9e-05,85,100,5,0,201,201,0,True,True,42009,200,200,101,True,101,True,200,False,True,0.1999024344351547,0.87
