alg,label,t_aval_real,maxfe
c311,swap_small-mvns_DTLZ2,0.0,371
c311,swap_small-mvns_MMF16_20,0.0,619
c311,swap_small-mvns_WFG9,0.0,681
c311,swap_small-mvns_ZDT1,0.0,929
c311,swap_small-mvns_ZDT4,0.0,309
moead_media,BBOB_F1,0.0,309
moead_media,BBOB_F17,0.0,309
moead_media,BBOB_F22,0.0,309
moead_media,BBOB_F37,0.0,309
moead_media,BBOB_F49,0.0,309
moead_media,BBOB_F5,0.0,309
moead_media,BBOB_F55,0.0,309
moead_media,DTLZ1,0.0,216
moead_media,DTLZ2,0.0,371
moead_media,DTLZ3,0.0,371
moead_media,DTLZ4,0.0,371
moead_media,DTLZ7,0.0,681
moead_media,MMF1,0.0,61
moead_media,MMF11_L,0.0,61
moead_media,MMF16_20,0.0,619
moead_media,MMF4,0.0,61
moead_media,WFG1,0.0,681
moead_media,WFG2,0.0,681
moead_media,WFG4,0.0,681
moead_media,WFG5,0.0,681
moead_media,WFG9,0.0,681
moead_media,ZDT1,0.0,929
moead_media,ZDT3,0.0,929
moead_media,ZDT4,0.0,309
moead_media,ZDT6,0.0,309
moead_media,swap_medium-lhs_DTLZ2,0.0,2000
moead_media,swap_medium-lhs_MMF16_20,0.0,2000
moead_media,swap_medium-lhs_WFG9,0.0,2000
moead_media,swap_medium-lhs_ZDT1,0.0,2000
moead_media,swap_medium-lhs_ZDT4,0.0,2000
moead_media,swap_medium-mvns_DTLZ2,0.0,2000
moead_media,swap_medium-mvns_MMF16_20,0.0,2000
moead_media,swap_medium-mvns_WFG9,0.0,2000
moead_media,swap_medium-mvns_ZDT1,0.0,2000
moead_media,swap_medium-mvns_ZDT4,0.0,2000
moead_media,swap_small-lhs_DTLZ2,0.0,371
moead_media,swap_small-lhs_MMF16_20,0.0,619
moead_media,swap_small-lhs_WFG9,0.0,681
moead_media,swap_small-lhs_ZDT1,0.0,929
moead_media,swap_small-lhs_ZDT4,0.0,309
moead_media,swap_small-mvns_DTLZ2,0.0,371
moead_media,swap_small-mvns_MMF16_20,0.0,619
moead_media,swap_small-mvns_WFG9,0.0,681
moead_media,swap_small-mvns_ZDT1,0.0,929
moead_media,swap_small-mvns_ZDT4,0.0,309
b5r,BBOB_F1,0.0,309
b5r,BBOB_F17,0.0,309
b5r,BBOB_F22,0.0,309
b5r,BBOB_F37,0.0,309
b5r,BBOB_F49,0.0,309
b5r,BBOB_F5,0.0,309
b5r,BBOB_F55,0.0,309
b5r,DTLZ1,0.0,216
b5r,DTLZ2,0.0,371
b5r,DTLZ3,0.0,371
b5r,DTLZ4,0.0,371
b5r,DTLZ7,0.0,681
b5r,MMF1,0.0,61
b5r,MMF11_L,0.0,61
b5r,MMF16_20,0.0,619
b5r,MMF4,0.0,61
b5r,WFG1,0.0,681
b5r,WFG2,0.0,681
b5r,WFG4,0.0,681
b5r,WFG5,0.0,681
b5r,WFG9,0.0,681
b5r,ZDT1,0.0,929
b5r,ZDT3,0.0,929
b5r,ZDT4,0.0,309
b5r,ZDT6,0.0,309
b5r,swap_medium-lhs_DTLZ2,0.0,2000
b5r,swap_medium-lhs_MMF16_20,0.0,2000
b5r,swap_medium-lhs_WFG9,0.0,2000
b5r,swap_medium-lhs_ZDT1,0.0,2000
b5r,swap_medium-lhs_ZDT4,0.0,2000
b5r,swap_medium-mvns_DTLZ2,0.0,2000
b5r,swap_medium-mvns_MMF16_20,0.0,2000
b5r,swap_medium-mvns_WFG9,0.0,2000
b5r,swap_medium-mvns_ZDT1,0.0,2000
b5r,swap_medium-mvns_ZDT4,0.0,2000
b5r,swap_small-lhs_DTLZ2,0.0,371
b5r,swap_small-lhs_MMF16_20,0.0,619
b5r,swap_small-lhs_WFG9,0.0,681
b5r,swap_small-lhs_ZDT1,0.0,929
b5r,swap_small-lhs_ZDT4,0.0,309
b5r,swap_small-mvns_DTLZ2,0.0,371
b5r,swap_small-mvns_MMF16_20,0.0,619
b5r,swap_small-mvns_WFG9,0.0,681
b5r,swap_small-mvns_ZDT1,0.0,929
b5r,swap_small-mvns_ZDT4,0.0,309
b5m,BBOB_F1,0.0,309
b5m,BBOB_F17,0.0,309
b5m,BBOB_F22,0.0,309
b5m,BBOB_F37,0.0,309
b5m,BBOB_F49,0.0,309
b5m,BBOB_F5,0.0,309
b5m,BBOB_F55,0.0,309
b5m,DTLZ1,0.0,216
b5m,DTLZ2,0.0,371
b5m,DTLZ3,0.0,371
b5m,DTLZ4,0.0,371
b5m,DTLZ7,0.0,681
b5m,MMF1,0.0,61
b5m,MMF11_L,0.0,61
b5m,MMF16_20,0.0,619
b5m,MMF4,0.0,61
b5m,WFG1,0.0,681
b5m,WFG2,0.0,681
b5m,WFG4,0.0,681
b5m,WFG5,0.0,681
b5m,WFG9,0.0,681
b5m,ZDT1,0.0,929
b5m,ZDT3,0.0,929
b5m,ZDT4,0.0,309
b5m,ZDT6,0.0,309
b5m,swap_medium-lhs_DTLZ2,0.0,2000
b5m,swap_medium-lhs_MMF16_20,0.0,2000
b5m,swap_medium-lhs_WFG9,0.0,2000
b5m,swap_medium-lhs_ZDT1,0.0,2000
b5m,swap_medium-lhs_ZDT4,0.0,2000
b5m,swap_medium-mvns_DTLZ2,0.0,2000
b5m,swap_medium-mvns_MMF16_20,0.0,2000
b5m,swap_medium-mvns_WFG9,0.0,2000
b5m,swap_medium-mvns_ZDT1,0.0,2000
b5m,swap_medium-mvns_ZDT4,0.0,2000
b5m,swap_small-lhs_DTLZ2,0.0,371
b5m,swap_small-lhs_MMF16_20,0.0,619
b5m,swap_small-lhs_WFG9,0.0,681
b5m,swap_small-lhs_ZDT1,0.0,929
b5m,swap_small-lhs_ZDT4,0.0,309
b5m,swap_small-mvns_DTLZ2,0.0,371
b5m,swap_small-mvns_MMF16_20,0.0,619
b5m,swap_small-mvns_WFG9,0.0,681
b5m,swap_small-mvns_ZDT1,0.0,929
b5m,swap_small-mvns_ZDT4,0.0,309
e103,BBOB_F1,0.0026419999999999656,309
e103,BBOB_F17,0.0020279999999999933,309
e103,BBOB_F22,0.004091000000000001,309
e103,BBOB_F37,0.0030269999999999672,309
e103,BBOB_F49,0.002429999999999981,309
e103,BBOB_F5,0.0029279999999999706,309
e103,BBOB_F55,0.0020299999999999914,309
e103,DTLZ1,0.002030999999999997,216
e103,DTLZ2,0.0022119999999999904,371
e103,DTLZ3,0.0030189999999999636,371
e103,DTLZ4,0.0023209999999999936,371
e103,DTLZ7,0.0029059999999999585,681
e103,MMF1,0.0021559999999999943,61
e103,MMF11_L,0.0022909999999999944,61
e103,MMF16_20,0.00823000000000006,619
e103,MMF4,0.0021390000000000037,61
e103,WFG1,0.0024950000000000154,681
e103,WFG2,0.0025760000000000028,681
e103,WFG4,0.002902999999999977,681
e103,WFG5,0.0025130000000000343,681
e103,WFG9,0.002885999999999968,681
e103,ZDT1,0.0032289999999999697,929
e103,ZDT3,0.002932000000000004,929
e103,ZDT4,0.0021280000000000006,309
e103,ZDT6,0.00198299999999999,309
e103,swap_medium-lhs_DTLZ2,0.0029040000000000285,2000
e103,swap_medium-lhs_MMF16_20,0.002429999999999986,2000
e103,swap_medium-lhs_WFG9,0.0030329999999999997,2000
e103,swap_medium-lhs_ZDT1,0.0027800000000000403,2000
e103,swap_medium-lhs_ZDT4,0.004991708333333349,2000
e103,swap_medium-mvns_DTLZ2,0.0027320000000000317,2000
e103,swap_medium-mvns_MMF16_20,0.0026290000000000133,2000
e103,swap_medium-mvns_WFG9,0.0028190000000000424,2000
e103,swap_medium-mvns_ZDT1,0.0026620000000000224,2000
e103,swap_medium-mvns_ZDT4,0.0023269999999999693,2000
e103,swap_small-lhs_DTLZ2,0.0017589999999999821,371
e103,swap_small-lhs_MMF16_20,0.00153799999999996,619
e103,swap_small-lhs_WFG9,0.0015239999999999598,681
e103,swap_small-lhs_ZDT1,0.0018079999999999414,929
e103,swap_small-lhs_ZDT4,0.0012799999999999817,309
e103,swap_small-mvns_DTLZ2,0.001356999999999978,371
e103,swap_small-mvns_MMF16_20,0.0014999999999999625,619
e103,swap_small-mvns_WFG9,0.0014609999999999604,681
e103,swap_small-mvns_ZDT1,0.0017479999999999406,929
e103,swap_small-mvns_ZDT4,0.0012219999999999811,309
