label,problema,alg,n_final,n_nd,fantasia,igd_plus,hv,igd,gd,spacing,sigma_nn_med,sigma_nn_mean,x_unicos
BBOB_F49,BBOB_F49,moead_media,50,4,0.08,0.678099936546771,0.25841259765084834,0.7077229926213372,0.2355761557181506,0.06323244164283816,15.699699401855469,15.541585984230041,50
BBOB_F49,BBOB_F49,c311,32,5,0.15625,0.8548833881197233,0.09107226871124716,0.8708869668860275,0.2770528206896731,0.04209831486765043,18.6168053150177,18.299683935940266,32
BBOB_F49,BBOB_F49,e103,100,15,0.15,0.3347313389783466,0.5628991429732192,0.3556326414005077,0.21925575600714003,0.2603464132122027,12.049505949020386,14.527307901382446,99
BBOB_F5,BBOB_F5,b5m,50,21,0.42,0.14347313886886406,0.6324349667078573,0.207133486126146,0.068416967253404,0.01299369094993586,2.424957036972046,2.5103044641017913,49
BBOB_F5,BBOB_F5,b5r,46,27,0.5869565217391305,0.15322257234226802,0.6173967801741201,0.22342044256181906,0.0647067540785753,0.008363159209717669,2.582797586917877,2.6953845892263497,46
BBOB_F5,BBOB_F5,moead_media,50,28,0.56,0.12629624109375284,0.6608954131073046,0.18584702780232834,0.03868395220507701,0.010921768319632421,2.424957036972046,2.5484610283374787,50
BBOB_F5,BBOB_F5,c311,50,2,0.04,0.8747236189537269,0.0,0.8816923984314182,0.5450285117568585,0.0,7.881755352020264,7.476714379787445,50
BBOB_F5,BBOB_F5,e103,100,74,0.74,0.08428194447892468,0.7342992828165342,0.12457118949736916,0.023911446590688428,0.004653085323941593,3.115382432937622,3.066117286682129,99
BBOB_F55,BBOB_F55,b5m,50,9,0.18,1.0035095724263108,0.00499472320390789,1.0035095724263108,0.8505790040884933,0.038497437428637524,5.184453010559082,5.398615545034408,42
BBOB_F55,BBOB_F55,b5r,44,7,0.1590909090909091,1.0018019443755395,0.05280780077238958,1.001802850540687,0.8630771404640746,0.05986841868795111,4.5643696784973145,4.32594798234376,44
BBOB_F55,BBOB_F55,moead_media,50,4,0.08,1.3556832406353228,0.0,1.3556832406353228,1.0803829008205208,0.009976998588797876,7.594996929168701,7.364157786369324,50
BBOB_F55,BBOB_F55,c311,50,7,0.14,1.2451971161596374,0.0,1.2451971161596374,1.0347928043549388,0.015697380536611433,6.826605319976807,6.663305113315582,50
BBOB_F55,BBOB_F55,e103,100,4,0.04,0.9561693974866271,0.03203052147834735,0.9561693974866271,0.8418439534233705,0.10426648156952807,1.6874020099639893,2.0127818030118942,97
DTLZ1,DTLZ1,b5m,105,4,0.0380952380952381,109.89521037688905,0.0,109.89521037688905,123.51362560125216,20.392857551574707,31.62277603149414,31.62277603149414,51
DTLZ1,DTLZ1,b5r,51,5,0.09803921568627451,102.55983950010315,0.0,102.55983950010315,219.88106778872225,6.379493597849712,31.62277603149414,31.62277603149414,51
DTLZ1,DTLZ1,moead_media,105,94,0.8952380952380953,539.9255591604793,0.0,539.9255591604793,540.3413597072641,0.0,31.62277603149414,31.62277603149414,5
DTLZ1,DTLZ1,c311,104,21,0.20192307692307693,72.24903120824662,0.0,72.24903120824662,208.51233488340372,40.08960670045257,31.62277603149414,31.62277603149414,104
DTLZ1,DTLZ1,e103,100,24,0.24,75.32358173827524,0.0,75.32358173827524,255.12153729498732,44.29654702031806,31.62277603149414,31.62277603149414,100
DTLZ2,DTLZ2,b5m,105,83,0.7904761904761904,0.05688964973092999,0.6660228277889934,0.09528119894284344,0.04601993270083143,0.09299249512653042,0.05316779762506485,0.06035110105775179,104
DTLZ2,DTLZ2,b5r,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.07804146619074492,0.03189489798471936,0.07323129369701674,0.04488774761557579,0.05169158933093271,83
DTLZ2,DTLZ2,moead_media,105,99,0.9428571428571428,0.8903968304333774,0.00860947182430531,0.8930927870471627,2.2483468995068643,0.32996421282811095,0.24507369846105576,0.24395951465481802,9
DTLZ2,DTLZ2,c311,94,93,0.9893617021276596,0.040805524934593454,0.7018994539659531,0.07238196963441791,0.02349305540781538,0.051544833993276425,0.051323515052596726,0.059688907922476726,94
DTLZ2,DTLZ2,e103,100,81,0.81,0.07575006422749106,0.5867407654860621,0.10580296020141802,0.0887474227440031,0.15904457174269135,0.05567525761822859,0.057516321133201306,100
DTLZ3,DTLZ3,b5m,105,26,0.24761904761904763,542.2827088104782,0.0,542.2827088104782,898.6287055186014,160.64530734460283,31.62277603149414,31.62277603149414,105
DTLZ3,DTLZ3,b5r,38,4,0.10526315789473684,354.2116840580314,0.0,354.2116840580314,468.62978251600595,87.90427079839942,31.62277603149414,31.62277603149414,38
DTLZ3,DTLZ3,moead_media,105,104,0.9904761904761905,832.4013821763526,0.0,832.4016846958115,831.9637606099167,0.0,31.62277603149414,31.62277603149414,2
DTLZ3,DTLZ3,c311,95,36,0.37894736842105264,641.1793621164978,0.0,641.1793621164978,1010.4735211375048,108.07328090098841,31.62277603149414,31.62277603149414,95
DTLZ3,DTLZ3,e103,100,46,0.46,250.61629106443735,0.0,250.61738103726782,259.33017287777386,26.13411567101401,31.62277603149414,31.62277603149414,100
DTLZ4,DTLZ4,b5m,105,12,0.11428571428571428,0.6002944993592286,0.11426831221580518,1.0452443090081285,0.008019407590230307,0.0013279940503910465,0.11984534064928691,0.1174700483443245,58
DTLZ4,DTLZ4,b5r,14,8,0.5714285714285714,0.6572438764191847,0.045359546188922725,1.0766701840816297,0.19087852538687394,0.017214244763247486,0.12378587077061336,0.12285078884590239,14
DTLZ4,DTLZ4,moead_media,105,3,0.02857142857142857,1.1382934140778578,0.0,1.4181179343517447,0.6566248337427775,0.06123653878065358,0.16343920926253,0.16071271986242328,18
DTLZ4,DTLZ4,c311,99,79,0.797979797979798,1.3738542800007214,0.0,1.378465262103046,1.3760032672450266,0.16134496327535064,0.1652923325697581,0.1596350711002093,99
DTLZ4,DTLZ4,e103,100,22,0.22,0.5921455226533678,0.11918296790122998,0.8949335774248696,0.12187909421993544,0.5124457466649363,0.10863477736711502,0.11412931102017562,100
DTLZ7,DTLZ7,b5m,105,28,0.26666666666666666,0.9379250505048345,0.0,0.9386635115570025,0.8590920107267183,0.2579682771269739,0.20402457316716513,0.210273893017854,97
DTLZ7,DTLZ7,b5r,52,18,0.34615384615384615,0.8239833421102789,0.0,0.8241455439857195,0.8162130467003171,0.2181045149352005,0.20402457316716513,0.21812731619828785,52
DTLZ7,DTLZ7,moead_media,105,33,0.3142857142857143,0.36822935864789164,0.09141625133433898,0.3723629638267613,0.3607542506753654,0.13032788321709798,0.2460964024066925,0.2279400291542212,96
DTLZ7,DTLZ7,c311,79,63,0.7974683544303798,0.09241131248172559,0.4765917523037824,0.12865290362088708,0.01709246952768006,0.02999860979154006,0.2460964024066925,0.22383057429820669,79
DTLZ7,DTLZ7,e103,100,40,0.4,0.054448651346112625,0.5151803758967477,0.08343658092558665,0.049500315114063845,0.08882121726346016,0.2460964024066925,0.2232292707761129,100
MMF1,MMF1,b5m,50,19,0.38,0.12748631318490322,0.6634417303195435,0.20701606441526715,0.08807859882252048,0.13172550724462836,0.09825292404275388,0.13785090340286843,41
MMF1,MMF1,b5r,44,20,0.45454545454545453,0.061006622957726755,0.7249478746289405,0.07616549411968053,0.13048329092382965,0.10065520017360978,0.11808608879800886,0.26921117296859104,44
MMF1,MMF1,moead_media,50,1,0.02,4.1122824158148905,0.0,4.14535183380555,3.4408755138744134,0.0,0.5621242960914969,0.5362651027133688,50
MMF1,MMF1,c311,50,9,0.18,0.05141295530255617,0.7613716663834181,0.06394679755057535,0.028792913128048395,0.1065346921975662,0.9465834337752312,0.917501868433319,50
MMF1,MMF1,e103,100,37,0.37,0.04894027381483341,0.7677347664904137,0.05793284856257442,0.02410569560920809,0.06678819650989154,0.8693295307457447,0.697794982261039,88
MMF11_L,MMF11_L,b5m,50,32,0.64,0.028584880317859104,0.9916099570124798,0.05309533724217871,0.03846228190100224,0.060503378967114135,0.012175725190900266,0.04124212652561255,50
MMF11_L,MMF11_L,b5r,48,21,0.4375,0.032162744800907486,0.9562362994632471,0.07257046913613437,0.06715880179035462,0.3547242193465326,0.009005670668557286,0.03713417086085732,48
MMF11_L,MMF11_L,moead_media,50,18,0.36,1.3987769987370298,0.0,1.5011566985223315,0.5999124545056418,0.0016824760809721591,0.61898073554039,0.6379456768953241,50
MMF11_L,MMF11_L,c311,50,49,0.98,0.12828737644249757,0.8231652630857257,0.13662922067404507,0.17039949434986212,0.07362175324265051,0.3200741932960227,0.35663816520769615,50
MMF11_L,MMF11_L,e103,100,73,0.73,0.028169703899792387,0.9860056273406983,0.05569648303002805,0.021155698762555984,0.016764791969440314,0.0828223517164588,0.2154899413464591,84
MMF16_20,MMF16_20,b5m,105,45,0.42857142857142855,0.07016404498617701,0.5976435097765123,0.13566780668645598,0.0767585987591934,0.13126433805587875,0.12339895715316136,0.1286436762365084,105
MMF16_20,MMF16_20,b5r,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.15468075834388648,0.13620684656818108,0.0864615294902991,0.16482444604237875,0.16090519068477388,74
MMF16_20,MMF16_20,moead_media,105,65,0.6190476190476191,0.3008439883314093,0.22320648752344352,0.37173482029240973,0.45754731906283475,0.11072205056218178,0.2401989003022512,0.23101191208476116,104
MMF16_20,MMF16_20,c311,93,92,0.989247311827957,0.02645161790854685,0.7359053769830957,0.06351521124512154,0.010661562611811129,0.07132639439825038,0.21056917309761047,0.2093631390709177,93
MMF16_20,MMF16_20,e103,100,100,1.0,0.5060223598911855,0.03687283442807217,0.5070695947935397,0.5001721057463656,0.11435775094036238,0.27142368753751117,0.2624643651147683,100
MMF4,MMF4,b5m,50,32,0.64,0.03258732845114246,0.4687214788670528,0.038098386513026807,0.045767651328785686,0.034222398906733315,0.010483451129402965,0.020951618523213256,49
MMF4,MMF4,b5r,48,33,0.6875,0.027089179784127088,0.48557029151187386,0.03223663212119584,0.03320057323386752,0.03734654751968357,0.015283842920325696,0.0430051894824525,48
MMF4,MMF4,moead_media,50,13,0.26,0.1443295512985688,0.25330696026491,0.22104764827525356,0.08499300757617713,0.09444728557479003,0.18281721975654364,0.23155979281291367,50
MMF4,MMF4,c311,50,25,0.5,0.06282126523140986,0.4160002070816614,0.070822174704201,0.040075051302179865,0.02779958153034901,0.07316671940498054,0.07667076915851795,50
MMF4,MMF4,e103,100,71,0.71,0.10999491512959264,0.3869076607382809,0.14356838750017717,0.07264376134636394,0.009596311796217182,0.11730652488768101,0.11625512359663843,78
WFG1,WFG1,b5m,50,24,0.48,0.9769194671211174,0.0,1.0117472529835134,0.4898399013508869,0.004139645004924999,0.011109833605587482,0.013686480522155762,50
WFG1,WFG1,b5r,46,24,0.5217391304347826,0.6724410990913953,0.08906915235751418,0.681345373230179,0.48942900096097697,0.03219238097649133,0.022260732483118773,0.023708008007024942,46
WFG1,WFG1,moead_media,50,18,0.36,0.6887101039305114,0.07580469235113929,0.6970534330254277,0.48750969804687766,0.17103779657374332,0.0376683734357357,0.03928007960319519,50
WFG1,WFG1,c311,50,22,0.44,0.7210883287869593,0.056979851202812085,0.730282750074261,0.49378282483260366,0.15859069256645514,0.040404461324214935,0.040404461324214935,50
WFG1,WFG1,e103,100,38,0.38,0.7174542109437405,0.05741068445062671,0.7282667103868103,0.49456570736135,0.10197612813216955,0.0219106231816113,0.022990385321900248,100
WFG2,WFG2,b5m,50,14,0.28,0.229956976417573,0.41900404732047614,0.23010798136042815,0.2013989101477738,0.09835150521366635,0.4885643348097801,0.46631098926067355,46
WFG2,WFG2,b5r,42,12,0.2857142857142857,0.29278319328626284,0.27074913005961176,0.2985469769559896,0.3031365802974422,0.07907555622206584,0.4885643348097801,0.4894290364214352,42
WFG2,WFG2,moead_media,50,2,0.04,0.5940073833448933,0.0,0.619687108825634,0.36255929777633744,0.0,0.5486533269286156,0.5062463609129191,50
WFG2,WFG2,c311,34,2,0.058823529411764705,0.7371541982406319,0.07739098016162622,0.7606687940788345,0.28989553723594025,0.0,0.4669197276234627,0.47139153410406676,34
WFG2,WFG2,e103,100,12,0.12,0.22507756881624255,0.4412059584679351,0.226600628568901,0.17304881321302212,0.05354411012097574,0.4177052676677704,0.4224423577450216,100
WFG4,WFG4,b5m,50,21,0.42,0.13604521352414353,0.18919932058988495,0.13619107429005628,0.13279009221470278,0.03992455229885754,0.5016472190618515,0.5105195611715316,50
WFG4,WFG4,b5r,46,18,0.391304347826087,0.1272506756682024,0.17443725912578006,0.12778037866106573,0.13741843567727594,0.037529275784568376,0.5723438113927841,0.5126272984172987,46
WFG4,WFG4,moead_media,50,15,0.3,0.41189317988775365,0.02948888301540077,0.41189317988775365,0.3627688733761515,0.022755465670782158,0.741635262966156,0.683137149810791,50
WFG4,WFG4,c311,50,5,0.1,0.9675342882647918,0.0,1.0136756803961113,0.5247125835147597,0.030108296765992772,0.4653475880622864,0.5705414134263992,50
WFG4,WFG4,e103,100,26,0.26,0.11543547198704476,0.21763385686691114,0.11700806961703841,0.12286196610084693,0.03260185332785751,0.45547276735305786,0.4472892336547375,100
WFG5,WFG5,b5m,50,21,0.42,0.3176703521194691,0.03913227966117872,0.3176942843651101,0.30693493945918604,0.01754548918616528,0.5281244069337845,0.5637513339519501,50
WFG5,WFG5,b5r,44,11,0.25,0.3981236002302757,0.07277272090415345,0.3981371157019506,0.29085497455717885,0.04808746500076159,0.5362019687891006,0.5850223611024293,44
WFG5,WFG5,moead_media,50,15,0.3,0.3005310719031199,0.14738515711578984,0.34694755255602794,0.08252966144497478,0.04547896112278762,0.729526549577713,0.6761564311385154,50
WFG5,WFG5,c311,50,1,0.02,0.39338062403237456,0.09382859177365721,0.737071621184052,0.014778569214027926,0.0,0.8661938011646271,0.8661938011646271,50
WFG5,WFG5,e103,100,31,0.31,0.1383278281911061,0.24282859538391938,0.1499109577523373,0.05654916451087607,0.037362512232969304,0.7249546051025391,0.7220625300705433,100
WFG9,WFG9,b5m,50,19,0.38,0.32324082960034933,0.030569214725756567,0.3239586975337199,0.3508938802562426,0.0938176106953725,0.6732954904437065,0.6775088447332382,46
WFG9,WFG9,b5r,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.38146359202060603,0.3587373517492765,0.0397640014970729,0.6677025258541107,0.6710322446293301,45
WFG9,WFG9,moead_media,50,1,0.02,0.5270662155329972,0.0,0.6340125032412776,0.1948141074827608,0.0,0.8634098917245865,0.8466081100702286,50
WFG9,WFG9,c311,50,2,0.04,0.4970372996847357,0.0,0.6292784186591304,0.15761213408904762,0.0,1.0725164711475372,1.0725164711475372,50
WFG9,WFG9,e103,100,19,0.19,0.28426160538928247,0.04852454001849574,0.2850920263536386,0.3035893452115179,0.03390243379106595,0.8959912657737732,0.9046312530338764,100
ZDT1,ZDT1,b5m,50,13,0.26,1.1364037520830672,0.0,1.136407158194524,1.19057231298703,0.04962007353992146,0.02171399723738432,0.024762886613607406,50
ZDT1,ZDT1,b5r,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31493430905152936,0.33430027968344544,0.052336614491051016,0.03521360084414482,0.03532190196850198,47
ZDT1,ZDT1,moead_media,50,23,0.46,0.19782000275993267,0.5398796130980991,0.19849531856382124,0.22955636823461084,0.03906281607668354,0.03521360084414482,0.03471058078110218,50
ZDT1,ZDT1,c311,50,50,1.0,0.033352713265521416,0.821311390444246,0.06473358593217728,0.001239497712146959,0.015230131326487085,0.03521360084414482,0.03415453128516674,50
ZDT1,ZDT1,e103,100,95,0.95,0.0052058683064078945,0.8650145673930815,0.006231684777096507,0.0029279862880143637,0.017853624931095286,0.03521360084414482,0.03456639166921377,100
ZDT3,ZDT3,b5m,50,12,0.24,1.2962966284320532,0.0,1.2962966284320532,1.2701882768303348,0.07504599128910164,0.1724102944135666,0.1885762257128954,49
ZDT3,ZDT3,b5r,45,15,0.3333333333333333,1.3410369490301612,0.0,1.3410369490301612,1.3296780222823006,0.10515716011162808,0.21636061370372772,0.25186185075177087,45
ZDT3,ZDT3,moead_media,50,15,0.3,0.8470204964830846,0.0017049031889407075,0.8470251496002578,0.9415072270513359,0.0363202368314693,0.2308146357536316,0.3211463183164597,50
ZDT3,ZDT3,c311,50,40,0.8,0.12099203356769277,0.511995031867333,0.20595781391477894,0.0009233468341543116,0.005819125985270401,0.4337864965200424,0.4045518398284912,50
ZDT3,ZDT3,e103,100,26,0.26,0.008483288987786617,0.7127045407773699,0.015490899400783336,0.002401188478525167,0.04022555597202435,0.4337864965200424,0.42647783234715464,100
ZDT4,ZDT4,b5m,50,13,0.26,46.72665736750811,0.0,46.729739110299825,58.30389673422596,1.2114489223485512,3.511575698852539,3.336429409980774,26
ZDT4,ZDT4,b5r,12,4,0.3333333333333333,127.25029176693059,0.0,127.25029177925964,140.91752619983336,1.585988231965941,6.50043510645628,6.395423228833049,12
ZDT4,ZDT4,moead_media,50,17,0.34,210.62735414764612,0.0,210.62735414764626,216.80163371201354,0.7014453720264506,7.014357164502144,7.367987245917321,50
