label,problema,D,M,N,pop,n_ger,fe_int,overshoot,n_ger_esperado,turn_1,turn_mean,turn_t1,turn_t2,turn_t3,turn_last,turn_min,turn_max,turn_spearman,ndist_min,ndist_mean,ndist_last,dup_gens,sg_g1,sg_last,sg_ratio,sg_spearman,mu_g1,mu_last,lhs_strat_dims,lhs_strat_tot,dentro_bounds,inter_ds_g1,inter_ds_amostra,hv_surr_ini,hv_surr_fim,hv_surr_max,hv_surr_argmax,hv_real_ini,hv_real_fim,igdp_real_ini,igdp_real_fim,fig10_surr_cai,fig10_real_sobe,fig10_igdp_melhora,fig10_assinatura,c7_nd_recomputo_ok,c7_link_posicional_ok,c7_n,c7_nd,fantasia,c7_maxdev_abs,c7_maxdev_rel,end_igdp,end_hv,end_igd,end_gd,end_spacing,end_nnd,sonda_sigma_med
MMF11_L,MMF11_L,2,2,61,50,801,40050,50,801,1.0,0.08590000000000002,0.1655430711610487,0.04606741573033708,0.045939849624060156,0.0,0.0,1.0,-0.4575118749088803,12,49.19975031210986,50,61,0.09444510913337581,0.040372330833924934,0.4274687297667362,-0.6991887324798891,2.4494977912306783,2.311541989520192,2,2,True,0,0,0.9077080777467401,1.0020491233112454,1.0096560501272025,338,0.9110088534049233,0.9916099575842715,0.05435904022700341,0.02858487913635147,False,True,True,False,True,True,50,32,0.64,6.635427052259502e-07,1.305254218856541e-07,0.028584880317859104,0.9916099570124798,0.05309533724217871,0.03846228190100224,0.060503378967114135,32,0.1057217590570126
MMF16_20,MMF16_20,20,3,619,105,381,40005,5,381,1.0,0.14764411027568922,0.28061492313460823,0.09373828271466066,0.06795162509448223,0.0380952380952381,0.01904761904761905,1.0,-0.7630786100762157,31,102.61942257217848,105,179,0.20683054931107023,0.11400325901451565,0.5511915884488435,-0.9771857499625718,1.2941089009481763,0.8672416946392447,20,20,True,0,0,0.3355505003568913,1.2794927646028307,1.478991686956084,41,0.4776742528244186,0.5976435082392587,0.10541655803824324,0.0701640559068199,False,True,True,False,True,True,105,45,0.42857142857142855,2.410342883063521e-07,0.0010608045212489754,0.07016404498617701,0.5976435097765123,0.13566780668645598,0.0767585987591934,0.13126433805587875,45,0.2058148762271429
MMF4,MMF4,2,2,61,50,801,40050,50,801,0.98,0.10380000000000003,0.18636704119850186,0.0599250936329588,0.0649624060150376,0.1,0.0,1.0,-0.4737656451137148,10,48.387016229712856,49,499,0.14054495786316692,0.019769696337752975,0.1406645719514217,-0.658599318346137,0.7959212601929903,0.6380944414669648,2,2,True,0,0,0.6580673944333544,0.5201721648298694,0.6580673944333544,1,0.4654558887682876,0.4687214848354216,0.0388962158040738,0.03258732300791687,True,True,True,True,True,True,50,32,0.64,1.2400271343082636e-07,2.32215228766613e-07,0.03258732845114246,0.4687214788670528,0.038098386513026807,0.045767651328785686,0.034222398906733315,32,0.13306738525915016
WFG1,WFG1,22,2,681,50,801,40050,50,801,1.0,0.2636,0.3983520599250937,0.2064419475655431,0.18571428571428575,0.24,0.04,1.0,-0.5905033348166895,17,47.912609238451935,50,309,0.0313201579451561,0.005901202838867903,0.1884154878529458,-0.14659211054760102,1.9545268487930298,1.9493128651380538,22,22,True,0,0,0.0,0.0,0.0,1,0.0,0.0,1.049914143115928,0.9769194693721515,False,False,True,False,True,True,50,24,0.48,1.1882651040906467e-07,5.2375435497714e-08,0.9769194671211174,0.0,1.0117472529835134,0.4898399013508869,0.004139645004924999,24,0.03119425462184008
WFG2,WFG2,22,2,681,50,801,40050,50,801,1.0,0.269525,0.4508614232209738,0.19093632958801499,0.16639097744360903,0.14,0.02,1.0,-0.6716341230901283,15,45.616729088639204,46,675,0.5081385166198015,0.11837703447788954,0.232962136516137,-0.6763212054134325,2.320972940325737,1.6328253955580294,22,22,True,0,0,0.4594927170336006,0.6136747783859638,0.9936828706314267,43,0.3582198472975392,0.4190040488281633,0.28983137214469473,0.22995697733634926,False,True,True,False,True,True,50,14,0.28,1.2781913711901183e-06,7.279214858039492e-07,0.229956976417573,0.41900404732047614,0.23010798136042815,0.2013989101477738,0.09835150521366635,14,0.5102071047594771
WFG4,WFG4,22,2,681,50,801,40050,50,801,1.0,0.24599999999999997,0.4579775280898877,0.17977528089887643,0.09969924812030076,0.08,0.0,1.0,-0.8745588509630449,16,44.78651685393258,50,707,0.6086355444788932,0.09903783600777388,0.162721084738107,-0.9993668742358794,2.4410874578356743,2.3057419550418854,22,22,True,0,0,0.2532956673393289,0.20696159040655873,0.2532956673393289,1,0.1664148028689426,0.1891993578275731,0.15878527088205718,0.13604517085651163,True,True,True,True,True,True,50,21,0.42,1.3375122733805256e-06,1.9319997135678217e-06,0.13604521352414353,0.18919932058988495,0.13619107429005628,0.13279009221470278,0.03992455229885754,21,0.6108545829042792
WFG5,WFG5,22,2,681,50,801,40050,50,801,1.0,0.18895,0.3659176029962547,0.10606741573033708,0.09451127819548874,0.12,0.0,1.0,-0.6419808900523813,16,46.335830212234704,50,636,0.6915050578117371,0.1331481996551156,0.19254841038540216,-0.7201411041708891,2.4173918735980986,2.2551401556655764,22,22,True,0,0,0.1945181986245933,0.08984336178518193,0.22519586370447203,43,0.09691992606392726,0.03913229423885871,0.25630010744944576,0.3176703416599828,True,False,False,False,True,True,50,21,0.42,2.2757055795352699e-07,1.3075989710373944e-07,0.3176703521194691,0.03913227966117872,0.3176942843651101,0.30693493945918604,0.01754548918616528,21,0.6878224293295294
WFG9,WFG9,22,2,681,50,801,40050,50,801,0.98,0.2207,0.42464419475655435,0.12674157303370787,0.11030075187969925,0.08,0.02,1.0,-0.690970034253709,13,45.36079900124844,46,736,0.8615493914484977,0.15977953797206282,0.1854560395004518,-0.7699293199585305,2.6043228912353515,2.4149489960074426,22,22,True,0,0,0.2395608851115888,0.07522614266578168,0.2395608851115888,1,0.07274606478757219,0.030569194369728808,0.31065011465271325,0.32324085855717893,True,False,False,False,True,True,50,19,0.38,1.5512542302253962e-05,4.912005608684614e-06,0.32324082960034933,0.030569214725756567,0.3239586975337199,0.3508938802562426,0.0938176106953725,19,0.8516418519675731
ZDT1,ZDT1,30,2,929,50,801,40050,50,801,0.98,0.23105000000000003,0.36853932584269666,0.17902621722846446,0.14526315789473684,0.08,0.02,1.0,-0.6173294239327841,15,48.38951310861423,50,252,0.05687429130077362,0.01887201242148876,0.3318197377033876,-0.9453426125696992,2.215385341197252,1.3649234644277022,30,30,True,0,0,0.0,0.0,0.0,1,0.0,0.0,2.5551778738200617,1.1364037821961608,False,False,True,False,True,True,50,13,0.26,1.5378290640910564e-07,6.674834917222624e-08,1.1364037520830672,0.0,1.136407158194524,1.19057231298703,0.04962007353992146,13,0.05481434306387673
ZDT3,ZDT3,30,2,929,50,801,40050,50,801,1.0,0.307975,0.48471910112359556,0.23205992509363296,0.20676691729323307,0.14,0.02,1.0,-0.681003703366731,10,43.22222222222222,49,792,0.31009111769497394,0.11907112836837769,0.38398754938057883,-0.8863060280011581,2.2016250009089706,1.5196775796887232,30,30,True,0,0,0.0,0.0010744841517311146,0.004092166111613238,759,0.0,0.0,1.238108879267748,1.296296382569176,False,False,False,False,True,True,50,12,0.24,7.611130095064311e-07,3.624762238517001e-07,1.2962966284320532,0.0,1.2962966284320532,1.2701882768303348,0.07504599128910164,12,0.29591677859459886
ZDT4,ZDT4,10,2,309,50,801,40050,50,801,0.98,0.8929250000000001,0.9452434456928839,0.8843445692883896,0.8490225563909776,0.76,0.58,1.0,-0.5850166495781943,7,19.181023720349565,26,800,7.715642937878147,2.5135444304719567,0.3257725183383354,-0.6029214417140668,72.94144244145602,4.7641778987617,10,10,True,0,0,0.0,0.0,0.0,1,0.0,0.0,92.4561217648632,46.72665621085231,False,False,True,False,True,True,50,13,0.26,7.325590331674903e-06,8.558468270680522e-08,46.72665736750811,0.0,46.729739110299825,58.30389673422596,1.2114489223485512,13,7.704224821127776
ZDT6,ZDT6,10,2,309,50,801,40050,50,801,1.0,0.18925,0.3039700374531835,0.1313857677902622,0.13218045112781956,0.2,0.0,1.0,-0.4348334475725107,13,46.56554307116105,48,736,0.14725931722670793,0.059950504917651415,0.40710839929643783,0.2691069642035707,4.670187790989876,4.097969100610353,10,10,True,0,0,0.0,0.0,0.0,1,0.0,0.0,7.749556080962075,6.636510683840424,False,False,True,False,True,True,50,12,0.24,4.0738917839178157e-07,1.2432208021557996e-07,6.636510736363153,0.0,6.636510736363153,7.017701947533458,0.07501073659754898,12,0.14728961100969465
swap_medium-lhs_DTLZ2,DTLZ2,12,3,2000,105,381,40005,5,381,0.9904761904761905,0.14328320802005012,0.21657292838395195,0.11458567679040119,0.09833711262282689,0.05714285714285714,0.02857142857142857,0.9904761904761905,-0.5779124493160569,38,103.41732283464567,105,147,0.05783041065174436,0.020402160408123145,0.3527929367644521,0.84189414667063,0.8800914781995945,0.4581159667570203,12,12,True,0,0,0.045142889166667255,0.9074247064972016,0.9546102626309393,41,0.043027001994663555,0.6152827357879396,0.4675068812730688,0.06522322593931644,False,True,True,False,True,True,105,66,0.6285714285714286,8.428811559824112e-08,0.1414081962218196,0.06522322281380545,0.6152827350812673,0.10306368303131215,0.07401192341999902,0.08867056905453878,66,0.05694407582036995
swap_medium-lhs_MMF16_20,MMF16_20,20,3,2000,105,381,40005,5,381,1.0,0.992982456140351,0.9954255718035244,0.9931758530183725,0.9903250188964475,0.9904761904761905,0.9523809523809523,1.0,-0.26847163678203584,39,50.955380577427825,51,380,0.7475031909488496,0.5889325466893968,0.7878662644126376,-0.4570862887110177,0.9266349474429197,-0.3243151055717657,20,20,True,0,0,1.226336379309524,2.2339998639020355,2.2339998639020355,381,0.4776742528244186,0.0,0.10541655803824324,0.9554466318547551,False,False,False,False,True,True,105,40,0.38095238095238093,2.416047482078909e-07,1.0899584815191848e-07,0.9554466398286063,0.0,1.1975839786156515,0.377353174008099,0.010111570850500129,40,0.7446562058220307
swap_medium-lhs_WFG9,WFG9,22,2,2000,50,801,40050,50,801,1.0,0.2373,0.44059925093632957,0.14074906367041198,0.13015037593984963,0.14,0.0,1.0,-0.6418081804792094,17,45.23096129837703,48,745,0.8429999911785125,0.16132805820554494,0.19137373652876152,-0.7737144193222143,2.659028322696686,2.2899920004606247,22,22,True,0,0,0.22674482829201137,0.16983623012712948,0.2988981469061805,43,0.07274606478757219,0.12588885336289263,0.31065011465271325,0.2172676798903997,True,True,True,True,True,True,50,20,0.4,1.0229452345189571e-06,7.42462322341404e-07,0.21726768369615437,0.12588889266660241,0.21738916762732483,0.17892456481472646,0.0243648091336974,20,0.8457341180451214
swap_medium-lhs_ZDT1,ZDT1,30,2,2000,50,801,40050,50,801,1.0,0.128575,0.23258426966292137,0.06853932584269665,0.0844360902255639,0.12,0.0,1.0,-0.5167424739361008,10,45.223470661672906,46,481,0.2646218781173229,0.02307334914803505,0.08719365651922868,-0.7971000301785592,2.2160128501243888,1.3643356010317802,30,30,True,0,0,0.0,0.0,0.0,1,0.0,0.0,2.5551778738200617,1.2748922202992534,False,False,True,False,True,True,50,22,0.44,1.486497578362389e-07,5.964434273409675e-08,1.274892214441708,0.0,1.274895056244843,1.3913929819062323,0.06619146707169386,22,0.2647831983058539
swap_medium-lhs_ZDT4,ZDT4,10,2,2000,50,801,40050,50,801,1.0,0.998725,0.9982022471910111,0.9987265917602995,0.9992481203007519,1.0,0.94,1.0,0.0802367062922262,10,19.60549313358302,19,800,8.236529492735862,14.37911434173584,1.7457734297457903,0.166000004669973,73.81830082685687,3.166040745228529,10,10,True,0,0,0.0,0.0,0.0,1,0.0,0.0,92.4561217648632,194.10539558869365,False,False,False,False,True,True,50,2,0.04,3.831358375805394e-05,1.8306493577121255e-07,194.10539922644278,0.0,194.10625710711602,193.4387664794922,0.0,2,8.25911228808118
swap_medium-mvns_DTLZ2,DTLZ2,12,3,2000,105,381,40005,5,381,1.0,0.15035087719298246,0.18755155605549303,0.1445819272590926,0.1186696900982615,0.10476190476190476,0.01904761904761905,1.0,-0.23810734162107072,32,103.67716535433071,105,117,0.07729798770317482,0.04067205614853828,0.5261722504953098,0.9326690287990661,0.8775859221845629,0.8076220616993923,12,12,True,0,0,0.043095546570123745,0.1645602938629368,0.6263127981470464,21,0.043027001994663555,0.15613822925171122,0.4675068812730688,0.3006700451443847,False,True,True,False,True,True,105,34,0.3238095238095238,1.2855291153801574e-07,0.9999999959577967,0.3006700608837325,0.1561382349382182,0.3451768059891281,0.5153242897811458,0.17195273363383823,34,0.07552630208683354
swap_medium-mvns_MMF16_20,MMF16_20,20,3,2000,105,381,40005,5,381,1.0,0.9571428571428572,0.9933258342707162,0.9490063742032245,0.9288737717309147,0.8857142857142857,0.8571428571428571,1.0,-0.772453116331161,42,54.38320209973753,64,380,1.071536910202768,0.8764195351846634,0.8179088623450382,0.5521917710134675,0.8583698146747475,-0.3448483392943166,20,20,True,0,0,1.4292926282527478,3.6813713196602533,3.7998770702375837,261,0.4776742528244186,0.31018558022304893,0.10541655803824324,0.3596496044236824,False,False,False,False,True,True,105,19,0.18095238095238095,2.4869472747823806e-07,1.0641802685841856e-07,0.35964959909390976,0.3101855959622595,0.5975506312648847,0.01970925653321379,0.04395554713737836,19,1.0709684426810593
swap_medium-mvns_WFG9,WFG9,22,2,2000,50,801,40050,50,801,1.0,0.4656500000000001,0.8483895131086143,0.3074906367041198,0.24022556390977443,0.2,0.06,1.0,-0.839255339534417,13,38.52434456928839,44,799,1.1213220754265785,0.19370654299855233,0.17274835414692216,-0.8113590555446589,2.15582781791687,2.1967818853259087,22,22,True,0,0,0.5860441858864156,0.41036856694929424,0.7959289456923656,85,0.07274606478757219,0.22511829113302462,0.31065011465271325,0.14701086311602454,True,True,True,True,True,True,50,21,0.42,1.1877223723644192e-05,1.5300835827030925e-05,0.14701111213317114,0.2251181347733474,0.14824756456045293,0.08121198602241998,0.03705330931637007,21,1.1141800807077438
swap_medium-mvns_ZDT1,ZDT1,30,2,2000,50,801,40050,50,801,1.0,0.17012500000000003,0.2898876404494382,0.12359550561797752,0.09661654135338346,0.02,0.0,1.0,-0.5497318360811425,11,46.445692883895134,49,323,0.3739288754761219,0.02312912341207266,0.061854338963853624,-0.5379625477839688,2.1950524252653123,1.1201485940814018,30,30,True,0,0,0.0,0.0,0.0,1,0.0,0.0,2.5551778738200617,1.0392303824382376,False,False,True,False,True,True,50,27,0.54,1.2630458323670268e-07,5.1746439885332114e-08,1.0392303921031798,0.0,1.0420968797183099,1.101092771054314,0.03199239909351592,27,0.3559582834560977
