prob,tag,it,i,j,mapa,rel,exato
DTLZ1,s42,110,1,11,naive,0.0,True
DTLZ1,s42,110,1,17,decl,0.0,True
DTLZ1,s42,110,1,17,naive,0.23911760784465047,False
DTLZ1,s42,110,11,17,decl,0.0,True
DTLZ1,s42,110,11,17,naive,0.23911760784465047,False
DTLZ1,s42,113,3,31,decl,0.0,True
DTLZ1,s42,113,3,31,naive,0.002715134237009646,False
DTLZ1,s42,114,8,23,decl,0.0,True
DTLZ1,s42,114,8,23,naive,0.0,True
DTLZ1,s42,114,13,18,decl,1.6043824241675903e-14,False
DTLZ1,s42,114,13,18,naive,1.6043824241675903e-14,False
DTLZ1,s42,115,1,16,decl,0.0,True
DTLZ1,s42,115,1,16,naive,0.0,True
DTLZ1,s42,117,7,22,decl,0.0,True
DTLZ1,s42,117,7,22,naive,0.09425714139698194,False
DTLZ1,s42,117,9,18,decl,0.0,True
DTLZ1,s42,117,9,18,naive,5.94346142318039e-10,False
DTLZ1,s42,117,9,26,decl,0.0,True
DTLZ1,s42,117,9,26,naive,0.15307310664456233,False
DTLZ1,s42,117,18,26,decl,0.0,True
DTLZ1,s42,117,18,26,naive,0.1530731061411946,False
DTLZ1,s42,118,2,33,decl,0.0,True
DTLZ1,s42,118,2,33,naive,0.02801244006557167,False
DTLZ1,s42,118,27,30,decl,0.0,True
DTLZ1,s42,118,27,30,naive,0.2427471759960542,False
DTLZ1,s42,119,0,6,decl,0.0,True
DTLZ1,s42,119,0,6,naive,0.1432589433293188,False
DTLZ1,s42,120,15,25,decl,4.230532434348883e-15,False
DTLZ1,s42,120,15,25,naive,0.14976125846743008,False
DTLZ1,s42,121,24,29,decl,0.0,True
DTLZ1,s42,121,24,29,naive,0.08830752467657592,False
DTLZ1,s42,124,7,17,decl,0.0,True
DTLZ1,s42,124,7,17,naive,0.1665254556876565,False
DTLZ1,s42,124,19,23,decl,0.0,True
DTLZ1,s42,124,19,23,naive,0.12205882326783682,False
DTLZ1,s42,124,31,33,decl,0.0,True
DTLZ1,s42,124,31,33,naive,0.16063804342945506,False
DTLZ1,s42,124,31,34,decl,0.0,True
DTLZ1,s42,124,31,34,naive,0.27123618412289047,False
DTLZ1,s42,124,33,34,decl,0.0,True
DTLZ1,s42,124,33,34,naive,0.13176453832303286,False
DTLZ1,s42,125,10,12,decl,0.0,True
DTLZ1,s42,125,10,12,naive,0.07893174646091569,False
DTLZ1,s42,125,13,26,decl,0.0,True
