prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F1,36,1,0.0004124509648399168,0.6908016279450031,7.608095169067383,0.996,0.03532798633993628
BBOB_F1,38,0,0.0003462114734432329,0.5617711687108985,7.478274822235107,0.9925,0.037874383491147405
BBOB_F1,38,1,0.00037304208765532557,0.7045753154344562,7.434936046600342,0.996,0.034511078236399845
BBOB_F1,40,0,0.00032129166560509044,0.5744624301859824,7.341376304626465,0.9925,0.037138512287731885
BBOB_F1,40,1,0.00034695874004362156,0.6886729866083321,7.356109142303467,0.996,0.03437886590680753
BBOB_F1,42,0,0.0002995707845840463,0.5892496788725394,7.218029975891113,0.9925,0.03673565189479635
BBOB_F1,42,1,0.0003121895755246542,0.6884409363339704,7.228390216827393,0.996,0.033766613031355946
BBOB_F1,44,0,0.0002822054835926918,0.6013273358502222,7.085464954376221,0.992,0.035728592638286386
BBOB_F1,44,1,0.0002914680762885335,0.6943096897406428,7.092339515686035,0.996,0.03283839556646643
BBOB_F1,46,0,0.00026946945987381225,0.6265636425982173,6.97349739074707,0.9915,0.0349529544572557
BBOB_F1,46,1,0.000271316540257524,0.6894392739466694,6.9962286949157715,0.996,0.0325219984904695
BBOB_F1,48,0,0.0002467332857404966,0.6252433506676378,6.8603596687316895,0.9925,0.03421630239373467
BBOB_F1,48,1,0.0002538230661667059,0.7074680308070415,6.876285552978516,0.996,0.03199511429725474
BBOB_F1,50,0,0.00023011261072670416,0.6348871841379435,6.741457939147949,0.9915,0.033624006418184096
BBOB_F1,50,1,0.00023642199288979851,0.7153195860497001,6.747999668121338,0.9955,0.03127949040728709
BBOB_F1,52,0,0.00022454949135534353,0.657770139796618,6.644709587097168,0.9935,0.03198201836757395
BBOB_F1,52,1,0.00022357264365694958,0.7174583890915501,6.647497653961182,0.996,0.03052200817875907
BBOB_F1,54,0,0.00020967888982797867,0.6613191931145062,6.539063453674316,0.993,0.03115938437194715
BBOB_F1,54,1,0.00021212320099085361,0.7356934564389344,6.536881923675537,0.9965,0.02984569398777916
BBOB_F1,56,0,0.00019459663567138058,0.6683856375083022,6.41880989074707,0.9935,0.030573429022243567
BBOB_F1,56,1,0.0001988012130824434,0.7528952357094383,6.416171550750732,0.9975,0.02936168907240885
BBOB_F1,58,0,0.00018170789159244403,0.6768773903436063,6.315606117248535,0.9935,0.030205983903303223
BBOB_F1,58,1,0.00018523251489944447,0.7656186412357253,6.315800666809082,0.997,0.028907940100965788
BBOB_F1,60,0,0.00016845270287007403,0.6843933351654458,6.215843677520752,0.9945,0.029132494484394873
BBOB_F1,60,1,0.00017314510038009506,0.7769805552221525,6.216344833374023,0.9965,0.02874173123170912
BBOB_F1,62,0,0.0001602477744402315,0.7021184971099956,6.106459140777588,0.994,0.029316888865169023
BBOB_F1,62,1,0.00016290279082552242,0.7925512394203718,6.106973648071289,0.997,0.028188225961430485
BBOB_F1,64,0,0.00015005295478269748,0.711393993971462,5.998797416687012,0.994,0.02885389633988676
BBOB_F1,64,1,0.0001532515617088252,0.8093621056511782,5.998444557189941,0.997,0.027470882309990566
BBOB_F1,66,0,0.0001402432820559551,0.7189548858195773,5.899666786193848,0.994,0.028452460049877056
BBOB_F1,66,1,0.00014465119721364083,0.8284915923217323,5.902022838592529,0.9975,0.02705389043762977
BBOB_F1,68,0,0.00013066175143231537,0.7484786628601441,5.786921501159668,0.9945,0.027646687409514165
BBOB_F1,68,1,0.0001348420558234484,0.829527932637576,5.810440540313721,0.9975,0.026528868986294498
BBOB_F1,70,0,0.0001243574625605109,0.7514436356140468,5.723490238189697,0.9945,0.0275381348629508
BBOB_F1,70,1,0.0001273721175763535,0.8551698818886624,5.724312782287598,0.9975,0.026543447187020404
BBOB_F1,72,0,0.00011634898374717666,0.7630528058922009,5.624924659729004,0.9945,0.027111469558558615
BBOB_F1,72,1,0.00011940327493868255,0.8681795125178934,5.632503032684326,0.9975,0.02622041953154463
BBOB_F1,74,0,0.00011075117355700014,0.7836082709246996,5.528935432434082,0.9945,0.026803013872573795
BBOB_F1,74,1,0.00011076708268346034,0.8720687612668241,5.504246711730957,0.9975,0.025753364420953245
BBOB_F1,76,0,0.00010412546600323021,0.7934052408594813,5.4446001052856445,0.9945,0.026358269422668616
BBOB_F1,76,1,0.00010584666689078058,0.8962525196449083,5.442897796630859,0.9975,0.025636123137516332
BBOB_F1,78,0,0.00010010072626422489,0.810524452898674,5.371035099029541,0.995,0.025943685782287222
BBOB_F1,78,1,0.00010023995025080003,0.9006137210221962,5.373826026916504,0.9975,0.025379384127841118
BBOB_F1,80,0,0.0001,0.8376345569610618,5.2985429763793945,0.9945,0.02543865405210374
BBOB_F1,80,1,0.0001,0.9036556783362741,5.31810188293457,0.997,0.024847843583004178
BBOB_F1,82,0,0.0001,0.8498539061101824,5.22727108001709,0.9945,0.025136021359667356
BBOB_F1,82,1,0.0001,0.8815416075286617,5.21142053604126,0.9965,0.02452717335781025
BBOB_F1,84,0,0.0001,0.8348482004355593,5.132485389709473,0.9945,0.02499502567747427
BBOB_F1,84,1,0.0001,0.9564884722742713,5.151500701904297,0.998,0.023726435367096208
BBOB_F1,86,0,0.0001,0.8800277970431041,5.109467506408691,0.9945,0.024532187173798334
BBOB_F1,86,1,0.0001,0.974815829696372,5.084744930267334,0.998,0.023362881548763443
BBOB_F1,88,0,0.0001,0.8835038871143932,5.059433460235596,0.9945,0.024383738455139203
BBOB_F1,88,1,0.0001,1.0181394949362597,5.008191108703613,0.998,0.022837228711381174
BBOB_F1,90,0,0.0001,0.8882815320811946,4.998106956481934,0.9945,0.024183729052444255
BBOB_F1,90,1,0.0001,0.9770314342846182,4.998874664306641,0.998,0.0232037782784367
BBOB_F1,92,0,0.0001,0.9120564302474095,4.929642677307129,0.995,0.02362841663543503
BBOB_F1,92,1,0.0001,0.9950630097477231,4.937519550323486,0.998,0.02281021150109459
BBOB_F1,94,0,0.0001,0.9265772143123818,4.889559745788574,0.995,0.023473472540413223
BBOB_F1,94,1,0.0001,0.9898111021170262,4.896096229553223,0.998,0.022734633114157035
BBOB_F1,96,0,0.0001,0.9473908911542466,4.824067115783691,0.995,0.023126767838710767
BBOB_F1,96,1,0.0001,1.029588337523998,4.821452617645264,0.998,0.022421071631818817
BBOB_F1,98,0,0.0001,0.9672167746373983,4.781500816345215,0.9955,0.022602400933059583
BBOB_F1,98,1,0.0001,1.0217735002068735,4.795536041259766,0.998,0.022161850087479285
BBOB_F1,100,0,0.0001,1.0248981286662935,4.665356636047363,0.9955,0.021911010449891355
BBOB_F1,100,1,0.0001,1.0389781056722103,4.72763729095459,0.9985,0.021196773671738594
BBOB_F1,102,0,0.0001,1.0180425184425659,4.671433448791504,0.9955,0.02180766707501646
