label,exp,problema,tier,dist,status,motivo_parada,maxfe,fe_final,n_ger,algo_version,env,cache_hits,fallback,n_retries,stack_trace,has_params_5,fit_series_len,sonda_nblocos_5,sonda_S_5,t_total,t_fit,t_busca,t_aval_real,t_sonda,sd_keys,sd_modelo_hp_null,sd_sigma_null,sd_mode12,D,M,n1,u1_n1_eq_maxfe,u1_n1_eq_esperado,u1_fase_init_pct,u1_fe_index_denso,u1_solution_id_denso,u2_ds_n,u2_dX_max,u2_dF_max,u2_bitaabit,u2_ds_tier,u2_ds_dist,u2_doe_hash_eq_cp,n2,n3,n3_sonda,n3_offline,n3_regimes,u10_ger_min,u10_ger_max,u10_ger_denso,N_lattice,u10_pop_const,u10_n3off_eq,c3_fe_surr,c3_overshoot_ok,c3_nger_formula,f2_sigma_nan_pct,f2_mu_nan_pct,f3_rsid_null_pct,u8_fe_treino_max_u,u8_fe_treino_ok,c8_espaco,c8_transf_null,c1_modelo_flag,c1_pred_tipo,c1_pred_cls_null,c17_sonda_ger_null,u5_n_sonda,u5_dX_max,u5_ok,u5_hash_ok,n4,u3_n4_eq1,u3_nacum,u3_nacum_ok,u7_fit_busca,u7_tempo_ger,u7_le,u7_sonda_excluida,j_bad,j_badtxt,j_header,j_sonda,j_decision,j_footer,j_guard,j_recs,u10_dec_eq_nger,u10_dec_denso,c9_caminho,c9_motivo,c9_chaves_dec,f3_nds_membros0,j_fe_const,j_fbest_len,j_nfront1_min,j_nfront1_max,u4_sonda_ev,u4_npontos,u4_hashcheck,u4_sonda_ger,j_footer_status,j_footer_nfinal,j_footer_nnd,u9_cache_footer,j_footer_cpinit,n7,u12_nd_recomputo_ok,u12_nd,u12_fantasia,u12_origem_ger_u,u12_origem_ger_ok,u12_rsid_null,u12_n7_eq_pop,u12_footer_ok,u12_linha_denso,u12_link_dX,u12_link_bit,u11_erro_fantasia_med,u11_erro_fant_rel_med,u11_mu_menor_pct,c14_turnover_med,c14_turnover_mean,c14_turnover_g1,c14_turnover_ult,c14_turnover_max,c14_gers_sem_mudanca,c14_turnover_q1,c14_turnover_q4
MMF11_L,off,MMF11_L,small,lhs,ok,orcamento,61,61,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,34.5271,0.0186,31.9124,0.0,0.1063,20,True,True,True,2,2,61,True,True,1.0,True,True,61,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,60,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,61,True,31.93097686767578,31.93097686767578,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,8,50,1,20000,ok,1,ok,50,18,0,True,50,True,18,0.36,801,True,True,True,True,True,0.0,True,7.569091767072678,0.5047178678240691,0.7,0.02,0.14245000000000002,1.0,0.0,1.0,297,0.36560000000000004,0.0044
MMF16_20,off,MMF16_20,small,lhs,ok,orcamento,619,619,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,78.6854,21.8556,50.8867,0.0,3.0062,20,True,True,True,20,3,619,True,True,1.0,True,True,619,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,618,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,619,True,72.7423152923584,72.74231719970703,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,46,82,1,20000,ok,1,ok,105,65,0,True,105,True,65,0.6190476190476191,381,True,True,True,True,True,0.0,True,1.0392295569181442,1.0348885159143393,1.0,0.13333333333333333,0.15892230576441102,0.9809523809523809,0.12380952380952381,0.9809523809523809,0,0.2782957393483709,0.08892230576441101
MMF4,off,MMF4,small,lhs,ok,orcamento,61,61,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,35.0355,0.0468,32.5825,0.0,0.1126,20,True,True,True,2,2,61,True,True,1.0,True,True,61,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,60,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,61,True,32.62935137748718,32.62935256958008,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,6,46,1,20000,ok,1,ok,50,13,0,True,50,True,13,0.26,801,True,True,True,True,True,0.0,True,0.18894970999099314,0.596494847701682,0.64,0.04,0.11330000000000001,1.0,0.0,1.0,176,0.3017000000000001,0.011200000000000002
WFG1,off,WFG1,small,lhs,ok,orcamento,681,681,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,66.4375,16.6468,45.1402,0.0,2.3857,20,True,True,True,22,2,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,61.78700637817383,61.78700637817383,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,11,49,1,20000,ok,1,ok,50,18,0,True,50,True,18,0.36,801,True,True,True,True,True,0.0,True,0.16989094018936157,0.08986380008796717,0.88,0.14,0.19785000000000003,1.0,0.04,1.0,18,0.3822,0.11400000000000002
WFG2,off,WFG2,small,lhs,ok,orcamento,681,681,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,68.6009,17.4941,46.4593,0.0,2.4027,20,True,True,True,22,2,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,63.95335006713867,63.95335006713867,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,6,44,1,20000,ok,1,ok,50,2,0,True,50,True,2,0.04,801,True,True,True,True,True,0.0,True,1.7136147916316986,0.8429504636985367,1.0,0.2,0.264475,0.98,0.1,0.98,0,0.4354,0.21790000000000004
WFG4,off,WFG4,small,lhs,ok,orcamento,681,681,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,67.1608,15.7284,46.8167,0.0,2.3809,20,True,True,True,22,2,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,62.54507637023926,62.545074462890625,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,9,45,1,20000,ok,1,ok,50,15,0,True,50,True,15,0.3,801,True,True,True,True,True,0.0,True,1.6751995384693146,0.6582972541712195,1.0,0.16,0.21912500000000004,0.98,0.06,1.0,25,0.42040000000000005,0.09440000000000001
WFG5,off,WFG5,small,lhs,ok,orcamento,681,681,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,68.1767,17.814,45.6728,0.0,2.384,20,True,True,True,22,2,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,63.48677062988281,63.48677062988281,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,8,43,1,20000,ok,1,ok,50,15,0,True,50,True,15,0.3,801,True,True,True,True,True,0.0,True,1.0377597771584988,0.6047455997627346,0.9,0.16,0.22805000000000003,0.98,0.0,1.0,33,0.43620000000000003,0.08980000000000002
WFG9,off,WFG9,small,lhs,ok,orcamento,681,681,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,65.0766,16.2318,44.2274,0.0,2.383,20,True,True,True,22,2,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,60.459224700927734,60.459224700927734,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,8,48,1,20000,ok,1,ok,50,1,0,True,50,True,1,0.02,801,True,True,True,True,True,0.0,True,1.1247893571853638,0.7571940181875615,0.79,0.16,0.213375,0.96,0.06,1.0,19,0.41400000000000003,0.11019999999999999
ZDT1,off,ZDT1,small,lhs,ok,orcamento,929,929,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,124.2121,62.7861,55.0231,0.0,4.3253,20,True,True,True,30,2,929,True,True,1.0,True,True,929,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,928,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,929,True,117.80924987792969,117.80924987792969,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,8,33,1,20000,ok,1,ok,50,23,0,True,50,True,23,0.46,801,True,True,True,True,True,0.0,True,0.0074714720249176025,0.021935468056450268,0.52,0.18,0.245925,1.0,0.18,1.0,2,0.39189999999999997,0.16450000000000004
ZDT3,off,ZDT3,small,lhs,ok,orcamento,929,929,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,124.2188,61.8495,55.857,0.0,4.351,20,True,True,True,30,2,929,True,True,1.0,True,True,929,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,928,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,929,True,117.70646667480469,117.70646667480469,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,6,33,1,20000,ok,1,ok,50,15,0,True,50,True,15,0.3,801,True,True,True,True,True,0.0,True,0.7720657140016556,0.7675797554869963,0.74,0.2,0.252475,1.0,0.06,1.0,5,0.47859999999999997,0.1286
