problema,geracao,fe,n_pop,n_front1,tempo_geracao_s
WFG5,20,560,20,17,0.028597
WFG5,21,579,20,15,0.031103
WFG5,22,596,20,15,0.028245
WFG5,23,615,20,16,0.023373
WFG5,24,630,20,14,0.023092
WFG5,25,647,20,16,0.022284
WFG5,26,664,20,15,0.021355
WFG9,1,241,20,15,0.302298
WFG9,2,260,20,9,0.162844
WFG9,3,277,20,10,0.067374
WFG9,4,295,20,9,0.066072
WFG9,5,312,20,9,0.074103
WFG9,6,329,20,10,0.07439
WFG9,7,346,20,12,0.052246
WFG9,8,366,20,12,0.094232
WFG9,9,385,20,11,0.070442
WFG9,10,403,20,10,0.070088
WFG9,11,422,20,10,0.053627
WFG9,12,441,20,9,0.051171
WFG9,13,460,20,11,0.049461
WFG9,14,478,20,10,0.055418
WFG9,15,494,20,10,0.047474
WFG9,16,513,20,10,0.048702
WFG9,17,531,20,12,0.050675
WFG9,18,551,20,11,0.053451
WFG9,19,569,20,11,0.048489
WFG9,20,586,20,9,0.047205
WFG9,21,606,20,11,0.04996
WFG9,22,623,20,11,0.046783
WFG9,23,643,20,10,0.050082
WFG9,24,660,20,9,0.046776
WFG9,25,678,20,9,0.048075
ZDT1,1,329,20,14,0.234665
ZDT1,2,347,20,10,0.113879
ZDT1,3,364,20,11,0.028716
ZDT1,4,379,20,10,0.023288
ZDT1,5,398,20,11,0.034608
ZDT1,6,414,20,11,0.035404
ZDT1,7,427,20,11,0.019979
ZDT1,8,443,20,11,0.020327
ZDT1,9,459,20,11,0.018398
ZDT1,10,476,20,11,0.017895
ZDT1,11,493,20,10,0.01791
ZDT1,12,507,20,8,0.019371
ZDT1,13,518,20,10,0.020102
ZDT1,14,535,20,10,0.018256
ZDT1,15,549,20,10,0.020932
ZDT1,16,565,20,9,0.018605
ZDT1,17,580,20,7,0.01889
ZDT1,18,595,20,7,0.019213
ZDT1,19,610,20,7,0.018557
ZDT1,20,630,20,7,0.017128
ZDT1,21,644,20,8,0.019319
ZDT1,22,663,20,8,0.017649
ZDT1,23,678,20,8,0.018764
ZDT1,24,694,20,8,0.01825
ZDT1,25,707,20,9,0.019409
ZDT1,26,725,20,8,0.017952
ZDT1,27,741,20,8,0.01919
ZDT1,28,756,20,8,0.018875
ZDT1,29,773,20,8,0.017924
ZDT1,30,791,20,8,0.018142
ZDT1,31,806,20,7,0.019184
ZDT1,32,819,20,7,0.019661
ZDT1,33,835,20,7,0.018524
ZDT1,34,852,20,7,0.018625
ZDT1,35,868,20,7,0.018672
ZDT1,36,882,20,7,0.019081
ZDT1,37,897,20,6,0.019497
ZDT1,38,915,20,6,0.019741
ZDT3,1,329,20,12,0.27052
ZDT3,2,345,20,8,0.12942
ZDT3,3,362,20,8,0.038103
ZDT3,4,377,20,9,0.025805
ZDT3,5,395,20,9,0.035533
ZDT3,6,410,20,7,0.035775
ZDT3,7,423,20,7,0.022073
ZDT3,8,439,20,6,0.018836
ZDT3,9,453,20,6,0.019489
ZDT3,10,467,20,10,0.023815
ZDT3,11,482,20,9,0.026487
ZDT3,12,496,20,9,0.022412
ZDT3,13,509,20,8,0.020147
ZDT3,14,526,20,10,0.018834
ZDT3,15,541,20,10,0.027091
ZDT3,16,556,20,10,0.030636
ZDT3,17,570,20,10,0.027315
ZDT3,18,584,20,10,0.023444
ZDT3,19,601,20,10,0.018482
ZDT3,20,620,20,10,0.018309
ZDT3,21,633,20,10,0.02073
ZDT3,22,653,20,10,0.017776
ZDT3,23,668,20,10,0.022852
ZDT3,24,684,20,10,0.018947
ZDT3,25,699,20,10,0.019044
ZDT3,26,715,20,10,0.019595
ZDT3,27,732,20,10,0.019081
ZDT3,28,749,20,10,0.018658
ZDT3,29,765,20,10,0.018633
ZDT3,30,782,20,10,0.019525
ZDT3,31,795,20,10,0.020629
