problema,D,M,maxfe,n_doe,n_ger,N_nom,N_ef,N_lat,lat_n,lat_soma_err,u1_len,u1_denso,u1_fefinal,termino,status,n_init,n_init_ok,doe_hash_ok,dX_max,dupX_total,dupX_doe,sur_vazia,sur_cols,fit_series_vazia,sonda_status,sonda_blocos,tim_rows_ok,tim_fit_null,tim_busca_null,tim_sonda_null,dt_ev_pq,soma_tger,t_total,t_aval,frac_tger,nacc_unicos,nacc_min,nacc_max,ch_jsonl,ch_man,ch_foot,hs_jsonl,ch_seed_bloco,seed_hits_doe,ch_off,alvo_doe,alvo_infill,sid_repetidos,max_hits_sid,tentativas,novos,ledger,pop_rows_ok,taxa_clone,uniq_g1,uniq_med,uniq_min,uniq_gf,maxmult,frac_doe_final,viol_ideal,npop_ok,nf1_g1,nf1_fim,nf1_max,fe_g1,dfe_min,dfe_max,dfe_med,seed_n_doe,seed_f1,seed_exc,seed_nfr,cp_init,algo_version,n_evs,n_guards
DTLZ4,12,3,371,131,18,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,131,True,True,0.0,1,0,True,33,True,nao_se_aplica,0,True,True,True,True,4.399299619040065e-09,0.6745639964938164,5.13918,0.12971000000000005,0.1312590717767847,0,,,37,37,37,1,16,True,22,1,21,5,4,270,240,7,True,0.08148148148148149,1.0,0.8,0.7333333333333333,0.8,2,0.0,3,True,15,11,15,131,13,15,14.0,131,23,True,7,True,piso-MOEAD-PlatEMO4.15-type1-PBI,60,38
DTLZ7,22,3,681,241,33,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,241,True,True,0.0,2,0,True,43,True,nao_se_aplica,0,True,True,True,True,9.212493878862915e-09,1.5489539857953787,7.844259,0.35829799999999995,0.1974633914810027,0,,,69,69,69,1,16,True,54,1,53,12,5,495,440,0,True,0.10909090909090909,1.0,0.7333333333333333,0.6666666666666666,0.8666666666666667,2,0.0,13,True,15,11,15,241,10,15,14.0,241,21,True,10,True,piso-MOEAD-PlatEMO4.15-type1-PBI,107,70
MMF1,2,2,61,21,3,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,21,True,True,0.0,1,0,True,21,True,nao_se_aplica,0,True,True,True,True,2.2687912104579766e-09,0.400882001966238,4.130395,0.022207999999999995,0.09705657738938722,0,,,34,34,34,1,21,True,14,5,9,2,2,60,40,5,True,0.23333333333333334,1.0,0.65,0.6,0.6,3,0.3,2,True,7,11,11,21,14,16,15.0,21,7,False,6,True,piso-MOEAD-PlatEMO4.15-type1-PBI,42,35
MMF11_L,2,2,61,21,3,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,21,True,True,0.0,3,0,True,21,True,nao_se_aplica,0,True,True,True,True,6.3581466758222405e-09,0.40446100383996964,4.236753,0.027222,0.09546485335349254,0,,,32,32,32,1,21,True,12,6,6,1,2,60,40,7,True,0.2,1.0,0.65,0.65,0.65,2,0.05,2,True,9,7,9,21,15,16,15.5,21,9,False,3,True,piso-MOEAD-PlatEMO4.15-type1-PBI,40,33
MMF16_20,20,3,619,219,29,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,219,True,True,0.0,3,0,True,41,True,nao_se_aplica,0,True,True,True,True,1.6551017778532184e-09,0.8792550014331937,4.713688,0.20889,0.18653228670060334,0,,,41,41,41,1,16,True,26,1,25,6,3,435,400,8,True,0.059770114942528735,1.0,0.8,0.7333333333333333,0.8666666666666667,2,0.0,7,True,15,14,15,219,12,15,14.0,219,50,True,7,True,piso-MOEAD-PlatEMO4.15-type1-PBI,75,42
MMF4,2,2,61,21,3,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,21,True,True,0.0,2,0,True,21,True,nao_se_aplica,0,True,True,True,True,6.82353973324723e-09,0.39293201081454754,4.281545,0.022692999999999998,0.09177341609501885,0,,,31,31,31,1,21,True,11,6,5,2,3,60,40,8,True,0.18333333333333332,1.0,0.75,0.7,0.7,3,0.2,2,True,9,15,15,21,14,18,16.0,21,9,False,4,True,piso-MOEAD-PlatEMO4.15-type1-PBI,39,32
WFG1,22,2,681,241,31,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,241,True,True,0.0,3,0,True,41,True,nao_se_aplica,0,True,True,True,True,5.856513968227617e-09,1.1375240050256252,5.233904,0.3093829999999999,0.2173375753597363,0,,,183,183,183,1,21,True,163,1,162,42,10,620,440,16,True,0.2629032258064516,1.0,0.65,0.55,0.65,3,0.0,5,True,18,16,20,241,10,20,15.0,241,18,False,22,True,piso-MOEAD-PlatEMO4.15-type1-PBI,219,184
WFG2,22,2,681,241,27,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,241,True,True,0.0,4,0,True,41,True,nao_se_aplica,0,True,True,True,True,1.4343261856009093e-09,1.0740389972925186,5.162866,0.43229900000000027,0.20803154629473602,0,,,109,109,109,1,21,True,89,1,88,23,8,540,440,10,True,0.1648148148148148,1.0,0.75,0.65,0.75,2,0.0,19,True,8,5,9,241,12,20,17.0,241,8,False,26,True,piso-MOEAD-PlatEMO4.15-type1-PBI,141,110
WFG4,22,2,681,241,27,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,241,True,True,0.0,2,0,True,41,True,nao_se_aplica,0,True,True,True,True,4.053115842950206e-09,1.0379090011119843,5.366602,0.2744499999999999,0.19340152318207762,0,,,115,115,115,1,21,True,95,1,94,23,6,540,440,4,True,0.17592592592592593,1.0,0.75,0.65,0.8,2,0.0,3,True,20,10,20,241,13,20,16.0,241,30,True,10,True,piso-MOEAD-PlatEMO4.15-type1-PBI,147,116
WFG5,22,2,681,241,26,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,241,True,True,0.0,1,0,True,41,True,nao_se_aplica,0,True,True,True,True,5.749702464141748e-09,0.9765839986503124,5.05593,0.27499400000000024,0.19315615498045116,0,,,99,99,99,1,21,True,79,1,78,18,8,520,440,0,True,0.1519230769230769,1.0,0.8,0.7,0.9,2,0.0,2,True,20,15,20,241,13,19,17.0,241,36,True,10,True,piso-MOEAD-PlatEMO4.15-type1-PBI,130,100
WFG9,22,2,681,241,25,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,241,True,True,0.0,6,0,True,41,True,nao_se_aplica,0,True,True,True,True,9.395599354089512e-09,1.7814380191266537,5.902014,1.4232109999999996,0.3018356139322363,0,,,64,64,64,1,21,True,44,1,43,11,7,500,440,15,True,0.088,1.0,0.85,0.8,0.95,2,0.0,2,True,15,9,15,241,16,20,18.0,241,15,False,11,True,piso-MOEAD-PlatEMO4.15-type1-PBI,94,65
ZDT1,30,2,929,329,38,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,329,True,True,0.0,5,0,True,49,True,nao_se_aplica,0,True,True,True,True,6.3991546506159125e-09,1.0745820123702288,5.638995,0.25485600000000064,0.1905626822457244,0,,,179,179,179,1,21,True,159,1,158,40,8,760,600,0,True,0.20921052631578949,1.0,0.7,0.65,0.7,3,0.0,4,True,14,6,14,329,11,20,16.0,329,14,False,19,True,piso-MOEAD-PlatEMO4.15-type1-PBI,222,180
ZDT3,30,2,929,329,38,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,329,True,True,0.0,8,0,True,49,True,nao_se_aplica,0,True,True,True,True,2.6655197216118864e-09,1.2037060000002384,5.584304,0.26398800000000056,0.21555166051136154,0,,,179,179,179,1,21,True,159,1,158,41,9,760,600,0,True,0.20921052631578949,1.0,0.7,0.55,0.8,2,0.0,5,True,12,8,12,329,13,20,16.0,329,12,False,21,True,piso-MOEAD-PlatEMO4.15-type1-PBI,222,180
ZDT4,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,0,0,True,29,True,nao_se_aplica,0,True,True,True,True,7.408142099762927e-09,0.6908779907971621,4.763282,0.09131299999999999,0.14504242889611868,0,,,90,90,90,1,21,True,70,1,69,20,6,280,200,9,True,0.25,1.0,0.55,0.55,0.55,2,0.0,1,True,8,8,11,109,11,20,15.0,109,8,False,17,True,piso-MOEAD-PlatEMO4.15-type1-PBI,109,91
ZDT6,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,2,0,True,29,True,nao_se_aplica,0,True,True,True,True,1.4778137213955489e-08,0.8328079860657454,5.24444,0.13063500000000006,0.158798267511068,0,,,87,87,87,1,21,True,67,1,66,17,5,280,200,12,True,0.2392857142857143,1.0,0.575,0.55,0.7,2,0.0,2,True,7,7,11,109,12,19,15.0,109,7,False,20,True,piso-MOEAD-PlatEMO4.15-type1-PBI,106,88
