problema,D,M,u1_len1,u1_maxfe,u1_31Dm1,u1_ok_fe,u1_feidx_denso,u1_sid_unicos,u1_termino,u1_nfooter,u1_hardstop,u1_status,u1_retries,u1_fallback,u2_ninit,u2_esperado,u2_prefixo,u2_dX,u2_hash_ok,u2_cpinit,u2_fases,u3_n3,u3_cols3,u3_tempo_nulos,u3_n4,u3_nacum_nan,u3_fitseries,u3_sigma_dict_presente,u3_timing5_nulos,u3_tempo_aval_real,u4_sonda_status,u4_sonda_blocos,u4_sonda_linhas,u4_rec_sonda,t11_campanha_id,t11_repo_hash,t11_schema_version,t11_regra_rotulo,t11_sonda_estrat,t11_ger_deriv,u7_n_gen6,u7_n_ger4,u7_dmax,u7_ger_seq,u7_soma_le_total,u7_soma_ger,u7_total,u7_aval_le_ger,u9_ch6,u9_ch5,u9_chfooter,u9_ok,u9_sid_no1,u9_seedblk,u9_seedblk_sids,u9_seedblk_todos_doe,u9_dup_arranque,u9_ch_prole,u10_pop_20,u10_n2,u10_nger_man,u10_nger6,u10_nger4,u10_nger_eq,u10_D_mais_1,u10_subset,t11_form_nova,t11_form_nova_ok,t11_form_nova_prole,t11_form_antiga,t11_form_ceil_f5,p1_bate,p1_inter,p1_nfrentes_rec,p1_nfrentes_calc,p1_nf1_rec,p1_nf1_calc,p1_ndoe_rec,p1_excede_rec,p1_excede_calc,p2_Nnom,p2_Nef,p2_npop_gen,p2_hdr_N,p3_infill,p3_20D,p4_transicoes,p4_violacoes,p4_turn_min,p4_turn_max,p4_turn_med,p4_doe_sobrevive,p5_fbest_eq_ideal,p5_comp,p5_viol,p5_melhora,p5_estag,p5_nadirf1_le_pop,p6_le_N,p6_max,p6_satura,p6_satura_g1,p7_resto,p7_ch_prole,p7_ledger_ok,p7_slots,p7_taxa,p7_clones2,p7_gens_com_clone,p7_clone_max,p8_err_rel,p8_n1_ok,p8_n1_tot,n4_nan,n4_xmin,n4_xmax,n3_x_dup,n1_patches,n1_piso,n1_surrog,n5_campos6,n5_nadirf1,n6_hdr_runid,n6_hdr_ambiente,n6_hdr_sigma,n6_hdr_campanha,n6_algo_version,n6_matlab
DTLZ4,12,3,371,371,371,True,True,True,normal,1,1,ok,0,False,131,131,True,0.0,True,True,"init,opt",0,33,13,13,13,0,False,True,0.11799700000000009,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,13,13,5.97476959574017e-09,True,True,0.5217570103704929,4.633764,True,22,22,22,True,True,21,20,True,True,1,True,260,13,13,13,True,True,True,13,True,12,12,12,False,4,7,1,23,131,131,True,True,20,20,[20],20,240,True,12,0,6,13,8.75,0,True,36,0,14,22,True,True,20,True,True,1,1,True,240,0.004166666666666667,1,1,1,5.5874307994441214e-08,0,13,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
DTLZ7,22,3,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,43,23,23,23,0,False,True,0.1677639999999996,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,6.909370409147186e-09,True,True,0.6126160062849522,4.774166,True,36,36,36,True,True,21,20,True,True,15,True,460,23,23,23,True,True,True,23,True,22,22,22,False,1,10,1,21,241,241,True,True,20,20,[20],20,440,True,22,0,7,13,8.954545454545455,0,True,66,0,14,52,True,True,20,True,True,15,15,True,440,0.03409090909090909,7,4,2,4.769503682246201e-08,14,23,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
MMF1,2,2,61,61,61,True,True,True,normal,1,1,ok,0,False,21,21,True,0.0,True,True,"init,opt",0,21,3,3,3,0,False,True,0.027742000000000003,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,3,3,1.228713991663355e-08,True,True,0.44839298725128174,19.357912,True,22,22,22,True,True,21,20,True,True,1,True,60,3,3,3,True,True,True,3,True,2,2,2,False,19,6,1,7,21,21,False,True,20,20,[20],20,40,True,2,0,5,13,9.0,4,True,4,0,1,3,True,True,14,False,False,1,1,True,40,0.025,1,1,1,3.366436198489513e-08,1,3,0,-0.9493800401687622,2.9962074756622314,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
MMF11_L,2,2,61,61,61,True,True,True,normal,1,1,ok,0,False,21,21,True,0.0,True,True,"init,opt",0,21,3,3,3,0,False,True,0.04025400000000001,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,3,3,1.1322021487014666e-08,True,True,0.40290598943829536,4.568183,True,22,22,22,True,True,21,20,True,True,1,True,60,3,3,3,True,True,True,3,True,2,2,2,False,19,3,1,9,21,21,False,True,20,20,[20],20,40,True,2,0,10,12,11.0,3,True,4,0,2,2,True,True,14,False,False,1,1,True,40,0.025,0,0,0,4.920870795232509e-08,3,3,0,0.10341499745845795,1.0904828310012817,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
MMF16_20,20,3,619,619,619,True,True,True,normal,1,1,ok,0,False,219,219,True,0.0,True,True,"init,opt",0,41,21,21,21,0,False,True,0.18741000000000035,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,21,21,1.3355255124025689e-08,True,True,0.6750259893015027,4.567939,True,31,31,31,True,True,21,20,True,True,10,True,420,21,21,21,True,True,True,21,True,20,20,20,False,1,7,1,50,219,219,True,True,20,20,[20],20,400,True,20,0,4,11,6.95,0,True,60,0,13,47,True,True,20,True,True,10,10,True,400,0.025,0,0,0,5.178290436526978e-08,21,21,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
MMF4,2,2,61,61,61,True,True,True,normal,1,0,ok,0,False,21,21,True,0.0,True,True,"init,opt",0,21,3,3,3,0,False,True,0.017528,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,3,3,1.8038749660664877e-09,True,True,0.26128700003027916,3.766089,True,21,21,21,True,True,21,20,True,True,0,True,60,3,3,3,True,True,True,3,True,2,2,2,False,19,4,1,9,21,21,False,True,20,20,[20],20,40,True,2,0,9,10,9.5,6,True,4,0,3,1,True,True,20,True,False,0,0,True,40,0.0,0,0,0,3.886052735754624e-08,2,3,0,-0.9923277497291565,1.9909117221832275,1,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
WFG1,22,2,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,41,23,23,23,0,False,True,0.29600799999999977,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,7.3633193986566425e-09,True,True,0.6997199933975935,4.831852,True,33,33,33,True,True,21,20,True,True,12,True,460,23,23,23,True,True,True,23,True,22,22,22,False,2,22,1,18,241,241,False,True,20,20,[20],20,440,True,22,0,4,10,7.7727272727272725,0,True,44,0,16,28,True,True,20,True,False,12,12,True,440,0.02727272727272727,0,0,0,4.4667450902765945e-08,23,23,0,0.0,44.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
WFG2,22,2,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,41,23,23,23,0,False,True,0.39266699999999966,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,5.221366894403445e-09,True,True,0.7180090062320232,4.901236,True,32,32,32,True,True,21,20,True,True,11,True,460,23,23,23,True,True,True,23,True,22,22,22,False,2,26,1,8,241,241,False,True,20,20,[20],20,440,True,22,0,5,11,7.954545454545454,0,True,44,0,18,26,True,True,17,False,False,11,11,True,440,0.025,9,6,2,4.5106508078310516e-08,23,23,0,0.0,43.9585075378418,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
WFG4,22,2,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,41,23,23,23,0,False,True,0.272938,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,5.232810962318979e-09,True,True,0.6590080037713051,4.804548,True,32,32,32,True,True,21,20,True,True,11,True,460,23,23,23,True,True,True,23,True,22,22,22,False,1,10,1,30,241,241,True,True,20,20,[20],20,440,True,22,0,5,11,7.090909090909091,0,True,44,0,18,26,True,True,20,True,True,11,11,True,440,0.025,0,0,0,5.499370106741085e-08,23,23,0,0.0,43.95221710205078,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
WFG5,22,2,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,41,23,23,23,0,False,True,0.3151670000000007,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,1.1299133295672448e-08,True,True,0.8401460079476237,4.945818,True,31,31,31,True,True,21,20,True,True,10,True,460,23,23,23,True,True,True,23,True,22,22,22,False,2,10,1,36,241,241,True,True,20,20,[20],20,440,True,22,0,3,11,7.545454545454546,0,True,44,0,18,26,True,True,20,True,True,10,10,True,440,0.022727272727272728,1,1,1,5.5072338374507273e-08,23,23,0,0.0,44.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
WFG9,22,2,681,681,681,True,True,True,normal,1,1,ok,0,False,241,241,True,0.0,True,True,"init,opt",0,41,23,23,23,0,False,True,1.3284889999999991,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,23,23,3.5462379421868917e-09,True,True,1.3514700047671795,6.139835,True,31,31,31,True,True,21,20,True,True,10,True,460,23,23,23,True,True,True,23,True,22,22,22,False,1,11,1,15,241,241,False,True,20,20,[20],20,440,True,22,0,3,9,6.0,0,True,44,0,13,31,True,True,20,True,False,10,10,True,440,0.022727272727272728,8,8,1,5.102122118888936e-08,23,23,0,0.0,43.8935546875,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
ZDT1,30,2,929,929,929,True,True,True,normal,1,1,ok,0,False,329,329,True,0.0,True,True,"init,opt",0,49,31,31,31,0,False,True,0.2243679999999993,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,31,31,3.2920837444994078e-09,True,True,0.6828680029138923,4.482376,True,40,40,40,True,True,21,20,True,True,19,True,620,31,31,31,True,True,True,32,False,30,30,30,False,1,19,1,14,329,329,False,True,20,20,[20],20,600,True,30,0,6,12,9.6,0,True,60,0,23,37,True,True,20,True,False,17,19,False,600,0.03166666666666667,8,6,2,5.516649083494928e-08,21,31,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
ZDT3,30,2,929,929,929,True,True,True,normal,1,1,ok,0,False,329,329,True,0.0,True,True,"init,opt",0,49,31,31,31,0,False,True,0.20924999999999908,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,31,31,8.630752570959466e-10,True,True,0.44386599864810705,1.019813,True,32,32,32,True,True,21,20,True,True,11,True,620,31,31,31,True,True,True,31,True,30,30,30,False,0,21,1,12,329,329,False,True,20,20,[20],20,600,True,30,0,7,14,9.566666666666666,0,True,60,0,19,41,True,True,20,True,False,11,11,True,600,0.018333333333333333,7,6,2,4.83488524429956e-08,17,31,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
ZDT4,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.10323100000000009,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,1.1686325074311554e-08,True,True,0.6145990127697587,4.769971,True,27,27,27,True,True,21,20,True,True,6,True,220,11,11,11,True,True,True,11,True,10,10,10,False,4,17,1,8,109,109,False,True,20,20,[20],20,200,True,10,0,8,12,10.1,0,True,20,0,13,7,True,True,10,False,False,5,6,False,200,0.03,10,5,4,4.9709861100383805e-08,11,11,0,-4.9811506271362305,5.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
ZDT6,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.09209099999999999,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,7.247924815878548e-09,True,True,0.5612740106880665,4.819725,True,30,30,30,True,True,21,20,True,True,9,True,220,11,11,11,True,True,True,11,True,10,10,10,False,5,20,1,7,109,109,False,True,20,20,[20],20,200,True,10,0,9,12,11.2,0,True,20,0,11,9,True,True,10,False,False,8,9,False,200,0.045,3,3,1,5.553004316142221e-08,10,11,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
