label,problema,tier,dist,g,frac,n_pop,hv_sur,igdp_sur,hv_real,igdp_real,sig_med,rmse,wape
BBOB_F17,BBOB_F17,main,lhs,1846,0.7501015847216579,26,0.27844367507291645,0.6261503475863517,0.5323697563848366,0.3705210272972389,18.041067123413086,7038907.427490999,7.916913890589051
BBOB_F17,BBOB_F17,main,lhs,1948,0.7915481511580659,24,0.26772712274793514,0.6345067034399613,0.5372588382213414,0.3665601326430208,18.03148078918457,7034779.115459445,7.94912333443841
BBOB_F17,BBOB_F17,main,lhs,2051,0.8334010564811053,27,0.2730798936594489,0.6303307148148587,0.5467589576943186,0.35875129353971,18.03684425354004,7034317.524149526,7.9532804619994035
BBOB_F17,BBOB_F17,main,lhs,2153,0.8748476229175132,31,0.29942489114633125,0.6098687529446744,0.5393751785951956,0.36496129262060184,18.033451080322266,7033571.694436606,7.957850638949296
BBOB_F17,BBOB_F17,main,lhs,2256,0.9167005282405526,27,0.27317673011468363,0.6302552676781428,0.5475755498924454,0.35809148453835077,18.032512664794922,7035057.716714453,7.947280305543685
BBOB_F17,BBOB_F17,main,lhs,2358,0.9581470946769606,29,0.26028415102830377,0.6403136388469254,0.5486174794953207,0.3572508286223737,18.01495933532715,7033862.312921922,7.956821153738535
BBOB_F17,BBOB_F17,main,lhs,2461,1.0,29,0.25968422337470787,0.640781702075261,0.5381529869709856,0.3658133623539446,18.019804000854492,7033745.965452702,7.958616415806146
BBOB_F22,BBOB_F22,main,lhs,1,0.0008741258741258741,50,0.0,1.2464461515675302,0.0,1.0356295707456455,10.907191276550293,105477.30563908786,0.13798911367802064
BBOB_F22,BBOB_F22,main,lhs,48,0.04195804195804196,3,0.4752858905754927,0.7180373925815275,0.15524404777843767,0.7096046424418256,6.281324863433838,162331.04742714713,73.00283929676472
BBOB_F22,BBOB_F22,main,lhs,96,0.08391608391608392,11,2.0080161275099013,0.37792234435142513,0.20370827993244697,0.6448295823012425,4.449225902557373,234136.65508246518,6.164129343147194
BBOB_F22,BBOB_F22,main,lhs,143,0.125,15,2.1008692942593648,0.3635826405175817,0.15109820001700625,0.7182450157686333,4.356590270996094,247310.129034315,5.229728139913352
BBOB_F22,BBOB_F22,main,lhs,191,0.16695804195804195,29,2.1524796802923167,0.352900597595687,0.1410586342915609,0.7386294240922723,4.330934047698975,249916.95347732733,5.041191194632118
BBOB_F22,BBOB_F22,main,lhs,239,0.2089160839160839,40,2.1206903354155084,0.3598610860250687,0.13581529253055763,0.7436419690000284,4.328968524932861,250774.32548138517,4.975288566605307
BBOB_F22,BBOB_F22,main,lhs,286,0.25,43,2.1698175680036655,0.3492686370476708,0.1377390356628084,0.7438500884040582,4.33241605758667,250299.84413029315,5.020114632271473
BBOB_F22,BBOB_F22,main,lhs,334,0.291958041958042,41,2.107967836353169,0.36270356618103045,0.13094418430711033,0.7514861257303135,4.329524517059326,250747.4164739136,4.9866815364958
BBOB_F22,BBOB_F22,main,lhs,382,0.3339160839160839,40,2.1575205861095337,0.35197424546772815,0.136812853471513,0.7416730303351821,4.332070350646973,250459.28897333573,5.009383808376071
BBOB_F22,BBOB_F22,main,lhs,429,0.375,38,2.160966047109898,0.3512058844030172,0.13807337337961886,0.7469343524887135,4.332979679107666,250547.289497202,4.997720664203064
BBOB_F22,BBOB_F22,main,lhs,477,0.416958041958042,38,2.1636656248159496,0.35063471415752767,0.13398166771601683,0.7466242391779597,4.3320088386535645,250684.1764089077,4.989333770452404
BBOB_F22,BBOB_F22,main,lhs,524,0.458041958041958,39,2.1233282507821687,0.35932574988522664,0.13128319762025273,0.7437678384831432,4.332147121429443,250185.05614550112,5.0284783500683945
BBOB_F22,BBOB_F22,main,lhs,572,0.5,46,2.10321755494205,0.3637557007922839,0.14602431269313867,0.7165859189362759,4.336911201477051,249641.17444551567,5.062277992774903
BBOB_F22,BBOB_F22,main,lhs,620,0.541958041958042,42,2.095739570279534,0.36538588528036614,0.14160573719590633,0.729852129059599,4.332215309143066,250596.89731298474,4.989433700559379
BBOB_F22,BBOB_F22,main,lhs,667,0.583041958041958,35,2.1050013199197126,0.3633811591117927,0.13150926259851414,0.7489346607306041,4.334438323974609,250091.09141575213,5.044149739585533
BBOB_F22,BBOB_F22,main,lhs,715,0.625,41,2.1368550807484046,0.3564474622115551,0.13599657105957064,0.740023041679841,4.325852870941162,251116.7226717884,4.946104724385239
BBOB_F22,BBOB_F22,main,lhs,763,0.666958041958042,37,2.1431340446646376,0.35510124048603875,0.13343598407080437,0.7420029165665591,4.334564208984375,250391.13340158493,5.0180348737541385
BBOB_F22,BBOB_F22,main,lhs,810,0.708041958041958,41,2.168679648462667,0.3490319255388036,0.13520350934520645,0.73335106384811,4.330397129058838,250797.20323111935,4.959732417861314
BBOB_F22,BBOB_F22,main,lhs,858,0.75,38,2.1160238136268124,0.36098543438092584,0.1366995962198735,0.7423144978697783,4.336871147155762,250624.37134514446,4.983258419598396
BBOB_F22,BBOB_F22,main,lhs,905,0.791083916083916,35,2.0732395975006788,0.37026603496567023,0.13214184618397118,0.7439112863205971,4.338103771209717,249929.29951631045,5.059362831470036
BBOB_F22,BBOB_F22,main,lhs,953,0.833041958041958,47,2.2326297017992367,0.3355499695590263,0.15068327909724408,0.7205974404147004,4.334461688995361,250014.4633052051,5.029953672723216
BBOB_F22,BBOB_F22,main,lhs,1001,0.875,43,2.118328620333989,0.36048019912284124,0.140580746620179,0.7239054952560273,4.335140228271484,249837.24634545657,5.059072979256501
BBOB_F22,BBOB_F22,main,lhs,1048,0.916083916083916,44,2.211071337668638,0.3403113025806511,0.1381216710475339,0.738623322964796,4.333967685699463,250195.86781624384,5.026780328223044
BBOB_F22,BBOB_F22,main,lhs,1096,0.958041958041958,37,2.189612600093716,0.34499012655264677,0.1455769347995815,0.731456161812305,4.336259365081787,250265.660493348,5.022618109315872
