problema,n_gens,front_exato,front_bracket,rel_max_lt1e5,rel_max_med,rel_max_max,rel_inf_lt1e5,rel_inf_med,argmax_ok,gap_gt1e6,gap_med,gap_max,rel_med_lt1e5,clones_tot,pool_n,clone_share,u11_err_med,u11_err_rel_med,u11_otim_frac,u11_cob_frac,eim_best_ini,eim_best_fim,eim_med_ini,eim_med_fim,s_best_min
DTLZ4,240,0,240,240,2.5970234233445287e-08,8.260876193123505e-08,240,1.5107984596564683e-08,89,0,3.0013289040346546e-09,1.006961654494906e-07,240,1,120,3.472222222222222e-05,1.0395562648876533,41976242671.23041,0.5805555555555556,0.7236111111111111,0.4897341316656362,0.36107377893239534,0.489734130967136,0.36107314494853904,0.0034597318153828382
DTLZ7,440,440,440,440,1.6769676321570788e-08,2.7167920276778796e-07,440,1.5191307963805825e-08,332,0,0.0,8.04024502524226e-08,440,0,220,0.0,0.04144376709977493,2230402.3824150404,0.7045454545454546,0.9545454545454546,0.8554259419907694,3.7385799560551545e-05,0.8554259417379657,3.7385797281490104e-05,1.0707873116189148e-05
MMF1,40,40,40,40,1.6709751211579313e-08,9.904182326213391e-08,40,1.6709751211579313e-08,39,0,0.0,7.896957593512393e-08,40,521,20,0.65125,5.04771344822657,6.747245495554118,0.7125,0.675,0.085323074443593,0.6772781488662456,0.085323074443593,0.6772781488662456,0.00023881946981418878
MMF11_L,40,2,40,40,4.992071214480193e-08,5.057244911162059e-07,40,4.992071214480193e-08,39,0,0.0,1.2725176009276418e-09,40,477,20,0.59625,0.9341933708918968,0.40878038025822616,0.725,0.75,0.29779147354596236,0.029395941640407146,0.29779147354596236,0.029395941640407146,3.4830286210763006e-08
MMF16_20,400,400,400,400,3.9307393437017324e-08,4.234297377752931e-07,400,3.375332405574134e-08,119,0,1.2897359273447224e-08,4.634250444547305e-07,400,0,200,0.0,0.5068631768226624,1276812.8318886745,0.7083333333333334,0.7675,0.265334034806048,0.18643574093622264,0.26533403461021593,0.18643574030907975,0.00027983434847556055
MMF4,40,40,40,40,2.4907432203356694e-08,1.2829113971057652e-07,40,2.4907432203356694e-08,38,0,0.0,1.1112316058925003e-07,40,500,20,0.625,5.380468527627944,5.448595608343794,0.675,0.6,0.10241903390528678,0.8646991748456673,0.10241903390528678,0.8646991748456673,0.0002482837007846683
WFG1,440,440,440,440,7.233602047249013e-08,1.5637311933560422e-06,440,7.146580902264175e-08,308,0,0.0,3.528802502682397e-07,440,0,220,0.0,0.5286168264713792,0.27773190560083433,0.8375,0.43863636363636366,0.22000299301121476,0.4184981992929268,0.22000281367845737,0.4178120075843233,0.012085645459592342
WFG2,440,440,440,440,1.654037307967848e-07,1.2756436507832343e-06,440,1.5871417642459663e-07,372,0,0.0,7.81875952007192e-07,440,0,220,0.0,0.427515767448172,0.20632711381059765,0.8909090909090909,0.4659090909090909,0.17064620245826542,0.04238311033366954,0.17064614984680812,0.04237246970390825,0.004919988568872213
WFG4,440,440,440,440,1.241893029638107e-07,8.327112793500007e-07,440,1.3461644035552138e-07,374,0,0.0,7.179321472748573e-07,440,0,220,0.0,0.5972020632341286,0.23121928949066423,0.9511363636363637,0.4193181818181818,0.17084399137514863,0.12263153389931418,0.1708417002199776,0.12262201977909853,0.021831804886460304
WFG5,440,440,440,440,1.5034730535258883e-07,1.1920207131926488e-06,440,1.9254422015756047e-07,189,2,5.259763662940381e-09,1.1506564779094716e-06,440,0,220,0.0,0.16185675062791005,0.16094997051210355,0.8022727272727272,0.8829545454545454,0.33037230913919025,0.040839039255359796,0.3303720066819946,0.0408390392482845,0.005308297462761402
WFG9,440,440,440,440,4.274632551259654e-08,1.786904339297465e-07,440,4.29696147045553e-08,426,0,0.0,1.2920355598884336e-07,440,0,220,0.0,1.7363261706490367,0.5917216054369185,0.6920454545454545,0.6,0.5164741403746728,0.13444481187641039,0.5164715491358056,0.13444362726042702,0.06402243673801422
ZDT1,600,600,600,599,1.8388499689911303e-08,1.7498860558778477e-05,598,1.8940864142484574e-08,556,2,0.0,2.3239585702680477e-05,598,0,300,0.0,0.03670018052592283,48623.10716658429,0.7366666666666667,0.7983333333333333,0.7509396335870036,0.0058524278166126546,0.7509396311230518,0.0058524236700581034,5.6359183986387507e-08
ZDT3,600,600,600,600,1.4743966232255258e-08,2.784899595588847e-06,600,1.490209347444912e-08,593,1,0.0,4.098440024131601e-06,600,0,300,0.0,0.004422740749233878,14046.854181824994,0.6641666666666667,0.9608333333333333,0.8572885322751287,2.843202143557529e-05,0.8572884782218833,2.8399386934614927e-05,3.128335083601996e-05
ZDT4,200,200,200,200,6.322921543626223e-08,5.937610835826439e-07,200,6.693848397332547e-08,101,0,0.0,1.9427597604424644e-07,200,27,100,0.00135,48.22254675974947,14.914009011043877,0.8025,0.7275,0.05144820864062352,0.1555809874118424,0.05144819774469052,0.15504892339329637,6.127326201976757e-08
ZDT6,200,15,200,70,3.976345908333114e-05,0.001845202978532686,69,3.977124651750784e-05,109,4,0.0,8.001526325423073e-06,70,9,100,0.00045,0.284950656491576,0.0459764299613648,0.695,0.895,0.9509822515140479,0.04469800947213022,0.9509822515138793,0.04469798880921029,6.613739060412627e-06
