problema,igd_plus,hv,igd,gd,spacing,n_nd,rank_main,n_algs,melhor_piso,piso_igd,razao,bate_piso,n_cp,viol_monot,fe_cp0,fe_cpN,cp0,cpN,ganho,maquina,wall_s
DTLZ4,0.7670386656928406,0.0,0.985849484773945,1.2284537314717887,0.2359280409326296,19,13,15,nsga3,0.2823977915542932,2.716163825046668,False,20,0,0.0,370.0,1.2302654075242083,0.7670386656928406,1.6039157640285973,vm3,1550.68588
DTLZ7,0.1095217734963239,0.3653681191242002,0.2063230274470845,2.233020998691756,0.3274654744695715,46,6,15,nsga3,1.1247085866087754,0.09737791175450547,True,20,0,0.0,680.0,2.9506393479468724,0.10952177349632397,26.941120963914166,mac*,4699.526186
MMF1,0.0414094699653158,0.7855067032950505,0.0511360187617253,0.0627903377556061,0.1750424814664609,13,5,17,nsga3,0.0570132770384747,0.7263127488246489,True,20,0,0.0,60.0,2.8112970162129414,0.04140946996531583,67.89019561389354,vm3,15.440227
MMF11_L,0.0119608514985232,1.0229981396761136,0.0260762025374116,0.0015078047147072,0.0349962207723286,21,1,17,nsga3,0.0231565498976292,0.5165213104456363,True,20,0,0.0,60.0,0.5728206234612008,0.011960851498523247,47.89129131248928,vm3,13.415535
MMF16_20,0.0189070252046334,0.7579661212671299,0.0517808242373474,0.0261030765948178,0.0505843299945083,211,1,15,smsemoa,0.0316158421272363,0.5980237732888173,True,20,0,0.0,618.0,0.8559201840763245,0.01890702520463346,45.269955205146076,mac*,3467.846485
MMF4,0.0316007876455594,0.4793245896647449,0.0394356048923997,0.0242392532359296,0.0440164616791203,18,10,17,nsga3,0.0377119334276083,0.8379519365195149,True,20,0,0.0,60.0,0.3675238638476179,0.03160078764555942,11.630212131730294,vm3,13.850555
WFG1,0.6403787844593407,0.1097199676972016,0.6488321144220638,0.4822393104322331,0.0049547272030616,96,10,14,smsemoa,0.4953917959793528,1.2926713555951395,False,20,0,0.0,680.0,1.1163446066331106,0.6403787844593407,1.7432567001350905,mac*,3333.9718918333333
WFG2,0.1503552511456059,0.544030376426208,0.1548379761160211,0.1394576390115027,0.1530700831643907,10,6,16,nsga2,0.1227556938180429,1.2248332152191084,False,20,0,0.0,680.0,0.6595702461706784,0.1503552511456059,4.386745664984739,mac*,3379.4061897083334
WFG4,0.1073144320689292,0.2240410801566997,0.108290366975823,0.1222920366866591,0.0376225936954733,30,12,16,smsemoa,0.044424346453198,2.4156670978150965,False,20,0,0.0,680.0,0.32820668172874007,0.10731443206892924,3.058364801464255,mac*,3516.717934125
WFG5,0.0301642307265236,0.3815529490018006,0.0311368320012506,0.0207418491887737,0.0143387767441675,179,1,16,nsga2,0.0930752077028518,0.3240844846978448,True,20,0,0.0,680.0,0.5435150445367514,0.030164230726523654,18.018528284854757,mac*,3682.382318208334
WFG9,0.1159684229074495,0.2041296531788673,0.121092892768079,0.1246019686312907,0.0631783099616398,11,8,16,nsga3,0.0955346891283579,1.2138881066712572,False,20,0,0.0,680.0,0.6928485995065304,0.11596842290744953,5.974459099607394,mac*,3618.2824283333334
ZDT1,0.0947769077463407,0.7054581983260835,0.1051498847624313,1.0825655479453162,0.1681067477724158,22,7,16,nsga2,0.4440783896843883,0.213423823243684,True,20,0,0.0,928.0,3.825360846748847,0.09477690774634073,40.36173934886097,vm3,14284.551396
ZDT3,0.1048392927317127,0.572921202867641,0.1659713807887393,0.9348474438808416,0.2680259598389976,13,4,15,nsga2,0.3442625865872861,0.30453292578492613,True,20,0,0.0,928.0,2.5208579962367232,0.10483929273171273,24.04497331632791,vm3,14027.002308
ZDT4,51.4881282256026,0.0,51.49088918134522,86.01170186355796,22.91330451960748,8,9,17,nsga2,43.898268794314845,1.1728965546876122,False,20,0,0.0,308.0,160.0026906116995,51.4881282256026,3.10756471687269,vm3,325.441579
ZDT6,0.0410921672654511,0.3138915763374528,0.0635614568568142,1.8698060918225097,0.5812782959149472,7,2,16,nsga2,6.445675963031797,0.006375152505513623,True,20,0,0.0,308.0,8.952705826241381,0.041092167265451195,217.86891327507303,vm3,382.63339
