problema,D,M,n3,n3_online,n3_sonda,n3_online_esp,n3_sonda_esp,sigma_min,sigma_nan,sigma_zero,mu_nan,pred_tipo,pred_classe_null,pred_score_null,pred_conf_null,modelo_flag,transf_tipo,espaco_vals,espaco_por_ger_ok,espaco_por_ger_n,transfparams_unico_por_ger,tp_vs_ymin_err,tp_vs_ymin_n,tp_vs_ymin_fail,ftm3_ok,ftm3_n,U5_dX_max,U5_blocos,X_fora_bounds,X_min,X_max
MMF11_L,2,2,40700,24700,16000,24700,16000,0.0015735032502561808,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",21,21,21,0.0,20,0,21,21,5.923211565672659e-08,8,273,0.10000000149011612,1.100000023841858
MMF16_20,20,3,388700,252700,136000,252700,136000,0.040563080459833145,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",201,201,201,0.0,200,0,201,201,2.9802322387695312e-08,68,77342,0.0,1.0
MMF4,2,2,40700,24700,16000,24700,16000,0.008111652918159962,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",21,21,21,0.0,20,0,21,21,5.960464477539063e-08,8,946,-1.0,2.0
WFG1,22,2,427400,277400,150000,277400,150000,0.0020236510317772627,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,1.9073486328125e-06,75,91548,0.0,44.0
WFG2,22,2,427400,277400,150000,277400,150000,0.03433159366250038,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,1.9073486328125e-06,75,55988,0.0,44.0
WFG4,22,2,427400,277400,150000,277400,150000,0.017015326768159866,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,1.9073486328125e-06,75,46291,0.0,44.0
WFG5,22,2,427400,277400,150000,277400,150000,0.012712443247437477,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,1.9073486328125e-06,75,133119,0.0,44.0
WFG9,22,2,427400,277400,150000,277400,150000,0.0437142513692379,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,1.9073486328125e-06,75,62590,0.0,44.0
ZDT1,30,2,582000,380000,202000,380000,202000,0.00952858105301857,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",301,301,301,0.0,301,0,301,301,2.9802322387695312e-08,101,249131,0.0,1.0
ZDT3,30,2,582000,380000,202000,380000,202000,0.013138621114194393,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",301,301,301,0.0,301,0,301,301,2.9802322387695312e-08,101,232428,0.0,1.0
ZDT4,10,2,195400,125400,70000,125400,70000,0.011049039661884308,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,6224,-5.0,5.0
ZDT6,10,2,195400,125400,70000,125400,70000,0.007008658722043037,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.9802322387695312e-08,35,35925,0.0,1.0
