problema,D,N,n_init,frac_gt_2N_b1,med_b1,p90_b1,p99_b1,max_b1,frac_gt0_b1,frac_gt0_b2,max_b2,razao_max_b1_b2,med_b1_por_2N,near_int_b1,conf_med_b1,t_g1,t_med,t_prev_H1,overhead_abs_s,t_por_ref_g1,t_por_ref_rest,n_pop_g1,n_pop_g1_eq_N
DTLZ7,22,15,241,0.698,51.79057693481445,138.529249572754,244.8299278259277,325.2469177246094,0.99,0.125,11.982630729675293,27.143197938923965,1.7263525644938151,0.0155,1.0,15.034767150878906,0.8900061845779419,14.2994326988856,0.7353344519933067,0.06238492593725687,0.05933374563852946,15,True
MMF1,2,11,21,0.0,5.950772523880005,17.146717643737794,21.131893997192382,21.436803817749023,0.986,0.6485,8.788485527038574,2.4391920259522246,0.27048966017636383,0.0155,0.9902384579181671,0.9043176174163818,0.3521873950958252,0.6723577542738481,0.2319598631425337,0.043062743686494376,0.03201703591780229,11,True
MMF11_L,2,11,21,0.0,1.6787657141685486,12.680353260040283,16.13202819824219,16.68975067138672,0.7605,0.5705,7.290735244750977,2.289172506079224,0.07630753246220676,0.241,0.9999961853027344,0.8736550807952881,0.35681819915771484,0.6811983802101829,0.19245670058510522,0.04160262289501372,0.0324380181052468,11,True
MMF16_20,20,15,219,0.2405,17.500130653381348,43.51217460632325,70.5093888092041,127.25546264648438,0.976,0.126,3.8144960403442383,33.361015793583114,0.5833376884460449,0.03,1.0,12.88671588897705,0.8508610725402832,12.422571659088135,0.464144229888916,0.05884345154784042,0.05672407150268555,15,True
MMF4,2,11,21,0.0,5.586338758468628,13.8171820640564,15.930176486968994,16.84014320373535,0.9375,0.7535,7.087203502655029,2.376133717259092,0.25392448902130127,0.0645,0.9974465370178223,0.8628554344177246,0.3564136028289795,0.6804259690371427,0.1824294653805819,0.04108835401989165,0.032401236620816315,11,True
WFG1,22,11,241,0.916,128.82662200927734,234.3952835083008,305.9023471069336,342.2489929199219,0.9905,0.046,6.912459373474121,49.51189937307531,5.855755545876243,0.0125,1.0,14.862064361572266,0.6558541059494019,14.369167230345987,0.4928971312262789,0.06166831685299695,0.059623100540854714,11,True
WFG2,22,11,241,0.856,71.90398788452148,147.1641632080078,206.09598098754884,254.91758728027344,0.994,0.156,8.397141456604004,30.357662616221777,3.2683630856600674,0.0095,1.0,15.330159187316895,0.650215744972229,14.245635867118835,1.084523320198059,0.06361061903450993,0.05911052227020264,11,True
WFG4,22,11,241,0.736,35.91748809814453,70.33624191284183,104.25650146484374,140.32974243164062,0.998,0.0965,2.9684059619903564,47.27444434101178,1.632613095370206,0.004,1.0,14.869283676147461,0.6534456014633179,14.31639908660542,0.5528845895420407,0.06169827251513469,0.05940414558757435,11,True
WFG5,22,11,241,0.5865,26.65186882019043,61.50922508239748,102.70835662841796,135.21153259277344,0.9945,0.116,5.806901454925537,23.28462668814263,1.2114485827359287,0.009,1.0,14.979218482971191,0.6521015167236328,14.286951411854139,0.6922670711170529,0.06215443353929955,0.0592819560657848,11,True
WFG9,22,11,241,0.6285,29.674508094787598,78.4898910522461,152.25893890380857,224.4087677001953,0.9945,0.175,5.975342273712158,37.55580139525333,1.3488412770357998,0.008,1.0,14.957968711853027,0.6528459787368774,14.30326189778068,0.6547068140723482,0.06206626021515779,0.05934963443062522,11,True
