config,celula,arquivo,n_header,n_decision,n_sonda,n_footer,n_guard,n_chaves_header,n_chaves_sigma,chaves_header,chaves_sigma,chaves_decision,hits_padrao
b5m,DTLZ4,exp_off_b5m_DTLZ4_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,DTLZ7,exp_off_b5m_DTLZ7_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,MMF1,exp_off_b5m_MMF1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,MMF11_L,exp_off_b5m_MMF11_L_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,MMF16_20,exp_off_b5m_MMF16_20_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,MMF4,exp_off_b5m_MMF4_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,WFG1,exp_off_b5m_WFG1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,WFG2,exp_off_b5m_WFG2_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,WFG4,exp_off_b5m_WFG4_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,WFG5,exp_off_b5m_WFG5_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,WFG9,exp_off_b5m_WFG9_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,ZDT1,exp_off_b5m_ZDT1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,ZDT3,exp_off_b5m_ZDT3_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,ZDT4,exp_off_b5m_ZDT4_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,ZDT6,exp_off_b5m_ZDT6_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-lhs_DTLZ2,exp_sweep-medium-lhs_b5m_DTLZ2_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-lhs_MMF16_20,exp_sweep-medium-lhs_b5m_MMF16_20_42.jsonl,1,381,1,1,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-lhs_WFG9,exp_sweep-medium-lhs_b5m_WFG9_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-lhs_ZDT1,exp_sweep-medium-lhs_b5m_ZDT1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-lhs_ZDT4,exp_sweep-medium-lhs_b5m_ZDT4_42.jsonl,1,801,1,1,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-mvns_DTLZ2,exp_sweep-medium-mvns_b5m_DTLZ2_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-mvns_MMF16_20,exp_sweep-medium-mvns_b5m_MMF16_20_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-mvns_WFG9,exp_sweep-medium-mvns_b5m_WFG9_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-mvns_ZDT1,exp_sweep-medium-mvns_b5m_ZDT1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_medium-mvns_ZDT4,exp_sweep-medium-mvns_b5m_ZDT4_42.jsonl,1,801,1,1,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_small-lhs_DTLZ2,exp_sweep-small-lhs_b5m_DTLZ2_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,swap_small-lhs_MMF16_20,exp_sweep-small-lhs_b5m_MMF16_20_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
