alg,label,fe_final_man,n_ger_man,n_real,n_pop,n_sur,n_tim,n_decision,footer_fe_final,ger_max_sur,ger_min_sur,n_fin
b5m,BBOB_F37,309,801,309,0,60050,1,801,309,801,1,50
b5m,BBOB_F49,309,801,309,0,60050,1,801,309,801,1,50
b5m,BBOB_F5,309,801,309,0,60050,1,801,309,801,1,50
b5m,BBOB_F55,309,801,309,0,60050,1,801,309,801,1,50
b5m,DTLZ1,216,381,216,0,60005,1,381,216,381,1,105
b5m,DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
b5m,DTLZ3,371,381,371,0,60005,1,381,371,381,1,105
b5m,DTLZ4,371,381,371,0,60005,1,381,371,381,1,105
b5m,DTLZ7,681,381,681,0,60005,1,381,681,381,1,105
b5m,MMF1,61,801,61,0,60050,1,801,61,801,1,50
b5m,MMF11_L,61,801,61,0,60050,1,801,61,801,1,50
b5m,MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
b5m,MMF4,61,801,61,0,60050,1,801,61,801,1,50
b5m,WFG1,681,801,681,0,60050,1,801,681,801,1,50
b5m,WFG2,681,801,681,0,60050,1,801,681,801,1,50
b5m,WFG4,681,801,681,0,60050,1,801,681,801,1,50
b5m,WFG5,681,801,681,0,60050,1,801,681,801,1,50
b5m,WFG9,681,801,681,0,60050,1,801,681,801,1,50
b5m,ZDT1,929,801,929,0,60050,1,801,929,801,1,50
b5m,ZDT3,929,801,929,0,60050,1,801,929,801,1,50
b5m,ZDT4,309,801,309,0,60050,1,801,309,801,1,50
b5m,ZDT6,309,801,309,0,60050,1,801,309,801,1,50
b5m,swap_medium-lhs_DTLZ2,2000,381,2000,0,60005,1,381,2000,381,1,105
b5m,swap_medium-lhs_MMF16_20,2000,381,2000,0,60005,1,381,2000,381,1,105
b5m,swap_medium-lhs_WFG9,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_medium-lhs_ZDT1,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_medium-lhs_ZDT4,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_medium-mvns_DTLZ2,2000,381,2000,0,60005,1,381,2000,381,1,105
b5m,swap_medium-mvns_MMF16_20,2000,381,2000,0,60005,1,381,2000,381,1,105
b5m,swap_medium-mvns_WFG9,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_medium-mvns_ZDT1,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_medium-mvns_ZDT4,2000,801,2000,0,60050,1,801,2000,801,1,50
b5m,swap_small-lhs_DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
b5m,swap_small-lhs_MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
b5m,swap_small-lhs_WFG9,681,801,681,0,60050,1,801,681,801,1,50
b5m,swap_small-lhs_ZDT1,929,801,929,0,60050,1,801,929,801,1,50
b5m,swap_small-lhs_ZDT4,309,801,309,0,60050,1,801,309,801,1,50
b5m,swap_small-mvns_DTLZ2,371,381,371,0,60005,1,381,371,381,1,105
b5m,swap_small-mvns_MMF16_20,619,381,619,0,60005,1,381,619,381,1,105
b5m,swap_small-mvns_WFG9,681,801,681,0,60050,1,801,681,801,1,50
b5m,swap_small-mvns_ZDT1,929,801,929,0,60050,1,801,929,801,1,50
b5m,swap_small-mvns_ZDT4,309,801,309,0,60050,1,801,309,801,1,50
b5r,BBOB_F1,309,828,309,0,59655,1,828,309,828,1,48
b5r,BBOB_F17,309,2461,309,0,58877,1,2461,309,2461,1,29
b5r,BBOB_F22,309,1144,309,0,59436,1,1144,309,1144,1,39
b5r,BBOB_F37,309,814,309,0,59765,1,814,309,814,1,50
b5r,BBOB_F49,309,919,309,0,59595,1,919,309,919,1,46
b5r,BBOB_F5,309,879,309,0,59561,1,879,309,879,1,46
b5r,BBOB_F55,309,942,309,0,59547,1,942,309,942,1,44
b5r,DTLZ1,216,870,216,0,59524,1,870,216,870,1,51
b5r,DTLZ2,371,504,371,0,59791,1,504,371,504,1,83
b5r,DTLZ3,371,1077,371,0,59397,1,1077,371,1077,1,38
b5r,DTLZ4,371,2312,371,0,58993,1,2312,371,2312,1,14
b5r,DTLZ7,681,785,681,0,59563,1,785,681,785,1,52
b5r,MMF1,61,909,61,0,59588,1,909,61,909,1,44
b5r,MMF11_L,61,848,61,0,59562,1,848,61,848,1,48
b5r,MMF16_20,619,595,619,0,59690,1,595,619,595,1,74
b5r,MMF4,61,865,61,0,59569,1,865,61,865,1,48
b5r,WFG1,681,935,681,0,59594,1,935,681,935,1,46
b5r,WFG2,681,923,681,0,59567,1,923,681,923,1,42
b5r,WFG4,681,937,681,0,59574,1,937,681,937,1,46
b5r,WFG5,681,930,681,0,59572,1,930,681,930,1,44
b5r,WFG9,681,906,681,0,59572,1,906,681,906,1,45
b5r,ZDT1,929,878,929,0,59597,1,878,929,878,1,47
b5r,ZDT3,929,921,929,0,59588,1,921,929,921,1,45
b5r,ZDT4,309,3845,309,0,57997,1,3845,309,3845,1,12
b5r,ZDT6,309,950,309,0,59553,1,950,309,950,1,38
b5r,swap_medium-lhs_DTLZ2,2000,408,2000,0,59905,1,408,2000,408,1,100
b5r,swap_medium-lhs_MMF16_20,2000,512,2000,0,59775,1,512,2000,512,1,88
b5r,swap_medium-lhs_WFG9,2000,905,2000,0,59570,1,905,2000,905,1,44
b5r,swap_medium-lhs_ZDT1,2000,852,2000,0,59588,1,852,2000,852,1,48
b5r,swap_medium-lhs_ZDT4,2000,5465,2000,0,57292,1,5465,2000,5465,1,8
b5r,swap_medium-mvns_DTLZ2,2000,454,2000,0,59807,1,454,2000,454,1,88
b5r,swap_medium-mvns_MMF16_20,2000,647,2000,0,59660,1,647,2000,647,1,70
b5r,swap_medium-mvns_WFG9,2000,954,2000,0,59547,1,954,2000,954,1,42
b5r,swap_medium-mvns_ZDT1,2000,864,2000,0,59606,1,864,2000,864,1,47
b5r,swap_medium-mvns_ZDT4,2000,3660,2000,0,58172,1,3660,2000,3660,1,15
b5r,swap_small-lhs_DTLZ2,371,504,371,0,59791,1,504,371,504,1,83
b5r,swap_small-lhs_MMF16_20,619,595,619,0,59690,1,595,619,595,1,74
b5r,swap_small-lhs_WFG9,681,906,681,0,59572,1,906,681,906,1,45
b5r,swap_small-lhs_ZDT1,929,878,929,0,59597,1,878,929,878,1,47
b5r,swap_small-lhs_ZDT4,309,3845,309,0,57997,1,3845,309,3845,1,12
b5r,swap_small-mvns_DTLZ2,371,557,371,0,59768,1,557,371,557,1,78
b5r,swap_small-mvns_MMF16_20,619,507,619,0,59760,1,507,619,507,1,86
b5r,swap_small-mvns_WFG9,681,944,681,0,59577,1,944,681,944,1,46
b5r,swap_small-mvns_ZDT1,929,854,929,0,59595,1,854,929,854,1,47
b5r,swap_small-mvns_ZDT4,309,5548,309,0,57340,1,5548,309,5548,1,8
c122,BBOB_F1,309,200,309,2200,212087,200,200,309,200,1,
c122,BBOB_F17,309,200,309,2200,213084,200,200,309,200,1,
c122,BBOB_F22,309,200,309,2200,212726,200,200,309,200,1,
c122,BBOB_F37,309,200,309,2200,215498,200,200,309,200,1,
c122,BBOB_F49,309,200,309,2200,213447,200,200,309,200,1,
c122,BBOB_F5,309,200,309,2200,215920,200,200,309,200,1,
c122,BBOB_F55,309,200,309,2200,215286,200,200,309,200,1,
c122,DTLZ1,216,140,216,2100,147446,140,140,216,140,1,
c122,DTLZ2,371,240,371,3600,249661,240,240,371,240,1,
c122,DTLZ3,371,240,371,3600,248535,240,240,371,240,1,
c122,DTLZ4,371,240,371,3600,255424,240,240,371,240,1,
c122,DTLZ7,681,440,681,6600,465688,440,440,681,440,1,
c122,MMF1,61,40,61,440,45343,40,40,61,40,1,
c122,MMF11_L,61,41,61,451,47677,41,41,61,41,1,
c122,MMF16_20,619,400,619,6000,414882,400,400,619,400,1,
c122,MMF4,61,40,61,440,45422,40,40,61,40,1,
c122,WFG1,681,440,681,4840,460929,440,440,681,440,1,
c122,WFG2,681,440,681,4840,466687,440,440,681,440,1,
c122,WFG4,681,440,681,4840,460709,440,440,681,440,1,
c122,WFG5,681,440,681,4840,459512,440,440,681,440,1,
c122,WFG9,681,440,681,4840,459190,440,440,681,440,1,
c122,ZDT1,929,600,929,6600,645940,600,600,929,600,1,
c122,ZDT3,929,600,929,6600,642181,600,600,929,600,1,
c122,ZDT4,309,201,309,2211,205889,201,201,309,201,1,
c122,ZDT6,309,200,309,2200,216317,200,200,309,200,1,
c141,BBOB_F1,309,60,309,4539,73800,59,0,309,60,1,
c141,BBOB_F17,309,58,309,621,71400,57,0,309,57,1,
c141,BBOB_F22,309,52,309,1042,64200,51,0,309,52,1,
c141,BBOB_F37,309,51,309,859,64000,50,0,309,51,1,
c141,BBOB_F49,309,52,309,932,64200,51,0,309,52,1,
c141,BBOB_F5,309,57,309,3478,71200,56,0,309,57,1,
c141,BBOB_F55,309,55,309,1083,68800,54,0,309,55,1,
c141,DTLZ1,216,32,216,499,38712,31,0,216,32,1,
c141,DTLZ2,371,66,371,6342,81000,65,0,371,66,1,
c141,DTLZ3,371,65,371,913,78800,64,0,371,64,1,
c141,DTLZ4,371,64,371,2440,78600,63,0,371,64,1,
c141,DTLZ7,681,103,681,9930,126400,102,0,681,103,1,
c141,MMF1,61,13,61,149,16504,12,0,61,13,1,
c141,MMF11_L,61,13,61,181,16504,12,0,61,13,1,
c141,MMF16_20,619,120,619,13144,145800,119,0,619,120,1,
c141,MMF4,61,12,61,172,14462,11,0,61,12,1,
c141,WFG1,681,125,681,7792,150800,124,0,681,124,1,
c141,WFG2,681,142,681,6211,172200,141,0,681,142,1,
c141,WFG4,681,126,681,5700,153000,125,0,681,126,1,
c141,WFG5,681,122,681,8303,148200,121,0,681,122,1,
c141,WFG9,681,125,681,6405,152800,124,0,681,125,1,
c141,ZDT1,929,174,929,5276,210600,173,0,929,174,1,
c141,ZDT3,929,182,929,3305,220200,181,0,929,182,1,
c141,ZDT4,309,58,309,206,71400,57,0,309,58,1,
c141,ZDT6,309,65,309,500,80800,64,0,309,65,1,
c149,BBOB_F1,309,200,309,41900,402000,200,200,309,200,1,
c149,BBOB_F17,309,200,309,41900,402000,200,200,309,200,1,
c149,BBOB_F22,309,200,309,41900,401497,200,200,309,200,1,
c149,BBOB_F37,309,200,309,41900,401764,200,200,309,200,1,
c149,BBOB_F49,309,200,309,41900,402000,200,200,309,200,1,
c149,BBOB_F5,309,200,309,41900,402000,200,200,309,200,1,
c149,BBOB_F55,309,200,309,41900,400361,200,200,309,200,1,
c149,DTLZ1,216,140,216,20510,282000,140,140,216,140,1,
c149,DTLZ2,371,240,371,60360,482000,240,240,371,240,1,
c149,DTLZ3,371,240,371,60360,482000,240,240,371,240,1,
c149,DTLZ4,371,240,371,60360,482000,240,240,371,240,1,
c149,DTLZ7,681,440,681,203060,882000,440,440,681,440,1,
c149,MMF1,61,40,61,1660,81338,40,40,61,40,1,
c149,MMF11_L,61,40,61,1660,82000,40,40,61,40,1,
c149,MMF16_20,619,400,619,167800,802000,400,400,619,400,1,
c149,MMF4,61,40,61,1660,82000,40,40,61,40,1,
c149,WFG1,681,440,681,203060,882000,440,440,681,440,1,
c149,WFG2,681,440,681,203060,882000,440,440,681,440,1,
c149,WFG4,681,440,681,203060,882000,440,440,681,440,1,
c149,WFG5,681,440,681,203060,882000,440,440,681,440,1,
c149,WFG9,681,440,681,203060,882000,440,440,681,440,1,
c149,ZDT1,929,600,929,377700,1202000,600,600,929,600,1,
c149,ZDT3,929,600,929,377700,1202000,600,600,929,600,1,
c149,ZDT4,309,200,309,41900,402000,200,200,309,200,1,
c149,ZDT6,309,200,309,41900,402000,200,200,309,200,1,
c149,q10_DTLZ2,2131,200,2131,227200,402000,200,200,2131,200,1,
c149,q10_MMF16_20,2219,200,2219,244800,402000,200,200,2219,200,1,
c149,q10_WFG9,2241,200,2241,249200,402000,200,200,2241,200,1,
c149,q10_ZDT1,2329,200,2329,266800,402000,200,200,2329,200,1,
c149,q10_ZDT4,2109,200,2109,222800,402000,200,200,2109,200,1,
c154,BBOB_F1,309,201,309,42118,214050,201,201,309,201,1,
c154,BBOB_F17,309,201,309,42118,214050,201,201,309,201,1,
c154,BBOB_F22,309,201,309,42118,214050,201,201,309,201,1,
c154,BBOB_F37,309,201,309,42118,214050,201,201,309,201,1,
c154,BBOB_F49,309,201,309,42118,214050,201,201,309,201,1,
c154,BBOB_F5,309,201,309,42118,214050,201,201,309,201,1,
c154,DTLZ1,216,141,216,20662,148935,141,141,216,141,1,
c154,MMF1,61,41,61,1702,44410,41,41,61,41,1,
c154,MMF11_L,61,43,61,1818,46430,43,43,61,43,1,
c154,MMF4,61,41,61,1702,44410,41,41,61,41,1,
c154,ZDT4,309,201,309,42118,214050,201,201,309,201,1,
c217,BBOB_F1,309,191,309,39614,192200,190,0,309,190,1,
c217,BBOB_F17,309,197,309,41029,198201,196,0,309,196,1,
c217,BBOB_F22,309,139,309,27067,142198,138,0,309,139,1,
c217,BBOB_F37,309,187,309,38864,188201,186,0,309,186,1,
c217,BBOB_F49,309,197,309,40874,198201,196,0,309,196,1,
c217,BBOB_F5,309,161,309,32179,162200,160,0,309,160,1,
c217,BBOB_F55,309,179,309,36467,180203,178,0,309,178,1,
c217,DTLZ1,216,141,216,20586,142140,140,0,216,140,1,
c217,DTLZ2,371,241,371,60491,242240,240,0,371,240,1,
c217,DTLZ3,371,241,371,60491,242240,240,0,371,240,1,
c217,DTLZ4,371,241,371,60491,242240,240,0,371,240,1,
c217,DTLZ7,681,432,681,199198,434441,431,0,681,431,1,
c217,MMF1,61,43,61,1806,44042,42,0,61,42,1,
c217,MMF11_L,61,44,61,1870,46043,43,0,61,43,1,
c217,MMF16_20,619,401,619,168019,402400,400,0,619,400,1,
c217,MMF4,61,39,61,1634,40040,38,0,61,38,1,
c217,WFG1,681,441,681,203301,442440,440,0,681,440,1,
c217,WFG2,681,441,681,203301,442440,440,0,681,440,1,
c217,WFG4,681,441,681,203301,442440,440,0,681,440,1,
c217,WFG5,681,441,681,203301,442440,440,0,681,440,1,
c217,WFG9,681,442,681,203983,444441,441,0,681,441,1,
c217,ZDT1,929,587,929,371659,588601,586,0,929,586,1,
c217,ZDT3,929,582,929,364239,584601,581,0,929,581,1,
c217,ZDT4,309,182,309,37114,184201,181,0,309,181,1,
c217,ZDT6,309,156,309,34039,158200,155,0,309,155,1,
c238,BBOB_F1,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F17,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F22,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F37,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F49,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F5,309,201,309,42009,222000,200,0,309,200,1,
c238,BBOB_F55,309,201,309,42009,222000,200,0,309,200,1,
c238,DTLZ1,216,141,216,20586,151800,140,0,216,140,1,
c238,DTLZ2,371,241,371,60491,270800,240,0,371,240,1,
c238,DTLZ3,371,241,371,60491,270800,240,0,371,240,1,
c238,DTLZ4,371,241,371,60491,270800,240,0,371,240,1,
c238,DTLZ7,681,441,681,203301,538800,440,0,681,440,1,
c238,MMF1,61,41,61,1681,42800,40,0,61,40,1,
c238,MMF11_L,61,41,61,1681,42800,40,0,61,40,1,
c238,MMF16_20,619,401,619,168019,482000,400,0,619,400,1,
c238,MMF4,61,41,61,1681,42800,40,0,61,40,1,
c238,WFG1,681,441,681,203301,538800,440,0,681,440,1,
c238,WFG2,681,441,681,203301,538800,440,0,681,440,1,
c238,WFG4,681,441,681,203301,538800,440,0,681,440,1,
c238,WFG5,681,441,681,203301,538800,440,0,681,440,1,
c238,WFG9,681,441,681,203301,538800,440,0,681,440,1,
c238,ZDT1,929,601,929,378029,782000,600,0,929,600,1,
c238,ZDT3,929,601,929,378029,782000,600,0,929,600,1,
c238,ZDT4,309,201,309,42009,222000,200,0,309,200,1,
c238,ZDT6,309,201,309,42009,222000,200,0,309,200,1,
c262,BBOB_F1,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F17,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F22,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F37,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F49,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F5,309,201,309,42118,206010,201,201,309,201,1,
c262,BBOB_F55,309,201,309,42118,206010,201,201,309,201,1,
c262,DTLZ1,216,141,216,20662,145410,141,141,216,141,1,
c262,DTLZ2,371,241,371,60622,246410,241,241,371,241,1,
c262,DTLZ3,371,241,371,60622,246410,241,241,371,241,1,
c262,DTLZ4,371,241,371,60622,246410,241,241,371,241,1,
c262,MMF1,61,41,61,1702,44410,41,41,61,41,1,
c262,MMF11_L,61,41,61,1702,44410,41,41,61,41,1,
c262,MMF4,61,41,61,1702,44410,41,41,61,41,1,
c262,WFG2,681,441,681,203542,448410,441,441,681,441,1,
c262,WFG4,681,441,681,203542,448410,441,441,681,441,1,
c262,WFG5,681,441,681,203542,448410,441,441,681,441,1,
c262,WFG9,681,441,681,203542,448410,441,441,681,441,1,
c262,ZDT1,929,640,929,410306,648400,640,640,929,640,1,
c262,ZDT4,309,201,309,42118,206010,201,201,309,201,1,
c262,ZDT6,309,202,309,42417,206020,202,202,309,202,1,
c311,BBOB_F1,309,1204,309,0,96866,4,4,309,1204,1,50
c311,BBOB_F17,309,1204,309,0,51857,4,4,309,1204,1,2
c311,BBOB_F22,309,1204,309,0,72427,4,4,309,1204,1,14
c311,BBOB_F37,309,1204,309,0,94208,4,4,309,1204,1,50
c311,BBOB_F49,309,1204,309,0,78185,4,4,309,1204,1,32
c311,BBOB_F5,309,1204,309,0,96518,4,4,309,1204,1,50
c311,BBOB_F55,309,1204,309,0,97380,4,4,309,1204,1,50
c311,DTLZ1,216,1204,216,0,152688,4,4,216,1204,1,104
c311,DTLZ2,371,1204,371,0,144031,4,4,371,1204,1,94
c311,DTLZ3,371,1204,371,0,144472,4,4,371,1204,1,95
c311,DTLZ4,371,1204,371,0,147915,4,4,371,1204,1,99
c311,DTLZ7,681,1204,681,0,129316,4,4,681,1204,1,79
c311,MMF1,61,1204,61,0,96581,4,4,61,1204,1,50
c311,MMF11_L,61,1204,61,0,95766,4,4,61,1204,1,50
c311,MMF16_20,619,1204,619,0,145951,4,4,619,1204,1,93
c311,MMF4,61,1204,61,0,96911,4,4,61,1204,1,50
c311,WFG1,681,1204,681,0,91522,4,4,681,1204,1,50
c311,WFG2,681,1204,681,0,85401,4,4,681,1204,1,34
c311,WFG4,681,1204,681,0,64810,4,4,681,1204,1,50
c311,WFG5,681,1204,681,0,95421,4,4,681,1204,1,50
c311,WFG9,681,1204,681,0,86154,4,4,681,1204,1,50
c311,ZDT1,929,1204,929,0,95114,4,4,929,1204,1,50
c311,ZDT3,929,1204,929,0,94856,4,4,929,1204,1,50
c311,ZDT4,309,1204,309,0,86240,4,4,309,1204,1,50
c311,ZDT6,309,1204,309,0,97079,4,4,309,1204,1,50
c311,swap_big-lhs_DTLZ2,50000,6049,50000,0,671114,99,99,50000,6049,1,105
c311,swap_big-lhs_MMF16_20,50000,3244,50000,0,380048,44,44,50000,3244,1,105
c311,swap_big-lhs_WFG9,50000,1306,50000,0,100210,6,6,50000,1306,1,50
c311,swap_big-lhs_ZDT1,50000,1918,50000,0,132219,18,18,50000,1918,1,50
c311,swap_big-lhs_ZDT4,50000,3550,50000,0,215061,50,50,50000,3550,1,50
c311,swap_big-mvns_DTLZ2,50000,3856,50000,0,435257,56,56,50000,3856,1,105
c311,swap_big-mvns_MMF16_20,50000,2141,50000,0,220011,41,41,50000,2141,1,105
c311,swap_big-mvns_WFG9,50000,1408,50000,0,101165,8,8,50000,1408,1,50
c311,swap_big-mvns_ZDT1,50000,4111,50000,0,228582,61,61,50000,4111,1,49
c311,swap_big-mvns_ZDT4,50000,2530,50000,0,164893,30,30,50000,2530,1,50
c311,swap_medium-lhs_DTLZ2,2000,1714,2000,0,202296,14,14,2000,1714,1,104
c311,swap_medium-lhs_MMF16_20,2000,1510,2000,0,189120,10,10,2000,1510,1,105
c311,swap_medium-lhs_WFG9,2000,1306,2000,0,85561,6,6,2000,1306,1,36
c311,swap_medium-lhs_ZDT1,2000,1306,2000,0,101094,6,6,2000,1306,1,50
c311,swap_medium-lhs_ZDT4,2000,1357,2000,0,100912,7,7,2000,1357,1,50
c311,swap_medium-mvns_DTLZ2,2000,1714,2000,0,183239,14,14,2000,1714,1,87
c311,swap_medium-mvns_MMF16_20,2000,1510,2000,0,186293,10,10,2000,1510,1,100
c311,swap_medium-mvns_WFG9,2000,1408,2000,0,61597,8,8,2000,1408,1,1
c311,swap_medium-mvns_ZDT1,2000,1357,2000,0,97922,7,7,2000,1357,1,50
c311,swap_medium-mvns_ZDT4,2000,1510,2000,0,100287,10,10,2000,1510,1,27
c311,swap_small-lhs_DTLZ2,371,1204,371,0,144031,4,4,371,1204,1,94
c311,swap_small-lhs_MMF16_20,619,1204,619,0,145951,4,4,,1204,1,93
c311,swap_small-lhs_WFG9,681,1204,681,0,86154,4,4,,1204,1,50
c311,swap_small-lhs_ZDT1,929,1204,929,0,95114,4,4,,1204,1,50
c311,swap_small-lhs_ZDT4,309,1204,309,0,86240,4,4,,1204,1,50
c311,swap_small-mvns_DTLZ2,371,1204,371,0,122334,4,4,,1204,1,74
c311,swap_small-mvns_MMF16_20,619,1204,619,0,128918,4,4,,1204,1,79
c311,swap_small-mvns_WFG9,681,1204,681,0,94352,4,4,,1204,1,50
c311,swap_small-mvns_ZDT1,929,1204,929,0,94981,4,4,929,1204,1,50
c311,swap_small-mvns_ZDT4,309,1204,309,0,95899,4,4,309,1204,1,50
e103,BBOB_F1,309,99,309,98,59800,1,1,309,99,1,100
e103,BBOB_F17,309,99,309,70,59800,1,1,309,99,1,100
e103,BBOB_F22,309,99,309,110,59800,1,1,309,99,1,100
e103,BBOB_F37,309,99,309,122,59800,1,1,309,99,1,100
e103,BBOB_F49,309,99,309,948,59800,1,1,309,99,1,100
e103,BBOB_F5,309,99,309,322,59800,1,1,309,99,1,100
e103,BBOB_F55,309,99,309,2609,59800,1,1,309,99,1,100
e103,DTLZ1,216,99,216,2508,59800,1,1,216,99,1,100
e103,DTLZ2,371,99,371,2141,59800,1,1,371,99,1,100
e103,DTLZ3,371,99,371,2234,59800,1,1,371,99,1,100
e103,DTLZ4,371,99,371,573,59800,1,1,371,99,1,100
e103,DTLZ7,681,99,681,124,59800,1,1,681,99,1,100
e103,MMF1,61,99,61,2917,59800,1,1,61,99,1,100
