problema,bloco,obj,wape,cob,sigma_med,nan_sigma,it,noise,ls_med,ls_min,ls_max,outputscale,mll
BBOB_F1,64,0,0.0288538963398867,0.994,5.998797416687012,0.0,64,0.0001500529547826,1.9500927232240648,1.8949126194430983,2.014877835498644,0.711393993971462,0.3999936105822219
BBOB_F1,64,1,0.0274708823099905,0.997,5.998444557189941,0.0,64,0.0001532515617088,1.9889027127987409,1.9143613239304915,2.051081305758108,0.8093621056511782,0.3999936105822219
BBOB_F1,66,0,0.028452460049877,0.994,5.899667024612427,0.0,66,0.0001402432820559,1.9730117143116137,1.9099949650164232,2.0368469312544693,0.7189548858195773,0.4203435192402954
BBOB_F1,66,1,0.0270538904376297,0.9975,5.902022838592529,0.0,66,0.0001446511972136,2.0115490527600897,1.941807644528789,2.077650940627808,0.8284915923217323,0.4203435192402954
BBOB_F1,68,0,0.0276466874095141,0.9945,5.786921262741089,0.0,68,0.0001306617514323,2.0081506950464196,1.9455460484649496,2.0740028133500212,0.7484786628601441,0.4405259356433137
BBOB_F1,68,1,0.0265288689862944,0.9975,5.810440540313721,0.0,68,0.0001348420558234,2.033064782708376,1.9561589327791744,2.078006133272502,0.829527932637576,0.4405259356433137
BBOB_F1,70,0,0.0275381348629508,0.9945,5.723490238189697,0.0,70,0.0001243574625605,2.028943798514117,1.9589103340171217,2.085101471007023,0.7514436356140468,0.460720212644595
BBOB_F1,70,1,0.0265434471870204,0.9975,5.724312782287598,0.0,70,0.0001273721175763,2.055168757722041,1.9825157709927332,2.12504104793387,0.8551698818886624,0.460720212644595
BBOB_F1,72,0,0.0271114695585586,0.9945,5.624924421310425,0.0,72,0.0001163489837471,2.049428089969699,1.9846591292054383,2.1090170307282463,0.7630528058922009,0.4821891175450585
BBOB_F1,72,1,0.0262204195315446,0.9975,5.632503032684326,0.0,72,0.0001194032749386,2.072758135836334,2.004430867796535,2.142549744913694,0.8681795125178934,0.4821891175450585
