label,alg,n_final,n_nd,fantasia,origem_ger
swap_medium-mvns_ZDT4,moead_media,50,50,1.0,801
swap_medium-mvns_ZDT4,b5m,50,50,1.0,801
swap_medium-mvns_ZDT4,b5r,15,3,0.2,3660
swap_medium-mvns_ZDT4,e103,100,4,0.04,99
swap_small-lhs_DTLZ2,moead_media,105,99,0.9428571428571428,381
swap_small-lhs_DTLZ2,b5m,105,83,0.7904761904761904,381
swap_small-lhs_DTLZ2,b5r,83,71,0.8554216867469879,504
swap_small-lhs_DTLZ2,e103,100,81,0.81,99
swap_small-lhs_MMF16_20,moead_media,105,65,0.6190476190476191,381
swap_small-lhs_MMF16_20,b5m,105,45,0.42857142857142855,381
swap_small-lhs_MMF16_20,b5r,74,56,0.7567567567567568,595
swap_small-lhs_MMF16_20,e103,100,100,1.0,99
swap_small-lhs_WFG9,moead_media,50,1,0.02,801
swap_small-lhs_WFG9,b5m,50,19,0.38,801
swap_small-lhs_WFG9,b5r,45,15,0.3333333333333333,906
swap_small-lhs_WFG9,e103,100,19,0.19,99
swap_small-lhs_ZDT1,moead_media,50,23,0.46,801
swap_small-lhs_ZDT1,b5m,50,13,0.26,801
swap_small-lhs_ZDT1,b5r,47,18,0.3829787234042553,878
swap_small-lhs_ZDT1,e103,100,95,0.95,99
swap_small-lhs_ZDT4,moead_media,50,17,0.34,801
swap_small-lhs_ZDT4,b5m,50,13,0.26,801
swap_small-lhs_ZDT4,b5r,12,4,0.3333333333333333,3845
swap_small-lhs_ZDT4,e103,100,7,0.07,99
swap_small-mvns_DTLZ2,moead_media,105,102,0.9714285714285714,381
swap_small-mvns_DTLZ2,b5m,105,38,0.3619047619047619,381
swap_small-mvns_DTLZ2,b5r,78,59,0.7564102564102564,557
swap_small-mvns_DTLZ2,e103,100,52,0.52,99
swap_small-mvns_MMF16_20,moead_media,105,52,0.49523809523809526,381
swap_small-mvns_MMF16_20,b5m,105,52,0.49523809523809526,381
swap_small-mvns_MMF16_20,b5r,86,44,0.5116279069767442,507
swap_small-mvns_MMF16_20,e103,100,51,0.51,99
swap_small-mvns_WFG9,moead_media,50,11,0.22,801
swap_small-mvns_WFG9,b5m,50,19,0.38,801
swap_small-mvns_WFG9,b5r,46,17,0.3695652173913043,944
swap_small-mvns_WFG9,e103,100,13,0.13,99
swap_small-mvns_ZDT1,moead_media,50,20,0.4,801
swap_small-mvns_ZDT1,b5m,50,46,0.92,801
swap_small-mvns_ZDT1,b5r,47,7,0.14893617021276595,854
swap_small-mvns_ZDT1,e103,100,96,0.96,99
swap_small-mvns_ZDT4,moead_media,50,1,0.02,801
swap_small-mvns_ZDT4,b5m,50,1,0.02,801
swap_small-mvns_ZDT4,b5r,8,4,0.5,5548
swap_small-mvns_ZDT4,e103,100,1,0.01,99
