label,vs,obj,identico_bit,dmax,dmax_rel,piso_colapso,outro_colapso
swap_medium-lhs_DTLZ2,b5m,0,False,2.1917307376861572,1.0,False,False
swap_medium-lhs_DTLZ2,b5m,1,False,0.017867565155029297,0.0067848432782864915,False,False
swap_medium-lhs_DTLZ2,b5m,2,False,2.5500309467315674,1.0,False,False
swap_medium-lhs_DTLZ2,b5r,0,False,2.559135675430298,1.0,False,False
swap_medium-lhs_DTLZ2,b5r,1,False,0.12051987648010254,0.0480414053795859,False,False
swap_medium-lhs_DTLZ2,b5r,2,False,2.4630959033966064,1.0,False,False
swap_medium-lhs_MMF16_20,b5m,0,False,0.00023259928275365382,1.0,True,False
swap_medium-lhs_MMF16_20,b5m,1,False,3.8091909885406494,1.0,True,False
swap_medium-lhs_MMF16_20,b5m,2,False,3.5497617721557617,1.0,True,False
swap_medium-lhs_MMF16_20,b5r,0,False,3.272289991378784,1.0,True,False
swap_medium-lhs_MMF16_20,b5r,1,False,3.494500160217285,1.0,True,False
swap_medium-lhs_MMF16_20,b5r,2,False,3.4902231693267822,1.0,True,False
swap_medium-lhs_WFG9,b5m,0,False,2.384185791015625e-07,7.026066354873262e-08,False,False
swap_medium-lhs_WFG9,b5m,1,False,4.76837158203125e-06,7.806252558499276e-07,False,False
swap_medium-lhs_WFG9,b5r,0,False,4.76837158203125e-07,1.4052132709746524e-07,False,False
swap_medium-lhs_WFG9,b5r,1,False,4.76837158203125e-07,7.806253777251046e-08,False,False
swap_medium-lhs_ZDT1,b5m,0,False,1.1920928955078125e-06,1.1921289211131932e-06,False,False
swap_medium-lhs_ZDT1,b5m,1,False,4.76837158203125e-07,7.382152244340381e-08,False,False
swap_medium-lhs_ZDT1,b5r,0,False,1.1324882507324219e-06,1.1325226775744892e-06,False,False
swap_medium-lhs_ZDT1,b5r,1,False,4.76837158203125e-07,7.382152244340381e-08,False,False
swap_medium-lhs_ZDT4,b5m,0,False,2.5838613510131836e-05,2.5838966198161804e-05,False,False
swap_medium-lhs_ZDT4,b5m,1,False,241.62008666992188,1.0,True,False
swap_medium-lhs_ZDT4,b5r,0,False,0.06533008813858032,0.0648989606521959,False,False
swap_medium-lhs_ZDT4,b5r,1,False,233.5445098876953,1.0,True,False
swap_medium-mvns_DTLZ2,b5m,0,False,2.5211405754089355,1.0,False,False
swap_medium-mvns_DTLZ2,b5m,1,False,0.0864248275756836,0.03381109858647834,False,False
swap_medium-mvns_DTLZ2,b5m,2,False,2.4748852252960205,1.0,False,False
swap_medium-mvns_DTLZ2,b5r,0,False,2.5211400985717773,1.0,False,False
swap_medium-mvns_DTLZ2,b5r,1,False,0.19926166534423828,0.08005877743697423,False,False
swap_medium-mvns_DTLZ2,b5r,2,False,2.455880880355835,1.0,False,False
swap_medium-mvns_MMF16_20,b5m,0,False,0.0002957093820441514,1.0,True,False
swap_medium-mvns_MMF16_20,b5m,1,False,4.357818126678467,1.0,True,False
swap_medium-mvns_MMF16_20,b5m,2,False,3.6555442810058594,1.0,True,False
swap_medium-mvns_MMF16_20,b5r,0,False,3.4433486461639404,1.0,True,False
swap_medium-mvns_MMF16_20,b5r,1,False,3.4402265548706055,1.0,True,False
swap_medium-mvns_MMF16_20,b5r,2,False,3.5161168575286865,1.0,True,False
swap_medium-mvns_WFG9,b5m,0,True,0.0,0.0,False,False
swap_medium-mvns_WFG9,b5m,1,False,4.76837158203125e-07,9.066531659965895e-08,False,False
swap_medium-mvns_WFG9,b5r,0,True,0.0,0.0,False,False
swap_medium-mvns_WFG9,b5r,1,False,4.76837158203125e-07,9.066531659965895e-08,False,False
swap_medium-mvns_ZDT1,b5m,0,True,0.0,0.0,False,False
swap_medium-mvns_ZDT1,b5m,1,False,4.76837158203125e-07,7.443918448895825e-08,False,False
swap_medium-mvns_ZDT1,b5r,0,True,0.0,0.0,False,False
swap_medium-mvns_ZDT1,b5r,1,False,4.76837158203125e-07,7.443918448895825e-08,False,False
swap_medium-mvns_ZDT4,b5m,0,False,0.014248490333557129,0.014248509017658138,False,False
swap_medium-mvns_ZDT4,b5m,1,False,241.86842346191406,1.0,True,False
swap_medium-mvns_ZDT4,b5r,0,False,0.2456759810447693,0.2447934984936777,False,False
swap_medium-mvns_ZDT4,b5r,1,False,241.86842346191406,1.0,True,False
swap_small-lhs_DTLZ2,b5m,0,False,2.422010660171509,1.0,True,False
swap_small-lhs_DTLZ2,b5m,1,False,2.3915584087371826,1.0,False,False
swap_small-lhs_DTLZ2,b5m,2,False,2.680209159851074,1.0,True,False
swap_small-lhs_DTLZ2,b5r,0,False,2.422010660171509,1.0,True,False
swap_small-lhs_DTLZ2,b5r,1,False,2.266740560531616,1.0,False,False
swap_small-lhs_DTLZ2,b5r,2,False,2.344080924987793,1.0,True,False
swap_small-lhs_MMF16_20,b5m,0,False,2.384185791015625e-07,6.872457362587277e-08,False,False
swap_small-lhs_MMF16_20,b5m,1,False,2.384185791015625e-07,6.857322166321332e-08,False,False
swap_small-lhs_MMF16_20,b5m,2,False,2.384185791015625e-07,6.850976664956892e-08,False,False
swap_small-lhs_MMF16_20,b5r,0,False,2.384185791015625e-07,6.872457362587277e-08,False,False
swap_small-lhs_MMF16_20,b5r,1,False,2.384185791015625e-07,6.857322166321332e-08,False,False
swap_small-lhs_MMF16_20,b5r,2,False,2.384185791015625e-07,6.850976664956892e-08,False,False
swap_small-lhs_WFG9,b5m,0,False,2.384185791015625e-07,7.015399854991684e-08,False,False
swap_small-lhs_WFG9,b5m,1,True,0.0,0.0,False,False
swap_small-lhs_WFG9,b5r,0,False,2.384185791015625e-07,7.015399854991684e-08,False,False
swap_small-lhs_WFG9,b5r,1,True,0.0,0.0,False,False
swap_small-lhs_ZDT1,b5m,0,False,4.76837158203125e-07,4.768548371618221e-07,False,False
swap_small-lhs_ZDT1,b5m,1,False,4.76837158203125e-07,7.465637722613185e-08,False,False
swap_small-lhs_ZDT1,b5r,0,False,3.8743019104003906e-07,3.874446013826885e-07,False,False
swap_small-lhs_ZDT1,b5r,1,False,4.76837158203125e-07,7.465637722613185e-08,False,False
swap_small-lhs_ZDT4,b5m,0,False,1.1920928955078125e-07,1.1917540629577453e-07,False,False
swap_small-lhs_ZDT4,b5m,1,False,1.52587890625e-05,6.217317504789045e-08,False,False
swap_small-lhs_ZDT4,b5r,0,False,1.1920928955078125e-07,1.1917540629577453e-07,False,False
swap_small-lhs_ZDT4,b5r,1,False,1.52587890625e-05,6.217317504789045e-08,False,False
swap_small-mvns_DTLZ2,b5m,0,False,2.390071153640747,1.0,True,False
swap_small-mvns_DTLZ2,b5m,1,False,0.2374567985534668,0.09607910551543762,False,False
swap_small-mvns_DTLZ2,b5m,2,False,2.295626401901245,1.0,True,False
swap_small-mvns_DTLZ2,b5r,0,False,2.390071153640747,1.0,True,False
swap_small-mvns_DTLZ2,b5r,1,False,0.18041205406188965,0.0787551305896849,False,False
swap_small-mvns_DTLZ2,b5r,2,False,2.2699766159057617,1.0,True,False
swap_small-mvns_MMF16_20,b5m,0,False,9.5367431640625e-07,3.015357593141569e-07,False,False
swap_small-mvns_MMF16_20,b5m,1,False,2.384185791015625e-07,7.4222574202163e-08,False,False
swap_small-mvns_MMF16_20,b5m,2,False,2.384185791015625e-07,6.178205773669216e-08,False,False
swap_small-mvns_MMF16_20,b5r,0,False,2.384185791015625e-07,7.538394551127804e-08,False,False
swap_small-mvns_MMF16_20,b5r,1,False,1.1920928955078125e-07,3.71112871010815e-08,False,False
swap_small-mvns_MMF16_20,b5r,2,False,2.384185791015625e-07,6.178205773669216e-08,False,False
swap_small-mvns_WFG9,b5m,0,False,2.384185791015625e-07,6.521858792365668e-08,False,False
swap_small-mvns_WFG9,b5m,1,False,4.76837158203125e-07,9.022837523599232e-08,False,False
swap_small-mvns_WFG9,b5r,0,False,1.6689300537109375e-06,4.565302643368927e-07,False,False
swap_small-mvns_WFG9,b5r,1,False,4.76837158203125e-07,9.022837523599232e-08,False,False
swap_small-mvns_ZDT1,b5m,0,True,0.0,0.0,False,False
swap_small-mvns_ZDT1,b5m,1,False,4.76837158203125e-07,7.709243120387079e-08,False,False
swap_small-mvns_ZDT1,b5r,0,False,1.1920928955078125e-06,1.1921521577179157e-06,False,False
swap_small-mvns_ZDT1,b5r,1,False,4.76837158203125e-07,7.709243120387079e-08,False,False
swap_small-mvns_ZDT4,b5m,0,False,6.556510925292969e-07,6.553652308726593e-07,False,False
swap_small-mvns_ZDT4,b5m,1,False,1.52587890625e-05,6.623253886740637e-08,False,False
swap_small-mvns_ZDT4,b5r,0,False,9.08970832824707e-07,9.085746328822275e-07,False,False
swap_small-mvns_ZDT4,b5r,1,False,7.62939453125e-06,3.311626943370318e-08,False,False
