alg,prob,D,Nef,n_off,ngen,ev,ch_tot,dup_off,ch_init,A24_ceil_dupoff,T11_floor_chtot,ok_A24,ok_T11
smsemoa,DTLZ3,12,20,20,13,smsemoa_gen,21,0,21,12,13,0,1
smsemoa,DTLZ4,12,20,20,13,smsemoa_gen,21,0,21,12,13,0,1
smsemoa,DTLZ7,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,MMF1,2,20,20,3,smsemoa_gen,27,6,21,3,3,1,1
smsemoa,MMF11_L,2,20,20,3,smsemoa_gen,27,6,21,3,3,1,1
smsemoa,MMF16_20,20,20,20,21,smsemoa_gen,21,0,21,20,21,0,1
smsemoa,MMF4,2,20,20,3,smsemoa_gen,26,5,21,3,3,1,1
smsemoa,WFG1,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,WFG2,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,WFG4,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,WFG5,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,WFG9,22,20,20,23,smsemoa_gen,21,0,21,22,23,0,1
smsemoa,ZDT1,30,20,20,31,smsemoa_gen,21,0,21,30,31,0,1
smsemoa,ZDT3,30,20,20,31,smsemoa_gen,21,0,21,30,31,0,1
smsemoa,ZDT4,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,ZDT6,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
