fonte,prob,D,M,Nnom,Nef,n_off,A1_maxfe_ok,A1_feindex_denso,A1_hardstop,A1_hs_fe,A1_hs_em_maxfe,A2_dX,A2_hash_ok,A2_n_init,A2_init_ok,A2_n_opt,A2_opt_ok,A5_H1,A5_nref,A5_nlog,A5_dW,A5_Nlattice_eq_Nef,A6_n_decomposicao,A8_npop_unicos,A8_npop_eq_Nef,A8_grupos2,A8_grupos2_eq_Nef,A8_gen_densa,A8_sid_validos,A7_conjunto_igual,A7_nfrentes_log,A7_nfrentes_rec,A7_nf1_log,A7_nf1_rec,A7_pop1_no_doe,A10_off_full,A10_fe_cons,A10_dup_off,A10_fecha,A10_parcial,A10_parcial_le_noff,A13_ch_init,A13_eq_Nef_mais1,A13_sids_distintos,A13_sids_eq_Nef,A11_dup_pct,A21_ch_manifesto,A21_ch_jsonl,A21_bate,A21_nomes_guard,A12_colisoes,A14_ngen_man,A14_ngen_ev,A14_t4_rows,A14_tudo_igual,A18_ideal_ne_fbest,A18_nao_monotonias,A18_transicoes,A18_nadir_ge_ideal,A19_terceira_linhas,A19_fit_series_vazia,A19_sonda_status,A19_sigma_dict,A19_header_surrogate,A20_t4_nan_fit,A20_t4_nan_busca,A20_t4_nan_sonda,A20_dt_max,A20_soma4,A20_total,A20_aval,A20_soma4_le_total,A22_params_chaves,A22_n_footer,A22_termino,A22_status,A23_repo_hash,T11_campanha_id,T11_schema,T11_gerderiv_prefixo
s42,DTLZ4,12,3,20,15,14,1,1,1,371,1,0.0,1,131,1,240,1,4,15,15,0.0,1,1,[15],1,18,1,1,1,0,7,23,23,7,1,238,234,4,1,6,1,16,1,15,1,1.680672268907563,20,20,1,"['cache_hit', 'hard_stop']",2,18,18,18,1,0,7,51,1,0,1,nao_se_aplica,<AUSENTE>,False,18,18,18,8.211135882341125e-09,0.8747839890420437,5.2568,0.12543100000000007,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,DTLZ7,22,3,20,15,14,1,1,1,681,1,0.0,1,241,1,440,1,4,15,15,0.0,1,1,[15],1,33,1,1,1,1,10,10,21,21,1,448,432,16,1,8,1,16,1,15,1,3.5714285714285716,32,32,1,"['cache_hit', 'hard_stop']",0,33,33,33,1,0,0,96,1,0,1,nao_se_aplica,<AUSENTE>,False,33,33,33,1.9626617553392123e-09,0.9624029994010925,5.098064,0.185759,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,MMF1,2,2,20,20,20,1,1,1,61,1,0.0,1,21,1,40,1,19,20,20,0.0,1,1,[20],1,3,1,1,1,1,6,6,7,7,1,40,38,2,1,2,1,21,1,20,1,5.0,23,23,1,"['cache_hit', 'hard_stop']",1,3,3,3,1,0,0,4,1,0,1,nao_se_aplica,<AUSENTE>,False,3,3,3,7.061958323673068e-09,0.4473799876868725,4.326562,0.019838999999999996,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,MMF11_L,2,2,20,20,20,1,1,1,61,1,0.0,1,21,1,40,1,19,20,20,0.0,1,1,[20],1,3,1,1,1,1,3,3,9,9,1,40,39,1,1,1,1,21,1,20,1,2.5,22,22,1,"['cache_hit', 'hard_stop']",0,3,3,3,1,0,0,4,1,0,1,nao_se_aplica,<AUSENTE>,False,3,3,3,4.29058075179789e-09,0.4826510101556778,4.432251,0.021727,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,MMF16_20,20,3,20,15,14,1,1,1,619,1,0.0,1,219,1,400,1,4,15,15,0.0,1,1,[15],1,30,1,1,1,1,7,7,50,50,1,406,397,9,1,3,1,16,1,15,1,2.2167487684729066,25,25,1,"['cache_hit', 'hard_stop']",0,30,30,30,1,0,1,87,1,0,1,nao_se_aplica,<AUSENTE>,False,30,30,30,5.440711964288525e-09,0.8718309970572591,4.772687,0.18649500000000016,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,MMF4,2,2,20,20,20,1,1,1,61,1,0.0,1,21,1,40,1,19,20,20,0.0,1,1,[20],1,3,1,1,1,1,4,4,9,9,1,40,39,1,1,1,1,21,1,20,1,2.5,22,22,1,"['cache_hit', 'hard_stop']",1,3,3,3,1,0,0,4,1,0,1,nao_se_aplica,<AUSENTE>,False,3,3,3,7.444381722176985e-09,0.4335230067372322,4.22653,0.019742000000000003,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,WFG1,22,2,20,20,20,1,1,1,681,1,0.0,1,241,1,440,1,19,20,20,0.0,1,1,[20],1,23,1,1,1,1,22,22,18,18,1,440,430,10,1,10,1,21,1,20,1,2.272727272727273,31,31,1,"['cache_hit', 'hard_stop']",0,23,23,23,1,0,0,44,1,0,1,nao_se_aplica,<AUSENTE>,False,23,23,23,6.6967010547980266e-09,0.9446280049160123,5.527191,0.3177709999999999,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,WFG2,22,2,20,20,20,1,1,1,681,1,0.0,1,241,1,440,1,19,20,20,0.0,1,1,[20],1,23,1,1,1,1,26,26,8,8,1,440,427,13,1,13,1,21,1,20,1,2.9545454545454546,34,34,1,"['cache_hit', 'hard_stop']",0,23,23,23,1,0,0,44,1,0,1,nao_se_aplica,<AUSENTE>,False,23,23,23,6.875991831467587e-09,1.0005349963903427,5.03093,0.4100820000000003,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,WFG4,22,2,20,20,20,1,1,1,681,1,0.0,1,241,1,440,1,19,20,20,0.0,1,1,[20],1,23,1,1,1,1,10,10,30,30,1,440,425,15,1,15,1,21,1,20,1,3.409090909090909,36,36,1,"['cache_hit', 'hard_stop']",0,23,23,23,1,0,0,44,1,0,1,nao_se_aplica,<AUSENTE>,False,23,23,23,7.2498321512792785e-09,0.9182070102542639,5.00235,0.25309299999999985,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,WFG5,22,2,20,20,20,1,1,1,681,1,0.0,1,241,1,440,1,19,20,20,0.0,1,1,[20],1,23,1,1,1,1,10,10,36,36,1,440,424,16,1,16,1,21,1,20,1,3.6363636363636362,37,37,1,"['cache_hit', 'hard_stop']",0,23,23,23,1,0,0,44,1,0,1,nao_se_aplica,<AUSENTE>,False,23,23,23,3.3121108911071673e-09,0.8753689909353852,4.866574,0.2544579999999997,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,WFG9,22,2,20,20,20,1,1,1,681,1,0.0,1,241,1,440,1,19,20,20,0.0,1,1,[20],1,23,1,1,1,1,11,11,15,15,1,440,433,7,1,7,1,21,1,20,1,1.5909090909090908,28,28,1,"['cache_hit', 'hard_stop']",0,23,23,23,1,0,0,44,1,0,1,nao_se_aplica,<AUSENTE>,False,23,23,23,4.0168762205361475e-09,1.5484759956598282,5.865023,1.3597739999999985,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,ZDT1,30,2,20,20,20,1,1,1,929,1,0.0,1,329,1,600,1,19,20,20,0.0,1,1,[20],1,31,1,1,1,1,19,19,14,14,1,600,583,17,1,17,1,21,1,20,1,2.8333333333333335,38,38,1,"['cache_hit', 'hard_stop']",0,31,31,31,1,0,0,60,1,0,1,nao_se_aplica,<AUSENTE>,False,31,31,31,4.055976859929089e-09,0.8679219977930188,4.778756,0.22543599999999928,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,ZDT3,30,2,20,20,20,1,1,1,929,1,0.0,1,329,1,600,1,19,20,20,0.0,1,1,[20],1,31,1,1,1,1,21,21,12,12,1,600,589,11,1,11,1,21,1,20,1,1.8333333333333333,32,32,1,"['cache_hit', 'hard_stop']",0,31,31,31,1,0,0,60,1,0,1,nao_se_aplica,<AUSENTE>,False,31,31,31,3.9653778038939436e-09,0.9466810040175915,5.266825,0.2532370000000004,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,ZDT4,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,17,17,8,8,1,200,195,5,1,5,1,21,1,20,1,2.5,26,26,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,4.320144658676028e-09,0.7048659892752767,4.72958,0.09006600000000002,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,ZDT6,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,20,20,7,7,1,200,198,2,1,2,1,21,1,20,1,1.0,23,23,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,3.6630630473322157e-09,0.6995490062981844,4.654067,0.09762599999999998,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
smokeT11,DTLZ2,12,3,20,15,14,1,1,1,371,1,0.0,1,131,1,240,1,4,15,15,0.0,1,1,[15],1,18,1,1,1,1,6,6,40,40,1,238,230,8,1,10,1,16,1,15,1,3.361344537815126,24,24,1,"['cache_hit', 'hard_stop']",0,18,18,18,1,0,3,51,1,0,1,nao_se_aplica,"{'status': 'nao_se_aplica', 'motivo': 'piso ONLINE = MOEA pu",False,18,18,18,7.32549032544938e-09,0.6817417871206999,1.1461170833333334,0.03350195833333332,1,12,1,normal,ok,195f64ed0a69dc3f6c64c66912076e243be90c49,t11-smoke-195f64e,2,"EMERGENTE, nao fechada ["
