problema,D,M,n_blocos,S,u5_dx_max,u5_ok,wape_1,wape_n,dwape,corr_1,corr_n,cob_1,cob_n,mu_max,sig_med_1,sig_med_n,wape_min,wape_min_bloco,cob_max
MMF1,2,2,21,2000,1.1920928955078125e-07,True,0.5903431602423461,0.9134604519265537,0.5473380796883669,0.30199039152525137,0.558283766821334,0.97,0.56525,1882.290771484375,1.1592411622405052,0.7231712485663593,0.3040302228925953,8,0.97
MMF11_L,2,2,21,2000,5.923211565672659e-08,True,0.2075100996723565,0.04656050761740857,-0.7756229326142474,0.787802833871277,0.9912703915838084,0.9625,0.7829999999999999,32.82699966430664,1.3238701706290925,0.06957044486408392,0.04656050761740857,21,0.9822500000000001
MMF16_20,20,3,201,2000,2.9802322387695312e-08,True,0.12875158018939015,0.017346730355790197,-0.8652697673281088,0.9684235779186502,0.9994464916835502,0.829,0.9625,3.553588390350342,0.10707347095012665,0.03251892887055874,0.004956251325454069,186,0.9995
MMF4,2,2,21,2000,5.960464477539063e-08,True,0.3984897999926946,0.4935445178989889,0.23853739269621665,0.4207612508199594,0.4825130211296399,0.97525,0.5660000000000001,203.8746795654297,0.4132229909300804,0.21296201460063457,0.1566481244432933,5,0.97525
WFG1,22,2,221,2000,1.9073486328125e-06,False,0.005769811579044041,0.06094006029198652,9.561880480347202,0.8903161420808858,0.5757597620322683,0.852,0.99925,3.1689860820770264,0.007340374286286533,0.24885893613100052,0.005769811579044041,1,0.9995
WFG2,22,2,221,2000,1.9073486328125e-06,False,0.12644006557621315,0.045384936403008336,-0.6410557350142145,0.9839135098474621,0.9821097170618658,0.911,0.97475,4.975924015045166,0.4536216463893652,0.16344287432730198,0.035918389058806365,43,0.98075
WFG4,22,2,221,2000,1.9073486328125e-06,False,0.07504531315026432,0.07191951644721481,-0.041652124187831374,0.9192646016174356,0.9385465056977953,0.829,0.9165,4.866641521453857,0.14145655557513237,0.1790727972984314,0.06745563607869368,166,0.9445
WFG5,22,2,221,2000,1.9073486328125e-06,False,0.03848430498660049,0.04414817166227815,0.1471734172580148,0.9725750448662307,0.9694207531100545,0.901,0.852,5.007751941680908,0.10312425345182419,0.13763290829956532,0.03673889313123397,2,0.92675
WFG9,22,2,221,2000,1.9073486328125e-06,False,0.2277435337447003,0.2534846785272422,0.11302689634823015,0.3928405242646761,0.48466346206310834,0.86775,0.9235,5.26386022567749,0.6245981678366661,0.7858225256204605,0.21720156444080707,52,0.967
ZDT1,30,2,301,2000,2.9802322387695312e-08,True,0.0013073447006505382,0.007495297017889355,4.7332217082148835,0.9998335965734486,0.9971860007233968,0.97275,0.93525,7.162298679351807,0.006397123637725599,0.03894131342531182,0.0012883069528525205,2,0.99875
ZDT3,30,2,301,2000,2.9802322387695312e-08,True,0.0019210399732651584,0.005294885397154786,1.7562598752982534,0.9996581167738333,0.9986587662148041,0.9922500000000001,0.8987499999999999,6.286049842834473,0.016392310200899374,0.02597689793765312,0.0019210399732651584,1,0.99475
ZDT4,10,2,101,2000,2.384185791015625e-07,True,0.07692258545903116,0.07744807025466999,0.0068313459889968176,0.9999999077862429,0.5253010506060346,0.83575,0.99575,241.49227905273438,14.839951814320557,20.607484964537434,0.06908770116956439,13,0.99575
ZDT6,10,2,101,2000,2.9802322387695312e-08,True,0.05210873958827151,0.018641111125486352,-0.6422651694749101,0.9933574940859977,0.5229595675604396,0.8280000000000001,1.0,10.049020767211914,0.080861353315413,0.5015714361798018,0.005445254021051217,18,1.0
