label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,n_pares,hit_tppm_g51i,hit_ngps_g51i,hit_tppm_it1_g51i,hit_tppm_final_g51i,erro_rel_g51i,hit_tppm_g51i_1,hit_ngps_g51i_1,hit_tppm_it1_g51i_1,hit_tppm_final_g51i_1,erro_rel_g51i_1
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,10,30,29,30,3,3,0.0,30,30,3,3,0.0
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,6,12,12,12,2,2,0.0,12,12,2,2,0.0
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,6,12,12,12,2,2,0.0,12,12,2,2,0.0
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,7,14,11,14,2,1,0.0,14,14,2,2,0.0
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,14,42,28,40,3,2,0.0,42,42,3,3,0.0
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,10,30,27,30,3,3,0.0,30,30,3,3,0.0
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,8,16,16,16,2,2,0.0,16,16,2,2,0.0
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,7,14,6,11,1,1,0.012620320855614972,14,14,2,2,0.0
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,10,20,7,11,2,0,0.060505285646622525,20,20,2,2,0.0
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,4,12,11,11,3,3,0.0,12,12,3,3,0.0
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,4,12,12,12,3,3,0.0,12,12,3,3,0.0
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,4,8,8,8,2,2,0.0,8,8,2,2,0.0
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,4,8,8,8,2,2,0.0,8,8,2,2,0.0
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,4,8,6,6,2,1,0.0,8,8,2,2,0.0
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,4,12,12,12,3,3,0.0,12,12,3,3,0.0
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,4,12,12,12,3,3,0.0,12,12,3,3,0.0
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,220,4,8,8,8,2,2,0.0,8,8,2,2,0.0
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,300,4,8,5,5,2,1,0.0,8,8,2,2,0.0
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
