label,exp,tier,dist,problema,M,N,it,logged,early,V_51i,P_51i,51i_lag1,51i_lag2,51i_lag3,51i-1_lag1,51i-1_lag2,51i-1_lag3,51i-50_lag1,51i-50_lag2,51i-50_lag3
DTLZ3,off,small,lhs,DTLZ3,3,371,3,1.0,False,276.0,92.0,196.0,261.0,,207.0,277.0,,45.0,62.0,
DTLZ3,off,small,lhs,DTLZ3,3,371,4,1.0,False,282.0,94.0,6.0,202.0,267.0,5.0,212.0,282.0,145.0,190.0,207.0
DTLZ4,off,small,lhs,DTLZ4,3,371,1,1.0,False,8.0,4.0,,,,,,,,,
DTLZ4,off,small,lhs,DTLZ4,3,371,2,1.0,False,282.0,94.0,274.0,,,279.0,,,11.0,,
DTLZ4,off,small,lhs,DTLZ4,3,371,3,1.0,False,282.0,94.0,0.0,274.0,,3.0,282.0,,169.0,180.0,
DTLZ4,off,small,lhs,DTLZ4,3,371,4,1.0,False,285.0,95.0,3.0,3.0,277.0,3.0,6.0,285.0,54.0,223.0,234.0
DTLZ7,off,small,lhs,DTLZ7,3,681,1,1.0,False,19.0,13.0,,,,,,,,,
DTLZ7,off,small,lhs,DTLZ7,3,681,2,1.0,False,171.0,57.0,152.0,,,207.0,,,28.0,,
DTLZ7,off,small,lhs,DTLZ7,3,681,3,1.0,False,273.0,91.0,102.0,254.0,,57.0,264.0,,127.0,155.0,
DTLZ7,off,small,lhs,DTLZ7,3,681,4,1.0,False,231.0,77.0,-42.0,60.0,212.0,-27.0,30.0,237.0,-17.0,110.0,138.0
MMF1,off,small,lhs,MMF1,2,61,1,1.0,False,3.0,4.0,,,,,,,,,
MMF1,off,small,lhs,MMF1,2,61,2,1.0,False,75.0,38.0,72.0,,,41.0,,,5.0,,
MMF1,off,small,lhs,MMF1,2,61,3,1.0,False,92.0,46.0,17.0,89.0,,44.0,85.0,,56.0,61.0,
MMF1,off,small,lhs,MMF1,2,61,4,1.0,False,100.0,50.0,8.0,25.0,97.0,15.0,59.0,100.0,17.0,73.0,78.0
MMF11_L,off,small,lhs,MMF11_L,2,61,1,1.0,False,4.0,3.0,,,,,,,,,
MMF11_L,off,small,lhs,MMF11_L,2,61,2,1.0,False,60.0,30.0,56.0,,,60.0,,,8.0,,
MMF11_L,off,small,lhs,MMF11_L,2,61,3,1.0,False,82.0,41.0,22.0,78.0,,8.0,68.0,,44.0,52.0,
MMF11_L,off,small,lhs,MMF11_L,2,61,4,1.0,False,100.0,50.0,18.0,40.0,96.0,32.0,40.0,100.0,28.0,72.0,80.0
MMF16_20,off,small,lhs,MMF16_20,3,619,1,1.0,False,18.0,11.0,,,,,,,,,
MMF16_20,off,small,lhs,MMF16_20,3,619,2,1.0,False,141.0,47.0,123.0,,,167.0,,,26.0,,
MMF16_20,off,small,lhs,MMF16_20,3,619,3,1.0,False,267.0,89.0,126.0,249.0,,100.0,267.0,,127.0,153.0,
MMF16_20,off,small,lhs,MMF16_20,3,619,4,1.0,False,300.0,100.0,33.0,159.0,282.0,33.0,133.0,300.0,108.0,235.0,261.0
MMF4,off,small,lhs,MMF4,2,61,1,1.0,False,6.0,7.0,,,,,,,,,
MMF4,off,small,lhs,MMF4,2,61,2,1.0,False,67.0,42.0,61.0,,,42.0,,,9.0,,
MMF4,off,small,lhs,MMF4,2,61,3,1.0,False,90.0,45.0,23.0,84.0,,46.0,88.0,,56.0,65.0,
MMF4,off,small,lhs,MMF4,2,61,4,1.0,False,100.0,50.0,10.0,33.0,94.0,12.0,58.0,100.0,25.0,81.0,90.0
WFG1,off,small,lhs,WFG1,2,681,1,1.0,False,2.0,4.0,,,,,,,,,
WFG1,off,small,lhs,WFG1,2,681,2,1.0,False,18.0,9.0,16.0,,,14.0,,,2.0,,
WFG1,off,small,lhs,WFG1,2,681,3,1.0,False,86.0,43.0,68.0,84.0,,68.0,82.0,,22.0,24.0,
WFG1,off,small,lhs,WFG1,2,681,4,1.0,False,98.0,49.0,12.0,80.0,96.0,16.0,84.0,98.0,64.0,86.0,88.0
WFG2,off,small,lhs,WFG2,2,681,1,1.0,False,6.0,4.0,,,,,,,,,
WFG2,off,small,lhs,WFG2,2,681,2,1.0,False,84.0,42.0,78.0,,,92.0,,,6.0,,
WFG2,off,small,lhs,WFG2,2,681,3,1.0,False,94.0,47.0,10.0,88.0,,6.0,98.0,,54.0,60.0,
WFG2,off,small,lhs,WFG2,2,681,4,1.0,False,74.0,37.0,-20.0,-10.0,68.0,-18.0,-12.0,80.0,16.0,70.0,76.0
WFG4,off,small,lhs,WFG4,2,681,1,1.0,False,2.0,3.0,,,,,,,,,
WFG4,off,small,lhs,WFG4,2,681,2,1.0,False,6.0,4.0,4.0,,,2.0,,,2.0,,
WFG4,off,small,lhs,WFG4,2,681,3,1.0,False,40.0,20.0,34.0,38.0,,34.0,36.0,,10.0,12.0,
WFG4,off,small,lhs,WFG4,2,681,4,1.0,False,34.0,18.0,-6.0,28.0,32.0,-8.0,26.0,28.0,36.0,46.0,48.0
WFG5,off,small,lhs,WFG5,2,681,1,1.0,False,8.0,7.0,,,,,,,,,
WFG5,off,small,lhs,WFG5,2,681,2,1.0,False,92.0,46.0,84.0,,,84.0,,,12.0,,
WFG5,off,small,lhs,WFG5,2,681,3,1.0,False,70.0,35.0,-22.0,62.0,,-12.0,72.0,,22.0,34.0,
WFG5,off,small,lhs,WFG5,2,681,4,1.0,False,64.0,32.0,-6.0,-28.0,56.0,-16.0,-28.0,56.0,38.0,60.0,72.0
WFG9,off,small,lhs,WFG9,2,681,1,1.0,False,6.0,5.0,,,,,,,,,
WFG9,off,small,lhs,WFG9,2,681,2,1.0,False,64.0,32.0,58.0,,,64.0,,,12.0,,
WFG9,off,small,lhs,WFG9,2,681,3,1.0,False,42.0,21.0,-22.0,36.0,,-22.0,42.0,,30.0,42.0,
WFG9,off,small,lhs,WFG9,2,681,4,1.0,False,32.0,16.0,-10.0,-32.0,26.0,-14.0,-36.0,28.0,2.0,32.0,44.0
ZDT1,off,small,lhs,ZDT1,2,929,1,1.0,False,8.0,5.0,,,,,,,,,
ZDT1,off,small,lhs,ZDT1,2,929,2,1.0,False,76.0,38.0,68.0,,,75.0,,,14.0,,
ZDT1,off,small,lhs,ZDT1,2,929,3,1.0,False,74.0,37.0,-2.0,66.0,,-16.0,59.0,,20.0,34.0,
ZDT1,off,small,lhs,ZDT1,2,929,4,1.0,False,94.0,47.0,20.0,18.0,86.0,37.0,21.0,96.0,48.0,68.0,82.0
ZDT3,off,small,lhs,ZDT3,2,929,1,1.0,False,5.0,3.0,,,,,,,,,
ZDT3,off,small,lhs,ZDT3,2,929,2,1.0,False,78.0,39.0,73.0,,,77.0,,,11.0,,
ZDT3,off,small,lhs,ZDT3,2,929,3,1.0,False,66.0,33.0,-12.0,61.0,,-27.0,50.0,,25.0,36.0,
ZDT3,off,small,lhs,ZDT3,2,929,4,1.0,False,100.0,50.0,34.0,22.0,95.0,50.0,23.0,100.0,42.0,67.0,78.0
ZDT4,off,small,lhs,ZDT4,2,309,1,1.0,False,4.0,4.0,,,,,,,,,
ZDT4,off,small,lhs,ZDT4,2,309,2,1.0,False,84.0,42.0,80.0,,,85.0,,,4.0,,
ZDT4,off,small,lhs,ZDT4,2,309,3,1.0,False,91.0,46.0,7.0,87.0,,15.0,100.0,,10.0,14.0,
ZDT4,off,small,lhs,ZDT4,2,309,4,1.0,False,88.0,44.0,-3.0,4.0,84.0,-12.0,3.0,88.0,31.0,41.0,45.0
ZDT6,off,small,lhs,ZDT6,2,309,1,1.0,False,6.0,6.0,,,,,,,,,
ZDT6,off,small,lhs,ZDT6,2,309,2,1.0,False,96.0,48.0,90.0,,,100.0,,,12.0,,
ZDT6,off,small,lhs,ZDT6,2,309,3,1.0,False,100.0,50.0,4.0,94.0,,0.0,100.0,,84.0,96.0,
ZDT6,off,small,lhs,ZDT6,2,309,4,1.0,False,96.0,48.0,-4.0,0.0,90.0,0.0,0.0,100.0,4.0,88.0,100.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,1,1.0,False,7.0,104.0,,,,,,,,,
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,2,1.0,False,53.0,104.0,46.0,,,31.0,,,9.0,,
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,3,1.0,False,86.0,102.0,33.0,79.0,,37.0,68.0,,39.0,48.0,
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,4,1.0,False,88.0,101.0,2.0,35.0,81.0,20.0,57.0,88.0,18.0,57.0,66.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,5,1.0,False,94.0,104.0,6.0,8.0,41.0,6.0,26.0,63.0,6.0,24.0,63.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,6,272.0,False,96.0,103.0,2.0,8.0,10.0,2.0,8.0,28.0,21.0,27.0,45.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,7,265.0,False,102.0,104.0,6.0,8.0,14.0,3.0,5.0,11.0,0.0,21.0,27.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,8,254.0,False,127.0,102.0,25.0,31.0,33.0,8.0,11.0,13.0,9.0,9.0,30.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,9,234.0,False,129.0,101.0,2.0,27.0,33.0,26.0,34.0,37.0,13.0,22.0,22.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,10,221.0,False,132.0,102.0,3.0,5.0,30.0,0.0,26.0,34.0,-17.0,-4.0,5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,11,229.0,False,135.0,103.0,3.0,6.0,8.0,1.0,1.0,27.0,28.0,11.0,24.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,12,223.0,False,135.0,100.0,0.0,3.0,6.0,5.0,6.0,6.0,5.0,33.0,16.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,13,215.0,False,139.0,103.0,4.0,4.0,7.0,-1.0,4.0,5.0,5.0,10.0,38.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,14,216.0,False,140.0,101.0,1.0,5.0,5.0,3.0,2.0,7.0,3.0,8.0,13.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,15,213.0,False,148.0,105.0,8.0,9.0,13.0,4.0,7.0,6.0,2.0,5.0,10.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,16,207.0,False,153.0,103.0,5.0,13.0,14.0,7.0,11.0,14.0,9.0,11.0,14.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,17,192.0,False,171.0,102.0,18.0,23.0,31.0,23.0,30.0,34.0,5.0,14.0,16.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,18,177.0,False,173.0,102.0,2.0,20.0,25.0,3.0,26.0,33.0,-6.0,-1.0,8.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,19,170.0,False,179.0,104.0,6.0,8.0,26.0,2.0,5.0,28.0,17.0,11.0,16.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,20,174.0,False,181.0,104.0,2.0,8.0,10.0,-1.0,1.0,4.0,-28.0,-11.0,-17.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,21,173.0,False,178.0,103.0,-3.0,-1.0,5.0,3.0,2.0,4.0,5.0,-23.0,-6.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,22,163.0,False,184.0,104.0,6.0,3.0,5.0,2.0,5.0,4.0,34.0,39.0,11.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,23,157.0,False,187.0,102.0,3.0,9.0,6.0,6.0,8.0,11.0,-18.0,16.0,21.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,24,156.0,False,187.0,102.0,0.0,3.0,9.0,-3.0,3.0,5.0,13.0,-5.0,29.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,25,152.0,False,202.0,103.0,15.0,15.0,18.0,18.0,15.0,21.0,-4.0,9.0,-9.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,26,146.0,False,201.0,104.0,-1.0,14.0,14.0,-2.0,16.0,13.0,12.0,8.0,21.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,27,147.0,False,202.0,102.0,1.0,0.0,15.0,0.0,-2.0,16.0,-20.0,-8.0,-12.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,28,144.0,False,203.0,103.0,1.0,2.0,1.0,5.0,5.0,3.0,13.0,-7.0,5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,29,144.0,False,209.0,105.0,6.0,7.0,8.0,0.0,5.0,5.0,6.0,19.0,-1.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,30,148.0,False,203.0,101.0,-6.0,0.0,1.0,-1.0,-1.0,4.0,-2.0,4.0,17.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,31,138.0,False,208.0,104.0,5.0,-1.0,5.0,2.0,1.0,1.0,1.0,-1.0,5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,32,135.0,False,205.0,102.0,-3.0,2.0,-4.0,0.0,2.0,1.0,-3.0,-2.0,-4.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,33,133.0,False,214.0,104.0,9.0,6.0,11.0,5.0,5.0,7.0,-3.0,-6.0,-5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,34,122.0,False,215.0,104.0,1.0,10.0,7.0,1.0,6.0,6.0,43.0,40.0,37.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,35,119.0,False,220.0,104.0,5.0,6.0,15.0,4.0,5.0,10.0,0.0,43.0,40.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,36,111.0,False,223.0,102.0,3.0,8.0,9.0,7.0,11.0,12.0,2.0,2.0,45.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,37,105.0,False,229.0,104.0,6.0,9.0,14.0,2.0,9.0,13.0,5.0,7.0,7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,38,101.0,False,229.0,102.0,0.0,6.0,9.0,3.0,5.0,12.0,7.0,12.0,14.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,39,96.0,False,232.0,104.0,3.0,3.0,9.0,3.0,6.0,8.0,-1.0,6.0,11.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,40,95.0,False,236.0,105.0,4.0,7.0,7.0,1.0,4.0,7.0,4.0,3.0,10.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,41,90.0,False,239.0,105.0,3.0,7.0,10.0,4.0,5.0,8.0,4.0,8.0,7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,42,86.0,False,237.0,104.0,-2.0,1.0,5.0,0.0,4.0,5.0,3.0,7.0,11.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,43,85.0,False,235.0,102.0,-2.0,-4.0,-1.0,1.0,1.0,5.0,0.0,3.0,7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,44,85.0,False,238.0,103.0,3.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,3.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,45,81.0,False,239.0,103.0,1.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,46,77.0,False,242.0,104.0,3.0,4.0,7.0,-1.0,2.0,2.0,0.0,0.0,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,47,75.0,False,240.0,102.0,-2.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,48,73.0,False,244.0,104.0,4.0,2.0,5.0,1.0,3.0,2.0,-1.0,2.0,2.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,49,74.0,False,244.0,104.0,0.0,4.0,2.0,0.0,1.0,3.0,3.0,2.0,5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,50,74.0,False,244.0,104.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,51,74.0,False,244.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,52,72.0,False,242.0,102.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,53,69.0,False,241.0,101.0,-1.0,-3.0,-3.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,54,66.0,False,243.0,101.0,2.0,1.0,-1.0,5.0,4.0,3.0,-1.0,-3.0,-3.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,55,66.0,False,250.0,104.0,7.0,9.0,8.0,-2.0,3.0,2.0,3.0,2.0,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,56,65.0,False,247.0,102.0,-3.0,4.0,6.0,4.0,2.0,7.0,6.0,9.0,8.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,57,62.0,False,254.0,103.0,7.0,4.0,11.0,4.0,8.0,6.0,-2.0,4.0,7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,58,59.0,False,254.0,103.0,0.0,7.0,4.0,2.0,6.0,10.0,7.0,5.0,11.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,59,55.0,False,257.0,103.0,3.0,3.0,10.0,3.0,5.0,9.0,-1.0,6.0,4.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,60,55.0,False,256.0,102.0,-1.0,2.0,2.0,0.0,3.0,5.0,3.0,2.0,9.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,61,59.0,False,262.0,105.0,6.0,5.0,8.0,0.0,0.0,3.0,-1.0,2.0,1.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,62,56.0,False,262.0,104.0,0.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,8.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,63,50.0,False,263.0,104.0,1.0,1.0,7.0,0.0,5.0,5.0,0.0,6.0,5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,64,50.0,False,262.0,104.0,-1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,65,52.0,False,261.0,104.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,66,52.0,False,262.0,104.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,-1.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,67,51.0,False,258.0,103.0,-4.0,-3.0,-4.0,-2.0,-1.0,-3.0,1.0,0.0,-1.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,68,52.0,False,257.0,103.0,-1.0,-5.0,-4.0,-1.0,-3.0,-2.0,-4.0,-3.0,-4.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,69,50.0,False,258.0,103.0,1.0,0.0,-4.0,1.0,0.0,-2.0,-1.0,-5.0,-4.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,70,53.0,False,260.0,105.0,2.0,3.0,2.0,-1.0,0.0,-1.0,-31.0,-32.0,-36.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,71,56.0,False,257.0,102.0,-3.0,-1.0,0.0,0.0,-1.0,0.0,27.0,-4.0,-5.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,72,49.0,False,259.0,102.0,2.0,-1.0,1.0,1.0,1.0,0.0,-7.0,20.0,-11.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,73,51.0,False,255.0,102.0,-4.0,-2.0,-5.0,0.0,1.0,1.0,-4.0,-11.0,16.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,74,56.0,False,256.0,101.0,1.0,-3.0,-1.0,2.0,2.0,3.0,4.0,0.0,-7.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,75,49.0,False,262.0,102.0,6.0,7.0,3.0,-1.0,1.0,1.0,-12.0,-8.0,-12.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,76,40.0,False,270.0,103.0,8.0,14.0,15.0,8.0,7.0,9.0,29.0,17.0,21.0
