label,tier,dist,problema,D,M,N,I_eff,I_max,I_frac,cobertura_frac,prof_max,max_folhas,teto_folhas,pop_max,pop_ultima,F2_nan_sonda_b0,F2_nan_build,F2_nan_final,U12_razao_fantasia,fit_total,busca_total,tempo_total_s
swap_big-lhs_ZDT4,big,lhs,ZDT4,10,2,50000,50,500,0.1,0.09727,26.0,393.0,500,50,50,0.90305,0.2883316723141319,0.0357905552421629,0.08,17.521592000000002,27.735258,67.3724
swap_big-mvns_DTLZ2,big,mvns,DTLZ2,12,3,50000,56,417,0.1342925659472422,0.1573066666666666,20.0,330.0,416,105,105,0.6301333333333333,0.2551967392112138,0.0572868456237786,0.9047619047619048,46.575573,121.69353200000003,235.2331
swap_big-mvns_WFG9,big,mvns,WFG9,22,2,50000,8,228,0.0350877192982456,0.03273,18.0,177.0,227,50,50,0.9856,0.5095492742551566,0.0081605378260165,0.02,2.8527470000000004,3.1322649999999994,30.5265
swap_big-mvns_ZDT1,big,mvns,ZDT1,30,2,50000,61,167,0.3652694610778443,0.31009,16.0,124.0,166,50,49,0.69185,0.3190744040590538,0.0656873784420104,0.6530612244897959,130.50000799999995,51.144611,209.8793
swap_big-mvns_ZDT4,big,mvns,ZDT4,10,2,50000,30,500,0.06,0.05306,17.0,379.0,500,50,50,0.91965,0.2654296355413674,0.0666425281113592,0.14,8.491897,19.325685000000007,50.0337
swap_medium-lhs_DTLZ2,medium,lhs,DTLZ2,12,3,2000,14,17,0.8235294117647058,1.0,5.0,12.0,16,105,104,0.0,0.328700155007069,0.0,0.9807692307692308,7.746591,24.225682,96.2412
swap_medium-lhs_MMF16_20,medium,lhs,MMF16_20,20,3,2000,10,10,1.0,0.9233333333333332,4.0,8.0,10,105,105,0.0757,0.2593404111136209,6.358289620092195e-05,0.7047619047619048,45.934127999999994,21.318425,138.2026
swap_medium-lhs_WFG9,medium,lhs,WFG9,22,2,2000,6,10,0.6,0.28175,5.0,8.0,9,50,36,0.714975,0.1663608963438605,0.0020036910097548,0.1944444444444444,0.442861,3.0918300000000003,23.0145
swap_medium-lhs_ZDT1,medium,lhs,ZDT1,30,2,2000,6,7,0.8571428571428571,0.55725,3.0,5.0,6,50,50,0.44275,0.1366863399195962,0.0003542295002327,1.0,11.120448,4.851395,42.0587
swap_medium-lhs_ZDT4,medium,lhs,ZDT4,10,2,2000,7,20,0.35,0.324,9.0,16.0,20,50,50,0.677825,0.5319997250292157,0.1938962579531974,0.34,1.588504,3.205745,21.2309
