label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,k,iteracao,geracao,n_gps,n_folhas,prof_max,tp,tp_frac,delta_total_point,early_stop,n_front1,f_best,tempo_fit_s,tempo_busca_s,motivo
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,4,1,2,102,"[2, 2, 1]","[2, 2, 3]",2.0,"[681.0, 681.0, 222.0]",0.775330396475771,1.0,False,20,"[0.3135661694347789, 2.176966518163681e-07, 7.561453642831111]",2.003664,1.657522,construcao treed-GP: +GP na folha de maior impureza
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,4,2,3,153,"[2, 2, 1]","[2, 2, 3]",2.0,"[681.0, 681.0, 222.0]",0.775330396475771,1.0,False,20,"[6.111967991273559e-06, 2.165179466828704e-07, 6.181178830936915]",0.000286,2.167279,construcao treed-GP: +GP na folha de maior impureza
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,4,3,4,204,"[2, 2, 1]","[2, 2, 3]",2.0,"[681.0, 681.0, 222.0]",0.775330396475771,1.0,False,30,"[6.1281680672209404e-06, 2.1675077732652426e-07, 5.051885010856495]",0.000285,2.142009,construcao treed-GP: +GP na folha de maior impureza
MMF1,off,small,lhs,MMF1,2,2,61,20,4,4,0,1,51,"[1, 1]","[3, 2]",2.0,"[20.0, 34.0]",0.4426229508196721,1.0,False,1,"[0.17324862099234975, 1.402864628925679]",0.076054,0.05309,construcao treed-GP: +GP na folha de maior impureza
MMF1,off,small,lhs,MMF1,2,2,61,20,4,4,1,2,102,"[2, 2]","[3, 2]",2.0,"[40.0, 61.0]",0.8278688524590164,1.0,False,12,"[0.17324862099234975, 0.8980016667142117]",0.123927,0.415064,construcao treed-GP: +GP na folha de maior impureza
MMF1,off,small,lhs,MMF1,2,2,61,20,4,4,2,3,153,"[3, 2]","[3, 2]",2.0,"[61.0, 61.0]",1.0,1.0,False,21,"[0.16782071960415568, 0.8971543506261845]",0.035935,0.779586,construcao treed-GP: +GP na folha de maior impureza
MMF1,off,small,lhs,MMF1,2,2,61,20,4,4,3,4,204,"[3, 2]","[3, 2]",2.0,"[61.0, 61.0]",1.0,1.0,False,33,"[0.008378056977320192, 0.8971391506731852]",0.000215,0.952999,construcao treed-GP: +GP na folha de maior impureza
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,4,0,1,51,"[1, 1]","[2, 3]",2.0,"[31.0, 21.0]",0.4262295081967213,1.0,False,3,"[0.3452106653939284, 1.901910334285398]",0.082763,0.051134,construcao treed-GP: +GP na folha de maior impureza
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,4,1,2,102,"[2, 2]","[2, 3]",2.0,"[61.0, 41.0]",0.8360655737704918,1.0,False,28,"[0.5485468889237382, 1.7990139710349276]",0.079389,0.505217,construcao treed-GP: +GP na folha de maior impureza
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,4,2,3,153,"[2, 3]","[2, 3]",2.0,"[61.0, 61.0]",1.0,1.0,False,34,"[0.10000190692517208, 1.5583220537937734]",0.022827,0.707145,construcao treed-GP: +GP na folha de maior impureza
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,4,3,4,204,"[2, 3]","[2, 3]",2.0,"[61.0, 61.0]",1.0,1.0,False,46,"[0.10000190368009498, 1.553928646771805]",0.000209,0.943977,construcao treed-GP: +GP na folha de maior impureza
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,4,0,1,51,"[1, 1, 1]","[2, 2, 2]",1.0,"[339.0, 381.0, 250.0]",0.522347872913301,1.0,False,5,"[0.5164582452549151, -0.043133135894407815, 0.018725119527516654]",4.846227,0.084792,construcao treed-GP: +GP na folha de maior impureza
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,4,1,2,102,"[2, 2, 2]","[2, 2, 2]",1.0,"[619.0, 619.0, 619.0]",1.0,1.0,False,40,"[0.006027252921357751, -0.08683931133040801, -0.005536287899303716]",8.854278,1.334984,construcao treed-GP: +GP na folha de maior impureza
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,4,2,3,153,"[2, 2, 2]","[2, 2, 2]",1.0,"[619.0, 619.0, 619.0]",1.0,1.0,False,83,"[-0.06905615446157753, -0.17368668924240604, -0.005425593422842212]",0.00032,2.481038,construcao treed-GP: +GP na folha de maior impureza
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,4,3,4,204,"[2, 2, 2]","[2, 2, 2]",1.0,"[619.0, 619.0, 619.0]",1.0,1.0,False,96,"[-0.07426317593750409, -0.20737116288692264, -0.005522112376638688]",0.000306,3.040639,construcao treed-GP: +GP na folha de maior impureza
MMF4,off,small,lhs,MMF4,2,2,61,20,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[20.0, 20.0]",0.32786885245901637,1.0,False,2,"[0.17081501062958793, 0.23860901605634927]",0.089112,0.04778,construcao treed-GP: +GP na folha de maior impureza
MMF4,off,small,lhs,MMF4,2,2,61,20,4,4,1,2,102,"[2, 2]","[3, 3]",2.0,"[40.0, 40.0]",0.6557377049180327,1.0,False,23,"[0.17081501062958793, -0.023526627067745998]",0.076219,0.394403,construcao treed-GP: +GP na folha de maior impureza
MMF4,off,small,lhs,MMF4,2,2,61,20,4,4,2,3,153,"[3, 3]","[3, 3]",2.0,"[61.0, 61.0]",1.0,1.0,False,28,"[0.183521543402565, -0.02352662110429915]",0.053267,0.756078,construcao treed-GP: +GP na folha de maior impureza
MMF4,off,small,lhs,MMF4,2,2,61,20,4,4,3,4,204,"[3, 3]","[3, 3]",2.0,"[61.0, 61.0]",1.0,1.0,False,34,"[0.009768780371195662, -0.02352662728292354]",0.000201,0.907561,construcao treed-GP: +GP na folha de maior impureza
WFG1,off,small,lhs,WFG1,22,2,681,220,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[232.0, 221.0]",0.33259911894273125,1.0,False,2,"[8.015632688964336e-27, 1.1594365305750476e-26]",0.132359,0.049747,construcao treed-GP: +GP na folha de maior impureza
WFG1,off,small,lhs,WFG1,22,2,681,220,4,4,1,2,102,"[2, 2]","[3, 3]",2.0,"[453.0, 461.0]",0.671071953010279,1.0,False,3,"[3.3058158884780393e-28, 4.943051470434945e-28]",0.121983,0.076446,construcao treed-GP: +GP na folha de maior impureza
WFG1,off,small,lhs,WFG1,22,2,681,220,4,4,2,3,153,"[2, 2]","[3, 3]",2.0,"[453.0, 461.0]",0.671071953010279,1.0,False,3,"[5.855577973163799e-37, 4.006944020912461e-37]",0.00022,0.90113,construcao treed-GP: +GP na folha de maior impureza
WFG1,off,small,lhs,WFG1,22,2,681,220,4,4,3,4,204,"[2, 2]","[3, 3]",2.0,"[453.0, 461.0]",0.671071953010279,1.0,False,7,"[6.47156728624137e-42, 4.050466991602872e-41]",0.000228,0.952383,construcao treed-GP: +GP na folha de maior impureza
WFG2,off,small,lhs,WFG2,22,2,681,220,4,4,0,1,51,"[1, 1]","[2, 2]",1.0,"[299.0, 271.0]",0.4185022026431718,1.0,False,2,"[1.4633409496092687e-24, 4.27708987580149e-28]",0.202305,0.049943,construcao treed-GP: +GP na folha de maior impureza
WFG2,off,small,lhs,WFG2,22,2,681,220,4,4,1,2,102,"[1, 1]","[2, 2]",1.0,"[299.0, 271.0]",0.4185022026431718,1.0,False,1,"[1.8575870430417135e-35, 4.2659116069238475e-35]",0.000214,0.817984,construcao treed-GP: +GP na folha de maior impureza
WFG2,off,small,lhs,WFG2,22,2,681,220,4,4,2,3,153,"[1, 1]","[2, 2]",1.0,"[299.0, 271.0]",0.4185022026431718,1.0,False,3,"[8.623256418552417e-43, 9.201297967831501e-42]",0.000206,0.914253,construcao treed-GP: +GP na folha de maior impureza
WFG2,off,small,lhs,WFG2,22,2,681,220,4,4,3,4,204,"[1, 1]","[2, 2]",1.0,"[299.0, 271.0]",0.4185022026431718,1.0,False,8,"[9.970070732213303e-45, 2.687078575504964e-44]",0.000227,0.927355,construcao treed-GP: +GP na folha de maior impureza
WFG4,off,small,lhs,WFG4,22,2,681,220,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[220.0, 220.0]",0.32305433186490456,1.0,False,2,"[2.327700562961424e-27, 6.482877553406248e-27]",0.124556,0.050194,construcao treed-GP: +GP na folha de maior impureza
WFG4,off,small,lhs,WFG4,22,2,681,220,4,4,1,2,102,"[2, 2]","[3, 3]",2.0,"[440.0, 440.0]",0.6461086637298091,1.0,False,1,"[6.591654151285554e-28, 8.129565800735663e-28]",0.116947,0.076418,construcao treed-GP: +GP na folha de maior impureza
WFG4,off,small,lhs,WFG4,22,2,681,220,4,4,2,3,153,"[2, 2]","[3, 3]",2.0,"[440.0, 440.0]",0.6461086637298091,1.0,False,3,"[4.14224282337774e-39, 6.658136168628368e-39]",0.000217,0.493576,construcao treed-GP: +GP na folha de maior impureza
WFG4,off,small,lhs,WFG4,22,2,681,220,4,4,3,4,204,"[2, 2]","[3, 3]",2.0,"[440.0, 440.0]",0.6461086637298091,1.0,False,2,"[4.247681318457869e-43, 6.995851342779516e-43]",0.000214,0.403237,construcao treed-GP: +GP na folha de maior impureza
WFG5,off,small,lhs,WFG5,22,2,681,220,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[220.0, 220.0]",0.32305433186490456,1.0,False,4,"[9.025450645722736e-27, 4.6459038008835255e-26]",0.135217,0.057446,construcao treed-GP: +GP na folha de maior impureza
WFG5,off,small,lhs,WFG5,22,2,681,220,4,4,1,2,102,"[1, 1]","[3, 3]",2.0,"[220.0, 220.0]",0.32305433186490456,1.0,False,4,"[2.262715919544255e-40, 1.4194493747868154e-40]",0.000221,0.875012,construcao treed-GP: +GP na folha de maior impureza
WFG5,off,small,lhs,WFG5,22,2,681,220,4,4,2,3,153,"[1, 1]","[3, 3]",2.0,"[220.0, 220.0]",0.32305433186490456,1.0,False,5,"[4.926836621286714e-43, 2.7875849325598146e-42]",0.000216,0.830341,construcao treed-GP: +GP na folha de maior impureza
WFG5,off,small,lhs,WFG5,22,2,681,220,4,4,3,4,204,"[1, 1]","[3, 3]",2.0,"[220.0, 220.0]",0.32305433186490456,1.0,False,2,"[9.562131419164765e-44, 1.479260519902799e-43]",0.000213,0.832392,construcao treed-GP: +GP na folha de maior impureza
WFG9,off,small,lhs,WFG9,22,2,681,220,4,4,0,1,51,"[1, 1]","[3, 3]",2.0,"[229.0, 229.0]",0.33627019089574156,1.0,False,1,"[1.3913836300547799e-23, 1.4362402578775804e-23]",0.141424,0.048433,construcao treed-GP: +GP na folha de maior impureza
WFG9,off,small,lhs,WFG9,22,2,681,220,4,4,1,2,102,"[1, 1]","[3, 3]",2.0,"[229.0, 229.0]",0.33627019089574156,1.0,False,1,"[1.3502614436371043e-37, 1.8432203532034355e-37]",0.000204,0.584133,construcao treed-GP: +GP na folha de maior impureza
WFG9,off,small,lhs,WFG9,22,2,681,220,4,4,2,3,153,"[1, 1]","[3, 3]",2.0,"[229.0, 229.0]",0.33627019089574156,1.0,False,2,"[1.0190781254572801e-41, 1.8008680874360364e-41]",0.000199,0.481061,construcao treed-GP: +GP na folha de maior impureza
WFG9,off,small,lhs,WFG9,22,2,681,220,4,4,3,4,204,"[1, 1]","[3, 3]",2.0,"[229.0, 229.0]",0.33627019089574156,1.0,False,2,"[1.7445497194197147e-42, 3.510056176776678e-42]",0.000248,0.485201,construcao treed-GP: +GP na folha de maior impureza
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,4,0,1,51,"[1, 1]","[2, 3]",2.0,"[465.0, 303.0]",0.4133476856835307,1.0,False,2,"[0.24973727481516295, 3.3503323597833514]",4.993162,0.050276,construcao treed-GP: +GP na folha de maior impureza
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,4,1,2,102,"[2, 1]","[2, 3]",2.0,"[929.0, 303.0]",0.6630785791173305,1.0,False,5,"[0.4819549177773297, 2.127662917599082]",3.243011,0.742816,construcao treed-GP: +GP na folha de maior impureza
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,4,2,3,153,"[2, 2]","[2, 3]",2.0,"[929.0, 629.0]",0.8385360602798708,1.0,False,11,"[0.1907991786429193, 2.0440428354777396]",0.271923,0.587631,construcao treed-GP: +GP na folha de maior impureza
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,4,3,4,204,"[2, 2]","[2, 3]",2.0,"[929.0, 629.0]",0.8385360602798708,1.0,False,21,"[5.500914994627237e-07, 1.3056079857051373]",0.000213,1.039503,construcao treed-GP: +GP na folha de maior impureza
ZDT3,off,small,lhs,ZDT3,30,2,929,300,4,4,0,1,51,"[1, 1]","[2, 2]",1.0,"[465.0, 549.0]",0.5457481162540366,1.0,False,2,"[0.24969929404238905, 3.2389502949881592]",17.951753,0.045692,construcao treed-GP: +GP na folha de maior impureza
