exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan,nan_share
off,c311,ZDT6,blk1,treedGP_final,308,1,0.016381,0.786262,0.8182,20000,0,0.0
off,c311,DTLZ1,blk0,treedGP_build,215,0,0.258389,0.899787,0.897,20000,0,0.0
off,c311,DTLZ1,blk0,treedGP_build,215,1,0.254864,0.901724,0.8913,20000,0,0.0
off,c311,DTLZ1,blk0,treedGP_build,215,2,0.249453,0.848309,0.9283,20000,0,0.0
off,c311,DTLZ1,blk1,treedGP_final,215,0,0.258389,0.899787,0.897,20000,0,0.0
off,c311,DTLZ1,blk1,treedGP_final,215,1,0.254864,0.901724,0.8913,20000,0,0.0
off,c311,DTLZ1,blk1,treedGP_final,215,2,0.249453,0.848309,0.9283,20000,0,0.0
off,c311,DTLZ2,blk0,treedGP_build,370,0,0.054217,0.994595,0.9105,20000,0,0.0
off,c311,DTLZ2,blk0,treedGP_build,370,1,0.068406,0.991916,0.8729,20000,0,0.0
off,c311,DTLZ2,blk0,treedGP_build,370,2,0.014784,0.998821,0.9584,20000,0,0.0
off,c311,DTLZ2,blk1,treedGP_final,370,0,0.054217,0.994595,0.9105,20000,0,0.0
off,c311,DTLZ2,blk1,treedGP_final,370,1,0.068406,0.991916,0.8729,20000,0,0.0
off,c311,DTLZ2,blk1,treedGP_final,370,2,0.014784,0.998821,0.9584,20000,0,0.0
off,c311,DTLZ3,blk0,treedGP_build,370,0,0.1754,0.938898,0.9478,20000,0,0.0
off,c311,DTLZ3,blk0,treedGP_build,370,1,0.17382,0.94057,0.9533,20000,0,0.0
off,c311,DTLZ3,blk0,treedGP_build,370,2,0.197044,0.861183,0.9543,20000,0,0.0
off,c311,DTLZ3,blk1,treedGP_final,370,0,0.1754,0.938898,0.9478,20000,0,0.0
off,c311,DTLZ3,blk1,treedGP_final,370,1,0.17382,0.94057,0.9533,20000,0,0.0
off,c311,DTLZ3,blk1,treedGP_final,370,2,0.197044,0.861183,0.9543,20000,0,0.0
off,c311,DTLZ4,blk0,treedGP_build,370,0,0.095291,0.432363,0.9244,20000,0,0.0
off,c311,DTLZ4,blk0,treedGP_build,370,1,0.162793,0.984865,0.8799,20000,0,0.0
off,c311,DTLZ4,blk0,treedGP_build,370,2,0.237672,0.968967,0.8976,20000,0,0.0
off,c311,DTLZ4,blk1,treedGP_final,370,0,0.095291,0.432363,0.9244,20000,0,0.0
off,c311,DTLZ4,blk1,treedGP_final,370,1,0.162793,0.984865,0.8799,20000,0,0.0
off,c311,DTLZ4,blk1,treedGP_final,370,2,0.237672,0.968967,0.8976,20000,0,0.0
off,c311,DTLZ7,blk0,treedGP_build,680,0,1e-06,1.0,1.0,20000,0,0.0
off,c311,DTLZ7,blk0,treedGP_build,680,1,0.0,1.0,1.0,20000,0,0.0
off,c311,DTLZ7,blk0,treedGP_build,680,2,0.05801,0.613971,0.7781,20000,0,0.0
off,c311,DTLZ7,blk1,treedGP_final,680,0,1e-06,1.0,1.0,20000,0,0.0
off,c311,DTLZ7,blk1,treedGP_final,680,1,0.0,1.0,1.0,20000,0,0.0
off,c311,DTLZ7,blk1,treedGP_final,680,2,0.05801,0.613971,0.7781,20000,0,0.0
off,c311,WFG1,blk0,treedGP_build,680,0,0.666114,0.571318,1.0,20000,0,0.0
off,c311,WFG1,blk0,treedGP_build,680,1,0.67904,0.462889,1.0,20000,0,0.0
off,c311,WFG1,blk1,treedGP_final,680,0,0.666114,0.571318,1.0,20000,0,0.0
off,c311,WFG1,blk1,treedGP_final,680,1,0.67904,0.462889,1.0,20000,0,0.0
off,c311,WFG2,blk0,treedGP_build,680,0,0.665874,-0.601401,1.0,20000,0,0.0
off,c311,WFG2,blk0,treedGP_build,680,1,0.461593,0.292711,1.0,20000,0,0.0
off,c311,WFG2,blk1,treedGP_final,680,0,0.665874,-0.601401,1.0,20000,0,0.0
off,c311,WFG2,blk1,treedGP_final,680,1,0.461593,0.292711,1.0,20000,0,0.0
off,c311,WFG4,blk0,treedGP_build,680,0,0.797198,-0.441517,1.0,20000,0,0.0
off,c311,WFG4,blk0,treedGP_build,680,1,0.641659,0.403031,1.0,20000,0,0.0
off,c311,WFG4,blk1,treedGP_final,680,0,0.797198,-0.441517,1.0,20000,0,0.0
off,c311,WFG4,blk1,treedGP_final,680,1,0.641659,0.403031,1.0,20000,0,0.0
off,c311,WFG5,blk0,treedGP_build,680,0,0.411503,0.166163,1.0,20000,0,0.0
off,c311,WFG5,blk0,treedGP_build,680,1,0.459731,0.092117,1.0,20000,0,0.0
off,c311,WFG5,blk1,treedGP_final,680,0,0.411503,0.166163,1.0,20000,0,0.0
off,c311,WFG5,blk1,treedGP_final,680,1,0.459731,0.092117,1.0,20000,0,0.0
off,c311,WFG9,blk0,treedGP_build,680,0,0.494912,0.102327,1.0,20000,0,0.0
off,c311,WFG9,blk0,treedGP_build,680,1,0.535871,-0.069763,1.0,20000,0,0.0
off,c311,WFG9,blk1,treedGP_final,680,0,0.494912,0.102327,1.0,20000,0,0.0
off,c311,WFG9,blk1,treedGP_final,680,1,0.535871,-0.069763,1.0,20000,0,0.0
off,c311,BBOB_F1,blk0,treedGP_build,308,0,0.192148,0.679351,0.9303,20000,0,0.0
off,c311,BBOB_F1,blk0,treedGP_build,308,1,0.162073,0.797291,0.9315,20000,0,0.0
off,c311,BBOB_F1,blk1,treedGP_final,308,0,0.192148,0.679351,0.9303,20000,0,0.0
off,c311,BBOB_F1,blk1,treedGP_final,308,1,0.162073,0.797291,0.9315,20000,0,0.0
off,c311,BBOB_F5,blk0,treedGP_build,308,0,0.227564,0.56705,0.9412,20000,0,0.0
off,c311,BBOB_F5,blk0,treedGP_build,308,1,0.140949,0.456664,0.9617,20000,0,0.0
off,c311,BBOB_F5,blk1,treedGP_final,308,0,0.227564,0.56705,0.9412,20000,0,0.0
off,c311,BBOB_F5,blk1,treedGP_final,308,1,0.140949,0.456664,0.9617,20000,0,0.0
off,c311,BBOB_F17,blk0,treedGP_build,308,0,0.063942,0.996315,0.0029,20000,0,0.0
off,c311,BBOB_F17,blk0,treedGP_build,308,1,0.773382,0.102463,0.9305,20000,0,0.0
off,c311,BBOB_F17,blk1,treedGP_final,308,0,0.063942,0.996315,0.0029,20000,0,0.0
off,c311,BBOB_F17,blk1,treedGP_final,308,1,0.773382,0.102463,0.9305,20000,0,0.0
off,c311,BBOB_F22,blk0,treedGP_build,308,0,0.312703,0.755928,0.3,20000,0,0.0
off,c311,BBOB_F22,blk0,treedGP_build,308,1,0.150405,0.330783,0.9353,20000,0,0.0
off,c311,BBOB_F22,blk1,treedGP_final,308,0,0.312703,0.755928,0.3,20000,0,0.0
off,c311,BBOB_F22,blk1,treedGP_final,308,1,0.150405,0.330783,0.9353,20000,0,0.0
off,c311,BBOB_F37,blk0,treedGP_build,308,0,0.143222,0.588238,0.9512,20000,0,0.0
off,c311,BBOB_F37,blk0,treedGP_build,308,1,0.50372,0.595918,0.9384,20000,0,0.0
off,c311,BBOB_F37,blk1,treedGP_final,308,0,0.143222,0.588238,0.9512,20000,0,0.0
off,c311,BBOB_F37,blk1,treedGP_final,308,1,0.50372,0.595918,0.9384,20000,0,0.0
off,c311,BBOB_F49,blk0,treedGP_build,308,0,0.702257,-0.320581,0.91,20000,0,0.0
off,c311,BBOB_F49,blk0,treedGP_build,308,1,0.056711,0.113715,0.9667,20000,0,0.0
off,c311,BBOB_F49,blk1,treedGP_final,308,0,0.702257,-0.320581,0.91,20000,0,0.0
off,c311,BBOB_F49,blk1,treedGP_final,308,1,0.056711,0.113715,0.9667,20000,0,0.0
off,c311,BBOB_F55,blk0,treedGP_build,308,0,0.058153,0.092516,0.9656,20000,0,0.0
off,c311,BBOB_F55,blk0,treedGP_build,308,1,0.054918,0.094512,0.955,20000,0,0.0
off,c311,BBOB_F55,blk1,treedGP_final,308,0,0.058153,0.092516,0.9656,20000,0,0.0
off,c311,BBOB_F55,blk1,treedGP_final,308,1,0.054918,0.094512,0.955,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk0,treedGP_build,618,0,0.031985,0.995408,0.9082,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk0,treedGP_build,618,1,0.096041,0.982088,0.8685,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk0,treedGP_build,618,2,8.2e-05,1.0,0.9997,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk1,treedGP_final,618,0,0.031985,0.995408,0.9082,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk1,treedGP_final,618,1,0.096041,0.982088,0.8685,20000,0,0.0
sweep-small-lhs,c311,MMF16_20,blk1,treedGP_final,618,2,8.2e-05,1.0,0.9997,20000,0,0.0
sweep-small-lhs,c311,ZDT4,blk0,treedGP_build,308,0,1e-06,1.0,1.0,20000,0,0.0
sweep-small-lhs,c311,ZDT4,blk0,treedGP_build,308,1,0.15152,0.207283,0.9272,20000,0,0.0
sweep-small-lhs,c311,ZDT4,blk1,treedGP_final,308,0,1e-06,1.0,1.0,20000,0,0.0
sweep-small-lhs,c311,ZDT4,blk1,treedGP_final,308,1,0.15152,0.207283,0.9272,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk0,treedGP_build,370,0,0.054217,0.994595,0.9105,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk0,treedGP_build,370,1,0.068406,0.991916,0.8729,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk0,treedGP_build,370,2,0.014784,0.998821,0.9584,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk1,treedGP_final,370,0,0.054217,0.994595,0.9105,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk1,treedGP_final,370,1,0.068406,0.991916,0.8729,20000,0,0.0
sweep-small-lhs,c311,DTLZ2,blk1,treedGP_final,370,2,0.014784,0.998821,0.9584,20000,0,0.0
sweep-small-lhs,c311,WFG9,blk0,treedGP_build,680,0,0.494912,0.102327,1.0,20000,0,0.0
sweep-small-lhs,c311,WFG9,blk0,treedGP_build,680,1,0.535871,-0.069763,1.0,20000,0,0.0
sweep-small-lhs,c311,WFG9,blk1,treedGP_final,680,0,0.494912,0.102327,1.0,20000,0,0.0
sweep-small-lhs,c311,WFG9,blk1,treedGP_final,680,1,0.535871,-0.069763,1.0,20000,0,0.0
sweep-small-lhs,c311,ZDT1,blk0,treedGP_build,928,0,0.0,1.0,1.0,20000,0,0.0
sweep-small-lhs,c311,ZDT1,blk0,treedGP_build,928,1,0.027117,0.942181,0.9513,20000,0,0.0
sweep-small-lhs,c311,ZDT1,blk1,treedGP_final,928,0,0.0,1.0,1.0,20000,0,0.0
sweep-small-lhs,c311,ZDT1,blk1,treedGP_final,928,1,0.027117,0.942181,0.9513,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk0,treedGP_build,618,0,0.147241,0.962779,0.9476,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk0,treedGP_build,618,1,0.048508,0.990393,0.9021,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk0,treedGP_build,618,2,0.020537,0.994428,0.9133,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk1,treedGP_final,618,0,0.147241,0.962779,0.9476,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk1,treedGP_final,618,1,0.048508,0.990393,0.9021,20000,0,0.0
sweep-small-mvns,c311,MMF16_20,blk1,treedGP_final,618,2,0.020537,0.994428,0.9133,20000,0,0.0
sweep-small-mvns,c311,ZDT4,blk0,treedGP_build,308,0,0.0,1.0,1.0,20000,0,0.0
sweep-small-mvns,c311,ZDT4,blk0,treedGP_build,308,1,0.162127,0.140563,0.8883,20000,0,0.0
sweep-small-mvns,c311,ZDT4,blk1,treedGP_final,308,0,0.0,1.0,1.0,20000,0,0.0
sweep-small-mvns,c311,ZDT4,blk1,treedGP_final,308,1,0.162127,0.140563,0.8883,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk0,treedGP_build,370,0,0.109868,0.982222,0.9604,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk0,treedGP_build,370,1,0.091465,0.985816,0.8991,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk0,treedGP_build,370,2,0.025393,0.997668,0.9534,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk1,treedGP_final,370,0,0.109868,0.982222,0.9604,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk1,treedGP_final,370,1,0.091465,0.985816,0.8991,20000,0,0.0
sweep-small-mvns,c311,DTLZ2,blk1,treedGP_final,370,2,0.025393,0.997668,0.9534,20000,0,0.0
sweep-small-mvns,c311,WFG9,blk0,treedGP_build,680,0,0.559135,0.037924,1.0,20000,0,0.0
sweep-small-mvns,c311,WFG9,blk0,treedGP_build,680,1,0.404495,-0.128662,1.0,20000,0,0.0
sweep-small-mvns,c311,WFG9,blk1,treedGP_final,680,0,0.559135,0.037924,1.0,20000,0,0.0
sweep-small-mvns,c311,WFG9,blk1,treedGP_final,680,1,0.404495,-0.128662,1.0,20000,0,0.0
sweep-small-mvns,c311,ZDT1,blk0,treedGP_build,928,0,0.0,1.0,0.4779,20000,0,0.0
sweep-small-mvns,c311,ZDT1,blk0,treedGP_build,928,1,0.003457,0.999837,0.3645,20000,0,0.0
sweep-small-mvns,c311,ZDT1,blk1,treedGP_final,928,0,0.0,1.0,0.4779,20000,0,0.0
sweep-small-mvns,c311,ZDT1,blk1,treedGP_final,928,1,0.003457,0.999837,0.3645,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk0,treedGP_build,1999,0,0.100435,0.978008,0.863,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk0,treedGP_build,1999,1,0.089551,0.982944,0.8978,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk0,treedGP_build,1999,2,0.030287,0.99316,0.9517,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk1,treedGP_final,1999,0,0.100435,0.978008,0.863,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk1,treedGP_final,1999,1,0.089551,0.982944,0.8978,20000,0,0.0
sweep-medium-lhs,c311,MMF16_20,blk1,treedGP_final,1999,2,0.030287,0.99316,0.9517,20000,0,0.0
sweep-medium-lhs,c311,ZDT4,blk0,treedGP_build,1999,0,0.021423,0.998662,0.8047,20000,0,0.0
sweep-medium-lhs,c311,ZDT4,blk0,treedGP_build,1999,1,0.145067,0.338387,0.937,20000,0,0.0
sweep-medium-lhs,c311,ZDT4,blk1,treedGP_final,1999,0,0.021423,0.998662,0.8047,20000,0,0.0
sweep-medium-lhs,c311,ZDT4,blk1,treedGP_final,1999,1,0.145067,0.338387,0.937,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk0,treedGP_build,1999,0,0.024522,0.998806,0.9331,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk0,treedGP_build,1999,1,0.024968,0.998866,0.9202,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk0,treedGP_build,1999,2,0.007326,0.999791,0.9266,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk1,treedGP_final,1999,0,0.024522,0.998806,0.9331,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk1,treedGP_final,1999,1,0.024968,0.998866,0.9202,20000,0,0.0
sweep-medium-lhs,c311,DTLZ2,blk1,treedGP_final,1999,2,0.007326,0.999791,0.9266,20000,0,0.0
sweep-medium-lhs,c311,WFG9,blk0,treedGP_build,1999,0,0.461232,0.105021,1.0,20000,0,0.0
sweep-medium-lhs,c311,WFG9,blk0,treedGP_build,1999,1,0.420864,0.165922,1.0,20000,0,0.0
sweep-medium-lhs,c311,WFG9,blk1,treedGP_final,1999,0,0.461232,0.105021,1.0,20000,0,0.0
sweep-medium-lhs,c311,WFG9,blk1,treedGP_final,1999,1,0.420864,0.165922,1.0,20000,0,0.0
sweep-medium-lhs,c311,ZDT1,blk0,treedGP_build,1999,0,0.031112,0.992209,1.0,20000,0,0.0
sweep-medium-lhs,c311,ZDT1,blk0,treedGP_build,1999,1,0.053041,0.880579,0.9275,20000,0,0.0
sweep-medium-lhs,c311,ZDT1,blk1,treedGP_final,1999,0,0.031112,0.992209,1.0,20000,0,0.0
sweep-medium-lhs,c311,ZDT1,blk1,treedGP_final,1999,1,0.053041,0.880579,0.9275,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk0,treedGP_build,1999,0,0.028341,0.996863,0.9821,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk0,treedGP_build,1999,1,0.05697,0.990778,0.9137,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk0,treedGP_build,1999,2,0.00203,0.999902,0.9893,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk1,treedGP_final,1999,0,0.028341,0.996863,0.9821,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk1,treedGP_final,1999,1,0.05697,0.990778,0.9137,20000,0,0.0
sweep-medium-mvns,c311,MMF16_20,blk1,treedGP_final,1999,2,0.00203,0.999902,0.9893,20000,0,0.0
sweep-medium-mvns,c311,ZDT4,blk0,treedGP_build,1999,0,0.012562,0.999209,0.3196,20000,0,0.0
sweep-medium-mvns,c311,ZDT4,blk0,treedGP_build,1999,1,0.153088,0.323706,0.8794,20000,0,0.0
sweep-medium-mvns,c311,ZDT4,blk1,treedGP_final,1999,0,0.012562,0.999209,0.3196,20000,0,0.0
sweep-medium-mvns,c311,ZDT4,blk1,treedGP_final,1999,1,0.153088,0.323706,0.8794,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk0,treedGP_build,1999,0,0.065884,0.988109,0.9424,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk0,treedGP_build,1999,1,0.056442,0.991268,0.9549,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk0,treedGP_build,1999,2,0.021505,0.996918,0.9697,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk1,treedGP_final,1999,0,0.065884,0.988109,0.9424,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk1,treedGP_final,1999,1,0.056442,0.991268,0.9549,20000,0,0.0
sweep-medium-mvns,c311,DTLZ2,blk1,treedGP_final,1999,2,0.021505,0.996918,0.9697,20000,0,0.0
sweep-medium-mvns,c311,WFG9,blk0,treedGP_build,1999,0,0.353892,0.128175,1.0,20000,0,0.0
sweep-medium-mvns,c311,WFG9,blk0,treedGP_build,1999,1,0.305709,-0.033056,1.0,20000,0,0.0
sweep-medium-mvns,c311,WFG9,blk1,treedGP_final,1999,0,0.353892,0.128175,1.0,20000,0,0.0
sweep-medium-mvns,c311,WFG9,blk1,treedGP_final,1999,1,0.305709,-0.033056,1.0,20000,0,0.0
sweep-medium-mvns,c311,ZDT1,blk0,treedGP_build,1999,0,0.082003,0.97721,0.9405,20000,0,0.0
sweep-medium-mvns,c311,ZDT1,blk0,treedGP_build,1999,1,0.002378,0.999818,0.5524,20000,0,0.0
sweep-medium-mvns,c311,ZDT1,blk1,treedGP_final,1999,0,0.082003,0.97721,0.9405,20000,0,0.0
sweep-medium-mvns,c311,ZDT1,blk1,treedGP_final,1999,1,0.002378,0.999818,0.5524,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk0,treedGP_build,49999,0,0.06408,0.991089,0.9792,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk0,treedGP_build,49999,1,0.063932,0.991285,0.9736,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk0,treedGP_build,49999,2,0.028972,0.996618,0.9966,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk1,treedGP_final,49999,0,0.06408,0.991089,0.9792,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk1,treedGP_final,49999,1,0.063932,0.991285,0.9736,20000,0,0.0
sweep-big-lhs,c311,MMF16_20,blk1,treedGP_final,49999,2,0.028972,0.996618,0.9966,20000,0,0.0
sweep-big-lhs,c311,ZDT4,blk0,treedGP_build,49999,0,0.001586,0.999994,0.9187,20000,0,0.0
sweep-big-lhs,c311,ZDT4,blk0,treedGP_build,49999,1,0.129237,0.53856,0.952,20000,0,0.0
sweep-big-lhs,c311,ZDT4,blk1,treedGP_final,49999,0,0.001586,0.999994,0.9187,20000,0,0.0
sweep-big-lhs,c311,ZDT4,blk1,treedGP_final,49999,1,0.129237,0.53856,0.952,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk0,treedGP_build,49999,0,0.079152,0.98221,0.9312,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk0,treedGP_build,49999,1,0.080204,0.982033,0.9361,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk0,treedGP_build,49999,2,0.083619,0.97072,0.9388,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk1,treedGP_final,49999,0,0.079152,0.98221,0.9312,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk1,treedGP_final,49999,1,0.080204,0.982033,0.9361,20000,0,0.0
sweep-big-lhs,c311,DTLZ2,blk1,treedGP_final,49999,2,0.083619,0.97072,0.9388,20000,0,0.0
sweep-big-lhs,c311,WFG9,blk0,treedGP_build,49999,0,0.222775,0.393476,1.0,20000,0,0.0
sweep-big-lhs,c311,WFG9,blk0,treedGP_build,49999,1,0.227821,0.386219,1.0,20000,0,0.0
sweep-big-lhs,c311,WFG9,blk1,treedGP_final,49999,0,0.222775,0.393476,1.0,20000,0,0.0
sweep-big-lhs,c311,WFG9,blk1,treedGP_final,49999,1,0.227821,0.386219,1.0,20000,0,0.0
sweep-big-lhs,c311,ZDT1,blk0,treedGP_build,49999,0,0.003417,0.999973,1.0,20000,0,0.0
sweep-big-lhs,c311,ZDT1,blk0,treedGP_build,49999,1,0.078776,0.820519,0.9122,20000,0,0.0
sweep-big-lhs,c311,ZDT1,blk1,treedGP_final,49999,0,0.003417,0.999973,1.0,20000,0,0.0
sweep-big-lhs,c311,ZDT1,blk1,treedGP_final,49999,1,0.078776,0.820519,0.9122,20000,0,0.0
sweep-big-mvns,c311,ZDT4,blk0,treedGP_build,49999,0,0.002769,0.999967,0.937,20000,0,0.0
sweep-big-mvns,c311,ZDT4,blk0,treedGP_build,49999,1,0.158675,0.419201,0.8435,20000,0,0.0
sweep-big-mvns,c311,ZDT4,blk1,treedGP_final,49999,0,0.002769,0.999967,0.937,20000,0,0.0
sweep-big-mvns,c311,ZDT4,blk1,treedGP_final,49999,1,0.158675,0.419201,0.8435,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk0,treedGP_build,49999,0,0.095168,0.978733,0.9635,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk0,treedGP_build,49999,1,0.088719,0.980195,0.9647,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk0,treedGP_build,49999,2,0.071412,0.973185,0.9516,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk1,treedGP_final,49999,0,0.095168,0.978733,0.9635,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk1,treedGP_final,49999,1,0.088719,0.980195,0.9647,20000,0,0.0
sweep-big-mvns,c311,DTLZ2,blk1,treedGP_final,49999,2,0.071412,0.973185,0.9516,20000,0,0.0
sweep-big-mvns,c311,WFG9,blk0,treedGP_build,49999,0,0.261835,0.161365,0.9957,20000,0,0.0
sweep-big-mvns,c311,WFG9,blk0,treedGP_build,49999,1,0.296668,0.141028,1.0,20000,0,0.0
sweep-big-mvns,c311,WFG9,blk1,treedGP_final,49999,0,0.261835,0.161365,0.9957,20000,0,0.0
sweep-big-mvns,c311,WFG9,blk1,treedGP_final,49999,1,0.296668,0.141028,1.0,20000,0,0.0
sweep-big-mvns,c311,ZDT1,blk0,treedGP_build,49999,0,0.003783,0.999885,1.0,20000,0,0.0
sweep-big-mvns,c311,ZDT1,blk0,treedGP_build,49999,1,0.296739,0.749093,0.5915,20000,0,0.0
sweep-big-mvns,c311,ZDT1,blk1,treedGP_final,49999,0,0.003783,0.999885,1.0,20000,0,0.0
sweep-big-mvns,c311,ZDT1,blk1,treedGP_final,49999,1,0.296739,0.749093,0.5915,20000,0,0.0
