label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,I_frac,mono_ok,passo_ok,gps_le_folhas,sat_ok,n_inc_pos,n_inc_banda,n_inc_fora,incs_fora,n_gps_final,n_folhas_final,tp_final,cobertura_frac,prof_max,max_folhas,teto_folhas,early_any,early_idx,early_na_ultima,corte_antes_Imax,delta_unicos,delta_ultimo,pop_teto,pop_max,pop_min,pop_med_build,pop_med_final,pop_ger1,pop_ger50,pop_ultima,colapso_pre50,excede_teto,fit_total,busca_total,tempo_total_s
WFG9,off,small,lhs,WFG9,22,2,681,220,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[3, 3]","[229.0, 229.0]",0.33627019089574156,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,21.0,50.0,3,3,50,True,False,0.142075,1.598828,21.468
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[2, 3]","[929.0, 629.0]",0.8385360602798708,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,32.0,50.0,3,3,50,True,False,8.508309,2.4202260000000004,36.5796
ZDT3,off,small,lhs,ZDT3,30,2,929,300,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[2, 2]","[929.0, 929.0]",1.0,1.0,2.0,3,False,,False,False,1.0,1.0,50,50,2,29.0,50.0,2,2,50,True,False,22.806765,2.547859,52.4
ZDT4,off,small,lhs,ZDT4,10,2,309,100,4,4,1.0,True,True,True,True,1,1,0,,"[2, 1]","[2, 3]","[309.0, 103.0]",0.6666666666666666,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,30.0,48.0,4,4,50,True,False,0.6440670000000001,1.967832,20.9691
ZDT6,off,small,lhs,ZDT6,10,2,309,100,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[3, 2]","[100.0, 169.0]",0.43527508090614886,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,49.0,50.0,4,4,50,True,False,0.34734,2.848103,24.2345
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,99,417,0.23741007194244604,True,True,True,True,235,235,0,,"[93, 96, 49]","[323, 324, 327]","[15266.0, 15334.0, 7845.0]",0.2563,21.0,327.0,416,True,99,True,True,0.0;1.0;10.0;101.0;105.0,0.0,105,105,77,105.0,105.0,77,105,105,False,False,59.30189499999998,203.3092599999999,326.9654
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,44,250,0.176,True,True,True,True,104,104,0,,"[42, 39, 26]","[189, 184, 188]","[11425.0, 10682.0, 7345.0]",0.19634666666666667,12.0,189.0,250,True,44,True,True,0.0;1.0;107.0;111.0;117.0,0.0,105,105,72,105.0,105.0,74,105,105,False,False,126.12067399999998,81.43816299999997,267.9907
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,6,228,0.02631578947368421,True,True,True,True,0,0,0,,"[1, 1]","[169, 173]","[246.0, 233.0]",0.00479,17.0,173.0,227,True,6,True,True,0.0;1.0,0.0,50,50,18,44.0,50.0,36,44,50,False,False,1.73033,4.741562,28.1593
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,18,167,0.10778443113772455,True,True,True,True,17,17,0,,"[16, 3]","[128, 124]","[6254.0, 1272.0]",0.07526,9.0,128.0,166,True,18,True,True,0.0;1.0;3.0;4.0;5.0,0.0,50,50,26,47.0,50.0,42,50,50,False,False,29.185917000000003,15.288338,68.7139
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,50,500,0.1,True,True,True,True,49,49,0,,"[48, 3]","[256, 393]","[9384.0, 343.0]",0.09727,26.0,393.0,500,True,50,True,True,0.0;1.0;12.0;13.0;14.0,0.0,50,50,31,50.0,50.0,32,46,50,False,False,17.521592000000002,27.735258,67.3724
