label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas,n_gps,folhas_sem_gp,n_nan,nan_share,mu_dist_nan,mu_dist_gp,pred_dist,casa_nan,dmax_nan,dmed_nan,casa_gp,dmed_gp,escala,tolabs,mu_dist_le_folhas_sem_gp
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,0,2,1,1,12189,0.60945,1,7773,2,1.0,2.2928765446295074e-06,2.2928765446295074e-06,0.0,1.7884409250306703,86.11051177978516,4.133304537390359e-05,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,1,3,1,2,13665,0.68325,2,6292,3,1.0,3.565137632222104e-06,3.565137632222104e-06,0.0,0.637147469095666,86.21410369873047,4.138276926823892e-05,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,0,3,3,0,0,0.0,0,19998,3,,,,0.0,25.709894754759738,297.230224609375,0.00014267049846239388,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,1,3,3,0,0,0.0,0,19998,3,,,,0.0,25.767853891345815,324.5181579589844,0.00015576870646327734,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,2,2,2,0,0,0.0,0,19988,2,,,,0.0,33.15221843203548,410.5584716796875,0.00019706806051544845,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,0,2,2,0,0,0.0,0,19998,2,,,,0.0,0.28746798634529114,2.0784571170806885,9.9765941286023e-07,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,1,3,3,0,0,0.0,0,19995,3,,,,0.0,0.21846237147382147,2.1773860454559326,1.0451452681081719e-06,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,2,2,2,0,0,0.0,0,19989,2,,,,0.0,0.233045756816864,2.3540968894958496,1.129966449298081e-06,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,0,2,2,0,0,0.0,0,19992,2,,,,0.0,166.95520517801202,1502.2705078125,0.0007210898329503834,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,1,2,2,0,0,0.0,0,19992,2,,,,5e-05,205.23048203760072,1481.38232421875,0.0007110635051503778,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,2,2,2,0,0,0.0,0,8231,2,,,,0.0,1.1619321222174221,1618.974853515625,0.0007771078962832689,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,0,3,1,2,13520,0.676,2,6477,3,1.0,4.384143292845977e-08,3.347030053113542e-08,0.0,0.1647217869758606,2.739108085632324,1.3147717936590197e-06,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,1,2,1,1,13514,0.6757,1,6485,2,1.0,1.2008608222680604e-26,1.2008608222680604e-26,0.0,0.0764116711964702,1.6711305379867554,8.021426083359984e-07,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,2,2,1,1,13546,0.6773,1,6454,2,1.0,6.3830374886061985e-27,6.3830374886061985e-27,0.0,0.0788189846680624,1.9099067449569702,9.167551979771815e-07,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,0,2,2,0,0,0.0,0,19999,2,,,,0.0,0.12499916780729103,0.9992343783378601,4.796324901690241e-07,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,1,2,2,0,0,0.0,0,20000,2,,,,0.0,0.12499243174318303,0.9999024271965027,4.799531438948179e-07,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,2,3,1,2,13592,0.6796,2,6401,3,1.0,6.498488716033535e-07,2.1283718609765856e-07,0.0,1.2372514707548135,23.828346252441406,1.1437606190156657e-05,True
MMF1,off,small,lhs,MMF1,2,2,61,20,0,3,3,0,0,0.0,0,20000,3,,,,0.0,0.12492796444733227,0.9959651827812195,4.780632707479526e-07,True
MMF1,off,small,lhs,MMF1,2,2,61,20,1,2,2,0,0,0.0,0,11185,2,,,,0.0,0.238457744174144,7.531711578369141,3.6152214306639507e-06,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.1250041127204895,1.0936802625656128,5.249664809525711e-07,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,1,3,3,0,0,0.0,0,19987,3,,,,0.0,0.5757849216461182,18.534046173095703,8.89634156919783e-06,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,0,2,2,0,0,0.0,0,19996,2,,,,0.0001,0.4352213827807789,2.9759459495544434,1.4284539702202892e-06,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,1,2,2,0,0,0.0,0,19994,2,,,,0.0,0.4209845382720232,2.9506778717041016,1.4163252899379586e-06,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,2,2,2,0,0,0.0,0,19988,2,,,,0.0,0.3579493761062622,2.993243932723999,1.4367570884132874e-06,True
MMF4,off,small,lhs,MMF4,2,2,61,20,0,3,3,0,0,0.0,0,20000,3,,,,0.0,0.12502571377193644,0.9820079207420349,4.713637906661461e-07,True
MMF4,off,small,lhs,MMF4,2,2,61,20,1,3,3,0,0,0.0,0,19985,3,,,,0.0,0.2971133098006249,2.6313908100128174,1.2630675882974174e-06,True
WFG1,off,small,lhs,WFG1,22,2,681,220,0,3,2,1,6621,0.33105,1,13379,3,1.0,1.15026507430116e-07,1.15026507430116e-07,0.0,2.8760688890670907,2.98358416557312,1.4321203707368113e-06,True
WFG1,off,small,lhs,WFG1,22,2,681,220,1,3,2,1,6473,0.32365,1,13527,3,1.0,2.7363950660941327e-08,2.7363950660941327e-08,0.0,0.9818063052992027,1.3307163715362549,6.387438133970136e-07,True
WFG2,off,small,lhs,WFG2,22,2,681,220,0,2,1,1,11225,0.56125,1,8774,2,1.0,1.1312399905705206e-08,1.1312399905705206e-08,0.0,1.5225413786527704,2.518686056137085,1.2089692518202355e-06,True
WFG2,off,small,lhs,WFG2,22,2,681,220,1,2,1,1,12031,0.60155,1,7969,2,1.0,7.734066098663561e-08,7.734066098663561e-08,0.0,3.203370359550983,4.674936771392822,2.243969674964319e-06,True
WFG4,off,small,lhs,WFG4,22,2,681,220,0,3,2,1,7064,0.3532,1,12935,3,1.0,1.842550223507544e-08,1.842550223507544e-08,0.0,1.3877008081837134,2.4069106578826904,1.1553170224942733e-06,True
WFG4,off,small,lhs,WFG4,22,2,681,220,1,3,2,1,7064,0.3532,1,12935,3,1.0,9.002527256996018e-08,9.002527256996018e-08,0.0,3.5997430297461253,4.44366979598999,2.1329615265130997e-06,True
WFG5,off,small,lhs,WFG5,22,2,681,220,0,3,1,2,13547,0.67735,2,6453,3,1.0,6.014162345913121e-08,2.3941614468725447e-08,0.0,1.8965645771134982,2.6008667945861816,1.2484159697123687e-06,True
WFG5,off,small,lhs,WFG5,22,2,681,220,1,3,1,2,13534,0.6767,2,6465,3,1.0,9.139378853717517e-08,9.139378853717517e-08,0.0,3.2090700022198937,4.617387771606445,2.2163460471347207e-06,True
WFG9,off,small,lhs,WFG9,22,2,681,220,0,3,1,2,12822,0.6411,2,7178,3,1.0,1.1179182246578989e-07,9.347688800787068e-08,0.0,1.8532446128312157,2.891812801361084,1.3880701317248167e-06,True
WFG9,off,small,lhs,WFG9,22,2,681,220,1,3,1,2,12822,0.6411,2,7178,3,1.0,2.9669867451787013e-08,8.40241698440991e-09,0.0,3.628789504022057,4.9115071296691895,2.3575232717121253e-06,True
ZDT1,off,small,lhs,ZDT1,30,2,929,300,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.12500064447958442,0.9994891285896301,4.797547603629937e-07,True
ZDT1,off,small,lhs,ZDT1,30,2,929,300,1,3,2,1,6461,0.32305,1,13523,3,1.0,1.088778178726102e-07,1.088778178726102e-07,0.0,0.32942663379973425,6.486356258392334,3.113450929959072e-06,True
ZDT3,off,small,lhs,ZDT3,30,2,929,300,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.1249910295009613,0.9999269843101501,4.799649104825221e-07,True
