label,exp,tier,dist,problema,D,M,N,n_real,n_pop,n_sur,n_busca,n_sonda,n_tim,n_final,status,maxfe,fe_final,n_geracoes,cache_hits,n_retries,fallback,min_samples_leaf,max_depth,kernel,selection,alpha,G_max,n_gen_total_final,sonda_S,sonda_nblocos,I_eff,I_max,n_decision,n_sonda_ev,n_footer,n_guard,n_header,n_ev,rec_tipos,ngen_obs,ngen_esperado,ok_ngen,build_min,build_max,final_min,final_max,ok_fases,sem_furos,tempo_aval_real_s,tempo_fit_s,tempo_busca_s,tempo_pred_sonda_s,tempo_total_s,n_fit_series,footer_runner,footer_motivo,footer_nfinal,footer_ndpos,footer_cpinit,upload_status,guard_nomes,guard_msgs
DTLZ4,off,small,lhs,DTLZ4,12,3,371,371,0,147915,107915,40000,4,99,ok,371,371,1204,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.6742,58.776,0.317,61.6287,4,True,,99.0,79.0,True,,,
DTLZ7,off,small,lhs,DTLZ7,22,3,681,681,0,129316,89316,40000,4,79,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,6.5957,55.2063,1.2174,64.6921,4,True,,79.0,63.0,True,,,
MMF1,off,small,lhs,MMF1,2,2,61,61,0,96581,56581,40000,4,50,ok,61,61,1204,0,0,False,20,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.2361,21.6336,0.2333,23.5358,4,True,,50.0,9.0,True,,,
MMF11_L,off,small,lhs,MMF11_L,2,2,61,61,0,95766,55766,40000,4,50,ok,61,61,1204,0,0,False,20,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.1852,21.9688,0.23,23.8357,4,True,,50.0,49.0,True,,,
MMF16_20,off,small,lhs,MMF16_20,20,3,619,619,0,145951,105951,40000,4,93,ok,619,619,1204,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,13.7011,65.1459,1.4912,82.1077,4,True,,93.0,92.0,True,,,
MMF4,off,small,lhs,MMF4,2,2,61,61,0,96911,56911,40000,4,50,ok,61,61,1204,0,0,False,20,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.2188,21.1421,0.2296,23.0457,4,True,,50.0,25.0,True,,,
WFG1,off,small,lhs,WFG1,22,2,681,681,0,91522,51522,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.2548,21.1733,0.5419,23.4275,4,True,,50.0,22.0,True,,,
WFG2,off,small,lhs,WFG2,22,2,681,681,0,85401,45401,40000,4,34,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.203,20.0394,0.5128,22.2685,4,True,,34.0,2.0,True,,,
WFG4,off,small,lhs,WFG4,22,2,681,681,0,64810,24810,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.2419,11.6035,0.5122,13.7805,4,True,,50.0,5.0,True,,,
WFG5,off,small,lhs,WFG5,22,2,681,681,0,95421,55421,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.1359,23.1564,0.373,25.1219,4,True,,50.0,1.0,True,,,
WFG9,off,small,lhs,WFG9,22,2,681,681,0,86154,46154,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.1421,19.5814,0.3894,21.468,4,True,,50.0,2.0,True,,,
ZDT1,off,small,lhs,ZDT1,30,2,929,929,0,95114,55114,40000,4,50,ok,929,929,1204,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,8.5083,25.2533,1.3045,36.5796,4,True,,50.0,50.0,True,,,
ZDT3,off,small,lhs,ZDT3,30,2,929,929,0,94856,54856,40000,4,50,ok,929,929,1204,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,22.8068,26.2804,1.8365,52.4,4,True,,50.0,40.0,True,,,
ZDT4,off,small,lhs,ZDT4,10,2,309,309,0,86240,46240,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.6441,18.5149,0.3925,20.9691,4,True,,50.0,49.0,True,,,
ZDT6,off,small,lhs,ZDT6,10,2,309,309,0,97079,57079,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.3473,22.0083,0.3351,24.2345,4,True,,50.0,2.0,True,,,
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,50000,0,671114,631114,40000,99,105,ok,50000,50000,6049,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,99,417,99,2,2,0,1,104,decision;footer;header;sonda,6049,6049,True,1,5049,5050,6049,True,True,0.0,59.3019,256.3621,0.4185,326.9654,99,True,,105.0,101.0,True,,,
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,50000,0,380048,340048,40000,44,105,ok,50000,50000,3244,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,44,250,44,2,2,0,1,49,decision;footer;header;sonda,3244,3244,True,1,2244,2245,3244,True,True,0.0,126.1207,135.784,0.4644,267.9907,44,True,,105.0,100.0,True,,,
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,50000,0,100210,60210,40000,6,50,ok,50000,50000,1306,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,6,228,6,2,2,0,1,11,decision;footer;header;sonda,1306,1306,True,1,306,307,1306,True,True,0.0,1.7303,24.1502,0.2117,28.1593,6,True,,50.0,49.0,True,,,
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,50000,0,132219,92219,40000,18,50,ok,50000,50000,1918,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,18,167,18,2,2,0,1,23,decision;footer;header;sonda,1918,1918,True,1,918,919,1918,True,True,0.0,29.1859,36.6987,0.3059,68.7139,18,True,,50.0,28.0,True,,,
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,50000,0,215061,175061,40000,50,50,ok,50000,50000,3550,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,50,500,50,2,1,0,1,54,decision;footer;header;sonda,3550,3550,True,1,2550,2551,3550,True,True,0.0,17.5216,44.427,0.2555,67.3724,50,True,,50.0,4.0,True,,,
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,50000,0,435257,395257,40000,56,105,ok,50000,50000,3856,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,56,417,56,2,2,0,1,61,decision;footer;header;sonda,3856,3856,True,1,2856,2857,3856,True,True,0.0,46.5756,180.9998,0.4428,235.2331,56,True,,105.0,95.0,True,,,
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,50000,0,101165,61165,40000,8,50,ok,50000,50000,1408,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,8,228,8,2,2,0,1,13,decision;footer;header;sonda,1408,1408,True,1,408,409,1408,True,True,0.0,2.8527,25.2914,0.2171,30.5265,8,True,,50.0,1.0,True,,,
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,50000,0,228582,188582,40000,61,49,ok,50000,50000,4111,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,61,167,61,2,2,0,1,66,decision;footer;header;sonda,4111,4111,True,1,3111,3112,4111,True,True,0.0,130.5,74.7233,0.6542,209.8793,61,True,,49.0,32.0,True,,,
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,50000,0,164893,124893,40000,30,50,ok,50000,50000,2530,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,30,500,30,2,1,0,1,34,decision;footer;header;sonda,2530,2530,True,1,1530,1531,2530,True,True,0.0,8.4919,37.6334,0.2406,50.0337,30,True,,50.0,7.0,True,,,
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,2000,0,202296,162296,40000,14,104,ok,2000,2000,1714,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,14,17,14,2,2,0,1,19,decision;footer;header;sonda,1714,1714,True,1,714,715,1714,True,True,0.0,7.7466,85.2441,0.7707,96.2412,14,True,,104.0,102.0,True,,,
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,2000,0,189120,149120,40000,10,105,ok,2000,2000,1510,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,10,10,10,2,2,0,1,15,decision;footer;header;sonda,1510,1510,True,1,510,511,1510,True,True,0.0,45.9341,88.565,1.2902,138.2026,10,True,,105.0,74.0,True,,,
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,2000,0,85561,45561,40000,6,36,ok,2000,2000,1306,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,6,10,6,2,2,0,1,11,decision;footer;header;sonda,1306,1306,True,1,306,307,1306,True,True,0.0,0.4429,20.6042,0.443,23.0145,6,True,,36.0,7.0,True,,,
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,2000,0,101094,61094,40000,6,50,ok,2000,2000,1306,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,6,7,6,2,2,0,1,11,decision;footer;header;sonda,1306,1306,True,1,306,307,1306,True,True,0.0,11.1204,28.2419,1.0516,42.0587,6,True,,50.0,50.0,True,,,
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,2000,0,100912,60912,40000,7,50,ok,2000,2000,1357,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,7,20,7,2,2,0,1,12,decision;footer;header;sonda,1357,1357,True,1,357,358,1357,True,True,0.0,1.5885,17.7938,0.2728,21.2309,7,True,,50.0,17.0,True,,,
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,2000,0,183239,143239,40000,14,87,ok,2000,2000,1714,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,14,17,14,2,2,0,1,19,decision;footer;header;sonda,1714,1714,True,1,714,715,1714,True,True,0.0,5.4248,75.5927,0.6647,84.2303,14,True,,87.0,84.0,True,,,
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,2000,0,186293,146293,40000,10,100,ok,2000,2000,1510,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,10,10,10,2,2,0,1,15,decision;footer;header;sonda,1510,1510,True,1,510,511,1510,True,True,0.0,22.1708,84.8682,1.0999,110.5388,10,True,,100.0,98.0,True,,,
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,2000,0,61597,21597,40000,8,1,ok,2000,2000,1408,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,8,10,8,2,2,0,1,13,decision;footer;header;sonda,1408,1408,True,1,408,409,1408,True,True,0.0,0.4274,10.3354,0.316,12.7552,8,True,,1.0,1.0,True,,,
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,2000,0,97922,57922,40000,7,50,ok,2000,2000,1357,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,7,7,7,2,2,0,1,12,decision;footer;header;sonda,1357,1357,True,1,357,358,1357,True,True,0.0,19.8347,28.8301,1.5868,51.8817,7,True,,50.0,50.0,True,,,
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,2000,0,100287,60287,40000,10,27,ok,2000,2000,1510,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,10,20,10,2,2,0,1,15,decision;footer;header;sonda,1510,1510,True,1,510,511,1510,True,True,0.0,1.537,20.6136,0.316,24.2074,10,True,,27.0,3.0,True,,,
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,371,0,144031,104031,40000,4,94,ok,371,371,1204,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.7788,67.7974,0.8753,72.3359,4,True,,94.0,93.0,True,,,
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,619,0,145951,105951,40000,4,93,ok,619,619,1204,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,0,1,7,decision;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,17.9429,67.1554,1.4945,89.1596,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",,
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,681,0,86154,46154,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,0,1,7,decision;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.1669,22.3176,0.3932,24.353,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",,
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,929,0,95114,55114,40000,4,50,ok,929,929,1204,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,0,1,7,decision;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,11.0453,27.1949,1.293,42.6282,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",,
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,309,0,86240,46240,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,0,1,7,decision;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.9059,19.2201,0.4151,23.4878,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",,
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,371,0,122334,82334,40000,4,74,ok,371,371,1204,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,1,1,9,decision;guard;header;retry;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.1128,53.6857,0.8709,58.3005,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",NA,"{'ts': '2026-07-26T11:08:08.891+00:00', 'rec': 'guard', 'name': 'hard_error', 'attempt': 0, 'err': 'RuntimeError: run em venv próprio falhou p/ \'c311\' (rc=1, env=env_c311):\nTraceback (most recent call last):\n  File """
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,619,0,128918,88918,40000,4,79,ok,619,619,1204,0,0,False,200,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,0,1,7,decision;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,10.8451,57.7513,1.3822,73.1889,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",,
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,681,0,94352,54352,40000,4,50,ok,681,681,1204,0,0,False,220,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,0,1,1,9,decision;guard;header;retry;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.2635,25.5252,0.4027,28.8849,4,False,,,,,"{'real': 'pending', 'pop': 'pending', 'surrogate': 'pending', 'timing': 'pending', 'jsonl': 'pending'}",NA,"{'ts': '2026-07-26T11:08:07.372+00:00', 'rec': 'guard', 'name': 'hard_error', 'attempt': 0, 'err': 'RuntimeError: run em venv próprio falhou p/ \'c311\' (rc=1, env=env_c311):\nTraceback (most recent call last):\n  File """
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,929,0,94981,54981,40000,4,50,ok,929,929,1204,0,0,False,300,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,10.9373,32.2507,1.5906,46.4165,4,True,,50.0,50.0,True,,,
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,309,0,95899,55899,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.3928,26.5554,0.5576,30.3112,4,True,,50.0,5.0,True,,,
