label,exp,tier,dist,problema,M,it,ger,pop,f_best_log,f_best_rec,ok_fbest,nfront1_log,nfront1_rec,ok_nfront1,f_best_neg
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,15,765,105,"[0.002513, 0.008283, 0.044732]","[0.002513, 0.008283, 0.044732]",True,97,97,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,16,816,103,"[0.002513, 0.008283, 0.044732]","[0.002513, 0.008283, 0.044732]",True,94,94,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,17,867,102,"[0.002513, 0.008283, 0.004354]","[0.002513, 0.008283, 0.004354]",True,91,91,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,18,918,102,"[0.002513, 0.007899, 0.036386]","[0.002513, 0.007899, 0.036386]",True,91,91,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,19,969,104,"[0.002513, 0.006338, 0.036386]","[0.002513, 0.006338, 0.036386]",True,95,95,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,20,1020,104,"[0.002513, 0.007899, 0.012188]","[0.002513, 0.007899, 0.012188]",True,95,95,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,21,1071,103,"[0.002513, 0.007899, 0.012188]","[0.002513, 0.007899, 0.012188]",True,98,98,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,22,1122,104,"[0.002513, 0.007899, 0.036386]","[0.002513, 0.007899, 0.036386]",True,100,100,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,23,1173,102,"[0.002513, 0.006338, 0.020649]","[0.002513, 0.006338, 0.020649]",True,99,99,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,24,1224,102,"[0.002513, 0.006338, 0.012188]","[0.002513, 0.006338, 0.012188]",True,98,98,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,25,1275,103,"[0.002513, 0.006338, 0.020649]","[0.002513, 0.006338, 0.020649]",True,99,99,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,26,1326,104,"[0.002513, 0.006338, 0.020649]","[0.002513, 0.006338, 0.020649]",True,100,100,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,27,1377,102,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,96,96,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,28,1428,103,"[0.002513, 0.006338, 0.012188]","[0.002513, 0.006338, 0.012188]",True,100,100,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,29,1479,105,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,100,100,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,30,1530,101,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,101,101,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,31,1581,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,100,100,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,32,1632,102,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,99,99,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,33,1683,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,103,103,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,34,1734,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,103,103,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,35,1785,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,103,103,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,36,1836,102,"[0.002513, 0.006338, 0.004017]","[0.002513, 0.006338, 0.004017]",True,99,99,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,37,1887,104,"[0.002513, 0.006338, -0.000798]","[0.002513, 0.006338, -0.000798]",True,100,100,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,38,1938,102,"[0.002513, 0.006338, -0.000798]","[0.002513, 0.006338, -0.000798]",True,98,98,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,39,1989,104,"[0.002513, 0.006338, -0.000798]","[0.002513, 0.006338, -0.000798]",True,99,99,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,40,2040,105,"[0.002513, 0.006338, -0.000805]","[0.002513, 0.006338, -0.000805]",True,99,99,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,41,2091,105,"[0.002513, 0.002149, -0.000805]","[0.002513, 0.002149, -0.000805]",True,99,99,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,42,2142,104,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,99,99,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,43,2193,102,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,98,98,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,44,2244,103,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,98,98,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,45,2295,103,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,97,97,True,True
