label,exp,tier,dist,problema,D,M,N,I_eff,I_max,it,total_pts,logged,lag3_soma,lag2_soma,lag3_media,early_stop,eh_ultima,it_maior_5,chega_Imax
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,15,7368.0,213.0,1305.0,788.0,435.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,16,7862.0,207.0,1282.0,889.0,427.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,17,8301.0,192.0,1328.0,933.0,442.6666666666665,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,18,8939.0,177.0,1571.0,1077.0,523.6666666666665,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,19,9345.0,170.0,1483.0,1044.0,494.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,20,9853.0,174.0,1552.0,914.0,517.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,21,10326.0,173.0,1387.0,981.0,462.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,22,10791.0,163.0,1446.0,938.0,482.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,23,11330.0,157.0,1477.0,1004.0,492.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,24,11722.0,156.0,1396.0,931.0,465.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,25,12088.0,152.0,1297.0,758.0,432.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,26,12533.0,146.0,1203.0,811.0,401.00000000000045,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,27,13063.0,147.0,1341.0,975.0,446.99999999999955,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,28,13493.0,144.0,1405.0,960.0,468.3333333333335,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,29,13980.0,144.0,1447.0,917.0,482.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,30,14502.0,148.0,1439.0,1009.0,479.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,31,14950.0,138.0,1457.0,970.0,485.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,32,15327.0,135.0,1347.0,825.0,449.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,33,15756.0,133.0,1254.0,806.0,418.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,34,16173.0,122.0,1223.0,846.0,407.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,35,16565.0,119.0,1238.0,809.0,412.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,36,17066.0,111.0,1310.0,893.0,436.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,37,17490.0,105.0,1317.0,925.0,439.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,38,17778.0,101.0,1213.0,712.0,404.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,39,18085.0,96.0,1019.0,595.0,339.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,40,18443.0,95.0,953.0,665.0,317.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,41,18789.0,90.0,1011.0,704.0,337.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,42,19049.0,86.0,964.0,606.0,321.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,43,19501.0,85.0,1058.0,712.0,352.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,44,19861.0,85.0,1072.0,812.0,357.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,45,20228.0,81.0,1179.0,727.0,393.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,46,20583.0,77.0,1082.0,722.0,360.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,47,20983.0,75.0,1122.0,755.0,374.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,48,21393.0,73.0,1165.0,810.0,388.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,49,21688.0,74.0,1105.0,705.0,368.33333333333303,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,50,22074.0,74.0,1091.0,681.0,363.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,51,22425.0,74.0,1032.0,737.0,344.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,52,22758.0,72.0,1070.0,684.0,356.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,53,23216.0,69.0,1142.0,791.0,380.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,54,23663.0,66.0,1238.0,905.0,412.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,55,24212.0,66.0,1454.0,996.0,484.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,56,24592.0,65.0,1376.0,929.0,458.66666666666697,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,57,25169.0,62.0,1506.0,957.0,501.9999999999991,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,58,25622.0,59.0,1410.0,1030.0,469.9999999999991,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,59,25896.0,55.0,1304.0,727.0,434.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,60,26156.0,55.0,987.0,534.0,329.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,61,26582.0,59.0,960.0,686.0,320.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,62,26923.0,56.0,1027.0,767.0,342.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,63,27331.0,50.0,1175.0,749.0,391.6666666666679,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,64,27699.0,50.0,1117.0,776.0,372.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,65,28043.0,52.0,1120.0,712.0,373.3333333333321,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,66,28343.0,52.0,1012.0,644.0,337.3333333333321,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,67,28601.0,51.0,902.0,558.0,300.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,68,28842.0,52.0,799.0,499.0,266.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,69,29290.0,50.0,947.0,689.0,315.6666666666679,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,70,29772.0,53.0,1171.0,930.0,390.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,71,30281.0,56.0,1439.0,991.0,479.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,72,30732.0,49.0,1442.0,960.0,480.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,73,31276.0,51.0,1504.0,995.0,501.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,74,31846.0,56.0,1565.0,1114.0,521.6666666666679,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,75,32211.0,49.0,1479.0,935.0,493.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,76,32543.0,40.0,1267.0,697.0,422.3333333333321,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,77,32845.0,36.0,999.0,634.0,333.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,78,33102.0,36.0,891.0,559.0,297.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,79,33390.0,35.0,847.0,545.0,282.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,80,33704.0,32.0,859.0,602.0,286.3333333333321,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,81,33950.0,28.0,848.0,560.0,282.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,82,34232.0,26.0,842.0,528.0,280.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,83,34484.0,27.0,780.0,534.0,260.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,84,34777.0,26.0,827.0,545.0,275.6666666666679,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,85,35168.0,23.0,936.0,684.0,312.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,86,35530.0,21.0,1046.0,753.0,348.6666666666679,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,87,35773.0,19.0,996.0,605.0,332.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,88,36176.0,20.0,1008.0,646.0,336.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,89,36517.0,20.0,987.0,744.0,329.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,90,36875.0,17.0,1102.0,699.0,367.3333333333321,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,91,37272.0,16.0,1096.0,755.0,365.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,92,37681.0,14.0,1164.0,806.0,388.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,93,37947.0,10.0,1072.0,675.0,357.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,94,38102.0,6.0,830.0,421.0,276.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,95,38226.0,3.0,545.0,279.0,181.66666666666606,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,96,38226.0,1.0,279.0,124.0,93.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,97,38445.0,1.0,343.0,219.0,114.33333333333394,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,98,38445.0,1.0,219.0,219.0,73.0,False,False,True,False
