label,exp,tier,dist,problema,D,M,N,I_eff,U1_n_real,U1_fe_ok,U1_fase_init,U1_feindex_denso,U1_solid_unico,U1_tempo_aval_real,U1_N_esperado,U1_N_ok,U2_ds_existe,U2_dX_bitexato,U2_dX_max,U2_dF_bitexato,U2_hash_x_sidecar,U2_hash_x_manifesto,U2_hash_x_ok,U2_hash_f_ok,U2_doe_hash_eq_x,U3_n_timing,U3_ok,U3_ger_timing,U3_ger_51i,U4_n_ev_sonda,U4_n_pontos,U4_flags,U4_hash_ok,U4_ger_null,U4_len,U4_ok,U4_tempo_pred,U5_dX_blk0,U5_dX_blk1,U5_dX_ulp_ok,U5_hash_gab,U5_hash_ev,U5_hash_eq,U6_espaco,U6_transf,F1_bit_identico,F1_n_diff,F2_nan_pre50,F2_nan_build,F2_nan_final,F2_nan_sonda_b0,F2_nan_sonda_b1,F2_nan_busca,U7_viol,U7_viol_com_sonda,U7_linhas_com_sonda,U7_idx_viol_sonda,U7_ok,U7_folga_med,U7_fit_total,U7_busca_total,U8_valores,U8_ok,U9_n_guard,U9_cache_manifest,U9_cache_footer,U9_ok,U10_ngen,U10_esperado,U10_ok,U10_ok_footer,U11_pop_linhas,U11_rsid_naonulo,U11_ok,U12_nd_ok,U12_n_final,U12_n_nd,U12_razao_fantasia,U12_origem_unica,U12_origem_ger,U12_origem_eq_ultima,U12_pop_ultima,U12_nfinal_eq_pop,U12_link_bit,U12_link_dmax,U12_footer_nfinal_ok,U12_osid_null
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,371,True,1.0,True,True,0.0,371,True,True,True,0.0,True,15a604f6a06a6bef4cec292de80f8e6eb62860a447ee1df5123b748f471930c0,15a604f6a06a6bef4cec292de80f8e6eb62860a447ee1df5123b748f471930c0,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.31699999999999995,2.9802322387695312e-08,2.9802322387695312e-08,True,8364ad15e1a2add56bdd6477a6ce32de45ddb4f4620ad76b7b441e973855a48d,8364ad15e1a2add56bdd6477a6ce32de45ddb4f4620ad76b7b441e973855a48d,True,cru,None,True,0,1.0,0.043550961465379644,0.0007070643111927225,0.6763333333333333,0.6763333333333333,0.005930593522679887,0,1,1,3,True,0.0,0.674166202545166,6.730241775512695,370,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,99,79,0.797979797979798,True,1204,True,99,True,True,0.0,True,0
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,a54669cbbb04b1c6bc5638fc1e849e0ac2ddc71b051b2259c456f60e586698b8,a54669cbbb04b1c6bc5638fc1e849e0ac2ddc71b051b2259c456f60e586698b8,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,1.2174,2.9802322387695312e-08,2.9802322387695312e-08,True,1085e34340bd36267bed9e676c0dc06b3ffa08410e0e32c0a122e2d31cbc743f,1085e34340bd36267bed9e676c0dc06b3ffa08410e0e32c0a122e2d31cbc743f,True,cru,None,True,0,1.0,0.0803691480259137,0.00016579940822365066,0.22653333333333334,0.22653333333333334,0.00996088793347963,0,1,1,3,True,0.0,6.5956573486328125,6.058196067810059,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,79,63,0.7974683544303798,True,1204,True,79,True,True,0.0,True,0
MMF1,off,small,lhs,MMF1,2,2,61,4,61,True,1.0,True,True,0.0,61,True,True,True,0.0,True,4683eab322a3dbaaa393cd78a0a5251621f7e2a7c7ada25dadb647d6c23e7422,4683eab322a3dbaaa393cd78a0a5251621f7e2a7c7ada25dadb647d6c23e7422,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.2333,1.1920928955078125e-07,1.1920928955078125e-07,True,e1c15f31ebd8631234b4b9ae5574b1053de9e00a8a79a369c883ce52ebc0db72,e1c15f31ebd8631234b4b9ae5574b1053de9e00a8a79a369c883ce52ebc0db72,True,cru,None,True,0,1.0,0.16567208712516784,0.0,0.0,0.0,0.019626729820964636,0,1,1,3,True,0.0,0.236130952835083,2.2007389068603516,60,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,9,0.18,True,1204,True,50,True,True,0.0,True,0
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,61,True,1.0,True,True,0.0,61,True,True,True,0.0,True,aae1ad78a3eb5774ba43718607089a999f12b1a40ac4c46560e68408c020599b,aae1ad78a3eb5774ba43718607089a999f12b1a40ac4c46560e68408c020599b,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.22999999999999998,5.923211565672659e-08,5.923211565672659e-08,True,7354f93a797c42e83017fba700659a4cf3c06df2be6a3e58f8b5dee319d64fe3,7354f93a797c42e83017fba700659a4cf3c06df2be6a3e58f8b5dee319d64fe3,True,cru,None,True,0,1.0,0.07085120422302871,0.0,0.0,0.0,0.007701825485062583,0,1,1,3,True,0.0,0.18518781661987305,2.207472801208496,60,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,49,0.98,True,1204,True,50,True,True,0.0,True,0
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,619,True,1.0,True,True,0.0,619,True,True,True,0.0,True,fcfc99f3791919393e33dae4609d320278de3688dba5da855e94c235d951ae14,fcfc99f3791919393e33dae4609d320278de3688dba5da855e94c235d951ae14,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,1.4912,2.9802322387695312e-08,2.9802322387695312e-08,True,4f679dcb4a600bd6b8319cb4eef95c63cda8eda41aaf10cdcd01ffe0dc89db94,4f679dcb4a600bd6b8319cb4eef95c63cda8eda41aaf10cdcd01ffe0dc89db94,True,cru,None,True,0,1.0,0.0747140760433109,0.0,0.0,0.0,0.008488200520366333,0,1,1,3,True,0.0,13.701130867004395,6.941452980041504,618,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,93,92,0.989247311827957,True,1204,True,93,True,True,0.0,True,0
MMF4,off,small,lhs,MMF4,2,2,61,4,61,True,1.0,True,True,0.0,61,True,True,True,0.0,True,f73242a7e4118a714cda5aa609448ab9ce6a23450a7c1ead4a05128cb940308c,f73242a7e4118a714cda5aa609448ab9ce6a23450a7c1ead4a05128cb940308c,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.22960000000000003,5.960464477539063e-08,5.960464477539063e-08,True,6e2861117f4784b13d813ef542321a457d295b31d13bf7c7dfdc4c5cd438f927,6e2861117f4784b13d813ef542321a457d295b31d13bf7c7dfdc4c5cd438f927,True,cru,None,True,0,1.0,0.20083082652915055,0.0,0.0,0.0,0.024634956335330603,0,1,1,3,True,0.0,0.21879887580871582,2.1058225631713867,60,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,25,0.5,True,1204,True,50,True,True,0.0,True,0
WFG1,off,small,lhs,WFG1,22,2,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,763a712db03f57b37b214c936de8bd781f4d5ebae9bd46acd49eeb8094592e99,763a712db03f57b37b214c936de8bd781f4d5ebae9bd46acd49eeb8094592e99,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.5418000000000001,1.9073486328125e-06,1.9073486328125e-06,True,15390a8b73baf3e8e9de1c8f02af89d4954be756e3ad5f0e94b911b3c4e04e6a,15390a8b73baf3e8e9de1c8f02af89d4954be756e3ad5f0e94b911b3c4e04e6a,True,cru,None,True,0,1.0,0.060633759902498474,0.0,0.32735,0.32735,0.00579364155118202,0,1,1,3,True,0.0,0.2547898292541504,1.979705572128296,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,22,0.44,True,1204,True,50,True,True,0.0,True,0
WFG2,off,small,lhs,WFG2,22,2,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,274963125e69efa98f85ebf4c591d0b7c4ec283b6fa16eb1db8cc5be3a1fb18a,274963125e69efa98f85ebf4c591d0b7c4ec283b6fa16eb1db8cc5be3a1fb18a,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.5126999999999999,1.9073486328125e-06,1.9073486328125e-06,True,e216f8c5fdb9dcd969ff3bbdb2104df6bda217f8155529b3bc32b0f9e35f0b45,e216f8c5fdb9dcd969ff3bbdb2104df6bda217f8155529b3bc32b0f9e35f0b45,True,cru,None,True,0,1.0,0.025864707682889503,0.00027015205701494844,0.5814,0.5814,0.003953657408427127,0,1,1,3,True,0.0,0.20295190811157227,2.7095348834991455,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,34,2,0.058823529411764705,True,1204,True,34,True,True,0.0,True,0
WFG4,off,small,lhs,WFG4,22,2,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,d51a0e47710d3fa1ffc216275d412679891ab5b63cd165bdc5b8e2516a3beab1,d51a0e47710d3fa1ffc216275d412679891ab5b63cd165bdc5b8e2516a3beab1,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.5123,1.9073486328125e-06,1.9073486328125e-06,True,c27848ae16356bcf1bf6f1c02e4f38c6bb0423ba9794677cfb73414598e31035,c27848ae16356bcf1bf6f1c02e4f38c6bb0423ba9794677cfb73414598e31035,True,cru,None,True,0,1.0,0.1191687871077184,0.00013361838588989844,0.3532,0.3532,0.011446997178557034,0,1,1,3,True,0.0,0.24193358421325684,1.023425579071045,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,5,0.1,True,1204,True,50,True,True,0.0,True,0
WFG5,off,small,lhs,WFG5,22,2,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,f242581cf891347c676b1c9c18f7d0d780a0e1a987fa3ca458c46346971b48e9,f242581cf891347c676b1c9c18f7d0d780a0e1a987fa3ca458c46346971b48e9,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.3729,1.9073486328125e-06,1.9073486328125e-06,True,1e92bec9d1609b946e29f64f269dbc40aed86a4cc7460a80cb29bdf73ff78c8d,1e92bec9d1609b946e29f64f269dbc40aed86a4cc7460a80cb29bdf73ff78c8d,True,cru,None,True,0,1.0,0.04916886748485319,0.0005307855626326964,0.677025,0.677025,0.006179967882210714,0,1,1,3,True,0.0,0.13586711883544922,2.5951907634735107,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,1,0.02,True,1204,True,50,True,True,0.0,True,0
WFG9,off,small,lhs,WFG9,22,2,681,4,681,True,1.0,True,True,0.0,681,True,True,True,0.0,True,e3e2e563d660fc5e128841e87fccf22cb6b9ad3ea2a2561e3130dfe5047f76f3,e3e2e563d660fc5e128841e87fccf22cb6b9ad3ea2a2561e3130dfe5047f76f3,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.3895,1.9073486328125e-06,1.9073486328125e-06,True,ec29d5cc9b6ceff8a29f28e89b70f8eb4e7fe6f79ab0f5fa170d302e50fa2be3,ec29d5cc9b6ceff8a29f28e89b70f8eb4e7fe6f79ab0f5fa170d302e50fa2be3,True,cru,None,True,0,1.0,0.0443169968717414,9.452242544543692e-05,0.6411,0.6411,0.0037699874333752222,0,1,1,3,True,0.0,0.1420745849609375,1.5988280773162842,680,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,2,0.04,True,1204,True,50,True,True,0.0,True,0
ZDT1,off,small,lhs,ZDT1,30,2,929,4,929,True,1.0,True,True,0.0,929,True,True,True,0.0,True,1ddb5596375a2d3ebe838c14bc240aec883ab1afb27350f2cfc0abc4d99023fa,1ddb5596375a2d3ebe838c14bc240aec883ab1afb27350f2cfc0abc4d99023fa,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,1.3044,2.9802322387695312e-08,2.9802322387695312e-08,True,d771d323b0736d2762991ed77208b2b27fb99bf83fa20ffee20f0ec1273b8965,d771d323b0736d2762991ed77208b2b27fb99bf83fa20ffee20f0ec1273b8965,True,cru,None,True,0,1.0,0.0559971098265896,0.00011093630239219009,0.161525,0.161525,0.005724498312588453,0,1,1,3,True,0.0,8.508309364318848,2.4202256202697754,928,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,50,1.0,True,1204,True,50,True,True,0.0,True,0
ZDT3,off,small,lhs,ZDT3,30,2,929,4,929,True,1.0,True,True,0.0,929,True,True,True,0.0,True,3348025be90cc1dc663e8e76ee9545f76132cd8f692baa5a45b4717cd3e8adb9,3348025be90cc1dc663e8e76ee9545f76132cd8f692baa5a45b4717cd3e8adb9,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,1.8365,2.9802322387695312e-08,2.9802322387695312e-08,True,9b81c982e637a9c952f23f473d414a8c5f22e514b94bf640f54330322858c8b6,9b81c982e637a9c952f23f473d414a8c5f22e514b94bf640f54330322858c8b6,True,cru,None,True,0,1.0,0.03274985883681536,0.0,0.0,0.0,0.0031719410821058774,1,2,1,0;3,False,0.0,22.806764602661133,2.547858953475952,928,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,40,0.8,True,1204,True,50,True,True,0.0,True,0
ZDT4,off,small,lhs,ZDT4,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,3713f51ffc45936daaa44d6da0f6f1ceb518720d8d63eb7f0b34baa53acb962e,3713f51ffc45936daaa44d6da0f6f1ceb518720d8d63eb7f0b34baa53acb962e,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.39239999999999997,2.384185791015625e-07,2.384185791015625e-07,True,f5c4832dd28964e145c7f5f4c18162ab221912420e121faf936983387069f14f,f5c4832dd28964e145c7f5f4c18162ab221912420e121faf936983387069f14f,True,cru,None,True,0,1.0,0.07682811016144349,0.003087248322147651,0.33375,0.33375,0.011483564013840831,0,1,1,3,True,0.0,0.6440670490264893,1.967832088470459,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,49,0.98,True,1204,True,50,True,True,0.0,True,0
ZDT6,off,small,lhs,ZDT6,10,2,309,4,309,True,1.0,True,True,0.0,309,True,True,True,0.0,True,faa0a83877ee73dc1a1e66333085482ed77ce77e94b280b73b911369f5c4de3b,faa0a83877ee73dc1a1e66333085482ed77ce77e94b280b73b911369f5c4de3b,True,True,True,4,True,51;102;153;204,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.33509999999999995,2.9802322387695312e-08,2.9802322387695312e-08,True,bb8436f6bd02f0218e5e5f5037136d7e5f4d55f3ebc49babb0728ee798ecee69,bb8436f6bd02f0218e5e5f5037136d7e5f4d55f3ebc49babb0728ee798ecee69,True,cru,None,True,0,1.0,0.030764075067024128,0.02975674640762611,0.56425,0.56425,0.029888400287321083,0,1,1,3,True,0.0,0.34734010696411133,2.8481030464172363,308,True,0,0,0.0,True,1204,1204,True,True,0,0,True,True,50,2,0.04,True,1204,True,50,True,True,0.0,True,0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,50000,True,1.0,True,True,0.0,50000,True,True,True,0.0,True,9d7f3bd3594b14361b066f213f7511baec4ba59dbb021af031c0422e08a030b7,9d7f3bd3594b14361b066f213f7511baec4ba59dbb021af031c0422e08a030b7,True,True,True,99,True,51;102;153;204;255;306,True,2,20000;20000,treedGP_build;treedGP_final,True,True,40000,True,0.4185,2.9802322387695312e-08,2.9802322387695312e-08,True,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7,True,cru,None,True,0,1.0,0.2834337517221817,0.058464723682114986,0.7451,0.7451,0.24612985926472872,0,1,1,98,True,0.0,59.30189514160156,203.30926513671875,49999,True,0,0,0.0,True,6049,6049,True,True,0,0,True,True,105,101,0.9619047619047619,True,6049,True,105,True,True,0.0,True,0
