label,linhas,header,footer,decision,fit,sonda,guard,checkpoint,recs_outros,campanha_id,repo_hash,schema_version,tempo_aval_real_s,executable,upload_status,created,updated,status,motivo,fe_final,maxfe,n_ger,q
WFG4,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.0796,SIM,SIM,2026-07-26T17:12:38+00:00,2026-07-26T17:12:39+00:00,ok,orcamento,681,681,440,1
WFG5,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.0779,SIM,SIM,2026-07-26T17:12:00+00:00,2026-07-26T17:12:01+00:00,ok,orcamento,681,681,440,1
WFG9,1104,1,2,440,440,221,0,0,,<AUSENTE>,<AUSENTE>,1,0.5966,SIM,SIM,2026-07-26T16:41:55+00:00,2026-07-26T16:41:56+00:00,ok,orcamento,681,681,440,1
ZDT1,1504,1,2,600,600,301,0,0,,<AUSENTE>,<AUSENTE>,1,0.0365,SIM,SIM,2026-07-26T15:49:26+00:00,2026-07-26T15:49:26+00:00,ok,orcamento,929,929,600,1
ZDT3,1504,1,2,600,600,301,0,0,,<AUSENTE>,<AUSENTE>,1,0.0415,SIM,SIM,2026-07-26T15:45:39+00:00,2026-07-26T15:45:40+00:00,ok,orcamento,929,929,600,1
ZDT4,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0105,SIM,SIM,2026-07-26T13:16:29+00:00,2026-07-26T13:16:30+00:00,ok,orcamento,309,309,200,1
ZDT6,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.013,SIM,SIM,2026-07-26T13:18:35+00:00,2026-07-26T13:18:36+00:00,ok,orcamento,309,309,200,1
q10_DTLZ2,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0614,SIM,SIM,2026-07-27T01:18:59+00:00,2026-07-27T01:18:59+00:00,ok,orcamento,2131,2131,200,10
q10_MMF16_20,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.0831,SIM,SIM,2026-07-27T02:57:04+00:00,2026-07-27T02:57:04+00:00,ok,orcamento,2219,2219,200,10
q10_WFG9,512,1,2,200,200,101,8,0,,<AUSENTE>,<AUSENTE>,1,2.0993,SIM,SIM,2026-07-27T00:08:21+00:00,2026-07-27T00:08:22+00:00,ok,orcamento,2241,2241,200,10
q10_ZDT1,504,1,2,200,200,101,0,0,,<AUSENTE>,<AUSENTE>,1,0.051,SIM,SIM,2026-07-27T00:53:31+00:00,2026-07-27T00:53:31+00:00,ok,orcamento,2329,2329,200,10
q10_ZDT4,747,95,95,200,200,101,56,0,,<AUSENTE>,<AUSENTE>,1,0.0429,SIM,SIM,2026-07-24T12:21:10+00:00,2026-07-28T18:42:14+00:00,ok,orcamento,2109,2109,200,10
