label,header_ts,footer_ts,run_id,exp_hdr,problema_hdr,modo_rapido,D,maxfe,n_init,versao,tempo_total_s,n_retries,status
q10_ZDT4,2026-07-25T12:06:14.953+00:00,2026-07-25T12:06:14.953+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0004,0,ok
q10_ZDT4,2026-07-25T12:06:14.955+00:00,2026-07-25T12:06:14.955+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T12:44:32.439+00:00,2026-07-25T12:44:32.440+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0006,0,ok
q10_ZDT4,2026-07-25T12:44:32.442+00:00,2026-07-25T12:44:32.442+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T12:44:59.331+00:00,2026-07-25T12:44:59.331+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-25T12:44:59.333+00:00,2026-07-25T12:44:59.333+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T13:05:58.863+00:00,2026-07-25T13:05:58.864+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-25T13:05:58.866+00:00,2026-07-25T13:05:58.866+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T13:30:23.295+00:00,2026-07-25T13:30:23.296+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-25T13:30:23.297+00:00,2026-07-25T13:30:23.297+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-26T00:02:31.782+00:00,2026-07-26T00:02:31.782+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0008,0,ok
q10_ZDT4,2026-07-26T00:02:31.784+00:00,2026-07-26T00:02:31.784+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-26T00:09:38.699+00:00,2026-07-26T00:09:38.700+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0004,0,ok
q10_ZDT4,2026-07-26T00:09:38.701+00:00,2026-07-26T00:09:38.701+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-28T18:41:11.204+00:00,2026-07-28T18:41:11.204+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0006,0,ok
q10_ZDT4,2026-07-28T18:41:11.208+00:00,2026-07-28T18:41:11.208+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-28T18:42:14.670+00:00,2026-07-28T18:42:14.671+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-28T18:42:14.673+00:00,2026-07-28T18:42:14.673+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
