alg,label,M,pop,n_ger,onset_obs,congeladas,turn_1,turn_mean,amp_g1,amp_last,n_ger_amp_zero,onset_pred,casa,mu_unicos,sg_unicos,X_ident_ultima,parcial_bnd,parcial_J,slots_pred,slots_mortos,n_slots_mortos
moead_media,WFG9,2,50,801,801,1,0.96,0.213375,6.39771693944931,8.794211268424988,0,,False,15402,1,False,,None,[],None,
moead_media,ZDT1,2,50,801,801,1,1.0,0.245925,4.0157148987054825,2.0617768089286983,0,,False,17209,1,False,,None,[],None,
moead_media,ZDT3,2,50,801,801,1,1.0,0.252475,4.330638237297535,2.1819542287266813,0,,False,17362,1,False,,None,[],None,
moead_media,ZDT4,2,50,801,801,1,1.0,0.267725,118.00896307360381,5.608372392132878,0,,False,16960,1,False,,None,[],None,
moead_media,ZDT6,2,50,801,118,684,0.98,0.065975,1.49066162109375,2.8910160064697266,0,,False,276,1,False,1.0,[0],[49],[49],1.0
moead_media,swap_medium-lhs_DTLZ2,3,105,381,35,347,1.0,0.08235588972431078,2.14362283362627,0.0,355,31.0,False,965,1,True,11.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[],0.0
moead_media,swap_medium-lhs_MMF16_20,3,105,381,1,381,0.0,0.0,0.0,0.0,381,1.0,True,1,1,False,,None,[],None,
moead_media,swap_medium-lhs_WFG9,2,50,801,801,1,0.9,0.209625,5.740354001522064,8.154336720705032,0,,False,15241,1,False,,None,[],None,
moead_media,swap_medium-lhs_ZDT1,2,50,801,801,1,1.0,0.209025,4.014491410576738,2.2255861684679985,0,,False,14570,1,False,,None,[],None,
moead_media,swap_medium-lhs_ZDT4,2,50,801,312,490,0.96,0.03435,0.9880973473191261,0.6243628710508347,0,,False,203,1,False,1.0,[1],[0],[0],1.0
moead_media,swap_medium-mvns_DTLZ2,3,105,381,83,299,0.9904761904761905,0.16112781954887218,2.0766684114991754,0.0,338,51.0,False,1034,1,False,11.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[],0.0
moead_media,swap_medium-mvns_MMF16_20,3,105,381,381,1,0.8666666666666667,0.34325814536340854,7.301083593802329e-24,1.2755507022417468e-32,0,,False,6051,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[],0.0
moead_media,swap_medium-mvns_WFG9,2,50,801,257,545,1.0,0.2187,4.953267812728882,0.0,621,181.0,False,4344,1,True,,None,[],None,
moead_media,swap_medium-mvns_ZDT1,2,50,801,801,1,1.0,0.228025,3.943945989012718,1.8150615841150284,0,,False,16101,1,False,,None,[],None,
moead_media,swap_medium-mvns_ZDT4,2,50,801,502,300,0.94,0.0831,0.9881449395325035,0.6296917349100113,0,,False,315,1,False,1.0,[1],[0],[0],1.0
moead_media,swap_small-lhs_DTLZ2,3,105,381,278,104,0.9904761904761905,0.15077694235588973,2.1243263859105355e-07,7.858349387879215e-12,0,,False,212,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[104],1.0
moead_media,swap_small-lhs_MMF16_20,3,105,381,381,1,0.9809523809523809,0.15892230576441102,9.595990657806396,6.654890418052673,0,,False,17063,1,False,,None,[],None,
moead_media,swap_small-lhs_WFG9,2,50,801,801,1,0.96,0.213375,6.39771693944931,8.794211268424988,0,,False,15402,1,False,,None,[],None,
moead_media,swap_small-lhs_ZDT1,2,50,801,801,1,1.0,0.245925,4.0157148987054825,2.0617768089286983,0,,False,17209,1,False,,None,[],None,
moead_media,swap_small-lhs_ZDT4,2,50,801,801,1,1.0,0.267725,118.00896307360381,5.608372392132878,0,,False,16960,1,False,,None,[],None,
moead_media,swap_small-mvns_DTLZ2,3,105,381,210,172,0.8666666666666667,0.10907268170426065,1.9742506593465805,2.559361696243286,0,,False,555,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]","[0, 14, 27, 39, 50, 60, 69, 77]",14.0
moead_media,swap_small-mvns_MMF16_20,3,105,381,381,1,0.9714285714285714,0.1667669172932331,9.132477506995201,7.006654322147369,0,,False,15093,1,False,,None,[],None,
moead_media,swap_small-mvns_WFG9,2,50,801,801,1,1.0,0.3422,4.652974367141724,0.3996497392654419,0,,False,21480,1,False,,None,[],None,
moead_media,swap_small-mvns_ZDT1,2,50,801,801,1,1.0,0.24585,3.882167547941208,1.8176145358011127,0,,False,17149,1,False,,None,[],None,
moead_media,swap_small-mvns_ZDT4,2,50,801,801,1,1.0,0.15495,163.71468830201775,0.5363824929809198,0,,False,9101,1,False,,None,[],None,
