problema,D,M,n_sets,n_cands_tot,rho_med,rho_p25,rho_p75,rho_frac_pos,rho_pool,n_rho,n_degenerado,frac_set_sem_dominancia,top1_frac,percentil_med,conf_hit_med,conf_miss_med,dX_escolhido_vs_real,dF_escolhido_vs_real
MMF1,2,2,40,3343,0.10099241969834157,-0.3430886288263661,0.41328673751836703,0.5151515151515151,-0.045969351102637244,33,7,0.0,0.025,0.6333333333333333,0.8820730447769165,0.9891842603683472,0.0,5.883410550522328e-06
MMF11_L,2,2,41,3677,0.2554810381149253,0.013715719443268678,0.6777997925628821,0.775,0.27743026784835595,40,1,0.0,0.07317073170731707,0.66,0.9985254406929016,0.9332388341426849,0.0,7.488635063168658e-07
MMF16_20,20,3,364,12833,-0.08117040077264896,-0.2600900404892925,0.13693063937629152,0.3764367816091954,0.2817092037709553,348,16,0.04120879120879121,0.11263736263736264,0.6642156862745098,0.9998916387557983,0.9999958276748657,0.0,1.8023576364711857e-07
MMF4,2,2,39,3420,0.09129976306477175,-0.3484305567672187,0.3587385481307758,0.5714285714285714,-0.09949267925752663,35,4,0.0,0.05128205128205128,0.56,0.9995182752609253,0.9352167248725891,0.0,1.2743979205254163e-07
WFG1,22,2,337,18816,-0.03409879331098081,-0.23306804590825447,0.1972149301763008,0.4447852760736196,0.38564626750279757,326,11,0.02967359050445104,0.12166172106824925,0.5333333333333333,0.9999697208404541,0.996694803237915,0.0,3.171124358658517e-07
WFG2,22,2,421,24660,0.18229748453177524,-0.06226802248100599,0.37132404033700295,0.7019230769230769,0.3076777414926344,416,5,0.011876484560570071,0.1163895486935867,0.6666666666666666,0.9996985197067261,1.0,0.0,1.1787015399278289e-06
WFG4,22,2,388,18642,0.11180339887498947,-0.16767416607477914,0.3625213714378779,0.6222826086956522,0.24128676157894766,368,20,0.04896907216494845,0.15463917525773196,0.69,0.9999879598617554,1.0,0.0,3.3718718830400007e-06
WFG5,22,2,403,17459,0.23412399007716395,0.0,0.4240518465569918,0.7371134020618557,0.20191836665334265,388,15,0.02977667493796526,0.21588089330024815,0.75,0.9972245693206787,0.9999997615814209,0.0,1.638322231167777e-05
WFG9,22,2,355,17071,0.12676823108250102,-0.18020873610068266,0.33550727114523443,0.6042296072507553,0.2946640172040783,331,24,0.05352112676056338,0.16056338028169015,0.6923076923076923,0.9999336004257202,1.0,0.0,2.365095088663338e-06
ZDT1,30,2,580,43910,0.4141471852669433,0.1976316396274626,0.6112451669825224,0.8902439024390244,0.20045373090152732,574,6,0.010344827586206896,0.23448275862068965,0.8,0.9518010914325714,0.8572597205638885,0.0,1.0399854488696292e-07
ZDT3,30,2,583,40156,0.30212980422138913,0.02378675547581966,0.5125769527887613,0.765625,0.26942091569137877,576,7,0.010291595197255575,0.19210977701543738,0.72,0.9903131723403931,0.9991893172264099,0.0,5.264729563414505e-07
ZDT4,10,2,18,1706,0.2241881542305738,0.11613001055138338,0.41467406681470176,0.8888888888888888,0.21773267437716837,18,0,0.0,0.05555555555555555,0.485,0.9746360778808594,0.9999980926513672,0.0,4.370654019680842e-05
ZDT6,10,2,192,14307,0.5044051785479076,0.18225888406887952,0.7258946714117008,0.8502673796791443,0.2221373609326059,187,5,0.015625,0.265625,0.8683333333333334,0.9995342493057251,0.9998941421508789,0.0,2.5448933715921385e-07
