problema,D,M,maxfe,maxfe_esp,fe_final,n_linhas1,n_init,init_esp,fe_dense,sid_dense,doe_ok,doe_dmax,n_geracoes,n_gen_events,n_tim,N,K_refs,gmax,status,termino,cp_init,cache_hits,guards,n_online3,n_lote,arit_ok,arc_final,arc_ok,n_infill_unico,rr_exato,tr_ok,ntrein_ok_round,ntrein_ok_floor,rr_code_ok,rr_paper_ok,refs6,refs_in_pop,refs_lt_arq,pop_size_modal,pop_grupos,lote_eq_online3,classe_L_ok,Lbom_min,Lruim_max,infill_acc,infill_tpr,mu_null,sigma_null,predscore_null,n_sonda_blocos,sonda_S,sonda_k,cad_ok,n_final_probe,sonda_gens_max,ult_gen,blocos_2000,n_blocos_man,t_ok1,t_ok2,ftm_quedas,ftm_min,ftm_max,stalls,ramo_counts,guard_randperm,wall_s,t_fit,t_busca,t_aval,t_sonda,gate_json
DTLZ4,12,3,371,371,371,371,131,131,True,True,True,2.974925017440455e-08,339,338,338,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 149, ""cache_hit"": 1, ""hard_stop"": 1}",237,237,False,368,False,237,338,338,138,11,0,0,338,338,338,315,339,338,1.0,0.5000009536743164,0.4999995827674866,0.6455696202531646,1.0,1.0,1.0,1.0,171,2000,2,False,1,339,338,171,171,1.0,1.0,52,130,367,149,"{""1"": 200, ""4"": 138}",0,1045.109548,864.5036882162094,132.7513262561988,0.1737489999999999,15.681423,"{""size"":{""1"":99,""4"":138},""min"":{""1"":0.9004169703,""4"":0.0065639107},""max"":{""1"":0.9967806339,""4"":0.8880194426},""median"":{""1"":0.9225931168,""4"":0.3726941347}}"
DTLZ7,22,3,681,681,681,681,241,241,True,True,True,2.9791798028533378e-08,424,423,423,50,6,3000,ok,normal,True,2,"{""stall_0fe"": 39, ""cache_hit"": 2}",441,441,True,682,True,440,423,423,151,24,400,0,423,423,423,329,424,423,1.0,0.500054121017456,0.49987903237342834,0.6530612244897959,0.7617021276595745,1.0,1.0,1.0,213,2000,2,False,1,423,423,213,213,1.0,0.9976359338061466,27,239,678,39,"{""4"": 365, ""1"": 58}",0,1746.920812,1648.9628511667252,44.32601908035576,0.272844,16.881292000000013,"{""size"":{""1"":76,""4"":365},""min"":{""1"":0.9000889063,""4"":0.0028374619},""max"":{""1"":0.9788910747,""4"":0.9476830363},""median"":{""1"":0.918969512,""4"":0.4486650229}}"
MMF1,2,2,61,61,61,61,21,21,True,True,True,1.1457521598146059e-07,46,45,45,50,6,3000,ok,normal,True,2,"{""stall_0fe"": 4, ""cache_hit"": 2}",41,41,True,62,True,41,45,45,16,4,29,0,45,45,45,26,46,45,1.0,0.500003457069397,0.49999117851257324,0.5365853658536586,0.5,1.0,1.0,1.0,24,2000,2,False,1,45,45,24,24,1.0,0.9777777777777777,4,18,59,4,"{""4"": 40, ""1"": 5}",0,53.957052,30.120878964662552,4.65158892609179,0.030361999999999986,2.771062999999999,"{""size"":{""1"":1,""4"":40},""min"":{""1"":0.9121419191,""4"":0.0667882636},""max"":{""1"":0.9121419191,""4"":0.7921780348},""median"":{""1"":0.9121419191,""4"":0.4684560895}}"
MMF11_L,2,2,61,61,61,61,21,21,True,True,True,5.8479016962209585e-08,43,42,42,50,6,3000,ok,normal,True,3,"{""stall_0fe"": 11, ""cache_hit"": 3}",42,42,True,63,True,41,42,42,18,0,42,0,42,42,42,40,43,42,1.0,0.5000017285346985,0.4999973773956299,0.5714285714285714,0.8,1.0,1.0,1.0,22,2000,2,True,0,42,42,22,22,1.0,1.0,4,20,58,11,"{""4"": 27, ""1"": 15}",0,53.295741,28.571081817150116,11.406974013894796,0.031997000000000005,2.921508,"{""size"":{""1"":15,""4"":27},""min"":{""1"":0.9029005766,""4"":0.2748483419},""max"":{""1"":0.9804007411,""4"":0.6866422296},""median"":{""1"":0.9168701172,""4"":0.4693150222}}"
MMF16_20,20,3,619,619,619,619,219,219,True,True,True,2.9796276557192414e-08,91,90,90,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1, ""hard_stop"": 1}",393,393,False,612,False,393,90,90,35,7,73,0,90,90,90,219,91,90,1.0,0.5000110864639282,0.49996739625930786,0.9185750636132316,0.9422572178477691,1.0,1.0,1.0,47,2000,2,False,1,91,90,47,47,1.0,1.0,4,218,600,0,"{""4"": 45, ""1"": 45}",0,302.116616,249.4860339164734,28.433228137437254,0.20743499999999981,4.569600000000001,"{""size"":{""1"":348,""4"":45},""min"":{""1"":0.9002441168,""4"":0.1995076537},""max"":{""1"":0.9942980409,""4"":0.9769949913},""median"":{""1"":0.9555605054,""4"":0.7044867873}}"
MMF4,2,2,61,61,61,61,21,21,True,True,True,5.4513727754113006e-08,51,50,50,50,6,3000,ok,normal,True,6,"{""stall_0fe"": 9, ""cache_hit"": 6}",45,45,True,66,True,41,50,50,16,3,50,0,50,50,50,56,51,50,1.0,0.5000036358833313,0.49999678134918213,0.5777777777777777,0.4444444444444444,1.0,1.0,1.0,26,2000,2,True,0,50,50,26,26,1.0,1.0,4,19,59,9,"{""4"": 40, ""1"": 10}",0,50.820755,29.865451961755753,7.708307020366192,0.03507000000000001,2.959956,"{""size"":{""1"":5,""4"":40},""min"":{""1"":0.9103059769,""4"":0.1514328271},""max"":{""1"":0.9552710056,""4"":0.7678387165},""median"":{""1"":0.9366214275,""4"":0.43675372}}"
WFG1,22,2,681,681,681,681,241,241,True,True,True,1.9048635309104611e-06,186,185,185,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 64, ""cache_hit"": 1, ""hard_stop"": 1}",439,439,False,680,False,439,185,185,68,9,185,0,185,185,185,499,186,185,1.0,0.5000026226043701,0.49999260902404785,0.7562642369020501,0.7562642369020501,1.0,1.0,1.0,94,2000,2,False,0,186,185,94,94,1.0,1.0,18,240,679,64,"{""1"": 184, ""4"": 1}",0,861.332264,719.9972805976868,107.38968612998724,0.33305299999999977,8.038826,"{""size"":{""1"":438,""4"":1},""min"":{""1"":0.9000883102,""4"":0.9306430221},""max"":{""1"":0.9969733953,""4"":0.9306430221},""median"":{""1"":0.9364403486,""4"":0.9306430221}}"
WFG2,22,2,681,681,681,681,241,241,True,True,True,1.9052260000762544e-06,444,443,443,50,6,3000,ok,normal,True,2,"{""stall_0fe"": 6, ""cache_hit"": 2}",441,441,True,682,True,440,443,443,170,22,443,0,443,443,443,401,444,443,1.0,0.5000061392784119,0.4999447464942932,0.746031746031746,0.5897435897435898,1.0,1.0,1.0,223,2000,2,False,1,443,443,223,223,1.0,0.9977426636568849,33,240,679,6,"{""4"": 435, ""1"": 8}",0,1753.577579,1681.3333094120026,16.457093957811594,0.51649,17.626052000000005,"{""size"":{""1"":6,""4"":435},""min"":{""1"":0.9017056227,""4"":0.0019965768},""max"":{""1"":0.9591886997,""4"":0.9469594359},""median"":{""1"":0.9322678447,""4"":0.1377093345}}"
WFG4,22,2,681,681,681,681,241,241,True,True,True,1.9042712366967862e-06,275,274,274,50,6,3000,ok,normal,True,2,"{""stall_0fe"": 25, ""cache_hit"": 2}",441,441,True,682,True,440,274,274,108,13,274,0,274,274,274,520,275,274,1.0,0.5000011920928955,0.49999159574508667,0.780045351473923,0.8164251207729468,1.0,1.0,1.0,138,2000,2,True,0,274,274,138,138,1.0,1.0,19,240,679,25,"{""4"": 158, ""1"": 116}",0,1185.503627,1075.1831814050674,73.13153016380966,0.3316079999999999,11.036513999999997,"{""size"":{""1"":283,""4"":158},""min"":{""1"":0.900003314,""4"":0.1679221541},""max"":{""1"":0.9930596352,""4"":0.9754501581},""median"":{""1"":0.9315478802,""4"":0.7471181154}}"
WFG5,22,2,681,681,681,681,241,241,True,True,True,1.8893242028639179e-06,371,370,370,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 2, ""cache_hit"": 1}",440,440,True,681,True,440,370,370,154,29,370,0,370,370,370,351,371,370,1.0,0.5000073313713074,0.4999992847442627,0.7022727272727273,0.830945558739255,1.0,1.0,1.0,186,2000,2,True,0,370,370,186,186,1.0,1.0,16,239,678,2,"{""4"": 346, ""1"": 24}",0,1489.149624,1418.0901921987534,23.79497504234314,0.35520899999999983,14.860586999999992,"{""size"":{""1"":94,""4"":346},""min"":{""1"":0.9002834558,""4"":0.0260040835},""max"":{""1"":0.9957652092,""4"":0.9829394817},""median"":{""1"":0.9457604885,""4"":0.6965137124}}"
WFG9,22,2,681,681,681,681,241,241,True,True,True,1.9070339618565413e-06,443,442,442,50,6,3000,ok,normal,True,2,"{""cache_hit"": 2, ""stall_0fe"": 1}",441,441,True,682,True,440,442,442,181,23,442,0,442,442,442,530,443,442,1.0,0.5000250935554504,0.49994611740112305,0.6394557823129252,0.7119565217391305,1.0,1.0,1.0,222,2000,2,True,0,442,442,222,222,1.0,1.0,15,240,678,1,"{""4"": 441, ""1"": 1}",0,1913.158663,1842.0562123060226,13.001452973112464,1.437555999999998,17.92024999999998,"{""size"":{""4"":441},""min"":{""4"":0.0019386867},""max"":{""4"":0.9451226592},""median"":{""4"":0.4325893223}}"
ZDT1,30,2,929,929,929,929,329,329,True,True,True,2.978190016822424e-08,558,557,557,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 81, ""cache_hit"": 1}",600,600,True,929,True,600,557,557,244,35,260,0,557,557,557,846,558,557,1.0,0.5000121593475342,0.4999270439147949,0.7116666666666667,0.8559556786703602,1.0,1.0,1.0,280,2000,2,False,1,557,557,280,280,1.0,0.9982046678635548,35,328,927,81,"{""4"": 436, ""1"": 121}",0,3327.127472,3169.958361387253,86.5335767827928,0.35583000000000053,19.62558299999999,"{""size"":{""1"":164,""4"":436},""min"":{""1"":0.9002195001,""4"":0.000230102},""max"":{""1"":0.9925886393,""4"":0.9790329337},""median"":{""1"":0.9248417616,""4"":0.4568816423}}"
ZDT3,30,2,929,929,929,929,329,329,True,True,True,2.9800702572302384e-08,548,547,547,50,6,3000,ok,normal,True,2,"{""stall_0fe"": 144, ""cache_hit"": 2, ""hard_stop"": 1}",599,599,False,928,False,598,547,547,233,45,358,0,547,547,547,604,548,547,1.0,0.5005360841751099,0.49996238946914673,0.7495826377295493,0.8236607142857143,1.0,1.0,1.0,275,2000,2,False,0,548,547,275,275,1.0,1.0,41,328,925,144,"{""4"": 334, ""1"": 213}",0,3168.091876,2950.574424982071,140.1492869965732,0.3423860000000002,19.452469000000008,"{""size"":{""1"":265,""4"":334},""min"":{""1"":0.9005375504,""4"":0.0007635207},""max"":{""1"":0.9816880822,""4"":0.9725766778},""median"":{""1"":0.9228019118,""4"":0.5767923594}}"
ZDT4,10,2,309,309,309,309,109,109,True,True,True,2.374759207057764e-07,202,201,201,50,6,3000,ok,normal,True,2,"{""cache_hit"": 2}",201,201,True,310,True,200,201,201,79,10,196,0,201,201,201,109,202,201,1.0,0.5000118613243103,0.49992144107818604,0.8606965174129353,0.5,1.0,1.0,1.0,102,2000,2,False,1,201,201,102,102,1.0,0.9950248756218906,4,108,307,0,"{""4"": 201}",0,394.7073,358.58840268850327,6.083762986585498,0.147511,10.255901999999999,"{""size"":{""4"":201},""min"":{""4"":0.0058336356},""max"":{""4"":0.7098266482},""median"":{""4"":0.1257642806}}"
ZDT6,10,2,309,309,309,309,109,109,True,True,True,2.979843327644005e-08,204,203,203,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 3, ""cache_hit"": 1}",200,200,True,309,True,200,203,203,75,11,12,0,203,203,203,121,204,203,1.0,0.5000573396682739,0.4997888505458832,0.73,0.7647058823529411,1.0,1.0,1.0,103,2000,2,False,1,203,203,103,103,1.0,0.9950738916256158,14,108,307,3,"{""4"": 200, ""1"": 3}",0,402.867068,365.5595054626465,7.89945700368844,0.15444399999999994,10.120647999999997,"{""size"":{""4"":200},""min"":{""4"":0.0061180941},""max"":{""4"":0.8061417341},""median"":{""4"":0.2047863752}}"
