alg,tier,dist,problema,n_final,n_nd_pos_real,fantasia,n_x_distintos,igd_plus_c7,hv_c7
e103,medium,lhs,WFG9,100,11,0.11,99,0.20986,0.063155
e103,medium,lhs,ZDT1,100,92,0.92,100,0.007176,0.862478
e103,medium,lhs,ZDT4,100,5,0.05,94,53.94899,0.0
moead_media,medium,lhs,DTLZ2,105,105,1.0,1,2.685855,0.0
moead_media,medium,lhs,MMF16_20,105,38,0.3619,105,0.108303,0.468426
moead_media,medium,lhs,WFG9,50,1,0.02,50,0.471539,0.002174
moead_media,medium,lhs,ZDT1,50,18,0.36,50,0.23634,0.501858
moead_media,medium,lhs,ZDT4,50,10,0.2,2,144.51161,0.0
b5m,medium,mvns,DTLZ2,105,34,0.3238,105,0.30067,0.156138
b5m,medium,mvns,MMF16_20,105,19,0.181,64,0.35965,0.310186
b5m,medium,mvns,WFG9,50,21,0.42,44,0.147011,0.225118
b5m,medium,mvns,ZDT1,50,27,0.54,49,1.03923,0.0
b5m,medium,mvns,ZDT4,50,50,1.0,1,210.275719,0.0
b5r,medium,mvns,DTLZ2,88,72,0.8182,88,0.142353,0.450475
b5r,medium,mvns,MMF16_20,70,39,0.5571,70,0.175174,0.39941
b5r,medium,mvns,WFG9,42,13,0.3095,42,0.262503,0.069361
b5r,medium,mvns,ZDT1,47,8,0.1702,47,0.218035,0.479815
b5r,medium,mvns,ZDT4,15,3,0.2,15,55.5842,0.0
c311,medium,mvns,DTLZ2,87,84,0.9655,87,0.034023,0.696625
c311,medium,mvns,MMF16_20,100,98,0.98,100,0.02603,0.732598
c311,medium,mvns,WFG9,1,1,1.0,1,0.388013,0.077561
c311,medium,mvns,ZDT1,50,50,1.0,50,0.009432,0.859051
c311,medium,mvns,ZDT4,27,3,0.1111,27,138.394935,0.0
e103,medium,mvns,DTLZ2,100,22,0.22,100,0.478828,0.017736
e103,medium,mvns,MMF16_20,100,99,0.99,100,0.501822,0.040537
e103,medium,mvns,WFG9,100,19,0.19,100,0.146612,0.197088
e103,medium,mvns,ZDT1,100,94,0.94,99,0.003079,0.869074
e103,medium,mvns,ZDT4,100,4,0.04,92,118.470346,0.0
moead_media,medium,mvns,DTLZ2,105,4,0.0381,1,2.427208,0.0
moead_media,medium,mvns,MMF16_20,105,6,0.0571,97,0.427483,0.044814
moead_media,medium,mvns,WFG9,50,50,1.0,1,0.38801,0.077564
moead_media,medium,mvns,ZDT1,50,22,0.44,50,0.415121,0.300213
moead_media,medium,mvns,ZDT4,50,50,1.0,2,144.51161,0.0
c311,big,lhs,DTLZ2,105,101,0.9619,105,0.025474,0.738958
c311,big,lhs,MMF16_20,105,100,0.9524,105,0.025123,0.740324
c311,big,lhs,WFG9,50,49,0.98,50,0.23244,0.210322
c311,big,lhs,ZDT1,50,28,0.56,50,0.217444,0.594607
c311,big,lhs,ZDT4,50,4,0.08,50,67.392698,0.0
treed_media,big,lhs,DTLZ2,105,61,0.581,105,0.135395,0.430553
treed_media,big,lhs,MMF16_20,105,79,0.7524,105,0.039227,0.700019
treed_media,big,lhs,WFG9,46,16,0.3478,46,0.340881,0.02516
treed_media,big,lhs,ZDT1,50,11,0.22,50,2.352774,0.0
treed_media,big,lhs,ZDT4,36,7,0.1944,36,62.24888,0.0
c311,big,mvns,DTLZ2,105,95,0.9048,105,0.030154,0.729311
c311,big,mvns,WFG9,50,1,0.02,50,0.388405,0.077138
c311,big,mvns,ZDT1,49,32,0.6531,49,0.044505,0.793393
c311,big,mvns,ZDT4,50,7,0.14,50,75.415562,0.0
treed_media,big,mvns,DTLZ2,102,37,0.3627,102,0.384245,0.068487
treed_media,big,mvns,MMF16_20,102,69,0.6765,102,0.051502,0.676314
treed_media,big,mvns,WFG9,47,11,0.234,47,0.291531,0.039033
treed_media,big,mvns,ZDT1,48,10,0.2083,48,1.931461,0.0
treed_media,big,mvns,ZDT4,37,8,0.2162,37,107.511319,0.0
