exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan
main,b3,MMF16_20,68,GP-DACE,553,0,0.266343,0.885205,0.9225,2000,0
main,b3,MMF16_20,68,GP-DACE,553,1,0.012116,0.99958,0.9965,2000,0
main,b3,MMF16_20,68,GP-DACE,553,2,0.00208,0.999957,0.998,2000,0
main,b3,MMF16_20,70,GP-DACE,563,0,0.268856,0.885632,0.9135,2000,0
main,b3,MMF16_20,70,GP-DACE,563,1,0.012682,0.999559,0.997,2000,0
main,b3,MMF16_20,70,GP-DACE,563,2,0.002095,0.999958,0.9975,2000,0
main,b3,MMF16_20,72,GP-DACE,573,0,0.264828,0.887815,0.919,2000,0
main,b3,MMF16_20,72,GP-DACE,573,1,0.012928,0.999551,0.9945,2000,0
main,b3,MMF16_20,72,GP-DACE,573,2,0.002077,0.999961,0.9985,2000,0
main,b3,MMF16_20,74,GP-DACE,583,0,0.262591,0.889893,0.918,2000,0
main,b3,MMF16_20,74,GP-DACE,583,1,0.013614,0.99948,0.9835,2000,0
main,b3,MMF16_20,74,GP-DACE,583,2,0.002139,0.99996,0.999,2000,0
main,b3,MMF16_20,76,GP-DACE,593,0,0.260758,0.889354,0.938,2000,0
main,b3,MMF16_20,76,GP-DACE,593,1,0.013685,0.999451,0.98,2000,0
main,b3,MMF16_20,76,GP-DACE,593,2,0.002724,0.999911,0.979,2000,0
main,b3,MMF16_20,78,GP-DACE,603,0,0.264473,0.88586,0.92,2000,0
main,b3,MMF16_20,78,GP-DACE,603,1,0.014898,0.999384,0.9715,2000,0
main,b3,MMF16_20,78,GP-DACE,603,2,0.002734,0.99991,0.98,2000,0
main,b3,MMF16_20,80,GP-DACE,613,0,0.26681,0.882689,0.9065,2000,0
main,b3,MMF16_20,80,GP-DACE,613,1,0.015675,0.999304,0.966,2000,0
main,b3,MMF16_20,80,GP-DACE,613,2,0.002681,0.999912,0.9805,2000,0
main,b3,ZDT1,1,GP-DACE,328,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,1,GP-DACE,328,1,0.023015,0.985128,0.956,2000,0
main,b3,ZDT1,2,GP-DACE,333,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,2,GP-DACE,333,1,0.023061,0.984941,0.956,2000,0
main,b3,ZDT1,4,GP-DACE,343,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,4,GP-DACE,343,1,0.009256,0.996504,0.9625,2000,0
main,b3,ZDT1,6,GP-DACE,353,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,6,GP-DACE,353,1,0.008184,0.997426,0.9595,2000,0
main,b3,ZDT1,8,GP-DACE,363,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,8,GP-DACE,363,1,0.007163,0.998119,0.9715,2000,0
main,b3,ZDT1,10,GP-DACE,373,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,10,GP-DACE,373,1,0.005901,0.998539,0.976,2000,0
main,b3,ZDT1,12,GP-DACE,383,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,12,GP-DACE,383,1,0.006116,0.998541,0.9695,2000,0
main,b3,ZDT1,14,GP-DACE,392,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,14,GP-DACE,392,1,0.005848,0.998734,0.9715,2000,0
main,b3,ZDT1,16,GP-DACE,402,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,16,GP-DACE,402,1,0.005673,0.99884,0.968,2000,0
main,b3,ZDT1,18,GP-DACE,412,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,18,GP-DACE,412,1,0.005452,0.998913,0.976,2000,0
main,b3,ZDT1,20,GP-DACE,422,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,20,GP-DACE,422,1,0.005055,0.999102,0.975,2000,0
main,b3,ZDT1,22,GP-DACE,432,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,22,GP-DACE,432,1,0.005174,0.999095,0.9715,2000,0
main,b3,ZDT1,24,GP-DACE,442,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,24,GP-DACE,442,1,0.005197,0.999092,0.9705,2000,0
main,b3,ZDT1,26,GP-DACE,452,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,26,GP-DACE,452,1,0.005018,0.999155,0.9625,2000,0
main,b3,ZDT1,28,GP-DACE,462,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,28,GP-DACE,462,1,0.005494,0.999058,0.9565,2000,0
main,b3,ZDT1,30,GP-DACE,472,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,30,GP-DACE,472,1,0.005123,0.999116,0.9555,2000,0
main,b3,ZDT1,32,GP-DACE,482,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,32,GP-DACE,482,1,0.005232,0.999091,0.956,2000,0
main,b3,ZDT1,34,GP-DACE,492,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,34,GP-DACE,492,1,0.005245,0.999092,0.9585,2000,0
main,b3,ZDT1,36,GP-DACE,502,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,36,GP-DACE,502,1,0.005201,0.999138,0.9575,2000,0
main,b3,ZDT1,38,GP-DACE,512,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,38,GP-DACE,512,1,0.004862,0.99922,0.961,2000,0
main,b3,ZDT1,40,GP-DACE,522,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,40,GP-DACE,522,1,0.005227,0.999063,0.9505,2000,0
main,b3,ZDT1,42,GP-DACE,532,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,42,GP-DACE,532,1,0.004903,0.999165,0.959,2000,0
main,b3,ZDT1,44,GP-DACE,542,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,44,GP-DACE,542,1,0.004714,0.999229,0.9625,2000,0
main,b3,ZDT1,46,GP-DACE,552,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,46,GP-DACE,552,1,0.005124,0.999105,0.9555,2000,0
main,b3,ZDT1,48,GP-DACE,562,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,48,GP-DACE,562,1,0.004911,0.999194,0.9605,2000,0
main,b3,ZDT1,50,GP-DACE,572,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,50,GP-DACE,572,1,0.004787,0.999175,0.959,2000,0
main,b3,ZDT1,52,GP-DACE,582,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,52,GP-DACE,582,1,0.005012,0.99909,0.9555,2000,0
main,b3,ZDT1,54,GP-DACE,592,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,54,GP-DACE,592,1,0.005277,0.999068,0.957,2000,0
main,b3,ZDT1,56,GP-DACE,602,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,56,GP-DACE,602,1,0.005126,0.999093,0.9615,2000,0
main,b3,ZDT1,58,GP-DACE,612,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,58,GP-DACE,612,1,0.004863,0.99918,0.9635,2000,0
main,b3,ZDT1,60,GP-DACE,622,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,60,GP-DACE,622,1,0.005,0.999143,0.96,2000,0
main,b3,ZDT1,62,GP-DACE,632,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,62,GP-DACE,632,1,0.005365,0.999061,0.9645,2000,0
main,b3,ZDT1,64,GP-DACE,642,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,64,GP-DACE,642,1,0.005875,0.998952,0.9645,2000,0
main,b3,ZDT1,66,GP-DACE,652,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,66,GP-DACE,652,1,0.005521,0.998983,0.9495,2000,0
main,b3,ZDT1,68,GP-DACE,662,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,68,GP-DACE,662,1,0.005087,0.999151,0.96,2000,0
main,b3,ZDT1,70,GP-DACE,672,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,70,GP-DACE,672,1,0.004983,0.99916,0.964,2000,0
main,b3,ZDT1,72,GP-DACE,682,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,72,GP-DACE,682,1,0.005354,0.99905,0.9595,2000,0
main,b3,ZDT1,74,GP-DACE,692,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,74,GP-DACE,692,1,0.005079,0.999194,0.9655,2000,0
main,b3,ZDT1,76,GP-DACE,702,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,76,GP-DACE,702,1,0.005109,0.999164,0.9665,2000,0
main,b3,ZDT1,78,GP-DACE,712,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,78,GP-DACE,712,1,0.00497,0.999152,0.964,2000,0
main,b3,ZDT1,80,GP-DACE,722,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,80,GP-DACE,722,1,0.005018,0.999153,0.968,2000,0
main,b3,ZDT1,82,GP-DACE,732,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,82,GP-DACE,732,1,0.005122,0.999149,0.962,2000,0
main,b3,ZDT1,84,GP-DACE,742,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,84,GP-DACE,742,1,0.004897,0.999233,0.966,2000,0
main,b3,ZDT1,86,GP-DACE,752,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,86,GP-DACE,752,1,0.004769,0.99929,0.9715,2000,0
main,b3,ZDT1,88,GP-DACE,762,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,88,GP-DACE,762,1,0.004732,0.999318,0.973,2000,0
main,b3,ZDT1,90,GP-DACE,772,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,90,GP-DACE,772,1,0.005401,0.999096,0.9515,2000,0
main,b3,ZDT1,92,GP-DACE,782,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,92,GP-DACE,782,1,0.005445,0.999025,0.947,2000,0
main,b3,ZDT1,94,GP-DACE,792,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,94,GP-DACE,792,1,0.005701,0.998964,0.956,2000,0
main,b3,ZDT1,96,GP-DACE,802,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,96,GP-DACE,802,1,0.006139,0.998829,0.954,2000,0
main,b3,ZDT1,98,GP-DACE,812,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,98,GP-DACE,812,1,0.005448,0.999093,0.962,2000,0
main,b3,ZDT1,100,GP-DACE,822,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,100,GP-DACE,822,1,0.005506,0.999102,0.9565,2000,0
main,b3,ZDT1,102,GP-DACE,832,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,102,GP-DACE,832,1,0.005157,0.999209,0.9685,2000,0
main,b3,ZDT1,104,GP-DACE,842,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,104,GP-DACE,842,1,0.005469,0.999137,0.963,2000,0
main,b3,ZDT1,106,GP-DACE,852,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,106,GP-DACE,852,1,0.005413,0.999163,0.9685,2000,0
main,b3,ZDT1,108,GP-DACE,862,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,108,GP-DACE,862,1,0.005298,0.999194,0.9735,2000,0
main,b3,ZDT1,110,GP-DACE,872,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,110,GP-DACE,872,1,0.005445,0.999158,0.9755,2000,0
main,b3,ZDT1,112,GP-DACE,882,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,112,GP-DACE,882,1,0.005062,0.999263,0.9745,2000,0
main,b3,ZDT1,114,GP-DACE,892,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,114,GP-DACE,892,1,0.005409,0.999178,0.9705,2000,0
main,b3,ZDT1,116,GP-DACE,902,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,116,GP-DACE,902,1,0.005499,0.999176,0.976,2000,0
main,b3,ZDT1,118,GP-DACE,912,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,118,GP-DACE,912,1,0.00512,0.999271,0.982,2000,0
main,b3,ZDT1,120,GP-DACE,922,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,120,GP-DACE,922,1,0.005123,0.999199,0.974,2000,0
main,b3,ZDT1,121,GP-DACE,927,0,0.0,1.0,0.0615,2000,0
main,b3,ZDT1,121,GP-DACE,927,1,0.004958,0.999249,0.9775,2000,0
main,b3,ZDT3,1,GP-DACE,328,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,1,GP-DACE,328,1,0.092131,0.812339,0.9485,2000,0
main,b3,ZDT3,2,GP-DACE,333,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,2,GP-DACE,333,1,0.092328,0.811206,0.949,2000,0
main,b3,ZDT3,4,GP-DACE,341,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,4,GP-DACE,341,1,0.092304,0.810982,0.9475,2000,0
main,b3,ZDT3,6,GP-DACE,351,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,6,GP-DACE,351,1,0.091488,0.814083,0.943,2000,0
main,b3,ZDT3,8,GP-DACE,361,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,8,GP-DACE,361,1,0.090946,0.815928,0.949,2000,0
main,b3,ZDT3,10,GP-DACE,371,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,10,GP-DACE,371,1,0.091448,0.814826,0.9605,2000,0
main,b3,ZDT3,12,GP-DACE,381,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,12,GP-DACE,381,1,0.091303,0.815519,0.956,2000,0
main,b3,ZDT3,14,GP-DACE,391,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,14,GP-DACE,391,1,0.090305,0.817087,0.95,2000,0
main,b3,ZDT3,16,GP-DACE,401,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,16,GP-DACE,401,1,0.083222,0.838923,0.9335,2000,0
main,b3,ZDT3,18,GP-DACE,411,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,18,GP-DACE,411,1,0.055142,0.923847,0.948,2000,0
main,b3,ZDT3,20,GP-DACE,421,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,20,GP-DACE,421,1,0.033783,0.967638,0.965,2000,0
main,b3,ZDT3,22,GP-DACE,431,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,22,GP-DACE,431,1,0.022962,0.984069,0.966,2000,0
main,b3,ZDT3,24,GP-DACE,441,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,24,GP-DACE,441,1,0.017268,0.991382,0.969,2000,0
main,b3,ZDT3,26,GP-DACE,451,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,26,GP-DACE,451,1,0.015232,0.993745,0.959,2000,0
main,b3,ZDT3,28,GP-DACE,461,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,28,GP-DACE,461,1,0.012328,0.996195,0.971,2000,0
main,b3,ZDT3,30,GP-DACE,471,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,30,GP-DACE,471,1,0.009846,0.997611,0.979,2000,0
main,b3,ZDT3,32,GP-DACE,480,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,32,GP-DACE,480,1,0.009377,0.997879,0.9615,2000,0
main,b3,ZDT3,34,GP-DACE,489,0,0.0,1.0,0.0635,2000,0
main,b3,ZDT3,34,GP-DACE,489,1,0.00877,0.998173,0.9665,2000,0
main,b3,ZDT3,36,GP-DACE,499,0,0.0,1.0,0.0635,2000,0
