problema,D,M,n_ger,C1_ok,C1_tot,C1_mismatch,C1_n_mismatch,C2_pares,C2_iguais,C2_ch,C2_identidade,C3_sum_ger,C3_sum_fit,C3_sum_busca,C3_sum_sonda,C3_man_total,C3_man_fit,C3_man_busca,C3_man_sonda,C3_man_aval,C3_man_desp,C3_fit_bate,C3_busca_bate,C3_sonda_bate,C3_ger_menos_fb,C3_sobra_total,C3_sobra_pct,C4_dec,C4_rec,C4_hs,C4_fecha,C4_iters_com_warn,C5_n_ger_pop,C5_igual_ng_mais1,C5_passos_1,C5_passos_0,C5_passos_outros,C5_esperado_0,C5_g0,C5_glast,C6_sinal_corr,C6_mu_medio,C6_f_medio,C6_sigma_med,C6_sigma_ini,C6_sigma_fim
DTLZ4,12,3,241,240,241,"[[23, 1, 0]]",1,240,0,0,True,8984.78125,309.8282470703125,8672.3544921875,19.927894592285156,9037.9115,309.8282,8672.3548,19.9279,0.0336,9043.8458,1.5192391305512713e-07,3.5493531602154855e-08,2.713640094945924e-07,2.5986547470092773,33.202355407715004,0.3673675650366238,0,0,0,True,0,242,True,240,1,0,1,131,371,"[-0.16214, 0.85236, 0.7304]","[1.0729, 0.0099, 0.0249]","[1.118, 0.0051, 0.0331]","[0.090607, 0.005762, 0.01159]","[0.05823, 0.120505, 0.038804]","[0.090721, 0.004944, 0.009507]"
MMF1,2,2,41,41,41,[],0,40,0,0,True,55.849830627441406,6.130334377288818,49.45343017578125,1.722571611404419,62.9145,6.1303,49.4534,1.7226,0.0029,66.2329,5.607766148194534e-06,6.101861802823744e-07,1.6480085673379623e-05,0.26605987548828125,5.342097761154172,8.491043815263845,2,2,0,True,1,42,True,40,1,0,1,21,61,"[0.99865, 0.37821]","[0.3176, 0.7313]","[0.3169, 1.9343]","[0.009923, 1.532435]","[0.010909, 1.268232]","[0.021409, 2.323489]"
MMF11_L,2,2,41,41,41,[],0,40,0,0,True,58.02849578857422,5.602351665496826,52.15802001953125,2.020444869995117,65.4333,5.6024,52.158,2.0204,0.0033,68.7698,8.627463796604438e-06,3.8382474881608657e-07,2.2208471152847847e-05,0.2681267261505127,5.384359341430667,8.22877547278017,0,0,0,True,0,42,True,40,1,0,1,21,61,"[1.0, 0.88987]","[0.5758, 3.7577]","[0.5759, 4.2836]","[0.000906, 0.74748]","[0.002764, 0.924345]","[0.000785, 0.877284]"
MMF4,2,2,41,41,41,[],0,40,0,0,True,72.79217529296875,5.795269966125488,66.73123168945312,1.9109985828399658,80.0897,5.7953,66.7312,1.911,0.0039,83.4275,5.182453800810433e-06,4.7488211097384215e-07,7.415803423399591e-07,0.2656710147857666,5.386526124191278,6.725616557673805,1,1,0,True,1,42,True,40,1,0,1,21,61,"[0.99766, 0.57442]","[0.3629, 0.9011]","[0.3614, 0.9852]","[0.012509, 0.317971]","[0.009418, 0.499978]","[0.001219, 0.123588]"
WFG2,22,2,441,441,441,[],0,440,0,0,True,5269.1416015625,1130.058837890625,4134.48193359375,41.04096603393555,5373.3532,1130.0588,4134.4819,41.041,0.2168,5381.4132,3.3529781796061154e-08,8.12526237722203e-09,8.276129833566865e-07,4.601047515869141,63.170632403564014,1.1756277700777984,0,0,0,True,0,442,True,440,1,0,1,241,681,"[0.99711, 0.98709]","[0.7727, 2.4484]","[0.7862, 2.4777]","[0.029666, 0.119851]","[0.068603, 0.828195]","[0.045694, 0.123018]"
WFG4,22,2,441,441,441,[],0,440,0,0,True,9641.5302734375,995.2537231445312,8641.818359375,39.84872055053711,9743.2139,995.2537,8641.8188,39.8487,0.1073,9751.2645,2.3254906029770388e-08,5.098753043753841e-08,5.157141163570423e-07,4.4574174880981445,61.83490601196354,0.6346458842699074,0,0,0,True,0,442,True,440,1,0,1,241,681,"[0.96043, 0.96785]","[1.2339, 3.4421]","[1.3351, 3.4899]","[0.178798, 0.309305]","[0.201143, 0.345245]","[0.212039, 0.346069]"
WFG5,22,2,441,441,441,[],0,440,0,0,True,12695.43359375,1412.8438720703125,11278.08984375,38.55683898925781,12795.071,1412.8439,11278.0902,38.5568,0.1071,12803.2508,1.976841714504607e-08,3.158779493979064e-08,1.011216122963364e-06,4.499997138977051,61.0805672607421,0.47737575868662313,0,0,0,True,0,442,True,440,1,0,1,241,681,"[0.85895, 0.97871]","[0.3048, 3.9841]","[0.2439, 3.9912]","[0.10965, 0.171957]","[0.175561, 0.357846]","[0.063478, 0.060564]"
WFG9,22,2,441,441,441,[],0,440,0,0,True,5607.51171875,1413.1221923828125,4189.4423828125,39.903526306152344,5708.5683,1413.1222,4189.4422,39.9035,1.0888,5716.5605,5.390324715538741e-09,4.36364773306052e-08,6.592442352843729e-07,4.947180271148682,61.153054943847565,1.071250298325196,0,0,0,True,0,442,True,440,1,0,1,241,681,"[0.59832, 0.59127]","[0.6055, 3.696]","[0.5466, 4.1194]","[0.390701, 0.745856]","[0.499744, 0.997418]","[0.256577, 0.429434]"
ZDT1,30,2,640,640,640,[],0,639,39,39,True,31729.328125,3330.73974609375,28391.15234375,80.16470336914062,31899.5191,3330.7398,28391.1542,80.1647,0.0577,31909.9602,1.618446743631111e-08,6.538127995006461e-08,4.2027733262972246e-08,7.436552047729492,90.02627163086072,0.28221827215840606,67,67,0,True,60,641,True,600,40,0,40,329,929,"[0.99998, 0.99692]","[0.5294, 0.3955]","[0.5294, 0.3919]","[0.000445, 0.001431]","[0.019811, 0.174288]","[0.000605, 0.00768]"
ZDT4,10,2,201,201,201,[],0,200,0,0,True,609.88623046875,95.66844177246094,512.7434692382812,9.800167083740234,644.4443,95.6684,512.7435,9.8002,0.0201,649.1402,4.366380218762493e-07,5.999436129374193e-08,3.3587334713444037e-06,1.474287986755371,24.757902447509764,3.8417443443149026,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.99997, 0.89364]","[0.1235, 42.3395]","[0.1236, 51.2283]","[0.000367, 3.002273]","[0.005482, 20.581463]","[0.000125, 0.014408]"
ZDT6,10,2,202,202,202,[],0,201,1,1,True,1513.59521484375,107.32818603515625,1404.7242431640625,9.862497329711914,1548.1893,107.3282,1404.7242,9.8625,0.0233,1552.6075,1.3011346268160945e-07,3.072778442211862e-08,2.7075164376659493e-07,1.5428438186645508,24.73158782653809,1.597452445029693,5,5,0,True,5,203,True,200,2,0,2,109,309,"[0.99758, 0.97436]","[0.4433, 4.5257]","[0.4452, 4.6676]","[0.000793, 0.018712]","[0.059031, 0.026283]","[0.000801, 0.238536]"
