problema,D,M,n_ger,n_init,F1_n,F1_ok_bit,F1_delta_max,F1_len10,F2_pos_last,F2_pos_tot,F2_sem_marca,F2_x_maxabs,F2_n,F3_ger,F3_pares,F3_viol_sigma,F3_viol_id,F3_viol_rnd,F4_nch,F4_nch_ok,F4_ch,F4_ch_ok,F4_ch_dist0,F4_fe_final,F4_fe_cresc,F5_sigma_min,F5_sigma_med,F5_sigma_zero,F5_sigma_1ametade,F5_sigma_2ametade,F5_cob_infill,F5_err_med,F5_err_rel_med,F6_ok,F6_n,F6_esp_n,F6_g0,F6_g1,F6_glast,F6_off1,F3b_pares_1e-07,F3b_viol_1e-07,F3b_pares_1e-09,F3b_viol_1e-09,F3b_pares_1e-12,F3b_viol_1e-12
DTLZ4,12,3,241,131,241,241,0.0,241,240,240,1,0.0,240,241,1,0,0,0,240,240,0,0,0,371,1,0.0007788230432197452,0.01716314721852541,0,0.022884251549839973,0.010814741719514132,0.9708333333333333,0.00044944544580619483,0.015126627114344988,242,242,242,131,131,371,True,-1,-1,-1,-1,-1,-1
MMF1,2,2,41,21,41,41,0.0,41,40,40,1,0.0,40,41,203,0,74,165,40,40,0,0,0,61,1,0.001355371787212789,0.26739106327295303,0,0.3067064508795738,0.2638490004464984,0.875,0.030458375811576843,0.06502315628112931,42,42,42,21,21,61,True,-1,-1,-1,-1,-1,-1
MMF11_L,2,2,41,21,41,41,0.0,41,40,40,1,0.0,40,41,238,0,87,192,40,40,0,0,0,61,1,0.0005869546439498663,0.06311002466827631,0,0.06574999634176493,0.0613928601378575,0.8375,0.00468897819519043,0.004318211695824235,42,42,42,21,21,61,True,-1,-1,-1,-1,-1,-1
MMF4,2,2,41,21,41,41,0.0,41,40,40,1,0.0,40,41,169,0,37,130,40,40,0,0,0,61,1,0.001218927907757461,0.07945768721401691,0,0.11217003129422665,0.07799919508397579,0.9,0.0314421821385622,0.04495092016344242,42,42,42,21,21,61,True,-1,-1,-1,-1,-1,-1
WFG2,22,2,441,241,441,441,0.0,441,440,440,1,0.0,440,441,0,0,0,0,440,440,0,0,0,681,1,0.004936634097248316,0.05019964650273323,0,0.05763598531484604,0.046455489471554756,0.9227272727272727,0.032641977071762085,0.02283662178611793,442,442,442,241,241,681,True,-1,-1,-1,-1,-1,-1
WFG4,22,2,441,241,441,441,0.0,441,440,440,1,0.0,440,441,0,0,0,0,440,440,0,0,0,681,1,0.03401456028223038,0.2102581486105919,0,0.20221255719661713,0.21299956738948822,0.9136363636363637,0.1399897336959839,0.06361930655322745,442,442,442,241,241,681,True,-1,-1,-1,-1,-1,-1
WFG5,22,2,441,241,441,441,0.0,441,440,440,1,0.0,440,441,0,0,0,0,440,440,0,0,0,681,1,0.03823612630367279,0.13934139907360077,0,0.18479560315608978,0.10381295531988144,0.9704545454545455,0.015028305351734161,0.016451775049658744,442,442,442,241,241,681,True,-1,-1,-1,-1,-1,-1
WFG9,22,2,441,241,441,441,0.0,441,440,440,1,0.0,440,441,0,0,0,0,440,440,0,0,0,681,1,0.1300516426563263,0.45290708541870117,0,0.45483818650245667,0.445132240653038,0.9090909090909091,0.22863240540027618,0.15373211974055456,442,442,442,241,241,681,True,-1,-1,-1,-1,-1,-1
ZDT1,30,2,640,329,640,640,0.0,640,639,639,1,0.0,639,640,5847,277,2528,3636,600,600,39,39,39,929,1,0.00017291618860326707,0.001050114689860493,0,0.0026946691796183586,0.0007477619219571352,0.9217527386541471,0.00026406673714518547,0.0005178027582615631,641,641,641,329,329,929,True,5763,277,5684,277,5684,277
ZDT4,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,78,0,50,55,200,200,0,0,0,309,1,0.00012511569366324693,0.009231916861608624,0,0.16768099460750818,0.009231916861608624,0.88,0.0016563006793148816,0.0009657659315333476,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
ZDT6,10,2,202,109,202,202,0.0,202,201,201,1,0.0,201,202,46,0,32,39,200,200,1,1,1,309,1,0.0003453725075814873,0.0023131580092012882,0,0.0038403907092288136,0.001695529674179852,0.9104477611940298,0.00039958953857421875,0.0004925207421459989,203,203,203,109,109,309,True,-1,-1,-1,-1,-1,-1
