config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
c122,main,ZDT6,1,2046.2772,1716.7368,238.2491,0.0235,52.5434,0.9810756822193982,1.1484270068590903e-05
c141,main,BBOB_F1,1,29.69015,1.9197570066899061,14.520787119865417,0.10424099999999996,2.3668049999999994,0.6369651256916965,0.0035109623898835125
c141,main,BBOB_F17,1,29.0307,1.9339379901066422,14.285122066736221,0.16502500000000006,2.2709189999999997,0.642595736818019,0.005684499512584955
c141,main,BBOB_F22,1,27.587792,1.9026909982785583,13.186792969703674,0.14146199999999995,2.178098,0.6310415841899284,0.005127702862193537
c141,main,BBOB_F37,1,26.046152,1.6973349917680025,12.423046916723251,0.14033900000000002,2.096662,0.628015336334183,0.005388089572693887
c141,main,BBOB_F49,1,26.782008,1.7551660127937794,12.478943839669228,0.6217749999999999,2.06194,0.6316861996480251,0.023216145704982233
c141,main,BBOB_F5,1,29.287691,2.292297000065446,14.215919017791748,0.11372999999999997,2.351131,0.6478174403662342,0.003883201308017077
c141,main,BBOB_F55,1,29.651213,1.8700639950111508,13.880896002054214,1.0633010000000003,2.267579,0.6435433180108134,0.035860286727561544
c141,main,DTLZ1,1,16.824012,0.8509250013157725,6.59298700094223,0.080666,1.435483,0.5325757614924432,0.004794694630507872
c141,main,DTLZ2,1,44.794593,3.3073870055377483,26.321184903383255,0.12064400000000011,3.540616,0.7431662993102985,0.002693271484797286
c141,main,DTLZ3,1,43.678588,3.279943995177746,26.029046893119812,0.12316100000000002,3.3809160000000005,0.7512392087468021,0.002819711113372072
c141,main,DTLZ4,1,42.716535,3.223068993538618,24.86477693915367,0.13477700000000004,3.4135660000000003,0.7406075640894629,0.0031551482347526557
c141,main,DTLZ7,1,130.824629,16.579522904008627,87.52861857414246,0.22227300000000005,9.465029999999999,0.8698319677875875,0.001699014946184178
c141,main,MMF1,1,6.969535,0.8695200062356889,0.7444950081408024,0.022504000000000003,0.5334340000000001,0.31134832013563196,0.0032289098196651577
c141,main,MMF11_L,1,7.096098,0.7025229982100427,0.7918369993567467,0.025101,0.588875,0.2971120181213379,0.003537296130915892
c141,main,MMF16_20,1,134.756646,15.960154011845589,90.55452707409859,0.2221339999999998,9.927235999999999,0.8657387561125867,0.0016484084948211002
c141,main,MMF4,1,6.893438,0.7875860224012285,0.7321450151503086,0.022855000000000007,0.47967600000000005,0.2933604447521741,0.00331547190240922
c141,main,WFG1,1,117.872786,16.68555598333478,75.34668606519699,0.34906600000000026,8.332434000000001,0.8544274337295443,0.002961379058267107
c141,main,WFG2,1,136.265342,19.80061897262931,86.3103052675724,0.4367750000000001,9.590508000000002,0.8522945419254274,0.0032053271476763334
c141,main,WFG4,1,119.573641,16.827321976423264,75.6408189535141,0.3002470000000002,8.426195000000002,0.846295070415539,0.002510979823722188
c141,main,WFG5,1,117.853313,16.645814936608076,74.44390198588371,0.2941220000000005,8.328701,0.8460732870741766,0.00249566170447835
c141,main,WFG9,1,128.087974,18.67426599562168,80.15022686123848,1.346938,9.059574999999997,0.8527811194582573,0.010515725699588314
c141,main,ZDT1,1,269.083404,55.7958070486784,165.7233920097351,0.2932170000000001,14.944026000000001,0.8798626691165745,0.001089688162262137
c141,main,ZDT3,1,262.426238,52.0298111140728,166.7533751130104,0.2920900000000004,15.905088999999998,0.895414905986204,0.0011130365706801025
c141,main,ZDT4,1,29.550253,1.8921000082045794,14.61849194765091,0.10230999999999996,2.305452,0.6402095425665386,0.0034622377006382973
c141,main,ZDT6,1,33.245273,2.2345199938863516,16.677422925829887,0.11952400000000006,2.7252300000000007,0.6544297867464117,0.003595217882554313
c149,main,BBOB_F1,1,5016.2402,2928.0092,2038.2747,0.0227,3.295,0.9907024787210151,4.525301639263606e-06
c149,main,BBOB_F17,1,5002.6546,2934.4856,2018.6589,0.0649,3.1837,0.9907526096244983,1.2973112315209609e-05
c149,main,BBOB_F22,1,5003.6667,2938.4937,2015.9925,0.0535,3.1795,0.9908172340895529,1.0692159012110059e-05
c149,main,BBOB_F37,1,4865.0804,2868.8747,1947.7307,0.0575,3.1316,0.990691644068205,1.181892081372386e-05
c149,main,BBOB_F49,1,4845.3023,2843.2164,1953.4015,0.4553,3.1244,0.9906910452212648,9.396730519786144e-05
c149,main,BBOB_F5,1,4884.1052,2886.9653,1949.0794,0.0313,3.1743,0.9908161478585678,6.408543370441735e-06
c149,main,BBOB_F55,1,4808.1432,2814.0155,1945.4796,0.8319,3.1013,0.990700172989856,0.00017301897331177654
c149,main,DTLZ1,1,3004.0348,1530.0655,1437.6986,0.0177,2.3122,0.98870159560069,5.892075551188688e-06
c149,main,DTLZ2,1,6661.651,4119.0817,2486.6836,0.029,3.8972,0.9922002068256053,4.353275186586629e-06
c149,main,DTLZ3,1,6585.7743,4050.5492,2479.7301,0.0333,3.8532,0.9921636397408882,5.056353054795698e-06
c149,main,DTLZ4,1,6508.7698,4009.7409,2442.0075,0.0362,3.8397,0.9918347857378518,5.561726887314405e-06
c149,main,DTLZ7,1,18272.2657,13360.7983,4807.7896,0.048,6.9467,0.9947087514166345,2.6269320284676028e-06
c149,main,MMF1,1,507.723,123.5429,371.0156,0.0039,0.639,0.9753377333703613,7.681353809065179e-06
c149,main,MMF11_L,1,504.2279,122.4965,368.5151,0.0043,0.6331,0.9750531456113398,8.527889868847004e-06
