fonte,geracao,D,M,n_amostra,n_front,nd_weak,nd_std,nd_strict,front_exato,front_bracket,eim_best,eim_rec_max,abs_max,rel_max,eim_rec_infill,rel_infill,argmax_eh_infill,gap_argmax,eim_med_rec,eim_med_log,rel_med,pool_n,pool_med_sobre_max,pool_min_sobre_max,sigma0_muda_argmax,n2_ok,frac_exploracao,min_dist_log,min_dist_rec,pool_coincide_antigo,eim_zero,s_best_min,lam_abs_max,u11_err,u11_otimista,u11_cob,u11_err_modelo,norm_min_ok,norm_max_ok,range_ok
T11_smoke,27,2,2,47,11,11,11,11,True,True,5.01163730307032,5.011637233599518,6.947080244401604e-08,1.3861897468409292e-08,5.011637233599518,1.3861897468409292e-08,True,0.0,5.011637233599518,5.01163730307032,1.3861897468409292e-08,20,1.0,1.0,False,True,0.38769242543049504,0.13659227151221148,0.13659229333796455,0,0,0.9034614562988281,1.2904496788870425,34.70323671627297,2,2,4.195553177713975,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,28,2,2,48,11,11,11,11,True,True,3.310860216447543,3.3108601861179547,3.032958817428266e-08,9.160636871231438e-09,3.3108601861179547,9.160636871231438e-09,True,0.0,3.3108601861179547,3.310860216447543,9.160636871231438e-09,20,1.0,1.0,False,True,0.01335096343393142,0.20223871196795926,0.2022386718305798,0,0,0.15460383892059326,7.285714285809531,27.643879381815907,1,0,3.342090737326925,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,29,2,2,49,11,11,11,11,True,True,3.667482428290027,3.667482519228564,9.093853670094632e-08,2.4795902496892573e-08,3.667482519228564,2.4795902496892573e-08,True,0.0,3.667482519228564,3.667482428290027,2.4795902496892573e-08,20,1.0,1.0,False,True,0.0019542954348048727,0.26610150942059446,0.26610145935624574,0,0,0.10355336219072342,7.78516604844155,30.46937418141491,1,1,3.683687510619058,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,30,2,2,50,12,12,12,12,True,True,18.661858507859712,18.661858832909722,3.250500100193676e-07,1.7417879890283603e-08,18.661858832909722,1.7417879890283603e-08,True,0.0,18.661858832909722,18.661858507859712,1.7417879890283603e-08,20,1.0,1.0,False,True,0.009747017302467001,0.2702271853929887,0.27022717969691196,0,0,0.9329231381416321,3.5319107584416396,155.045900512402,1,0,18.744744932719787,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,31,2,2,51,12,12,12,12,True,True,9.017552562529417,9.017552788220254,2.2569083668599887e-07,2.502794800706909e-08,9.017552788220254,2.502794800706909e-08,True,0.0,9.017500649778867,9.017500426337222,2.477866759814861e-08,20,0.9999942181163104,0.9999942181163104,False,True,0.015082360401529677,0.06911124264274111,0.06911123831979593,0,0,0.479331374168396,3.88980614652992,76.402159253967,1,1,9.236871034910674,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,32,2,2,52,12,12,12,12,True,True,3.1268622925372607,3.1268622019992205,9.053804017611355e-08,2.89549176476996e-08,3.1268622019992205,2.89549176476996e-08,True,0.0,3.1268622019992205,3.1268622925372607,2.89549176476996e-08,20,1.0,1.0,False,True,0.013486282346632987,0.1700170719373415,0.17001708725471276,0,0,0.16124673187732697,7.993182199473361,26.031801036351787,1,0,3.1471936307448085,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,33,2,2,53,12,12,12,12,True,True,1.416741576063719,1.4167415725546992,3.5090197414433533e-09,2.4768241440283195e-09,1.4167415725546992,2.4768241440283195e-09,True,0.0,1.4167415725546992,1.416741576063719,2.4768241440283195e-09,20,1.0,1.0,False,True,0.6339132486469378,0.17373854931669488,0.17373865994375093,0,0,0.2812877297401428,7.910744666814372,7.89405070928981,1,1,1.3982692125534024,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,34,2,2,54,12,12,12,12,True,True,2.114355229909346,2.114355290812779,6.090343296349943e-08,2.8804730681944438e-08,2.114355290812779,2.8804730681944438e-08,True,0.0,2.114355290812779,2.114355229909346,2.8804730681944438e-08,20,1.0,1.0,False,True,0.8356067361447409,0.3397953321051177,0.3397953270486762,0,0,0.6292189955711365,1.2574086287820276,5.496925150876566,1,2,0.6645674572943094,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,35,2,2,55,12,12,12,12,True,True,4.192657394300164,4.192657513886826,1.1958666235045712e-07,2.8522879668878467e-08,4.192657513886826,2.8522879668878467e-08,True,0.0,4.192657513886826,4.192657394300164,2.8522879668878467e-08,20,1.0,1.0,False,True,0.013719483454199054,0.04274807658690098,0.04274809360570637,0,0,0.2648641765117645,7.066659450486752,36.57553263815885,1,0,4.421910078337188,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,36,2,2,56,12,12,12,12,True,True,0.12405828678830409,0.12405828788377765,1.0954735590873454e-09,8.830313455454102e-09,0.12405828788377765,8.830313455454102e-09,True,0.0,0.12405828788377765,0.12405828678830409,8.830313455454102e-09,20,1.0,1.0,False,True,0.5213159256792897,0.07813807550289288,0.0781380314066307,0,0,0.00523004774004221,186.96353336138756,2.0761199038434905,2,1,0.2509988198248174,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,37,2,2,57,12,12,12,12,True,True,1.5747239557911656,1.5747239200611713,3.5729994296573864e-08,2.2689687398971817e-08,1.5747239200611713,2.2689687398971817e-08,True,0.0,1.5747239200611713,1.5747239557911656,2.2689687398971817e-08,20,1.0,1.0,False,True,0.05185688970773192,0.11806434483197381,0.11806438209171699,0,0,0.13239604234695435,4.487278935227106,14.220524671323608,1,0,1.719233510157129,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,38,2,2,58,12,12,12,12,True,True,0.8769052277217808,0.876905211999938,1.5721842827609578e-08,1.7928782188304743e-08,0.876905211999938,1.7928782188304743e-08,True,0.0,0.876905211999938,0.8769052277217808,1.7928782188304743e-08,20,1.0,1.0,False,True,0.0035957490975474945,0.15666140324111885,0.1566614636658473,0,0,0.018524039536714554,38.45550646644437,7.482983211370384,1,0,0.904677977098417,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,39,2,2,59,12,12,12,12,True,True,0.6202367638712432,0.620236763218717,6.525261442291708e-10,1.0520597653005791e-09,0.620236763218717,1.0520597653005791e-09,True,0.0,0.620236763218717,0.6202367638712432,1.0520597653005791e-09,20,1.0,1.0,False,True,0.09099744037402069,0.22887244045862506,0.22887243451232656,0,0,0.0767747312784195,11.10547070094186,8.483496888443376,1,1,1.0256381161053212,3.784164675083484e-08,9.373646807852005e-09,0.0
T11_smoke,40,2,2,60,12,12,12,12,True,True,12.65803993430236,12.65803980566817,1.286341895223586e-07,1.016225183282677e-08,12.65803980566817,1.016225183282677e-08,True,0.0,12.65803980566817,12.65803993430236,1.016225183282677e-08,20,1.0,1.0,False,True,8.416899962933871e-05,0.13826236440427148,0.1382623314857997,0,0,0.043143972754478455,20.817388475558236,105.23097355533373,2,0,12.72221807734111,3.784164675083484e-08,9.373646807852005e-09,0.0
R42,1,2,2,21,7,7,7,7,True,True,0.085323074443593,0.08532307357105107,8.725419275990021e-10,1.0226330137410118e-08,0.08532307357105107,1.0226330137410118e-08,True,0.0,0.08532307357105107,0.085323074443593,1.0226330137410118e-08,20,1.0,1.0,False,True,0.9258771935639077,0.037883970983419696,0.03788395215298935,0,0,0.1909070760011673,2.363406932861105,0.4713748919715869,0,2,0.06344875264273218,1.386580860798942e-08,4.672978251492722e-09,0.0
R42,2,2,2,22,8,8,8,8,True,True,0.3215816784323346,0.321581689871747,1.143941241732449e-08,3.557233880079865e-08,0.321581689871747,3.557233880079865e-08,True,0.0,0.321581689871747,0.3215816784323346,3.557233880079865e-08,20,1.0,1.0,False,True,0.04959652397514111,0.24723712164971412,0.24723712102318685,0,0,0.0026825550012290478,246.47238455731986,5.121877057378176,2,1,0.6894230388912219,1.386580860798942e-08,4.672978251492722e-09,0.0
R42,3,2,2,23,8,8,8,8,True,True,0.09483590669648359,0.09483590672920461,3.272102033768931e-11,3.450277587624158e-10,0.09483590672920461,3.450277587624158e-10,True,0.0,0.09483590672920461,0.09483590669648359,3.450277587624158e-10,20,1.0,1.0,False,True,0.9948180432923766,0.07926719416653577,0.07926718409862543,0,0,0.006721288897097111,93.27597197769308,0.7303173974745325,1,1,0.09830334345818029,1.386580860798942e-08,4.672978251492722e-09,0.0
R42,4,2,2,24,6,6,6,6,True,True,0.09049580364935704,0.09049579986766824,3.7816887954456035e-09,4.178855419747932e-08,0.09049579986766824,4.178855419747932e-08,True,0.0,0.09049579986766824,0.09049580364935704,4.178855419747932e-08,20,1.0,1.0,False,True,1.007582576572462,0.20996292146494006,0.209962908167782,0,0,0.0026457279454916716,258.61246763607295,0.6809650958267215,1,2,0.09166034648711927,1.386580860798942e-08,4.672978251492722e-09,0.0
