problema,alg,n_final,n_nd,fantasia,igd_plus_7,hv_7,igd_plus_7_nd,hv_7_nd
MMF16_20,c311,93,92,0.989247311827957,0.02645161790854685,0.7359053769830957,0.02645161790854685,0.7359053769830957
MMF16_20,b5r,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.11438205277423279,0.47777123451869935
MMF16_20,b5m,105,45,0.42857142857142855,0.07016404498617701,0.5976435097765123,0.07016404498617701,0.5976435097765123
MMF16_20,moead_media,105,65,0.6190476190476191,0.3008439883314093,0.22320648752344352,0.3008439883314093,0.22320648752344352
MMF4,e103,100,71,0.71,0.10999491512959264,0.3869076607382809,0.10999491512959264,0.3869076607382809
MMF4,c311,50,25,0.5,0.06282126523140986,0.4160002070816614,0.06282126523140986,0.4160002070816614
MMF4,b5r,48,33,0.6875,0.027089179784127088,0.48557029151187386,0.027089179784127088,0.48557029151187386
MMF4,b5m,50,32,0.64,0.03258732845114246,0.4687214788670528,0.03258732845114246,0.4687214788670528
MMF4,moead_media,50,13,0.26,0.1443295512985688,0.25330696026491,0.1443295512985688,0.25330696026491
WFG1,e103,100,38,0.38,0.7174542109437405,0.05741068445062671,0.7174542109437405,0.05741068445062671
WFG1,c311,50,22,0.44,0.7210883287869593,0.056979851202812085,0.7210883287869593,0.056979851202812085
WFG1,b5r,46,24,0.5217391304347826,0.6724410990913953,0.08906915235751418,0.6724410990913953,0.08906915235751418
WFG1,b5m,50,24,0.48,0.9769194671211174,0.0,0.9769194671211174,0.0
WFG1,moead_media,50,18,0.36,0.6887101039305114,0.07580469235113929,0.6887101039305114,0.07580469235113929
WFG2,e103,100,12,0.12,0.22507756881624255,0.4412059584679351,0.22507756881624255,0.4412059584679351
WFG2,c311,34,2,0.058823529411764705,0.7371541982406319,0.07739098016162622,0.7371541982406319,0.07739098016162622
WFG2,b5r,42,12,0.2857142857142857,0.29278319328626284,0.27074913005961176,0.29278319328626284,0.27074913005961176
WFG2,b5m,50,14,0.28,0.229956976417573,0.41900404732047614,0.229956976417573,0.41900404732047614
WFG2,moead_media,50,2,0.04,0.5940073833448933,0.0,0.5940073833448933,0.0
WFG4,e103,100,26,0.26,0.11543547198704476,0.21763385686691114,0.11543547198704476,0.21763385686691114
WFG4,c311,50,5,0.1,0.9675342882647918,0.0,0.9675342882647918,0.0
WFG4,b5r,46,18,0.391304347826087,0.1272506756682024,0.17443725912578006,0.1272506756682024,0.17443725912578006
WFG4,b5m,50,21,0.42,0.13604521352414353,0.18919932058988495,0.13604521352414353,0.18919932058988495
WFG4,moead_media,50,15,0.3,0.41189317988775365,0.02948888301540077,0.41189317988775365,0.02948888301540077
WFG5,e103,100,31,0.31,0.1383278281911061,0.24282859538391938,0.1383278281911061,0.24282859538391938
WFG5,c311,50,1,0.02,0.39338062403237456,0.09382859177365721,0.39338062403237456,0.09382859177365721
WFG5,b5r,44,11,0.25,0.3981236002302757,0.07277272090415345,0.3981236002302757,0.07277272090415345
WFG5,b5m,50,21,0.42,0.3176703521194691,0.03913227966117872,0.3176703521194691,0.03913227966117872
WFG5,moead_media,50,15,0.3,0.3005310719031199,0.14738515711578984,0.3005310719031199,0.14738515711578984
WFG9,e103,100,19,0.19,0.28426160538928247,0.04852454001849574,0.28426160538928247,0.04852454001849574
WFG9,c311,50,2,0.04,0.4970372996847357,0.0,0.4970372996847357,0.0
WFG9,b5r,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.3814484131886394,0.025384060795035777
WFG9,b5m,50,19,0.38,0.32324082960034933,0.030569214725756567,0.32324082960034933,0.030569214725756567
WFG9,moead_media,50,1,0.02,0.5270662155329972,0.0,0.5270662155329972,0.0
ZDT1,e103,100,95,0.95,0.0052058683064078945,0.8650145673930815,0.0052058683064078945,0.8650145673930815
ZDT1,c311,50,50,1.0,0.033352713265521416,0.821311390444246,0.033352713265521416,0.821311390444246
ZDT1,b5r,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31492971084996063,0.35501325643722004
ZDT1,b5m,50,13,0.26,1.1364037520830672,0.0,1.1364037520830672,0.0
ZDT1,moead_media,50,23,0.46,0.19782000275993267,0.5398796130980991,0.19782000275993267,0.5398796130980991
ZDT3,e103,100,26,0.26,0.008483288987786617,0.7127045407773699,0.008483288987786617,0.7127045407773699
ZDT3,c311,50,40,0.8,0.12099203356769277,0.511995031867333,0.12099203356769277,0.511995031867333
ZDT3,b5r,45,15,0.3333333333333333,1.3410369490301612,0.0,1.3410369490301612,0.0
ZDT3,b5m,50,12,0.24,1.2962966284320532,0.0,1.2962966284320532,0.0
ZDT3,moead_media,50,15,0.3,0.8470204964830846,0.0017049031889407075,0.8470204964830846,0.0017049031889407075
ZDT4,e103,100,7,0.07,71.04039062238674,0.0,71.04039062238674,0.0
ZDT4,c311,50,49,0.98,184.67447910236896,0.0,184.67447910236896,0.0
