label,exp,problema,D,M,n_dataset,tier,dist,modelo,obj,wape,corr,cobertura95,n_sigma_validas,n,dX_gabarito,sigma_med,sigma_max,mu_min,mu_max,f_min,f_max
MMF11_L,off,MMF11_L,2,2,61,small,lhs,Kriging-DACE,1,0.08302851005296735,0.9797370714418046,0.49995,20000,20000,0.0,0.10700514912605286,1.6542282104492188,-0.11377495527267456,19.528291702270508,0.9519370848651566,19.952442631603038
MMF11_L,off,MMF11_L,2,2,61,small,lhs,RBFN,0,0.000503794755618871,0.9999990199329176,,0,20000,0.0,,,0.10044212639331818,1.0994611978530884,0.10003116205334664,1.0999391036108137
MMF11_L,off,MMF11_L,2,2,61,small,lhs,RBFN,1,0.2053080632624317,0.9286043866084008,,0,20000,0.0,,,1.148612380027771,13.799309730529785,0.9519370848651566,19.952442631603038
MMF16_20,off,MMF16_20,20,3,619,small,lhs,Kriging-DACE,0,0.24546074716116184,0.9078085544377366,0.94175,20000,20000,0.0,0.3218179792165756,0.32720524072647095,-0.8033568263053894,2.9312705993652344,1.2499579564734536e-06,2.9960476379098124
MMF16_20,off,MMF16_20,20,3,619,small,lhs,Kriging-DACE,1,0.24790026654004577,0.9079775666638488,0.95135,20000,20000,0.0,0.33187559247016907,0.3374312222003937,-0.7918923497200012,2.927975654602051,5.75824836223127e-05,2.994481549561811
MMF16_20,off,MMF16_20,20,3,619,small,lhs,Kriging-DACE,2,0.12571926732263078,0.9491135951428035,0.9544,20000,20000,0.0,0.268062487244606,0.2725498676300049,0.06579998135566711,3.2622385025024414,6.847906862721302e-06,2.9999346982543798
MMF16_20,off,MMF16_20,20,3,619,small,lhs,RBFN,0,0.24318004111965916,0.9098750216875507,,0,20000,0.0,,,-0.815253734588623,2.9376065731048584,1.2499579564734536e-06,2.9960476379098124
MMF16_20,off,MMF16_20,20,3,619,small,lhs,RBFN,1,0.2438657463918061,0.9110709590994448,,0,20000,0.0,,,-0.9888919591903687,2.955815076828003,5.75824836223127e-05,2.994481549561811
MMF16_20,off,MMF16_20,20,3,619,small,lhs,RBFN,2,0.12534599959146892,0.9494482993977209,,0,20000,0.0,,,0.008896848186850548,3.2593653202056885,6.847906862721302e-06,2.9999346982543798
MMF4,off,MMF4,2,2,61,small,lhs,Kriging-DACE,0,0.026646628470718862,0.9971876592289182,0.7667,20000,20000,0.0,0.008076583035290241,0.15762464702129364,0.009743637405335903,0.9956679940223694,7.265619933605194e-05,0.9999697953462601
MMF4,off,MMF4,2,2,61,small,lhs,Kriging-DACE,1,0.192917258768552,0.8094058961311016,0.8708,20000,20000,0.0,0.18484579771757126,0.6264271140098572,-0.0027437179815024137,2.674168109893799,0.00036326503706894333,2.9676453689161715
MMF4,off,MMF4,2,2,61,small,lhs,RBFN,0,0.23067181834587827,0.9100167545423117,,0,20000,0.0,,,0.011243622750043869,1.6369099617004395,7.265619933605194e-05,0.9999697953462601
MMF4,off,MMF4,2,2,61,small,lhs,RBFN,1,0.4069612703317369,0.3981892722534343,,0,20000,0.0,,,-0.8023282289505005,2.2434258460998535,0.00036326503706894333,2.9676453689161715
WFG1,off,WFG1,22,2,681,small,lhs,Kriging-DACE,0,0.005281000495161854,0.8672324076223457,0.9607,20000,20000,0.0,0.02236467134207487,0.02268984355032444,2.82525634765625,3.0138907432556152,2.5654674923617873,2.9904039293076257
WFG1,off,WFG1,22,2,681,small,lhs,Kriging-DACE,1,0.014995799558506145,0.5190697575304578,0.9696,20000,20000,0.0,0.025251849554479122,0.02561900019645691,0.9484603404998779,1.0397615432739258,0.9579702788089035,1.610474394322324
