problema,D,M,N,n_init,n_ref_decl,teto_H0,teto_H1,n_blocos,g1,max_ez_g1,med_ez_g1,frac_gt_2N_g1,g1_excede_H0,g1_excede_H1,max_ez_grest,n_blocos_rest_violam_H0,n_blocos_rest,t_sonda_g1,t_sonda_g2,t_sonda_med_rest,razao_t_g1_med,razao_t_g1_g2,razao_prevista_H1
MMF1,2,4,11,21,11,22,42,21,1,21.436803817749023,5.950772523880005,0.0,False,False,10.655281066894531,0,20,0.9043176174163818,0.3764052391052246,0.3521873950958252,2.567717158560799,2.40251070778422,1.9090909090909092
MMF11_L,2,4,11,21,11,22,42,22,1,16.68975067138672,1.6787657141685486,0.0,False,False,9.35780143737793,0,21,0.8736550807952881,0.39470744132995605,0.35681819915771484,2.448459980061526,2.2134243982113206,1.9090909090909092
MMF16_20,20,5,15,219,15,30,438,201,1,127.25546264648438,17.500130653381348,0.2405,True,False,4.7395806312561035,0,200,12.88671588897705,0.8165552616119385,0.8508610725402832,15.145499429775525,15.781804973661858,14.6
MMF4,2,4,11,21,11,22,42,21,1,16.84014320373535,5.586338758468628,0.0,False,False,7.087203502655029,0,20,0.8628554344177246,0.351334810256958,0.3564136028289795,2.420938560057582,2.455934935074189,1.9090909090909092
WFG1,22,4,11,241,11,22,482,221,1,342.2489929199219,128.82662200927734,0.916,True,False,6.912459373474121,0,220,14.862064361572266,0.6252026557922363,0.6558541059494019,22.66062562810097,23.77159505622948,21.90909090909091
WFG2,22,4,11,241,11,22,482,221,1,254.91758728027344,71.90398788452148,0.856,True,False,8.397141456604004,0,220,15.330159187316895,0.6443917751312256,0.650215744972229,23.577034708643748,23.79012237422649,21.90909090909091
WFG4,22,4,11,241,11,22,482,221,1,140.32974243164062,35.91748809814453,0.736,True,False,10.915270805358887,0,220,14.869283676147461,0.6316807270050049,0.6534456014633179,22.755197437781163,23.539239113163017,21.90909090909091
WFG5,22,4,11,241,11,22,482,221,1,135.21153259277344,26.65186882019043,0.5865,True,False,5.98976469039917,0,220,14.979218482971191,0.6308155059814453,0.6521015167236328,22.97068492990415,23.745799430954044,21.90909090909091
WFG9,22,4,11,241,11,22,482,221,1,224.4087677001953,29.674508094787598,0.6285,True,False,13.9996919631958,0,220,14.957968711853027,0.635810136795044,0.6528459787368774,22.911941252657506,23.525841829531558,21.90909090909091
ZDT1,30,4,11,329,11,22,658,301,1,369.3875427246094,80.02254867553711,0.892,True,False,5.999987602233887,0,300,25.403953552246094,0.7872869968414307,0.804712176322937,31.568993610022495,32.26771641620643,29.90909090909091
ZDT3,30,4,11,329,11,22,658,301,1,289.1500549316406,77.67011642456055,0.9,True,False,4.0,0,300,24.16090202331543,0.7720270156860352,0.7658555507659912,31.547596670351542,31.295410047076757,29.90909090909091
ZDT4,10,4,11,109,11,22,218,102,1,108.94477844238281,23.64069652557373,0.5185,True,False,11.0,0,101,2.709380865097046,0.2435314655303955,0.23990678787231445,11.293473140656024,11.12538315817298,9.909090909090908
ZDT6,10,4,11,109,11,22,218,101,1,209.65866088867188,66.8794059753418,0.8255,True,False,14.955448150634766,0,100,5.375698566436768,0.45990872383117676,0.4710291624069214,11.412666126588379,11.688620562914302,9.909090909090908
