problema,D,M,geracao,count,regime,desal,N,aceito,slot,n_cand,flag_copia,frac_n1,fbest_rel_max
BBOB_F22,10,2,194,51,produtivo,28,,1,0,1,False,0.68,
BBOB_F22,10,2,198,4,produtivo,5,,1,0,1,False,0.95,
BBOB_F22,10,2,202,51,produtivo,20,,1,0,1,False,0.8,
BBOB_F22,10,2,206,51,produtivo,28,,1,0,1,False,0.66,
BBOB_F22,10,2,210,29,produtivo,7,,1,0,1,False,0.92,
BBOB_F22,10,2,214,51,produtivo,22,,1,0,1,False,0.72,
BBOB_F22,10,2,218,51,produtivo,23,,1,0,1,False,0.72,
BBOB_F22,10,2,222,51,produtivo,17,,1,0,1,False,0.78,
BBOB_F22,10,2,226,3,produtivo,9,,1,0,1,False,0.9,
BBOB_F22,10,2,230,51,produtivo,12,,1,0,1,False,0.84,
BBOB_F22,10,2,234,51,produtivo,31,,1,0,1,False,0.66,
BBOB_F22,10,2,238,51,produtivo,20,,1,0,1,False,0.72,
BBOB_F22,10,2,242,51,produtivo,28,,1,0,1,False,0.69,
BBOB_F22,10,2,246,51,produtivo,25,,1,0,1,False,0.73,
BBOB_F22,10,2,250,51,produtivo,26,,1,0,1,False,0.67,
BBOB_F22,10,2,254,51,produtivo,29,,1,0,1,False,0.66,
BBOB_F22,10,2,258,51,produtivo,18,,1,0,1,False,0.75,
BBOB_F22,10,2,262,51,produtivo,21,,1,0,1,False,0.78,
BBOB_F22,10,2,266,51,produtivo,28,,1,0,1,False,0.67,
BBOB_F22,10,2,270,51,produtivo,21,,1,0,1,False,0.75,
BBOB_F22,10,2,274,51,produtivo,23,,1,0,1,False,0.72,
BBOB_F22,10,2,278,51,produtivo,17,,1,0,1,False,0.71,
BBOB_F22,10,2,282,51,produtivo,32,,1,0,1,False,0.64,5.705971509740362e-08
BBOB_F37,10,2,2,0,no-op,90,,0,1,1,True,0.99,
BBOB_F37,10,2,6,0,no-op,88,,0,1,1,True,0.98,
BBOB_F37,10,2,10,0,no-op,90,,0,1,1,True,1.0,
BBOB_F37,10,2,14,0,no-op,90,,0,1,1,True,1.0,
BBOB_F37,10,2,18,0,no-op,90,,0,1,1,True,0.99,
BBOB_F37,10,2,22,0,no-op,90,,0,1,1,True,1.0,
BBOB_F37,10,2,26,0,no-op,90,,0,1,1,True,1.0,
BBOB_F37,10,2,30,0,no-op,91,,0,1,1,True,0.98,
BBOB_F37,10,2,34,0,no-op,90,,0,1,1,True,0.98,
BBOB_F37,10,2,38,0,no-op,90,,0,1,1,True,0.96,
BBOB_F37,10,2,42,0,no-op,90,,0,1,1,True,0.99,
BBOB_F37,10,2,46,0,no-op,90,,0,1,1,True,0.94,
BBOB_F37,10,2,50,0,no-op,90,,0,1,1,True,1.0,
BBOB_F37,10,2,54,0,no-op,89,,0,1,1,True,0.93,
BBOB_F37,10,2,58,0,no-op,91,,0,1,1,True,0.99,
BBOB_F37,10,2,62,0,no-op,90,,0,1,1,True,0.94,
BBOB_F37,10,2,66,0,no-op,88,,0,1,1,True,0.95,
BBOB_F37,10,2,70,0,no-op,89,,0,1,1,True,0.99,
BBOB_F37,10,2,74,0,no-op,88,,0,1,1,True,0.94,
BBOB_F37,10,2,78,0,no-op,90,,0,1,1,True,0.94,
BBOB_F37,10,2,82,51,produtivo,17,,1,0,1,False,0.82,
BBOB_F37,10,2,86,51,produtivo,16,,1,0,1,False,0.82,
BBOB_F37,10,2,90,40,produtivo,7,,1,0,1,False,0.9,
BBOB_F37,10,2,94,0,no-op,89,,0,1,1,True,0.94,
BBOB_F37,10,2,98,51,produtivo,21,,1,0,1,False,0.77,
BBOB_F37,10,2,102,51,produtivo,20,,1,0,1,False,0.73,
BBOB_F37,10,2,106,0,no-op,88,,0,1,1,True,0.9,
BBOB_F37,10,2,110,51,produtivo,20,,1,0,1,False,0.77,
BBOB_F37,10,2,114,51,produtivo,27,,1,0,1,False,0.72,
BBOB_F37,10,2,118,51,produtivo,21,,1,0,1,False,0.75,
BBOB_F37,10,2,122,51,produtivo,25,,1,0,1,False,0.7,
BBOB_F37,10,2,126,51,produtivo,15,,1,0,1,False,0.84,
BBOB_F37,10,2,130,51,produtivo,18,,1,0,1,False,0.78,
BBOB_F37,10,2,134,51,produtivo,19,,1,0,1,False,0.79,
BBOB_F37,10,2,138,51,produtivo,15,,1,0,1,False,0.79,
BBOB_F37,10,2,142,51,produtivo,16,,1,0,1,False,0.78,
BBOB_F37,10,2,146,51,produtivo,34,,1,0,1,False,0.6,
BBOB_F37,10,2,150,51,produtivo,18,,1,0,1,False,0.8,
BBOB_F37,10,2,154,51,produtivo,25,,1,0,1,False,0.71,
BBOB_F37,10,2,158,42,produtivo,8,,1,0,1,False,0.91,
BBOB_F37,10,2,162,51,produtivo,18,,1,0,1,False,0.8,
