ts,rec,geracao,fe,aceitos,rejeitados,dist_ext,f_ext,spr,n_treino,tempo_fit_s,tempo_busca_s,f_best,n_front1,fe_treino_max,tempo_geracao_s,tempo_pred_sonda_s,dist_min_arquivo,modelo_hp,problema,D,M
2026-07-26T12:51:41Z,e74_boot,1,134,3,0,"[0.8562902695518507, 0.6930439877626345, 0.6928560147064557]","[0.30398853627767153, -1.4452649196939285, -0.5075998965110688]",1.2680436345398909,131,0.8905930000000001,2.597613,"[0.37645495919276134, 1.0625454626971548e-265, 1.0166344593499458e-220]",23,130,3.901964,0.208804,"[0.8562902695518507, 0.6930439877626345, 0.6928560147064557]","{'tipo': 'newrbe', 'spread': 1.2680436345398909, 'n_neuronios': 131, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.8905930000000001}",DTLZ4,12,3
2026-07-26T13:05:10Z,e74_boot,1,244,3,0,"[1.2093197976776373, 1.2035087026425944, 1.2821469336394542]","[-0.07773742323369348, -0.08341117011499732, 10.541182473820392]",1.930903706187884,241,0.8957970000000001,3.3311859999999998,"[0.0032673418859691284, 0.0021811840926645484, 13.353578590765364]",21,240,4.671625,0.239158,"[1.2093197976776373, 1.2035087026425944, 1.2821469336394542]","{'tipo': 'newrbe', 'spread': 1.930903706187884, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.8957970000000001}",DTLZ7,22,3
2026-07-26T11:30:21Z,e74_boot,1,23,2,0,"[0.19313770945770933, 0.11942672977577332]","[0.000810198391398953, -9.648613128942664]",0.39689509960095926,21,0.793998,0.9580359999999999,"[0.001620903509469418, 0.18268371865167302]",7,20,2.061889,0.139427,"[0.19313770945770933, 0.11942672977577332]","{'tipo': 'newrbe', 'spread': 0.39689509960095926, 'n_neuronios': 21, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.793998}",MMF1,2,2
2026-07-26T11:30:38Z,e74_boot,1,23,2,0,"[0.11774479151796112, 0.11512031571080089]","[0.10441575721605423, 1.2840494533713516]",0.16915939328674723,21,0.779476,1.076015,"[0.13139115401493018, 1.3337828398438043]",9,20,2.226183,0.158385,"[0.11774479151796112, 0.11512031571080089]","{'tipo': 'newrbe', 'spread': 0.16915939328674723, 'n_neuronios': 21, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.779476}",MMF11_L,2,2
2026-07-26T12:55:04Z,e74_boot,1,222,3,0,"[1.2201601441334573, 1.4386837549457527, 1.060098209890059]","[-0.7602589232593533, -1.0112826831596244, -0.3844069891217903]",1.769861045673669,219,0.994463,2.229339,"[0.0014450956544953897, 0.0003419208216847464, 0.001593336000171547]",50,218,3.646542,0.232655,"[1.2201601441334573, 1.4386837549457527, 1.060098209890059]","{'tipo': 'newrbe', 'spread': 1.769861045673669, 'n_neuronios': 219, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.994463}",MMF16_20,20,3
2026-07-26T11:30:55Z,e74_boot,1,23,2,0,"[0.08605974422483814, 0.18155896517447545]","[0.004232158909431627, -1.565674716353711]",0.356063014036707,21,0.8934660000000001,0.97006,"[0.0030425491417300776, 0.07449131539347051]",10,20,2.238511,0.138461,"[0.08605974422483814, 0.18155896517447545]","{'tipo': 'newrbe', 'spread': 0.356063014036707, 'n_neuronios': 21, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8934660000000001}",MMF4,2,2
2026-07-26T13:06:30Z,e74_boot,1,243,2,0,"[31.635954610776828, 27.450849794285705]","[2.7004401849364825, 0.7998963335009337]",55.84825122972427,241,0.786576,1.5224790000000001,"[2.7044715957404684, 0.9698909550519161]",18,240,2.675493,0.178369,"[31.635954610776828, 27.450849794285705]","{'tipo': 'newrbe', 'spread': 55.84825122972427, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.786576}",WFG1,22,2
2026-07-26T13:07:53Z,e74_boot,1,243,2,0,"[27.31789815357268, 30.084837780078693]","[0.037525892632935154, 0.14983558646151351]",56.43594731038976,241,0.817426,1.682954,"[0.45024040727760145, 1.2866005609593174]",8,240,2.918089,0.19394,"[27.31789815357268, 30.084837780078693]","{'tipo': 'newrbe', 'spread': 56.43594731038976, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.817426}",WFG2,22,2
2026-07-26T13:08:12Z,e74_boot,1,243,2,0,"[31.77245686318825, 26.692993115994337]","[-1.4450371311170915, 1.231538210705292]",57.723825078330925,241,0.8068960000000001,1.348314,"[0.5006407475702088, 1.4402742292426507]",30,240,2.558049,0.184161,"[31.77245686318825, 26.692993115994337]","{'tipo': 'newrbe', 'spread': 57.723825078330925, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8068960000000001}",WFG4,22,2
2026-07-26T13:10:25Z,e74_boot,1,243,2,0,"[25.949389661689803, 26.6227077960131]","[-0.5174679405830842, -1.6810884986440073]",58.05676468810418,241,0.8227340000000001,1.856524,"[0.6088704903655404, 0.7888896298752155]",36,240,3.052121,0.185255,"[25.949389661689803, 26.6227077960131]","{'tipo': 'newrbe', 'spread': 58.05676468810418, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8227340000000001}",WFG5,22,2
2026-07-26T13:14:29Z,e74_boot,1,243,2,0,"[29.505916181048118, 25.582000556367856]","[-0.6226774394122572, -7.149239951226818]",56.47537156898065,241,0.880989,1.579619,"[0.6481941246617806, 1.1713277422420774]",15,240,2.920992,0.230018,"[29.505916181048118, 25.582000556367856]","{'tipo': 'newrbe', 'spread': 56.47537156898065, 'n_neuronios': 241, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.880989}",WFG9,22,2
2026-07-26T13:14:58Z,e74_boot,1,331,2,0,"[1.4094238594866197, 1.6792882148361306]","[-0.03277332228674079, 1.856626424593511]",2.3389189081449295,329,0.949971,3.249398,"[0.0013779643801035651, 2.3750707202577215]",14,328,4.643067,0.217376,"[1.4094238594866197, 1.6792882148361306]","{'tipo': 'newrbe', 'spread': 2.3389189081449295, 'n_neuronios': 329, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.949971}",ZDT1,30,2
2026-07-26T13:15:05Z,e74_boot,1,331,2,0,"[1.5544950142861618, 1.643353143316345]","[-0.06679082146924109, 1.2750600195231918]",2.3571723863196445,329,0.8551650000000001,2.2058340000000003,"[0.002072056751649608, 2.1426163630468604]",12,328,3.501226,0.227729,"[1.5544950142861618, 1.643353143316345]","{'tipo': 'newrbe', 'spread': 2.3571723863196445, 'n_neuronios': 329, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8551650000000001}",ZDT3,30,2
2026-07-26T12:29:38Z,e74_boot,1,111,2,0,"[5.733130142556362, 4.777238898300174]","[-0.7647902764935961, 40.49177404161412]",9.838595385311125,109,0.7993920000000001,2.03349,"[0.005529467814050668, 92.25483985617058]",8,108,3.211679,0.176637,"[5.733130142556362, 4.777238898300174]","{'tipo': 'newrbe', 'spread': 9.838595385311125, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.7993920000000001}",ZDT4,10,2
2026-07-26T12:30:14Z,e74_boot,1,111,2,0,"[0.7049253750012227, 0.5966856152475569]","[0.2754193062026382, 6.790092539276091]",1.1021909365565552,109,0.808011,1.5533620000000001,"[0.31188260305119386, 7.487987001374572]",7,108,2.721964,0.155362,"[0.7049253750012227, 0.5966856152475569]","{'tipo': 'newrbe', 'spread': 1.1021909365565552, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.808011}",ZDT6,10,2
