problema,D,M,N,n_ciclos,lote_min,lote_max,lote_med,lote_zero,lote_gt2N,soma_lotes,niv1,niv2,niv3,ramoQU,ramoQU_pct,nfront2_le1,pool_sempre_2N,sub_sempre_N,entrada_2N,sel_eq_lote,hp_const,hp_n_eq_treino,rcond_min,rcond_med,rcond_lt_1e12,rcond_lt_1e15,rcond_zero,s0_int_pct,s0_max,s0_teto,s0_nan,s1_nan,s1_med,s1_max,mu_min,mu_max,f_min,f_max,dist_min_med,dist_min_max,fit2_int_like,corr_fit1_fit3,corr_fit1_fit2,escala_fit1,escala_fit2,escala_fit3,guards,termino,fe_final,maxfe,ultimo_lote
DTLZ4,12,3,100,63,2,8,4.0,0,0,239,0,0,63,63,100.0,0,True,True,True,63,True,63,4.7412644286212414e-08,1.4737714620936766e-07,0,0,0,100.0,398.0,398,0.0,0.0,3.0539470911026,21.38686180114746,-7.921426296234131,12.236454010009766,0.0,3.339914321899414,0.5298818966334324,0.9677301913374953,0.25396825396825395,-0.2868336605401618,0.2500678865027288,0.024153383452972722,1.138328773653801,0.008497455684781312,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,371,371,2
DTLZ7,22,3,100,102,2,8,4.0,0,0,438,0,0,102,102,100.0,0,True,True,True,102,True,102,5.436055380546495e-13,8.883075414155355e-12,39,0,0,100.0,398.0,398,0.0,0.0,1.3073910474777222,195.68661499023438,-1.0967150926589966,22.26995086669922,0.0,25.305496215820312,0.13223446878080836,1.38164362691369,0.3431372549019608,0.2110261561251835,-0.03344618469644723,0.010952333223976738,0.6390191344162437,0.021966447383207646,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,681,681,3
MMF1,2,2,21,12,2,5,3.0,0,0,38,0,0,12,12,100.0,0,True,True,True,12,True,12,5.184974090963287e-17,1.0681451149281682e-08,5,5,0,100.0,82.0,82,0.0,0.0,1.683735728263855,43.75365447998047,-117.0160140991211,84.4677505493164,0.00035038957139477134,7.611906051635742,0.26409657514580687,0.5064995532224928,0.16666666666666666,0.5517273080142457,-0.2994917747076078,0.011853703450989387,-5.22325368122509,0.43199526236221486,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,61,61,3
MMF11_L,2,2,21,12,2,5,3.0,0,0,39,0,0,12,12,100.0,0,True,True,True,12,True,12,3.906240348249952e-17,1.0871314936461306e-16,8,7,0,100.0,82.0,82,0.0,0.0,1.4095399081707,2429.052001953125,-31.716182708740234,30.79789924621582,0.10000000149011612,19.99854278564453,0.10647657569516887,0.3252589274180242,0.3333333333333333,-0.383871307211908,-0.6364904191163423,0.01944539978025709,0.4469798954724822,0.45911917899775356,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,61,61,2
MMF16_20,20,3,100,119,2,9,3.0,0,0,407,0,0,119,119,100.0,0,True,True,True,119,True,111,5.989687579276563e-08,4.325876813357484e-06,0,0,0,100.0,398.0,398,0.0,0.0,0.8523626327514648,5.935068607330322,-0.9917013645172119,3.3231000900268555,0.0,3.0,0.6357143698708123,1.363439649758322,0.25210084033613445,-0.083927496435319,0.016931098920155287,0.04049923507337478,0.3886017770401313,0.028258770760090483,"{""cache_hit"": 9, ""hard_stop"": 1}",normal,619,619,2
MMF4,2,2,21,11,1,8,3.0,0,0,38,0,1,10,10,90.9090909090909,1,True,True,True,10,True,10,4.496348659942893e-12,7.973510490779357e-10,0,0,0,100.0,82.0,82,0.0,0.0,1.036020278930664,24.202648162841797,-6.450465202331543,22.727663040161133,0.003042549127712846,2.7420430183410645,0.24833163199490899,0.46522907262754554,0.2727272727272727,0.3144719011096989,-0.16960809704265625,0.0134979592302754,-0.5244784943717038,0.04322768169942362,"{""cache_hit"": 2, ""hard_stop"": 1}",normal,61,61,4
WFG1,22,2,100,124,1,8,3.0,0,0,445,0,0,124,124,100.0,0,True,True,True,124,True,119,6.311283440931093e-08,3.683808258874241e-07,0,0,0,100.0,398.0,398,0.0,0.0,1.739282637834549,18.661623001098633,-3.2081892490386963,7.15183162689209,0.957344114780426,3.5971643924713135,1.514286495785412,21.660706092148022,0.3387096774193548,-0.01230235633351506,0.13899861732158786,0.0063256936955229685,0.6801939262319934,0.0016724944796126127,"{""cache_hit"": 6}",normal,681,681,1
WFG2,22,2,100,141,1,6,3.0,0,0,439,0,7,134,134,95.0354609929078,7,True,True,True,134,True,141,9.98606711630857e-12,1.980443847773796e-09,0,0,0,100.0,398.0,398,0.0,0.0,0.9054696261882782,41.220130920410156,-0.6050081253051758,8.249628067016602,0.3052668869495392,4.678397178649902,0.8035615232713668,28.446182881439995,0.2978723404255319,0.0038302231675518858,-0.34338869297593816,0.00433708524272558,-1.8138442465395102,0.008931200970069728,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,681,681,2
WFG4,22,2,100,125,1,8,3.0,0,0,445,0,1,124,124,99.2,1,True,True,True,124,True,120,4.117745412409763e-10,6.20850813712109e-08,0,0,0,100.0,398.0,398,0.0,0.0,3.248068332672119,20.64821434020996,-1.829259991645813,4.782009124755859,0.12825725972652435,4.424445629119873,1.4010392998953285,12.922793988870891,0.312,0.0199852038842776,-0.05868503181029019,0.008147589895302676,1.7090582789791569,0.0028062493764634895,"{""cache_hit"": 7, ""hard_stop"": 1}",normal,681,681,2
WFG5,22,2,100,121,2,6,4.0,0,0,444,0,0,121,121,100.0,0,True,True,True,121,True,116,8.881871102011066e-11,2.2662214600089575e-09,0,0,0,100.0,398.0,398,0.0,0.0,1.9742270708084106,16.391416549682617,-4.944794178009033,4.557858467102051,0.13936787843704224,4.563952445983887,1.1011532562286128,45.873628654625975,0.3140495867768595,-0.08854508786412868,-0.03975263033593546,0.007769467372835681,1.6349544472562023,0.005203147907489481,"{""cache_hit"": 6, ""hard_stop"": 1}",normal,681,681,2
WFG9,22,2,100,124,2,8,3.0,0,0,439,0,0,124,124,100.0,0,True,True,True,124,True,124,3.026656435359542e-11,9.805848325258149e-11,0,0,0,100.0,398.0,398,0.0,0.0,9.705219745635986,58.920387268066406,-4.057672500610352,17.41880989074707,0.23633700609207153,4.886136531829834,1.2710518494054437,26.223139135058823,0.31451612903225806,-0.10093778843006994,0.13544529575529893,0.009218896948073652,3.4505660515422285,0.004109617912959877,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,681,681,2
ZDT1,30,2,100,173,1,7,3.0,0,0,600,0,2,171,171,98.84393063583815,2,True,True,True,171,True,172,3.0185959619194466e-14,6.088475338556343e-14,156,0,0,100.0,398.0,398,0.0,0.0,25.226820945739746,153.992431640625,-12.752530097961426,8.568471908569336,0.0,6.057699203491211,0.4869230538738547,1.9270378305641176,0.3583815028901734,-0.038967383877759165,0.04840247167880517,0.003040233198386897,29.11578775903788,-0.037458141488648775,"{""cache_hit"": 2, ""hard_stop"": 1}",normal,929,929,2
ZDT3,30,2,100,181,1,7,3.0,0,0,598,0,1,180,180,99.4475138121547,1,True,True,True,180,True,181,1.9145855042927565e-10,3.9066700043140455e-10,0,0,0,100.0,398.0,398,0.0,0.0,3.0133715867996216,134.26365661621094,-23.086273193359375,8.604361534118652,-0.25424498319625854,5.949428558349609,0.5334028376768976,1.8521147916874703,0.30386740331491713,-0.19947984175671102,-0.12396548560890926,0.007021107497391384,-4.163565780886223,0.03732104520433291,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,929,929,3
ZDT4,10,2,100,57,1,7,3.0,0,0,198,0,1,56,56,98.24561403508771,1,True,True,True,56,True,57,6.059511738048852e-12,1.0609120042765e-10,0,0,0,100.0,398.0,398,0.0,0.0,2.282219409942627,101.82176208496094,-53.355567932128906,274.3105773925781,0.0,242.97540283203125,0.5246657264681626,5.612851077357938,0.3157894736842105,-0.13625110185464595,-0.3871624264021951,0.00633877129257393,-1.0709775073919445,0.01761620317898439,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,309,309,3
ZDT6,10,2,100,64,1,8,3.0,0,0,199,0,4,60,60,93.75,4,True,True,True,60,True,64,3.4346600669141603e-13,7.28614152538089e-13,42,0,0,100.0,398.0,398,0.0,0.0,59.68710231781006,907.1988525390625,-34.554443359375,37.30412292480469,0.01216529868543148,9.195337295532227,0.5509587183883332,1.1964221494161276,0.265625,0.07174494667406797,-0.0840349675383985,0.009866216202753669,-192.22817888135995,1.3641755514685432,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,309,309,2
