problema,D,M,n_gens,ch_total,ch_bloco_seeding,ch_seeding_esperado,ch_seeding_ok,ch_prole,rounds_completos,slots_completos,fe_completos,ch_prole_completos,resto_final,LEDGER_resto_eq_chprole,ch_prole_round_final,slots_round_final,slots_final_le_N,ch_taxa_prole,c0_dup,ch_seeding_sids_unicos,ch_seeding_todos_init,pop_clones_total,pop_gers_com_clone,pop_clone_max,pop_linhas_20,rel_ideal,rel_nadirpop,rel_nadir1,nf1_eq,nf1_n,nf1_dmax,f_zeros_exatos,f_zeros_frac,f_min_abs_naozero,turn_med,turn_min,turn_max,turn_zero,sobrev_doe_final,sobrev_doe_frac,dupX_f32,dmin_rel,n_pares_lt_1e6
DTLZ4,12,3,13,22,21,21,True,1,12,240,239,1,1,True,0,1,True,0.004149377593360996,True,20,True,1,1,1,True,4.264018398207511e-08,5.5874307994441214e-08,0.325266398233292,0,13,14,357,0.32075471698113206,1.401298464324817e-45,8.75,6,13,0,0,0.0,0,0.0020209982510925335,0
DTLZ7,22,3,23,36,21,21,True,15,22,440,425,15,15,True,0,15,True,0.03296703296703297,True,20,True,7,4,2,True,4.769503682246201e-08,4.5219791813282966e-08,4.5219791813282966e-08,14,23,3,123,0.06020558002936858,2.3351587685738195e-07,8.954545454545455,7,13,0,0,0.0,0,,-1
MMF1,2,2,3,22,21,21,True,1,2,40,39,1,1,True,0,1,True,0.024390243902439025,True,20,True,1,1,1,True,2.7867138707946926e-08,3.366436198489513e-08,0.1253464414560177,1,3,1,0,0.0,0.0016209034947678447,9.0,5,13,0,4,0.2,0,1.3480618070469326e-05,0
MMF11_L,2,2,3,22,21,21,True,1,2,40,39,1,1,True,0,1,True,0.024390243902439025,True,20,True,0,0,0,True,3.580225599448782e-08,4.920870795232509e-08,2.653788948460198e-08,3,3,0,0,0.0,0.10341499745845795,11.0,10,12,0,3,0.15,0,1.785939417061322e-05,0
MMF16_20,20,3,21,31,21,21,True,10,20,400,390,10,10,True,0,10,True,0.024390243902439025,True,20,True,0,0,0,True,3.995776355820222e-08,5.178290436526978e-08,5.178290436526978e-08,21,21,0,62,0.03338718362950996,9.481313355121946e-33,6.95,4,11,0,0,0.0,0,,-1
MMF4,2,2,3,21,21,21,True,0,2,40,40,0,0,True,0,0,True,0.0,True,20,True,0,0,0,True,3.122575307156504e-08,3.886052735754624e-08,2.8248455226729536e-08,2,3,1,0,0.0,0.0024698027409613132,9.5,9,10,0,6,0.3,1,7.226008556121667e-05,1
WFG1,22,2,23,33,21,21,True,12,22,440,428,12,12,True,0,12,True,0.02654867256637168,True,20,True,0,0,0,True,3.9510725760969864e-08,4.4667450902765945e-08,4.4667450902765945e-08,23,23,0,0,0.0,0.954617440700531,7.7727272727272725,4,10,0,0,0.0,0,,-1
WFG2,22,2,23,32,21,21,True,11,22,440,429,11,11,True,0,11,True,0.024390243902439025,True,20,True,9,6,2,True,4.07928336172272e-08,4.5106508078310516e-08,4.5106508078310516e-08,23,23,0,0,0.0,0.23466061055660248,7.954545454545454,5,11,0,0,0.0,0,,-1
WFG4,22,2,23,32,21,21,True,11,22,440,429,11,11,True,0,11,True,0.024390243902439025,True,20,True,0,0,0,True,4.058276905379165e-08,5.499370106741085e-08,5.499370106741085e-08,23,23,0,0,0.0,0.1654871702194214,7.090909090909091,5,11,0,0,0.0,0,,-1
WFG5,22,2,23,31,21,21,True,10,22,440,430,10,10,True,0,10,True,0.022222222222222223,True,20,True,1,1,1,True,4.674361347266963e-08,5.5072338374507273e-08,5.5072338374507273e-08,23,23,0,0,0.0,0.3298392593860626,7.545454545454546,3,11,0,0,0.0,0,,-1
WFG9,22,2,23,31,21,21,True,10,22,440,430,10,10,True,0,10,True,0.022222222222222223,True,20,True,8,8,1,True,3.8414428667830706e-08,5.102122118888936e-08,5.006143374893391e-08,23,23,0,0,0.0,0.31366071105003357,6.0,3,9,0,0,0.0,0,,-1
ZDT1,30,2,31,40,21,21,True,19,30,600,583,17,17,True,2,19,True,0.030694668820678513,True,20,True,8,6,2,True,5.437056623642424e-08,5.516649083494928e-08,5.12224477257842e-08,21,31,2,64,0.03444564047362755,3.203382948413491e-05,9.6,6,12,0,0,0.0,0,,-1
ZDT3,30,2,31,32,21,21,True,11,30,600,589,11,11,True,0,11,True,0.01800327332242226,True,20,True,7,6,2,True,4.83488524429956e-08,4.506196377185702e-08,4.002121906154777e-08,17,31,3,55,0.029601722282023683,0.00024549633963033557,9.566666666666666,7,14,0,0,0.0,0,,-1
ZDT4,10,2,11,27,21,21,True,6,10,200,195,5,5,True,1,6,True,0.02912621359223301,True,20,True,10,5,4,True,4.1124471917923794e-08,4.9709861100383805e-08,5.2088120873900205e-08,11,11,0,0,0.0,8.815086766844615e-05,10.1,8,12,0,0,0.0,0,5.4024659919147595e-06,0
ZDT6,10,2,11,30,21,21,True,9,10,200,192,8,8,True,1,9,True,0.0430622009569378,True,20,True,3,3,1,True,5.0815226332953506e-08,5.553004316142221e-08,5.452179826619815e-08,10,11,2,0,0.0,0.28077536821365356,11.2,9,12,0,0,0.0,0,0.00011259065795868877,0
