alg,label,M,pop,n_ger,onset,congeladas_trans,n_mortos,mortos,J_star,n_face,face_bate,amp_zero_em_alguma_ger,amp_min_global
b5m,swap_medium-lhs_DTLZ2,3,105,381,381,0,0,[],None,0,,0,3.1768471747636795
b5m,swap_medium-lhs_MMF16_20,3,105,381,381,0,0,[],None,0,,0,0.19315345942231943
b5m,swap_medium-lhs_WFG9,2,50,801,801,0,0,[],None,0,,0,0.26969313621520996
b5m,swap_medium-lhs_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.21787720918655396
b5m,swap_medium-lhs_ZDT4,2,50,801,801,0,0,[],None,0,,0,0.0885484367609024
b5m,swap_medium-mvns_DTLZ2,3,105,381,381,0,0,[],None,0,,0,3.4797131614759564
b5m,swap_medium-mvns_MMF16_20,3,105,381,381,0,0,[],None,0,,0,0.5197416905734237
b5m,swap_medium-mvns_WFG9,2,50,801,801,0,0,[],None,0,,0,0.1372603476047516
b5m,swap_medium-mvns_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.12840518355369568
b5m,swap_medium-mvns_ZDT4,2,50,801,30,771,0,[],None,0,,773,0.0
b5m,swap_small-lhs_DTLZ2,3,105,381,381,0,0,[],None,0,,0,4.287445222958922
b5m,swap_small-lhs_MMF16_20,3,105,381,381,0,0,[],None,0,,0,3.17776791844517
b5m,swap_small-lhs_WFG9,2,50,801,801,0,0,[],None,0,,0,0.8897016048431396
b5m,swap_small-lhs_ZDT1,2,50,801,801,0,0,[],None,0,,0,0.5346064567565918
b5m,swap_small-lhs_ZDT4,2,50,801,801,0,0,[],None,0,,0,0.4734648037701845
b5m,swap_small-mvns_DTLZ2,3,105,381,381,0,0,[],None,0,,0,3.120255060493946
b5m,swap_small-mvns_MMF16_20,3,105,381,381,0,0,[],None,0,,0,3.1550611406564713
b5m,swap_small-mvns_WFG9,2,50,801,801,0,0,[],None,0,,0,0.20888066291809082
b5m,swap_small-mvns_ZDT1,2,50,801,780,21,0,[],None,0,,0,0.2546631097793579
b5m,swap_small-mvns_ZDT4,2,50,801,801,0,0,[],None,0,,0,0.32467085670214146
moead_media,BBOB_F1,2,50,801,801,0,0,[],None,0,,0,17.93369960784912
moead_media,BBOB_F17,2,50,801,60,741,0,[],None,0,,742,0.0
moead_media,BBOB_F22,2,50,801,801,0,0,[],None,0,,0,539.5089111328125
moead_media,BBOB_F37,2,50,801,801,0,0,[],None,0,,0,104.05125427246094
moead_media,BBOB_F49,2,50,801,801,0,0,[],None,0,,0,64.81153106689453
moead_media,BBOB_F5,2,50,801,801,0,0,[],None,0,,0,31.860870361328125
moead_media,BBOB_F55,2,50,801,801,0,0,[],None,0,,0,3.9569015502929688
moead_media,DTLZ1,3,105,381,360,21,0,[],None,0,,0,0.0530853271484375
moead_media,DTLZ2,3,105,381,278,103,1,[104],[0],1,True,0,7.858349387879215e-12
moead_media,DTLZ3,3,105,381,370,11,1,[104],[0],1,True,0,731.8498553189353
moead_media,DTLZ4,3,105,381,381,0,14,"[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]","[0, 2]",14,True,0,0.16891326010227203
moead_media,DTLZ7,3,105,381,381,0,0,[],None,0,,0,9.44826751947403e-07
moead_media,MMF1,2,50,801,801,0,0,[],None,0,,0,0.004652747884392738
moead_media,MMF11_L,2,50,801,794,7,0,[],None,0,,0,0.0008985493332147598
moead_media,MMF16_20,3,105,381,381,0,0,[],None,0,,0,5.6961681470274925
moead_media,MMF4,2,50,801,798,3,0,[],None,0,,0,0.03896975517272949
moead_media,WFG1,2,50,801,801,0,0,[],None,0,,0,0.09620875120162964
moead_media,WFG2,2,50,801,801,0,0,[],None,0,,0,1.2018997073173523
moead_media,WFG4,2,50,801,801,0,0,[],None,0,,0,0.6708254814147949
moead_media,WFG5,2,50,801,799,2,0,[],None,0,,0,0.6296131908893585
moead_media,WFG9,2,50,801,801,0,0,[],None,0,,0,1.1552183628082275
moead_media,ZDT1,2,50,801,801,0,0,[],None,0,,0,0.2124539017677307
